instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
grid4-30-knight26-UNSAT 10000000 10000000 10000000 10000000 10000000 10000002 10000375 10000545 TIMEOUT TIMEOUT TIMEOUT
grid4-31-knight27-SAT 2381 2357 2385 2548 10000000 8337 197953 1114497 TIMEOUT TIMEOUT TIMEOUT
grid4-32-knight27-UNSAT 10000000 10000000 10000000 10000000 10000000 10000002 10000309 10000468 TIMEOUT TIMEOUT TIMEOUT
grid4-32-knight28-SAT 22160 22721 21311 21434 10000000 78312 752200 333909 TIMEOUT TIMEOUT TIMEOUT
grid4-33-knight28-UNSAT 10000000 10000000 10000000 10000000 10000000 10000002 10000297 10000435 TIMEOUT TIMEOUT TIMEOUT
grid4-34-knight29-SAT 51108 51004 51112 50565 10000000 199046 1317400 4011045 TIMEOUT TIMEOUT TIMEOUT
grid4-35-knight29-UNSAT 10000000 10000000 10000000 10000000 10000000 10000002 10000257 10000387 TIMEOUT TIMEOUT TIMEOUT
grid4-35-knight30-SAT 30902 30297 30515 30158 10000000 124429 5172184 8910976 TIMEOUT TIMEOUT TIMEOUT
grid4-36-knight30-UNSAT 10000000 10000000 10000000 10000000 10000000 10000003 10000236 10000377 TIMEOUT TIMEOUT TIMEOUT
grid4-37-knight31-SAT 72381 70627 71318 70117 10000000 308661 7624052 4995648 TIMEOUT TIMEOUT TIMEOUT
grid4-38-knight31-UNSAT 10000000 10000000 10000000 10000000 10000000 10000003 10000202 10000333 TIMEOUT TIMEOUT TIMEOUT
grid4-38-knight32-SAT 171593 164913 165542 169890 10000000 760179 1253562 10000341 TIMEOUT TIMEOUT TIMEOUT
grid4-39-knight32-UNSAT 10000000 10000000 10000000 10000000 10000000 10000004 10000228 10000341 TIMEOUT TIMEOUT TIMEOUT
grid4-40-knight33-SAT 402037 388281 387420 389722 10000000 1896598 10000108 3851296 TIMEOUT TIMEOUT TIMEOUT
grid4-41-knight33-UNSAT 10000000 10000000 10000000 10000000 10000000 10000005 10000102 10000137 TIMEOUT TIMEOUT TIMEOUT
grid4-41-knight34-SAT 3913425 3907806 3868497 3879922 10000000 10000005 10000104 10000119 TIMEOUT TIMEOUT TIMEOUT
grid4-42-knight34-UNSAT 10000000 10000000 10000000 10000000 10000000 10000005 10000103 10000141 TIMEOUT TIMEOUT TIMEOUT
grid4-43-knight35-SAT 9386931 9180659 9183612 9198019 10000000 10000007 10000091 10000139 TIMEOUT TIMEOUT TIMEOUT
grid4-44-knight35-UNSAT 10000000 10000000 10000000 10000000 10000000 10000006 10000077 10000130 TIMEOUT TIMEOUT TIMEOUT
grid4-44-knight36-SAT 5134664 5001884 5108463 4985288 10000000 10000006 10000084 10000139 TIMEOUT TIMEOUT TIMEOUT
grid4-45-knight36-UNSAT 10000000 10000000 10000000 10000000 10000000 10000006 10000065 10000113 TIMEOUT TIMEOUT TIMEOUT
