instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 pathlad
grid4-29-knight25-UNSAT 5904423 6317899 6362926 6294805 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-29-knight26-SAT 1528 1059 1056 1063 1541998 3353 169736 93204 10000000 10000000 10000000 511960
grid4-30-knight26-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-31-knight27-SAT 2379 2454 2424 2447 10000000 8283 193676 1113638 10000000 10000000 10000000 1341025
grid4-32-knight27-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-32-knight28-SAT 19900 21664 21267 21512 10000000 78452 744809 331678 10000000 10000000 10000000 10000000
grid4-33-knight28-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-34-knight29-SAT 47262 51425 51357 50912 10000000 196813 1312617 4067028 10000000 10000000 10000000 10000000
grid4-35-knight29-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-35-knight30-SAT 28026 30162 30366 29978 10000000 124593 5172939 8854081 10000000 10000000 10000000 10000000
grid4-36-knight30-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-37-knight31-SAT 65818 71447 71233 70137 10000000 309047 7561605 4957629 10000000 10000000 10000000 10000000
grid4-38-knight31-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-38-knight32-SAT 151052 164704 166939 165291 10000000 763814 1260288 10000000 10000000 10000000 10000000 10000000
grid4-39-knight32-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-40-knight33-SAT 355785 388088 391171 385393 10000000 1903433 10000000 3842226 10000000 10000000 10000000 10000000
grid4-41-knight33-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-41-knight34-SAT 3577862 3899180 3858563 4025168 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-42-knight34-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-43-knight35-SAT 8430534 9164226 9387107 9299301 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-44-knight35-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-44-knight36-SAT 4648030 5012695 5008565 5122095 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
grid4-45-knight36-UNSAT 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000 10000000
