instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_r02_s20_AB04 12 12 12 12
mcs10_r02_s20_AB05 11 11 11 11
mcs10_r02_s20_AB06 12 12 12 12
mcs10_r02_s20_AB07 11 11 11 11
mcs10_r02_s20_AB08 11 11 11 11
mcs10_r02_s20_AB09 12 12 12 12
mcs10_r02_s25_AB00 13 13 13 13
mcs10_r02_s25_AB01 13 13 13 13
mcs10_r02_s25_AB02 13 13 13 13
mcs10_r02_s25_AB03 14 14 14 14
mcs10_r02_s25_AB04 13 13 13 13
mcs10_r02_s25_AB05 13 13 13 13
mcs10_r02_s25_AB06 13 13 13 13
mcs10_r02_s25_AB07 13 13 13 13
mcs10_r02_s25_AB08 13 13 13 13
mcs10_r02_s25_AB09 13 13 13 13
mcs10_r02_s30_AB00 15 15 15 15
mcs10_r02_s30_AB01 15 15 15 15
mcs10_r02_s30_AB02 14 14 14 14
mcs10_r02_s30_AB03 14 14 14 14
mcs10_r02_s30_AB04 14 14 14 14
mcs10_r02_s30_AB05 15 15 15 15
mcs10_r02_s30_AB06 14 14 14 14
mcs10_r02_s30_AB07 15 15 15 15
mcs10_r02_s30_AB08 14 14 14 14
mcs10_r02_s30_AB09 14 14 14 14
mcs10_r02_s35_AB00 15 15 15 X
mcs10_r02_s35_AB01 16 16 16 X
mcs10_r02_s35_AB02 15 15 15 15
mcs10_r02_s35_AB03 15 15 15 15
mcs10_r02_s35_AB04 15 15 15 15
mcs10_r02_s35_AB05 15 15 15 15
mcs10_r02_s35_AB06 15 15 15 15
mcs10_r02_s35_AB07 15 15 15 15
mcs10_r02_s35_AB08 15 15 15 15
mcs10_r02_s35_AB09 15 15 15 15
mcs10_r02_s40_AB00 X X X X
mcs10_r02_s40_AB01 X X X X
mcs10_r02_s40_AB02 X X X X
mcs10_r02_s40_AB03 X X X X
mcs10_r02_s40_AB04 X X X X
mcs10_r02_s40_AB05 X X X X
mcs10_r02_s40_AB06 X X X X
mcs10_r02_s40_AB07 X X X X
mcs10_r02_s40_AB08 X X X X
mcs10_r02_s40_AB09 X X X X
mcs10_r02_s50_AB00 X X X X
mcs10_r02_s50_AB01 X X X X
mcs10_r02_s50_AB02 X X X X
mcs10_r02_s50_AB03 X X X X
mcs10_r02_s50_AB04 X X X X
mcs10_r02_s50_AB05 X X X X
mcs10_r02_s50_AB06 X X X X
mcs10_r02_s50_AB07 X X X X
mcs10_r02_s50_AB08 X X X X
mcs10_r02_s50_AB09 X X X X
mcs30_b03_s15_AB00 11 11 11 11
mcs30_b03_s15_AB01 12 12 12 12
mcs30_b03_s15_AB02 11 11 11 11
mcs30_b03_s15_AB03 11 11 11 11
mcs30_b03_s15_AB04 11 11 11 11
mcs30_b03_s15_AB05 11 11 11 11
mcs30_b03_s15_AB06 11 11 11 11
mcs30_b03_s15_AB07 12 12 12 12
mcs30_b03_s15_AB08 11 11 11 11
mcs30_b03_s15_AB09 12 12 12 12
mcs30_b03_s20_AB00 15 15 15 15
mcs30_b03_s20_AB01 15 15 15 15
mcs30_b03_s20_AB02 15 15 15 15
mcs30_b03_s20_AB03 15 15 15 15
mcs30_b03_s20_AB04 15 15 15 15
mcs30_b03_s20_AB05 15 15 15 15
mcs30_b03_s20_AB06 15 15 15 15
mcs30_b03_s20_AB07 16 16 16 16
mcs30_b03_s20_AB08 16 16 16 16
mcs30_b03_s20_AB09 15 15 15 15
mcs30_b03_s25_AB00 19 19 X 19
mcs30_b03_s25_AB01 20 20 X 20
mcs30_b03_s25_AB02 19 19 X 19
mcs30_b03_s25_AB03 20 20 20 20
mcs30_b03_s25_AB04 20 20 X 20
mcs30_b03_s25_AB05 19 19 19 19
mcs30_b03_s25_AB06 19 19 X 19
mcs30_b03_s25_AB07 19 19 X 19
mcs30_b03_s25_AB08 19 19 X 19
mcs30_b03_s25_AB09 19 19 19 19
mcs30_b03_s30_AB00 23 X X X
mcs30_b03_s30_AB01 23 X X X
mcs30_b03_s30_AB02 23 X X X
mcs30_b03_s30_AB03 24 X X X
mcs30_b03_s30_AB04 24 X X X
mcs30_b03_s30_AB05 23 X X X
mcs30_b03_s30_AB06 22 X X X
mcs30_b03_s30_AB07 24 X X X
mcs30_b03_s30_AB08 23 X X X
mcs30_b03_s30_AB09 23 X X X
mcs30_b03_s35_AB00 X X X X
mcs30_b03_s35_AB01 X X X X
mcs30_b03_s35_AB02 X X X X
mcs30_b03_s35_AB03 X X X X
mcs30_b03_s35_AB04 X X X X
mcs30_b03_s35_AB05 X X X X
mcs30_b03_s35_AB06 X X X X
mcs30_b03_s35_AB07 X X X X
mcs30_b03_s35_AB08 X X X X
mcs30_b03_s35_AB09 X X X X
mcs30_b03_s40_AB00 X X X X
mcs30_b03_s40_AB01 X X X X
mcs30_b03_s40_AB02 X X X X
mcs30_b03_s40_AB03 X X X X
mcs30_b03_s40_AB04 X X X X
mcs30_b03_s40_AB05 X X X X
mcs30_b03_s40_AB06 X X X X
mcs30_b03_s40_AB07 X X X X
mcs30_b03_s40_AB08 X X X X
mcs30_b03_s40_AB09 X X X X
mcs30_b03_s50_AB00 X X X X
