instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_r01_s50_AB03 1000000 1000000 1000000 1000000
mcs10_r01_s50_AB04 1000000 1000000 1000000 1000000
mcs10_r01_s50_AB05 1000000 1000000 1000000 1000000
mcs10_r01_s50_AB06 1000000 1000000 1000000 1000000
mcs10_r01_s50_AB07 1000000 1000000 1000000 1000000
mcs10_r01_s50_AB08 1000000 1000000 1000000 1000000
mcs10_r01_s50_AB09 1000000 1000000 1000000 1000000
mcs10_r02_s20_AB00 126 296 301 516
mcs10_r02_s20_AB01 71 139 139 388
mcs10_r02_s20_AB02 61 83 103 368
mcs10_r02_s20_AB03 100 175 167 488
mcs10_r02_s20_AB04 107 258 271 453
mcs10_r02_s20_AB05 113 254 238 414
mcs10_r02_s20_AB06 83 162 179 453
mcs10_r02_s20_AB07 137 253 261 582
mcs10_r02_s20_AB08 106 208 232 487
mcs10_r02_s20_AB09 82 120 126 329
mcs10_r02_s25_AB00 1036 2457 2433 5390
mcs10_r02_s25_AB01 1460 3283 3262 7695
mcs10_r02_s25_AB02 1360 3450 3453 5226
mcs10_r02_s25_AB03 1332 2589 2585 3737
mcs10_r02_s25_AB04 1417 3334 3315 6563
mcs10_r02_s25_AB05 1296 3572 3551 5404
mcs10_r02_s25_AB06 1412 3313 3305 5695
mcs10_r02_s25_AB07 2116 4768 4773 6265
mcs10_r02_s25_AB08 794 1999 1994 5756
mcs10_r02_s25_AB09 1505 3403 3420 6450
mcs10_r02_s30_AB00 15075 29339 29231 71095
mcs10_r02_s30_AB01 15246 31445 31494 82170
mcs10_r02_s30_AB02 19654 36219 36209 95150
mcs10_r02_s30_AB03 23106 47473 47377 80240
mcs10_r02_s30_AB04 21310 42557 42586 94807
mcs10_r02_s30_AB05 17820 34109 34036 91107
mcs10_r02_s30_AB06 14354 29313 29311 66317
mcs10_r02_s30_AB07 11359 29232 29222 51998
mcs10_r02_s30_AB08 21855 38852 38844 88397
mcs10_r02_s30_AB09 23948 54058 54074 72736
mcs10_r02_s35_AB00 311148 471503 471024 1000000
mcs10_r02_s35_AB01 281205 478642 478597 1000000
mcs10_r02_s35_AB02 305454 502805 501705 1000000
mcs10_r02_s35_AB03 326638 540224 539955 729037
mcs10_r02_s35_AB04 245626 386848 387419 1000000
mcs10_r02_s35_AB05 249774 427185 428065 659616
mcs10_r02_s35_AB06 312208 485587 486702 1000000
mcs10_r02_s35_AB07 234857 402651 402402 903249
mcs10_r02_s35_AB08 321801 491256 491066 797584
mcs10_r02_s35_AB09 342733 580660 581957 972139
mcs10_r02_s40_AB00 1000000 1000000 1000000 1000000
mcs10_r02_s40_AB01 1000000 1000000 1000000 1000000
mcs10_r02_s40_AB02 1000000 1000000 1000000 1000000
mcs10_r02_s40_AB03 1000000 1000000 1000000 1000000
mcs10_r02_s40_AB04 1000000 1000000 1000000 1000000
mcs10_r02_s40_AB05 1000000 1000000 1000000 1000000
mcs10_r02_s40_AB06 1000000 1000000 1000000 1000000
mcs10_r02_s40_AB07 1000000 1000000 1000000 1000000
mcs10_r02_s40_AB08 1000000 1000000 1000000 1000000
mcs10_r02_s40_AB09 1000000 1000000 1000000 1000000
mcs10_r02_s50_AB00 1000000 1000000 1000000 1000000
mcs10_r02_s50_AB01 1000000 1000000 1000000 1000000
mcs10_r02_s50_AB02 1000000 1000000 1000000 1000000
mcs10_r02_s50_AB03 1000000 1000000 1000000 1000000
mcs10_r02_s50_AB04 1000000 1000000 1000000 1000000
mcs10_r02_s50_AB05 1000000 1000000 1000000 1000000
mcs10_r02_s50_AB06 1000000 1000000 1000000 1000000
mcs10_r02_s50_AB07 1000000 1000000 1000000 1000000
mcs10_r02_s50_AB08 1000000 1000000 1000000 1000000
mcs10_r02_s50_AB09 1000000 1000000 1000000 1000000
mcs30_b03_s15_AB00 7 54 58 47
mcs30_b03_s15_AB01 6 40 33 34
mcs30_b03_s15_AB02 10 55 39 30
mcs30_b03_s15_AB03 8 53 37 29
mcs30_b03_s15_AB04 8 48 34 35
mcs30_b03_s15_AB05 10 51 35 33
mcs30_b03_s15_AB06 8 48 34 41
mcs30_b03_s15_AB07 6 33 23 33
mcs30_b03_s15_AB08 7 50 38 36
mcs30_b03_s15_AB09 7 63 44 29
mcs30_b03_s20_AB00 216 1675 619 1665
mcs30_b03_s20_AB01 109 931 864 864
mcs30_b03_s20_AB02 223 2689 2387 2733
mcs30_b03_s20_AB03 416 1019 9911 1002
mcs30_b03_s20_AB04 163 1124 18619 1124
mcs30_b03_s20_AB05 97 427 21058 614
mcs30_b03_s20_AB06 263 2237 2511 2242
mcs30_b03_s20_AB07 135 986 1484 962
mcs30_b03_s20_AB08 40 374 1844 371
mcs30_b03_s20_AB09 55 9286 16497 9114
mcs30_b03_s25_AB00 6324 134588 1000000 134731
mcs30_b03_s25_AB01 7733 158462 1000000 160083
mcs30_b03_s25_AB02 2526 17326 1000000 17452
mcs30_b03_s25_AB03 15330 130951 396907 131167
mcs30_b03_s25_AB04 1997 39636 1000000 39965
mcs30_b03_s25_AB05 4488 68727 77580 68757
mcs30_b03_s25_AB06 12925 411114 1000000 413051
mcs30_b03_s25_AB07 1884 931661 1000000 934649
mcs30_b03_s25_AB08 1075 111592 1000000 111812
mcs30_b03_s25_AB09 4955 960920 171856 966348
mcs30_b03_s30_AB00 179747 1000000 1000000 1000000
mcs30_b03_s30_AB01 153199 1000000 1000000 1000000
mcs30_b03_s30_AB02 109488 1000000 1000000 1000000
mcs30_b03_s30_AB03 97921 1000000 1000000 1000000
mcs30_b03_s30_AB04 40906 1000000 1000000 1000000
mcs30_b03_s30_AB05 9861 1000000 1000000 1000000
mcs30_b03_s30_AB06 472923 1000000 1000000 1000000
mcs30_b03_s30_AB07 45681 1000000 1000000 1000000
mcs30_b03_s30_AB08 449864 1000000 1000000 1000000
mcs30_b03_s30_AB09 979403 1000000 1000000 1000000
mcs30_b03_s35_AB00 1000000 1000000 1000000 1000000
mcs30_b03_s35_AB01 1000000 1000000 1000000 1000000
mcs30_b03_s35_AB02 1000000 1000000 1000000 1000000
mcs30_b03_s35_AB03 1000000 1000000 1000000 1000000
mcs30_b03_s35_AB04 1000000 1000000 1000000 1000000
mcs30_b03_s35_AB05 1000000 1000000 1000000 1000000
mcs30_b03_s35_AB06 1000000 1000000 1000000 1000000
mcs30_b03_s35_AB07 1000000 1000000 1000000 1000000
mcs30_b03_s35_AB08 1000000 1000000 1000000 1000000
mcs30_b03_s35_AB09 1000000 1000000 1000000 1000000
mcs30_b03_s40_AB00 1000000 1000000 1000000 1000000
mcs30_b03_s40_AB01 1000000 1000000 1000000 1000000
mcs30_b03_s40_AB02 1000000 1000000 1000000 1000000
mcs30_b03_s40_AB03 1000000 1000000 1000000 1000000
mcs30_b03_s40_AB04 1000000 1000000 1000000 1000000
mcs30_b03_s40_AB05 1000000 1000000 1000000 1000000
mcs30_b03_s40_AB06 1000000 1000000 1000000 1000000
mcs30_b03_s40_AB07 1000000 1000000 1000000 1000000
mcs30_b03_s40_AB08 1000000 1000000 1000000 1000000
mcs30_b03_s40_AB09 1000000 1000000 1000000 1000000
mcs30_b03_s50_AB00 1000000 1000000 1000000 1000000
mcs30_b03_s50_AB01 1000000 1000000 1000000 1000000
mcs30_b03_s50_AB02 1000000 1000000 1000000 1000000
mcs30_b03_s50_AB03 1000000 1000000 1000000 1000000
mcs30_b03_s50_AB04 1000000 1000000 1000000 1000000
mcs30_b03_s50_AB05 1000000 1000000 1000000 1000000
mcs30_b03_s50_AB06 1000000 1000000 1000000 1000000
mcs30_b03_s50_AB07 1000000 1000000 1000000 1000000
mcs30_b03_s50_AB08 1000000 1000000 1000000 1000000
mcs30_b03_s50_AB09 1000000 1000000 1000000 1000000
mcs30_b03m_s15_AB00 7 48 47 85
mcs30_b03m_s15_AB01 6 50 35 49
mcs30_b03m_s15_AB02 9 35 50 36
mcs30_b03m_s15_AB03 8 49 34 45
mcs30_b03m_s15_AB04 14 63 44 31
mcs30_b03m_s15_AB05 7 42 29 32
mcs30_b03m_s15_AB06 8 45 32 91
mcs30_b03m_s15_AB07 7 36 25 44
mcs30_b03m_s15_AB08 8 46 46 40
mcs30_b03m_s15_AB09 8 56 39 43
mcs30_b03m_s20_AB00 177 401 8334 401
mcs30_b03m_s20_AB01 43 618 90003 600
mcs30_b03m_s20_AB02 53 652 8228 628
mcs30_b03m_s20_AB03 288 742 2872 728
mcs30_b03m_s20_AB04 504 1551 2523 1533
mcs30_b03m_s20_AB05 114 3294 36276 3306
mcs30_b03m_s20_AB06 76 2928 41924 2931
mcs30_b03m_s20_AB07 70 590 14072 584
mcs30_b03m_s20_AB08 150 4195 669 4180
mcs30_b03m_s20_AB09 292 1026 5679 1055
mcs30_b03m_s25_AB00 7875 131902 1000000 131861
mcs30_b03m_s25_AB01 1046 564629 1000000 564407
mcs30_b03m_s25_AB02 3547 914855 1000000 915860
mcs30_b03m_s25_AB03 7966 471882 1000000 471569
mcs30_b03m_s25_AB04 1166 27833 1000000 27828
mcs30_b03m_s25_AB05 363 25683 1000000 25089
mcs30_b03m_s25_AB06 13751 50613 70925 50666
mcs30_b03m_s25_AB07 18234 96883 954619 97058
mcs30_b03m_s25_AB08 129931 15508 1000000 14916
mcs30_b03m_s25_AB09 2057 31450 1000000 31656
mcs30_b03m_s30_AB00 121346 1000000 1000000 1000000
mcs30_b03m_s30_AB01 34984 1000000 1000000 1000000
mcs30_b03m_s30_AB02 44204 1000000 1000000 1000000
mcs30_b03m_s30_AB03 112735 1000000 1000000 1000000
mcs30_b03m_s30_AB04 360942 1000000 1000000 1000000
mcs30_b03m_s30_AB05 480674 1000000 1000000 1000000
mcs30_b03m_s30_AB06 81178 1000000 1000000 1000000
mcs30_b03m_s30_AB07 134824 1000000 1000000 1000000
mcs30_b03m_s30_AB08 247940 1000000 1000000 1000000
mcs30_b03m_s30_AB09 283248 1000000 1000000 1000000
mcs30_b03m_s35_AB00 1000000 1000000 1000000 1000000
