instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_m2D_s100_AB06 X 40 40 40
mcs10_m2D_s100_AB07 X X X X
mcs10_m2D_s100_AB08 X 39 39 39
mcs10_m2D_s100_AB09 X 39 39 39
mcs10_m2D_s40_AB00 17 17 17 17
mcs10_m2D_s40_AB01 19 19 19 19
mcs10_m2D_s40_AB02 19 19 19 19
mcs10_m2D_s40_AB03 17 17 17 17
mcs10_m2D_s40_AB04 18 18 18 18
mcs10_m2D_s40_AB05 17 17 17 17
mcs10_m2D_s40_AB06 17 17 17 17
mcs10_m2D_s40_AB07 17 17 17 17
mcs10_m2D_s40_AB08 18 18 18 18
mcs10_m2D_s40_AB09 18 18 18 18
mcs10_m2D_s50_AB00 X 24 24 24
mcs10_m2D_s50_AB01 X 23 23 23
mcs10_m2D_s50_AB02 23 23 23 23
mcs10_m2D_s50_AB03 23 23 23 23
mcs10_m2D_s50_AB04 23 23 23 23
mcs10_m2D_s50_AB05 X 24 24 24
mcs10_m2D_s50_AB06 24 24 24 24
mcs10_m2D_s50_AB07 22 22 22 22
mcs10_m2D_s50_AB08 23 23 23 23
mcs10_m2D_s50_AB09 X 24 24 24
mcs10_m2D_s60_AB00 22 22 22 22
mcs10_m2D_s60_AB01 26 26 26 26
mcs10_m2D_s60_AB02 25 25 25 25
mcs10_m2D_s60_AB03 25 25 25 25
mcs10_m2D_s60_AB04 27 27 27 27
mcs10_m2D_s60_AB05 26 26 26 26
mcs10_m2D_s60_AB06 25 25 25 25
mcs10_m2D_s60_AB07 26 26 26 26
mcs10_m2D_s60_AB08 24 24 24 24
mcs10_m2D_s60_AB09 25 25 25 25
mcs10_m2D_s70_AB00 32 32 32 32
mcs10_m2D_s70_AB01 28 28 28 28
mcs10_m2D_s70_AB02 32 32 32 32
mcs10_m2D_s70_AB03 X 29 29 29
mcs10_m2D_s70_AB04 30 30 30 30
mcs10_m2D_s70_AB05 31 31 31 31
mcs10_m2D_s70_AB06 30 30 30 30
mcs10_m2D_s70_AB07 31 31 31 31
mcs10_m2D_s70_AB08 30 30 30 30
mcs10_m2D_s70_AB09 30 30 30 30
mcs10_m2D_s80_AB00 X 32 X 32
mcs10_m2D_s80_AB01 X 34 34 34
mcs10_m2D_s80_AB02 X X X X
mcs10_m2D_s80_AB03 X X X X
mcs10_m2D_s80_AB04 X X X X
mcs10_m2D_s80_AB05 X 34 X 34
mcs10_m2D_s80_AB06 X X X X
mcs10_m2D_s80_AB07 X X X X
mcs10_m2D_s80_AB08 X X X X
mcs10_m2D_s80_AB09 X X X X
mcs10_m2D_s90_AB00 X X X X
mcs10_m2D_s90_AB01 X X X X
mcs10_m2D_s90_AB02 X X X X
mcs10_m2D_s90_AB03 X X X X
mcs10_m2D_s90_AB04 X X X X
mcs10_m2D_s90_AB05 X X X X
mcs10_m2D_s90_AB06 X X X X
mcs10_m2D_s90_AB07 X X X X
mcs10_m2D_s90_AB08 X 40 X 40
mcs10_m2D_s90_AB09 X X X X
mcs10_m2Dr2_s100_AB00 41 41 41 41
mcs10_m2Dr2_s100_AB01 X 40 40 40
mcs10_m2Dr2_s100_AB02 39 39 39 39
mcs10_m2Dr2_s100_AB03 39 39 X 39
mcs10_m2Dr2_s100_AB04 41 X 41 X
mcs10_m2Dr2_s100_AB05 X X 41 X
mcs10_m2Dr2_s100_AB06 X 40 40 40
mcs10_m2Dr2_s100_AB07 X 38 38 38
mcs10_m2Dr2_s100_AB08 X 38 38 38
mcs10_m2Dr2_s100_AB09 X 39 39 39
mcs10_m2Dr2_s70_AB00 X 29 29 29
mcs10_m2Dr2_s70_AB01 X 29 29 29
mcs10_m2Dr2_s70_AB02 30 30 X 30
mcs10_m2Dr2_s70_AB03 29 29 29 29
mcs10_m2Dr2_s70_AB04 28 28 28 28
mcs10_m2Dr2_s70_AB05 29 29 29 29
mcs10_m2Dr2_s70_AB06 X 30 30 30
mcs10_m2Dr2_s70_AB07 30 30 30 30
mcs10_m2Dr2_s70_AB08 X 30 30 30
mcs10_m2Dr2_s70_AB09 27 27 27 27
mcs10_m2Dr2_s80_AB00 X X X X
mcs10_m2Dr2_s80_AB01 X X X 34
mcs10_m2Dr2_s80_AB02 X 34 X 34
mcs10_m2Dr2_s80_AB03 X X X X
mcs10_m2Dr2_s80_AB04 X 34 X 34
mcs10_m2Dr2_s80_AB05 X 32 X 32
mcs10_m2Dr2_s80_AB06 X X X X
mcs10_m2Dr2_s80_AB07 X X X X
mcs10_m2Dr2_s80_AB08 X X X X
mcs10_m2Dr2_s80_AB09 X 33 X 33
mcs10_m2Dr2_s90_AB00 X X X X
mcs10_m2Dr2_s90_AB01 X X X X
mcs10_m2Dr2_s90_AB02 X 38 X 38
mcs10_m2Dr2_s90_AB03 X X X X
mcs10_m2Dr2_s90_AB04 X X X X
mcs10_m2Dr2_s90_AB05 X X X X
mcs10_m2Dr2_s90_AB06 X X X X
mcs10_m2Dr2_s90_AB07 X X X X
mcs10_m2Dr2_s90_AB08 X 38 X 38
mcs10_m2Dr2_s90_AB09 X X X X
mcs10_m2Dr4_s100_AB00 38 38 38 38
mcs10_m2Dr4_s100_AB01 37 37 37 37
mcs10_m2Dr4_s100_AB02 X 38 38 38
mcs10_m2Dr4_s100_AB03 35 35 35 35
mcs10_m2Dr4_s100_AB04 38 38 38 38
mcs10_m2Dr4_s100_AB05 37 37 37 37
mcs10_m2Dr4_s100_AB06 36 36 36 36
mcs10_m2Dr4_s100_AB07 X 36 X 36
mcs10_m2Dr4_s100_AB08 X X X 36
mcs10_m2Dr4_s100_AB09 X X X X
mcs10_m2Dr4_s40_AB00 16 16 16 16
mcs10_m2Dr4_s40_AB01 17 17 17 17
mcs10_m2Dr4_s40_AB02 16 16 16 16
mcs10_m2Dr4_s40_AB03 17 17 17 17
mcs10_m2Dr4_s40_AB04 17 17 17 17
mcs10_m2Dr4_s40_AB05 16 16 16 16
mcs10_m2Dr4_s40_AB06 17 17 17 17
mcs10_m2Dr4_s40_AB07 16 16 16 16
mcs10_m2Dr4_s40_AB08 18 18 18 18
mcs10_m2Dr4_s40_AB09 17 17 17 17
mcs10_m2Dr4_s50_AB00 21 21 21 21
mcs10_m2Dr4_s50_AB01 20 20 20 20
mcs10_m2Dr4_s50_AB02 22 22 22 22
mcs10_m2Dr4_s50_AB03 22 22 22 22
mcs10_m2Dr4_s50_AB04 21 21 21 21
mcs10_m2Dr4_s50_AB05 21 21 21 21
mcs10_m2Dr4_s50_AB06 20 20 20 20
mcs10_m2Dr4_s50_AB07 20 20 20 20
mcs10_m2Dr4_s50_AB08 23 23 23 23
mcs10_m2Dr4_s50_AB09 21 21 21 21
mcs10_m2Dr4_s60_AB00 24 24 24 24
mcs10_m2Dr4_s60_AB01 21 21 21 21
mcs10_m2Dr4_s60_AB02 23 23 23 23
mcs10_m2Dr4_s60_AB03 24 24 24 24
mcs10_m2Dr4_s60_AB04 21 21 21 21
mcs10_m2Dr4_s60_AB05 22 22 22 22
mcs10_m2Dr4_s60_AB06 24 24 24 24
mcs10_m2Dr4_s60_AB07 24 24 24 24
mcs10_m2Dr4_s60_AB08 22 22 22 22
mcs10_m2Dr4_s60_AB09 23 23 23 23
mcs10_m2Dr4_s70_AB00 27 27 27 27
mcs10_m2Dr4_s70_AB01 29 29 29 29
mcs10_m2Dr4_s70_AB02 27 27 27 27
mcs10_m2Dr4_s70_AB03 29 29 29 29
mcs10_m2Dr4_s70_AB04 28 28 28 28
mcs10_m2Dr4_s70_AB05 X 30 30 30
mcs10_m2Dr4_s70_AB06 27 27 27 27
mcs10_m2Dr4_s70_AB07 27 27 27 27
mcs10_m2Dr4_s70_AB08 X 30 30 30
mcs10_m2Dr4_s70_AB09 29 29 29 29
mcs10_m2Dr4_s80_AB00 X X X X
mcs10_m2Dr4_s80_AB01 X X X X
mcs10_m2Dr4_s80_AB02 X 33 X 33
mcs10_m2Dr4_s80_AB03 33 X X X
mcs10_m2Dr4_s80_AB04 X X X X
mcs10_m2Dr4_s80_AB05 X X X X
mcs10_m2Dr4_s80_AB06 X 32 X 32
mcs10_m2Dr4_s80_AB07 X X X X
mcs10_m2Dr4_s80_AB08 31 31 31 31
mcs10_m2Dr4_s80_AB09 X X X X
mcs10_m2Dr4_s90_AB00 X X X X
mcs10_m2Dr4_s90_AB01 X X X X
mcs10_m2Dr4_s90_AB02 X X X X
mcs10_m2Dr4_s90_AB03 X X X X
mcs10_m2Dr4_s90_AB04 X X X X
mcs10_m2Dr4_s90_AB05 X X X X
mcs10_m2Dr4_s90_AB06 X X X X
mcs10_m2Dr4_s90_AB07 X X X X
mcs10_m2Dr4_s90_AB08 X X X X
mcs10_m2Dr4_s90_AB09 X X X X
mcs10_m2Dr6_s100_AB00 X 35 35 35
mcs10_m2Dr6_s100_AB01 X 36 36 X
mcs10_m2Dr6_s100_AB02 36 36 36 36
mcs10_m2Dr6_s100_AB03 38 38 38 38
mcs10_m2Dr6_s100_AB04 36 36 36 36
mcs10_m2Dr6_s100_AB05 X X 39 X
mcs10_m2Dr6_s100_AB06 33 33 33 33
mcs10_m2Dr6_s100_AB07 X 37 37 37
mcs10_m2Dr6_s100_AB08 X 37 37 37
mcs10_m2Dr6_s100_AB09 X 35 35 35
mcs10_m2Dr6_s40_AB00 16 16 16 16
mcs10_m2Dr6_s40_AB01 16 16 16 16
mcs10_m2Dr6_s40_AB02 15 15 15 15
mcs10_m2Dr6_s40_AB03 18 18 18 18
mcs10_m2Dr6_s40_AB04 15 15 15 15
mcs10_m2Dr6_s40_AB05 16 16 16 16
mcs10_m2Dr6_s40_AB06 18 18 18 18
mcs10_m2Dr6_s40_AB07 18 18 18 18
mcs10_m2Dr6_s40_AB08 15 15 15 15
mcs10_m2Dr6_s40_AB09 17 17 17 17
mcs10_m2Dr6_s50_AB00 20 20 20 20
mcs10_m2Dr6_s50_AB01 21 21 21 21
mcs10_m2Dr6_s50_AB02 21 21 21 21
mcs10_m2Dr6_s50_AB03 19 19 19 19
mcs10_m2Dr6_s50_AB04 20 20 20 20
mcs10_m2Dr6_s50_AB05 21 21 21 21
mcs10_m2Dr6_s50_AB06 20 20 20 20
mcs10_m2Dr6_s50_AB07 21 21 21 21
mcs10_m2Dr6_s50_AB08 20 20 20 20
mcs10_m2Dr6_s50_AB09 20 20 20 20
mcs10_m2Dr6_s60_AB00 23 23 23 23
mcs10_m2Dr6_s60_AB01 22 22 22 22
mcs10_m2Dr6_s60_AB02 22 22 22 22
mcs10_m2Dr6_s60_AB03 23 23 23 23
mcs10_m2Dr6_s60_AB04 22 22 22 22
mcs10_m2Dr6_s60_AB05 24 24 24 24
mcs10_m2Dr6_s60_AB06 23 23 23 23
mcs10_m2Dr6_s60_AB07 22 22 22 22
mcs10_m2Dr6_s60_AB08 23 23 23 23
mcs10_m2Dr6_s60_AB09 23 23 23 23
mcs10_m2Dr6_s70_AB00 26 26 26 26
mcs10_m2Dr6_s70_AB01 28 28 28 28
mcs10_m2Dr6_s70_AB02 27 27 27 27
mcs10_m2Dr6_s70_AB03 27 27 27 27
mcs10_m2Dr6_s70_AB04 26 26 26 26
mcs10_m2Dr6_s70_AB05 29 29 29 29
mcs10_m2Dr6_s70_AB06 30 30 30 30
