instance cp2016 incmc2 incmc2o1 incmc2o2
mcs10_b09_s100_AB08 45533 6614 6658 24274
mcs10_b09_s100_AB09 9191 3207 3245 931
mcs10_b09m_s100_AB00 7864 9692 8266 9701
mcs10_b09m_s100_AB01 98860 13141 29186 13132
mcs10_b09m_s100_AB02 24495 15261 9805 15576
mcs10_b09m_s100_AB03 8295 13610 13586 40294
mcs10_b09m_s100_AB04 6131 4478 4439 1033
mcs10_b09m_s100_AB05 2565 5510 2618 5532
mcs10_b09m_s100_AB06 45987 9203 9194 6557
mcs10_b09m_s100_AB07 18590 4041 4052 45423
mcs10_b09m_s100_AB08 12123 3796 3794 3078
mcs10_b09m_s100_AB09 42474 29316 29261 13178
mcs10_m2D_s100_AB00 1000000 10670 494412 10773
mcs10_m2D_s100_AB01 1000000 27461 61152 27394
mcs10_m2D_s100_AB02 1000000 17748 28774 17974
mcs10_m2D_s100_AB03 404522 1000000 436751 1000000
mcs10_m2D_s100_AB04 1000000 33315 758899 33414
mcs10_m2D_s100_AB05 549354 16255 94780 16214
mcs10_m2D_s100_AB06 1000000 96084 492002 97417
mcs10_m2D_s100_AB07 1000000 1000000 1000000 1000000
mcs10_m2D_s100_AB08 1000000 586772 323121 588115
mcs10_m2D_s100_AB09 1000000 2207 110020 2212
mcs10_m2D_s40_AB00 1447 90 300 59
mcs10_m2D_s40_AB01 656 3139 77 3144
mcs10_m2D_s40_AB02 17 146 112 115
mcs10_m2D_s40_AB03 127 19 23 19
mcs10_m2D_s40_AB04 87 52 78 52
mcs10_m2D_s40_AB05 162 1445 373 1393
mcs10_m2D_s40_AB06 958 215 218 197
mcs10_m2D_s40_AB07 267 68 796 67
mcs10_m2D_s40_AB08 97 21 91 21
mcs10_m2D_s40_AB09 23 202 134 213
mcs10_m2D_s50_AB00 1000000 92 30512 61
mcs10_m2D_s50_AB01 1000000 100766 387944 101122
mcs10_m2D_s50_AB02 69861 59484 15339 59731
mcs10_m2D_s50_AB03 363567 3243 183970 3227
mcs10_m2D_s50_AB04 3573 99111 20640 99057
mcs10_m2D_s50_AB05 1000000 54547 161833 54793
mcs10_m2D_s50_AB06 22847 130703 39802 130669
mcs10_m2D_s50_AB07 49895 1244 52572 1266
mcs10_m2D_s50_AB08 50523 219 51757 201
mcs10_m2D_s50_AB09 1000000 112784 332518 113148
mcs10_m2D_s60_AB00 666 18 76 27
mcs10_m2D_s60_AB01 44084 3860 2959 3812
mcs10_m2D_s60_AB02 8827 2544 10990 2481
mcs10_m2D_s60_AB03 25245 878 16025 907
mcs10_m2D_s60_AB04 2544 52 1581 38
mcs10_m2D_s60_AB05 2492 3209 1035 3206
mcs10_m2D_s60_AB06 5269 983 4861 974
mcs10_m2D_s60_AB07 363449 54 209 36
mcs10_m2D_s60_AB08 9785 91 111 116
mcs10_m2D_s60_AB09 6920 672 3747 673
mcs10_m2D_s70_AB00 727814 152 10753 196
mcs10_m2D_s70_AB01 369133 2360 20789 2410
mcs10_m2D_s70_AB02 402892 219492 68868 221014
mcs10_m2D_s70_AB03 1000000 346008 474730 371463
mcs10_m2D_s70_AB04 35056 21456 39013 21576
mcs10_m2D_s70_AB05 103059 17162 17798 64
mcs10_m2D_s70_AB06 100191 27594 63533 27577
mcs10_m2D_s70_AB07 272997 272 964227 324
mcs10_m2D_s70_AB08 60095 11073 126934 11444
mcs10_m2D_s70_AB09 290308 991246 26364 995539
mcs10_m2D_s80_AB00 1000000 764 1000000 867
mcs10_m2D_s80_AB01 1000000 568155 130521 542495
mcs10_m2D_s80_AB02 1000000 1000000 1000000 1000000
mcs10_m2D_s80_AB03 1000000 1000000 1000000 1000000
mcs10_m2D_s80_AB04 1000000 1000000 1000000 1000000
mcs10_m2D_s80_AB05 1000000 526581 1000000 528114
mcs10_m2D_s80_AB06 1000000 1000000 1000000 1000000
mcs10_m2D_s80_AB07 1000000 1000000 1000000 1000000
mcs10_m2D_s80_AB08 1000000 1000000 1000000 1000000
mcs10_m2D_s80_AB09 1000000 1000000 1000000 1000000
mcs10_m2D_s90_AB00 1000000 1000000 1000000 1000000
mcs10_m2D_s90_AB01 1000000 1000000 1000000 1000000
mcs10_m2D_s90_AB02 1000000 1000000 1000000 1000000
mcs10_m2D_s90_AB03 1000000 1000000 1000000 1000000
mcs10_m2D_s90_AB04 1000000 1000000 1000000 1000000
mcs10_m2D_s90_AB05 1000000 1000000 1000000 1000000
mcs10_m2D_s90_AB06 1000000 1000000 1000000 1000000
mcs10_m2D_s90_AB07 1000000 1000000 1000000 1000000
mcs10_m2D_s90_AB08 1000000 842955 1000000 838495
mcs10_m2D_s90_AB09 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s100_AB00 443039 96 30577 85
mcs10_m2Dr2_s100_AB01 1000000 180577 269894 180027
mcs10_m2Dr2_s100_AB02 371411 19813 235253 19770
mcs10_m2Dr2_s100_AB03 468749 6312 1000000 6819
mcs10_m2Dr2_s100_AB04 89150 1000000 285707 1000000
mcs10_m2Dr2_s100_AB05 1000000 1000000 738397 1000000
mcs10_m2Dr2_s100_AB06 1000000 79003 78684 555812
mcs10_m2Dr2_s100_AB07 1000000 17826 584758 18048
mcs10_m2Dr2_s100_AB08 1000000 230259 230947 23018
mcs10_m2Dr2_s100_AB09 1000000 311881 207221 312801
mcs10_m2Dr2_s70_AB00 1000000 17352 830329 17661
mcs10_m2Dr2_s70_AB01 1000000 346819 306233 348778
mcs10_m2Dr2_s70_AB02 717214 85 1000000 102
mcs10_m2Dr2_s70_AB03 68289 47114 41599 47582
mcs10_m2Dr2_s70_AB04 197559 520 55543 549
mcs10_m2Dr2_s70_AB05 91430 47815 160281 47763
mcs10_m2Dr2_s70_AB06 1000000 22512 605654 22582
mcs10_m2Dr2_s70_AB07 925705 61313 76950 61331
mcs10_m2Dr2_s70_AB08 1000000 152666 412312 152431
mcs10_m2Dr2_s70_AB09 763000 30249 315132 30466
mcs10_m2Dr2_s80_AB00 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s80_AB01 1000000 1000000 1000000 174073
mcs10_m2Dr2_s80_AB02 1000000 330655 1000000 329355
mcs10_m2Dr2_s80_AB03 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s80_AB04 1000000 35185 1000000 35303
mcs10_m2Dr2_s80_AB05 1000000 192668 1000000 193661
mcs10_m2Dr2_s80_AB06 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s80_AB07 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s80_AB08 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s80_AB09 1000000 137649 1000000 137730
mcs10_m2Dr2_s90_AB00 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s90_AB01 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s90_AB02 1000000 988353 1000000 990562
mcs10_m2Dr2_s90_AB03 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s90_AB04 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s90_AB05 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s90_AB06 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s90_AB07 1000000 1000000 1000000 1000000
mcs10_m2Dr2_s90_AB08 1000000 128640 1000000 129634
mcs10_m2Dr2_s90_AB09 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s100_AB00 41921 23513 23497 3088
mcs10_m2Dr4_s100_AB01 420831 4076 26072 3774
mcs10_m2Dr4_s100_AB02 1000000 185000 186597 548270
mcs10_m2Dr4_s100_AB03 72671 29012 64994 29164
mcs10_m2Dr4_s100_AB04 35536 41989 46013 41167
mcs10_m2Dr4_s100_AB05 351035 123236 213939 122493
mcs10_m2Dr4_s100_AB06 114331 30621 63719 30241
mcs10_m2Dr4_s100_AB07 1000000 413078 1000000 411243
mcs10_m2Dr4_s100_AB08 1000000 1000000 1000000 439848
mcs10_m2Dr4_s100_AB09 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s40_AB00 37 159 53 159
mcs10_m2Dr4_s40_AB01 224 366 372 365
mcs10_m2Dr4_s40_AB02 69 243 125 215
mcs10_m2Dr4_s40_AB03 364 32 91 22
mcs10_m2Dr4_s40_AB04 36 28 58 28
mcs10_m2Dr4_s40_AB05 139 25 28 37
mcs10_m2Dr4_s40_AB06 143 121 180 121
mcs10_m2Dr4_s40_AB07 70 59 62 59
mcs10_m2Dr4_s40_AB08 45 45 78 35
mcs10_m2Dr4_s40_AB09 20 441 121 422
mcs10_m2Dr4_s50_AB00 103473 167 26515 196
mcs10_m2Dr4_s50_AB01 1026 136 4879 136
mcs10_m2Dr4_s50_AB02 12157 1268 23894 1316
mcs10_m2Dr4_s50_AB03 3426 2933 13021 2697
mcs10_m2Dr4_s50_AB04 38083 757923 96683 780623
mcs10_m2Dr4_s50_AB05 9247 701 15876 668
mcs10_m2Dr4_s50_AB06 9105 4263 9951 4265
mcs10_m2Dr4_s50_AB07 1375 60 6435 88
mcs10_m2Dr4_s50_AB08 2208 4066 2023 3858
mcs10_m2Dr4_s50_AB09 10459 1494 27315 1244
mcs10_m2Dr4_s60_AB00 1624 1143 1397 1230
mcs10_m2Dr4_s60_AB01 1657 1296 457 1289
mcs10_m2Dr4_s60_AB02 19286 3536 10182 3480
mcs10_m2Dr4_s60_AB03 1616 750 1182 700
mcs10_m2Dr4_s60_AB04 473 300 160 285
mcs10_m2Dr4_s60_AB05 2421 4732 2763 4665
mcs10_m2Dr4_s60_AB06 946 47 290 31
mcs10_m2Dr4_s60_AB07 1431 895 191 879
mcs10_m2Dr4_s60_AB08 4539 693 2905 705
mcs10_m2Dr4_s60_AB09 1980 144 2954 141
mcs10_m2Dr4_s70_AB00 54345 68 27882 68
mcs10_m2Dr4_s70_AB01 445317 248417 19556 249827
mcs10_m2Dr4_s70_AB02 7275 14306 8614 14290
mcs10_m2Dr4_s70_AB03 180991 494773 110920 506912
mcs10_m2Dr4_s70_AB04 43249 117041 275267 117585
mcs10_m2Dr4_s70_AB05 1000000 29175 141995 29302
mcs10_m2Dr4_s70_AB06 64297 4457 274401 4472
mcs10_m2Dr4_s70_AB07 51195 1637 34067 1402
mcs10_m2Dr4_s70_AB08 1000000 98033 541640 97398
mcs10_m2Dr4_s70_AB09 15166 291812 96060 286155
mcs10_m2Dr4_s80_AB00 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s80_AB01 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s80_AB02 1000000 170285 1000000 171041
mcs10_m2Dr4_s80_AB03 622660 1000000 1000000 1000000
mcs10_m2Dr4_s80_AB04 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s80_AB05 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s80_AB06 1000000 324538 1000000 326292
mcs10_m2Dr4_s80_AB07 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s80_AB08 517401 853642 1000000 847308
mcs10_m2Dr4_s80_AB09 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s90_AB00 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s90_AB01 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s90_AB02 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s90_AB03 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s90_AB04 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s90_AB05 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s90_AB06 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s90_AB07 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s90_AB08 1000000 1000000 1000000 1000000
mcs10_m2Dr4_s90_AB09 1000000 1000000 1000000 1000000
mcs10_m2Dr6_s100_AB00 1000000 11487 58852 11540
mcs10_m2Dr6_s100_AB01 1000000 615023 611568 1000000
mcs10_m2Dr6_s100_AB02 242903 34217 112375 34430
mcs10_m2Dr6_s100_AB03 40984 7968 15415 7899
mcs10_m2Dr6_s100_AB04 786991 88298 55764 87853
mcs10_m2Dr6_s100_AB05 1000000 1000000 535876 1000000
mcs10_m2Dr6_s100_AB06 273575 346935 289530 346448
mcs10_m2Dr6_s100_AB07 1000000 74087 18537 74000
mcs10_m2Dr6_s100_AB08 1000000 3847 383506 3940
mcs10_m2Dr6_s100_AB09 1000000 755359 750095 312088
mcs10_m2Dr6_s40_AB00 90 37 93 37
mcs10_m2Dr6_s40_AB01 59 217 143 161
mcs10_m2Dr6_s40_AB02 41 630 118 629
mcs10_m2Dr6_s40_AB03 36 35 25 24
mcs10_m2Dr6_s40_AB04 247 141 119 141
mcs10_m2Dr6_s40_AB05 42 588 171 591
mcs10_m2Dr6_s40_AB06 78 792 122 848
mcs10_m2Dr6_s40_AB07 38 37 42 37
mcs10_m2Dr6_s40_AB08 24 31 50 45
mcs10_m2Dr6_s40_AB09 315 47 44 32
mcs10_m2Dr6_s50_AB00 96193 4533 16395 4775
mcs10_m2Dr6_s50_AB01 56555 2652 57406 2703
mcs10_m2Dr6_s50_AB02 7126 254 7340 215
mcs10_m2Dr6_s50_AB03 54387 544 26166 527
mcs10_m2Dr6_s50_AB04 16798 3190 1813 3152
mcs10_m2Dr6_s50_AB05 1840 292 8186 206
mcs10_m2Dr6_s50_AB06 66710 807 71528 711
mcs10_m2Dr6_s50_AB07 25431 1961 58051 2015
mcs10_m2Dr6_s50_AB08 31558 13015 739 13067
mcs10_m2Dr6_s50_AB09 29140 13341 13250 13324
mcs10_m2Dr6_s60_AB00 7845 130 1291 102
mcs10_m2Dr6_s60_AB01 26083 2041 3452 2045
mcs10_m2Dr6_s60_AB02 443 223 196 182
mcs10_m2Dr6_s60_AB03 446 85 194 84
mcs10_m2Dr6_s60_AB04 1341 241 640 223
mcs10_m2Dr6_s60_AB05 548 772 170 796
mcs10_m2Dr6_s60_AB06 980 202 841 177
mcs10_m2Dr6_s60_AB07 6431 1479 637 1466
mcs10_m2Dr6_s60_AB08 540 611 809 605
mcs10_m2Dr6_s60_AB09 773 132 161 167
mcs10_m2Dr6_s70_AB00 66215 4781 15886 4756
mcs10_m2Dr6_s70_AB01 108283 320142 78041 319797
mcs10_m2Dr6_s70_AB02 582318 7813 14099 7769
mcs10_m2Dr6_s70_AB03 269697 35662 21845 35697
mcs10_m2Dr6_s70_AB04 5402 110 18384 150
mcs10_m2Dr6_s70_AB05 135393 6928 14331 6915
mcs10_m2Dr6_s70_AB06 58784 71371 46546 71640
mcs10_m2Dr6_s70_AB07 420746 45061 44866 2531
mcs10_m2Dr6_s70_AB08 193512 1000000 143484 1000000
mcs10_m2Dr6_s70_AB09 2841 1453 4473 1468
mcs10_m2Dr6_s80_AB00 1000000 5222 113878 5239
mcs10_m2Dr6_s80_AB01 1000000 1000000 1000000 719976
mcs10_m2Dr6_s80_AB02 1000000 220646 1000000 221049
