instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-874 24 0.797101 24 0.518116 1710190 453648 453648 1433266 571255 2936736 664122 664122 1350913 1133163 1133163
r-991 24 0.688406 24 0.134058 50831 43882 50831 62395 38299 70799 72230 70799 89257 116140 89257
r-585 24 0.568841 24 0.992754 1629538 27831452 1629538 23211818 2781938 1746467 35605280 1746467 1284249 26892731 1284249
r-101 24 0.0869565 24 0.826087 18320 12613 12613 18433 8128 29134 19864 19864 21431 19029 19029
r-580 24 0.811594 24 0.15942 33680 29593 33680 32105 18733 51366 45367 51366 47563 36924 47563
r-779 24 0.978261 24 0.561594 1703128 267317 267317 1286686 265619 2409603 281131 281131 2875503 161823 161823
r-42 24 0.206522 24 0.507246 425488 302120 302120 471190 216394 630308 449138 449138 675167 497538 497538
r-732 24 0.641304 24 0.485507 1813702 1981603 1981603 2234021 1679088 2903631 3299937 3299937 2648916 2443724 2443724
r-988 24 0.847826 24 0.336957 61092 51085 51085 66079 21278 95093 71789 71789 101266 97462 97462
r-538 24 0.0507246 24 0.195652 46085042 151709 151709 31673789 129806 49931908 178161 178161 52721083 1018239 1018239
r-715 24 0.152174 24 0.916667 4841 14455 4841 8422 8438 8595 26439 8595 5721 14021 5721
r-760 24 0.532609 24 0.771739 847120 1991599 847120 1425981 1570298 1328722 3611662 1328722 1274895 1401030 1274895
r-634 24 0.492754 24 0.583333 2202345 2634310 2202345 2813490 2224549 3662392 4430444 3662392 3116735 2828779 3116735
r-906 24 0.905797 24 0.289855 51604 22139 22139 55627 12062 80755 35025 35025 82455 39610 39610
r-638 24 0.318841 24 0.344203 2628804 2144311 2144311 3100408 1808629 4145437 3192614 3192614 3037565 3080104 3080104
r-470 24 0.507246 24 0.163043 115405 165872 115405 159058 110052 158405 246577 158405 184628 217391 184628
r-676 24 0.583333 24 0.507246 3904348 2711937 2711937 3804401 2530263 7429337 4721149 4721149 2992479 3520215 3520215
r-783 24 0.724638 24 0.123188 25653 32986 25653 40798 22255 34478 56442 34478 27028 62381 27028
r-813 24 0.532609 24 0.960145 20191 1390323 20191 758517 172383 31149 2159804 31149 66419 1575169 66419
r-427 24 0.98913 24 0.0362319 1787 563 563 1735 587 8055 6082 6082 1972 863 863
r-847 24 0.735507 24 0.445652 399172 427665 427665 529993 259598 579957 665426 665426 866856 552328 552328
r-259 24 0.148551 24 0.119565 50400 138026 50400 95339 121914 59796 165867 59796 213764 1094017 213764
r-358 24 0.887681 24 0.648551 1662944 216974 216974 1341855 284856 2437174 311568 311568 1893081 575428 575428
r-347 24 0.528986 24 0.0434783 30432 469213 30432 356675 61088 30090 681119 30090 67190 177060 67190
r-283 24 0.0688406 24 0.586957 227101 35894 35894 182555 18417 308413 53740 53740 199281 68344 68344
r-103 24 0.503623 24 0.731884 535437 1719351 535437 1210252 1283192 808510 3266961 808510 892656 1305260 892656
