instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-377 14 0.43956 14 0.43956 106 100 99
r-34 43 0.245847 43 0.245847 1782 1855 1825
r-359 38 0.193457 38 0.193457 614 614 615
r-515 50 0.245714 50 0.245714 3595 3612 2802
r-287 37 0.315315 37 0.315315 1925 2111 1882
r-99 27 0.518519 27 0.518519 577535 649335 514948
r-913 24 0.344203 24 0.344203 431 485 424
r-949 18 0.470588 18 0.470588 365 391 363
r-902 24 0.48913 24 0.48913 15605 12544 10325
r-802 13 0.384615 13 0.384615 103 96 94
r-19 45 0.490909 45 0.490909 30493419 25604906 18468721
r-147 25 0.153333 25 0.153333 329 329 329
r-367 34 0.258467 34 0.258467 1165 1197 1186
r-456 40 0.501282 40 0.501282 294183840 270828366 168542764
r-688 31 0.490323 31 0.490323 11948028 10573471 8820272
r-16 49 0.377551 49 0.377551 -1 -1 -1
r-770 35 0.420168 35 0.420168 89793 75115 78538
r-888 24 0.391304 24 0.391304 1035 1104 931
r-964 11 0.327273 11 0.327273 302 352 298
r-148 33 0.344697 33 0.344697 2194 2196 2184
r-141 40 0.224359 40 0.224359 364711574 517627452 331894176
r-159 41 0.443902 41 0.443902 3367622 2770672 1811162
r-261 46 0.476329 46 0.476329 74221212 58813073 58394438
r-550 13 0.461538 13 0.461538 870 625 612
r-824 32 0.272177 32 0.272177 626 679 610
r-765 34 0.370766 34 0.370766 7169 6678 4952
r-820 37 0.510511 37 0.510511 15184808 16747149 9486328
r-3 19 0.350877 19 0.350877 49475 52755 45716
r-527 48 0.0416667 48 0.0416667 1225 1225 1225
r-806 39 0.48583 39 0.48583 146248190 150489615 101809701
r-459 11 0.509091 11 0.509091 94 88 96
r-829 50 0.0783673 50 0.0783673 1279 1279 1279
r-736 33 0.378788 33 0.378788 7259 6658 5688
r-531 43 0.172757 43 0.172757 1595052719 1878599204 951114152
r-119 26 0.507692 26 0.507692 126255 123780 93474
r-372 37 0.483483 37 0.483483 129432104 119022242 70741816
r-443 14 0.538462 14 0.538462 334 347 419
r-29 26 0.323077 26 0.323077 2461405 2439722 1715085
r-273 39 0.188934 39 0.188934 866965111 751973179 287857801
r-135 20 0.394737 20 0.394737 540 507 476
r-609 20 0.521053 20 0.521053 20606 19898 15424
r-161 13 0.282051 13 0.282051 95 95 95
r-58 44 0.332981 44 0.332981 -1 -1 1894491318
r-966 38 0.443812 38 0.443812 221438568 217063753 165899466
r-691 14 0.538462 14 0.538462 1885 1942 1715
r-640 47 0.508788 47 0.508788 217378329 273260064 171001943
r-229 21 0.257143 21 0.257143 8262 6717 5116
r-594 35 0.208403 35 0.208403 40744992 49494746 64702309
r-697 16 0.458333 16 0.458333 246 268 214
r-547 21 0.0952381 21 0.0952381 253 253 253
r-522 24 0.431159 24 0.431159 1129 1170 1050
r-421 29 0.192118 29 0.192118 10949189 9881892 4533079
r-118 26 0.470769 26 0.470769 17889 21996 24106
r-748 23 0.513834 23 0.513834 11585 12053 10752
r-726 35 0.510924 35 0.510924 14810477 16690289 11519427
r-510 33 0.117424 33 0.117424 565 565 565
r-955 12 0.30303 12 0.30303 82 82 82
r-569 38 0.308677 38 0.308677 679555981 768909628 558798015
r-143 33 0.117424 33 0.117424 565 565 565
r-256 20 0.505263 20 0.505263 5329 4634 3109
r-773 46 0.43285 46 0.43285 -1 -1 -1
r-828 17 0.382353 17 0.382353 111 110 111
r-208 18 0.424837 18 0.424837 24976 21027 17445
r-40 13 0.384615 13 0.384615 1035 945 718
r-212 36 0.457143 36 0.457143 568927 588495 571642
r-90 42 0.418118 42 0.418118 1630048590 1670173232 1261008528
r-846 15 0.342857 15 0.342857 5012 4897 4210
r-24 24 0.15942 24 0.15942 304 304 304
r-745 21 0.495238 21 0.495238 15697 14176 13479
r-300 47 0.227567 47 0.227567 -1 -1 -1
r-739 36 0.285714 36 0.285714 92916017 118638654 95686558
r-403 34 0.515152 34 0.515152 4915436 5860705 3723526
r-226 30 0.496552 30 0.496552 5478588 4575474 3582763
r-875 31 0.395699 31 0.395699 15485602 16081065 10366430
r-956 26 0.212308 26 0.212308 892672 1051696 1137314
r-185 20 0.1 20 0.1 231 231 231
r-742 31 0.425806 31 0.425806 20484689 19353065 15466750
r-799 50 0.457959 50 0.457959 -1 -1 -1
r-776 13 0.282051 13 0.282051 451 503 331
r-10 44 0.40592 44 0.40592 -1 -1 -1
r-525 47 0.444033 47 0.444033 -1 -1 -1
r-336 19 0.51462 19 0.51462 45268 39804 38167
r-596 40 0.511538 40 0.511538 16140499 19094317 16218471
r-821 47 0.458834 47 0.458834 34940217 30755316 19155510
r-938 35 0.252101 35 0.252101 38467623 45125162 26774088
r-342 31 0.322581 31 0.322581 23632464 24942166 17170801
r-979 15 0.514286 15 0.514286 552 523 632
r-488 34 0.258467 34 0.258467 78481338 60318342 36134880
r-549 39 0.504723 39 0.504723 75910163 94893516 59781627
r-200 10 0.533333 10 0.533333 423 475 278
r-504 16 0.4 16 0.4 85 85 85
r-12 23 0.300395 23 0.300395 620368 665753 501517
r-627 30 0.404598 30 0.404598 12722761 12481169 9969550
r-682 26 0.443077 26 0.443077 5849 5922 4321
r-954 38 0.422475 38 0.422475 125980 111139 78756
r-566 10 0.355556 10 0.355556 281 184 245
r-520 27 0.205128 27 0.205128 317 317 317
r-523 39 0.496626 39 0.496626 174042133 154216503 134580364
r-27 37 0.348348 37 0.348348 8462 7716 6788
r-963 31 0.473118 31 0.473118 170452 165621 203983
r-543 40 0.0974359 40 0.0974359 824 824 824
r-401 28 0.494709 28 0.494709 3027459 2850128 2102567
r-976 17 0.485294 17 0.485294 607 633 541
r-373 15 0.247619 15 0.247619 5286 5741 6452
r-124 48 0.496454 48 0.496454 483281022 488058038 305005986
r-347 17 0.514706 17 0.514706 944 1236 1044
r-358 39 0.510121 39 0.510121 92087759 101989958 68413918
r-805 45 0.505051 45 0.505051 330557762 397280839 249150004
r-412 24 0.521739 24 0.521739 240231 252442 199402
r-572 38 0.371266 38 0.371266 8181 8609 8596
r-761 16 0.125 16 0.125 153 153 153
r-125 26 0.0769231 26 0.0769231 378 378 378
r-970 10 0.533333 10 0.533333 231 318 201
r-312 24 0.463768 24 0.463768 15028 12458 8252
r-754 29 0.246305 29 0.246305 586 587 606
r-530 15 0.419048 15 0.419048 86 85 86
