instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-240 14 0.0879121 19 0.871345 327 25 25 327 25 183 414 155 155 414 794 389 389 794
r-814 19 0.152047 34 0.97148 54 1014 54 54 1039 115 525 1608 525 525 881 840 881 881
r-773 40 0.111538 19 0.707602 5432 15306 15306 15306 6045 8407 4948 22168 22168 22168 13220 15516 15516 15516
r-884 15 0.619048 11 0.909091 944 6215 944 6215 3083 3172 278 5539 278 5539 2598 2230 2598 2230
r-883 33 0.844697 17 0.580882 136088 7285 7285 7285 136120 8517 219826 9966 9966 9966 49784 53889 53889 53889
r-162 35 0.811765 26 0.0523077 2145 13106 2145 13106 3367 4831 1496 23239 1496 23239 15717 9747 15717 9747
r-748 17 0.176471 38 0.375533 517104 297617 297617 517104 369892 499249 586800 237244 237244 586800 1562005 1430069 1430069 1562005
r-140 20 0.878947 45 0.108081 3008 1422 3008 3008 1515 2445 4862 338 4862 4862 5597 8409 5597 5597
r-246 49 0.852041 37 0.283784 323862 561036 561036 561036 409123 439718 482283 978616 978616 978616 2161009 2294795 2294795 2294795
r-942 40 0.00512821 30 0.864368 3269 112 112 112 3299 147 5060 1066 1066 1066 2646 4196 4196 4196
r-582 21 0.609524 19 0.0467836 641 28747 641 28747 743 2718 262 40839 262 40839 4659 31944 4659 31944
r-205 15 0.380952 30 0.165517 1875 27235 1875 1875 21863 3909 2191 39295 2191 2191 24895 12735 24895 24895
r-111 36 0.601587 13 0.666667 59701 83838 59701 83838 62414 84173 73545 93758 73545 93758 88917 22678 88917 22678
r-36 32 0.850806 44 0.172304 53780 35587 35587 53780 44102 43956 79361 42684 42684 79361 268020 137949 137949 268020
r-465 31 0.683871 17 0.779412 134003 307732 134003 307732 141736 307243 173978 396235 173978 396235 415119 391762 415119 391762
r-105 44 0.598309 25 0.41 7194654 23268614 23268614 23268614 7962622 20785853 8772891 39172483 39172483 39172483 20702196 49233900 49233900 49233900
r-744 44 0.208245 12 0.621212 724 5480 5480 5480 984 5611 626 7721 7721 7721 6954 20885 20885 20885
r-25 36 0.485714 50 0.657143 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-322 34 0.714795 35 0.336134 2961109 2696366 2696366 2961109 3569303 2673605 4755723 4025415 4025415 4755723 19279451 10597779 10597779 19279451
r-167 17 0.286765 29 0.918719 679 5694 679 679 6188 929 1089 3016 1089 1089 3183 1244 3183 3183
r-24 37 0.0405405 23 0.379447 4992320 1421 1421 1421 5056159 1027 5920710 1469 1469 1469 5770748 49272 49272 49272
r-44 18 0.0980392 45 0.678788 69231 6497 6497 69231 18863 34406 107874 5550 5550 107874 76582 6296 6296 76582
r-662 10 0.133333 42 0.932636 518 97 518 518 97 520 922 98 922 922 461 320 461 461
r-686 41 0.996341 21 0.114286 1607 44 44 44 1633 63 3138 756 756 756 1507 3938 3938 3938
r-217 28 0.0925926 38 0.506401 2947596 343384 343384 2947596 690647 324597 3871096 199299 199299 3871096 1202249 719834 719834 1202249
r-826 16 0.308333 33 0.386364 316749 145827 145827 316749 143499 312212 426284 210818 210818 426284 483472 328272 328272 483472
r-863 50 0.556735 34 0.483066 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-78 46 0.125604 11 0.8 127 2308 2308 2308 154 2096 176 4547 4547 4547 118 3562 3562 3562
r-624 37 0.372372 28 0.521164 15453418 21251233 21251233 21251233 17132510 16348805 25900704 38014198 38014198 38014198 34184216 50328845 50328845 50328845
r-656 14 0.032967 13 0.641026 533 61 61 61 578 69 861 159 159 159 905 783 783 783
r-965 47 0.372803 30 0.158621 24960207 -1 24960207 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-518 29 0.137931 18 0.267974 108808 4682 4682 4682 107755 7185 138514 5553 5553 5553 94624 20158 20158 20158
r-330 14 0.285714 21 0.328571 6271 5254 5254 6271 4949 5809 8159 6742 6742 8159 10710 12986 12986 10710
r-924 36 0.409524 18 0.248366 406208 1460279 406208 1460279 472493 1378199 574725 2167178 574725 2167178 941450 1230644 941450 1230644
r-708 39 0.184885 47 0.292322 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-319 49 0.987245 20 0.3 31157 711 711 711 32166 405 20442 1086 1086 1086 21046 510 510 510
r-751 22 0.748918 37 0.495495 2545871 1228999 1228999 2545871 1777299 2261900 3937809 1905652 1905652 3937809 7380330 3586219 3586219 7380330
r-795 32 0.417339 23 0.426877 3756775 4618663 4618663 4618663 3918917 4392586 6688428 8222552 8222552 8222552 4600094 6888968 6888968 6888968
