instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-195 25 0.453333 25 0.453333 515 529 502
r-214 24 0.391304 24 0.391304 948 1092 1021
r-299 34 0.258467 34 0.258467 29604 1000002 1000008
r-745 13 0.538462 13 0.538462 0 0 0
r-285 13 0.461538 13 0.461538 1 1 1
r-867 26 0.323077 26 0.323077 174 64638 13314
r-591 12 0.484848 12 0.484848 0 0 0
r-15 30 0.370115 30 0.370115 570 3157 937
r-465 10 0.533333 10 0.533333 0 0 0
r-625 16 0.325 16 0.325 0 19 12
r-613 39 0.099865 39 0.099865 1000003 1000007 1000002
r-803 26 0.470769 26 0.470769 1567 1439 1328
r-176 36 0.246032 36 0.246032 1000006 1000002 356620
r-580 12 0.409091 12 0.409091 0 0 0
r-537 16 0.125 16 0.125 20 454088 91448
r-597 31 0.473118 31 0.473118 32164 32559 28493
r-552 37 0.510511 37 0.510511 104128 110151 118601
r-551 18 0.366013 18 0.366013 110 62 8
r-381 37 0.378378 37 0.378378 605160 496368 432253
r-95 12 0.30303 12 0.30303 0 0 0
r-359 40 0.492308 40 0.492308 165405 150804 113165
r-304 31 0.490323 31 0.490323 21324 19645 15711
r-598 16 0.458333 16 0.458333 12 10 9
r-81 23 0.498024 23 0.498024 122 135 115
r-668 21 0.32381 21 0.32381 33 30 26
r-476 34 0.45098 34 0.45098 104723 104214 99263
r-348 36 0.436508 36 0.436508 14091 15968 11114
r-741 26 0.507692 26 0.507692 619 582 525
r-505 32 0.465726 32 0.465726 3883 3786 4063
r-942 16 0.5 16 0.5 4 4 4
r-998 25 0.38 25 0.38 1254 1287 1123
r-778 32 0.483871 32 0.483871 36989 35788 32768
r-279 24 0.289855 24 0.289855 75319 49951 30
r-405 33 0.515152 33 0.515152 33661 38238 42352
r-105 33 0.344697 33 0.344697 78698 66061 51202
r-167 32 0.387097 32 0.387097 42902 45650 40818
r-18 18 0.294118 18 0.294118 9 10 7
r-830 21 0.32381 21 0.32381 2194 1189 5
r-142 12 0.166667 12 0.166667 0 152 45
r-401 11 0.509091 11 0.509091 0 0 0
r-928 24 0.48913 24 0.48913 811 672 548
r-674 37 0.348348 37 0.348348 364864 310366 247539
r-721 13 0.153846 13 0.153846 0 1501 592
r-278 36 0.203175 36 0.203175 1000003 1000008 1000002
r-513 32 0.387097 32 0.387097 19227 6959 1332
r-413 37 0.405405 37 0.405405 353513 254112 208857
r-528 17 0.382353 17 0.382353 2 8 4
r-802 30 0.287356 30 0.287356 12612 14041 12350
r-904 21 0.257143 21 0.257143 11 11 8
r-236 21 0.428571 21 0.428571 15 15 10
r-385 33 0.492424 33 0.492424 11253 10803 8728
r-10 17 0.441176 17 0.441176 7 6 5
r-652 28 0.47619 28 0.47619 7293 6710 5983
r-41 37 0.348348 37 0.348348 1000005 1000006 6468
r-91 39 0.22942 39 0.22942 1000005 1000005 1000004
r-903 40 0.0974359 40 0.0974359 543557 725592 131389
r-558 33 0.511364 33 0.511364 22828 19668 19697
