instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-484 27 0.310541 15 0.409524 71148 22860 22860 74115 24457 114112 32455 32455 37161 58525 58525
r-657 48 0.29344 15 0.314286 431888 137253 137253 439629 145402 494205 154810 154810 256775 495364 495364
r-762 16 0.4 34 0.319073 84401 271760 84401 253756 84465 115090 408571 115090 206540 169648 206540
r-465 22 0.285714 15 0.247619 8091 6607 6607 8566 6350 10590 8467 8467 21786 11385 11385
r-395 32 0.328629 11 0.345455 423 244 244 424 256 406 206 206 4022 1959 1959
r-63 34 0.317291 31 0.303226 78813306 44087090 44087090 92640428 37910677 -1 -1 -1 93729546 -1 -1
r-306 24 0.318841 29 0.293103 1812708 2349811 1812708 2308090 1841866 3007750 4000625 3007750 2794419 3557543 2794419
r-203 28 0.314815 37 0.285285 25692120 64564471 25692120 63421241 30607506 41695417 -1 41695417 82343410 75801117 82343410
r-440 31 0.292473 30 0.305747 35848337 24448177 24448177 39439100 22681400 -1 42498559 42498559 67938279 74949703 74949703
r-795 33 0.291667 35 0.322689 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-769 26 0.301538 42 0.303136 42170201 -1 42170201 75130805 43875056 69231663 -1 69231663 63434017 82398237 63434017
r-126 13 0.448718 19 0.245614 1482 7332 1482 6128 1574 2030 11772 2030 3974 4004 3974
r-101 19 0.251462 24 0.271739 138446 134669 138446 146371 136448 191450 196036 191450 171083 157872 171083
r-824 31 0.28172 32 0.308468 60801283 35844426 60801283 44632075 44491658 -1 64654360 -1 54795530 33379192 54795530
r-168 22 0.25974 35 0.29916 2587857 1918669 2587857 1889008 2555267 3860365 2980398 3860365 2827552 4187831 2827552
r-74 35 0.295798 15 0.266667 69170 63276 63276 71325 66047 85810 75027 75027 72345 40139 40139
r-959 30 0.333333 25 0.356667 4766515 2306609 2306609 5007015 2242282 8868382 3922653 3922653 5402994 4768794 4768794
r-251 50 0.296327 32 0.292339 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-983 47 0.302498 42 0.321719 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-761 18 0.366013 10 0.355556 2318 753 753 2415 779 2724 741 741 1233 1113 1113
r-816 33 0.299242 19 0.321637 911425 324707 324707 954914 323953 1460894 406421 406421 571211 466754 466754
r-36 13 0.25641 36 0.31746 26021 39387 26021 39127 26304 26699 41449 26699 25556 17490 25556
r-66 42 0.293844 32 0.300403 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-419 48 0.279255 12 0.409091 18853 5404 5404 18864 5406 19102 5682 5682 4078 7278 7278
r-782 42 0.304297 28 0.293651 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-552 34 0.319073 13 0.320513 7017 4595 4595 7342 4681 8818 4739 4739 21753 21770 21770
r-573 20 0.284211 30 0.321839 272858 665808 272858 706524 248900 282147 721705 282147 1051902 1167400 1051902
r-719 10 0.177778 48 0.316489 134 69 134 75 135 117 96 117 203 277 203
r-129 22 0.290043 41 0.295122 8034512 14055949 8034512 12737502 8089759 12272407 23651628 12272407 15416948 13474046 15416948
r-457 16 0.3 12 0.318182 3447 1346 1346 3619 1030 4909 1668 1668 1517 1874 1874
r-272 22 0.329004 23 0.252964 80348 421008 80348 391860 92854 118767 659607 118767 298012 335883 298012
r-406 32 0.314516 24 0.322464 6831607 2485042 2485042 7342437 2512038 12023757 4061316 4061316 5502397 3262456 3262456
r-368 23 0.312253 18 0.24183 24755 34095 34095 27244 30455 37217 49548 49548 126379 54702 54702
r-664 31 0.301075 20 0.289474 740446 406957 406957 791195 399620 1226501 607503 607503 612254 638235 638235
r-957 18 0.313725 44 0.295983 445669 1293921 445669 1191351 448263 578649 1910249 578649 799549 818614 799549
r-189 26 0.301538 13 0.282051 20064 7467 7467 20549 7400 23558 8477 8477 13716 23939 23939
r-786 31 0.339785 22 0.285714 1650259 1930200 1930200 1839458 1827291 2914471 3011651 3011651 1840571 2763756 2763756
r-481 34 0.301248 27 0.31339 19030427 7265677 7265677 21018397 7098289 33676887 12071789 12071789 25642577 31218167 31218167
