instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-487 24 0.322464 24 0.416667 1028787 1006788 1006788 901812 983635 1777085 1631841 1631841 981509 858609 858609
r-176 24 0.271739 24 0.322464 1137648 622409 622409 1043387 638441 1843828 1009224 1009224 819867 695729 695729
r-433 24 0.887681 24 0.641304 984108 123145 123145 561082 187477 1408144 173704 173704 895276 176600 176600
r-10 24 0.0507246 24 0.623188 81711 11053 11053 49770 8072 146941 19431 19431 113591 34429 34429
r-865 24 0.67029 24 0.597826 2100251 1244675 1244675 2081967 1240693 3780628 2128914 2128914 1640589 1371821 1371821
r-58 24 0.282609 24 0.0797101 129507 5551253 129507 3359051 1511242 163292 6843658 163292 158788 6126898 158788
r-518 24 0.402174 24 0.416667 2725880 2738513 2738513 3011873 2246875 4928887 4773481 4773481 2340582 2889251 2889251
r-165 24 0.333333 24 0.228261 409453 911942 409453 841497 770994 616386 1445020 616386 1367868 1138921 1367868
r-94 24 0.876812 24 0.231884 22021 19255 19255 23725 10606 41156 20933 20933 24162 10241 10241
r-963 24 0.528986 24 0.326087 531368 726519 531368 767626 600736 832237 1111268 832237 767947 825360 767947
r-652 24 0.641304 24 0.98913 101618 120865541 101618 131177099 1722964 142641 132792707 142641 737067 122817718 737067
r-597 24 0.822464 24 0.0289855 3622 12805 3622 9486 5069 8285 22651 8285 3526 15902 3526
r-867 24 0.0507246 24 0.278986 5614430 9272 9272 4145469 9447 6444138 12173 12173 5502365 49607 49607
r-930 24 0.221014 24 0.449275 680665 287341 287341 531913 331043 1134766 425487 425487 521476 260622 260622
r-256 24 0.822464 24 0.474638 170796 87310 87310 176382 60114 254133 125430 125430 204949 160623 160623
r-384 24 0.00724638 24 0.141304 -1 275279345 275279345 -1 275267969 -1 276306654 276306654 -1 -1 -1
r-918 24 0.0905797 24 0.717391 62940 12159 12159 53685 5788 97001 18305 18305 29599 10447 10447
r-512 24 0.710145 24 0.413043 369243 276743 276743 405531 225357 551461 418455 418455 580340 413452 413452
r-323 24 0.757246 24 0.402174 330572 148720 148720 351248 101142 494457 217686 217686 569246 224743 224743
r-474 24 0.554348 24 0.173913 133731 132384 133731 181692 88453 173877 203811 173877 73739 181098 73739
r-333 24 0.0398551 24 0.934783 4834 1814 1814 4665 1093 11382 6314 6314 4890 2230 2230
r-704 24 0.681159 24 0.365942 336410 442523 442523 566033 316870 507680 685579 685579 771661 381557 381557
r-373 24 0.384058 24 0.503623 1596307 1600069 1600069 1932945 1373124 2606153 2703551 2703551 1732257 1472142 1472142
r-719 24 0.572464 24 0.565217 3083815 2889868 2889868 2958183 2569225 5566003 5142868 5142868 2939662 2876873 2876873
r-589 24 0.224638 24 0.380435 866674 815630 815630 779421 818240 1461208 1244363 1244363 1189315 421842 421842
r-925 24 0.630435 24 0.945652 39129 3657567 39129 2825885 498210 55402 5516226 55402 784567 3976546 784567
