p	maxlab	i	McSplit	MCSa1	MCSa2	ratio	maxlab_jittered
0.1	9	10	9	9	10	0.9	9.07917260602117
0.1	10	1	12	10	10	1	10.084380170051
0.1	10	2	15	12	11	1.09090909090909	10.0470680829138
0.1	10	3	15	12	12	1	9.98972250898369
0.1	10	4	14	12	12	1	9.93151112608612
0.1	10	5	7	6	6	1	9.96610868428834
0.1	10	6	14	12	12	1	10.0594249856193
0.1	10	7	14	11	12	0.916666666666667	10.0441079868935
0.1	10	8	10	8	8	1	9.92644969681278
0.1	10	9	11	10	11	0.909090909090909	9.99373001703061
0.1	10	10	11	10	12	0.833333333333333	10.0607507136185
0.1	11	1	12	10	10	1	11.0678850608412
0.1	11	2	13	12	10	1.2	11.0397569057532
0.1	11	3	11	9	10	0.9	10.9630135518033
0.1	11	4	13	10	9	1.11111111111111	10.9959692565259
0.1	11	5	14	13	11	1.18181818181818	10.9896283022594
0.1	11	6	16	14	15	0.933333333333333	10.9079896001611
0.1	11	7	11	10	10	1	11.0491065818816
0.1	11	8	14	11	11	1	11.0821705115959
0.1	11	9	13	10	10	1	10.9531438447069
0.1	11	10	16	13	13	1	10.9670050363056
0.1	12	1	15	12	12	1	12.0161057657097
0.1	12	2	10	9	10	0.9	11.9069209014531
0.1	12	3	11	10	9	1.11111111111111	12.0067859559786
0.1	12	4	12	10	10	1	12.0693767284974
0.1	12	5	15	11	11	1	11.9589424832724
0.1	12	6	10	9	10	0.9	12.0141712720972
0.1	12	7	13	10	11	0.909090909090909	12.0011894799769
0.1	12	8	15	11	11	1	11.9879310172983
0.1	12	9	11	10	9	1.11111111111111	11.9138910178095
0.1	12	10	14	12	13	0.923076923076923	11.9513727522921
0.1	13	1	11	9	9	1	12.9051392582711
0.1	13	2	12	8	8	1	13.0362590086646
0.1	13	3	11	8	8	1	13.0988305876497
0.1	13	4	11	10	11	0.909090909090909	12.9475023936946
0.1	13	5	8	7	7	1	13.0580472196452
0.1	13	6	11	10	10	1	12.9886623792816
0.1	13	7	10	8	8	1	12.9271784761455
0.1	13	8	12	9	9	1	12.9585395771079
0.1	13	9	13	11	10	1.1	13.062878889963
0.1	13	10	14	12	11	1.09090909090909	12.9539722114801
0.1	14	1	9	8	8	1	14.0791362139396
0.1	14	2	11	7	8	0.875	13.9327074663714
0.1	14	3	10	8	8	1	13.9495709790383
0.1	14	4	10	9	8	1.125	13.987486158032
0.1	14	5	11	9	9	1	14.067515272228
0.1	14	6	13	9	10	0.9	13.9565481529105
0.1	14	7	12	10	9	1.11111111111111	14.0652048827615
0.1	14	8	11	10	10	1	14.0446277638897
0.1	14	9	10	10	8	1.25	14.021722916374
0.1	14	10	10	8	7	1.14285714285714	13.9452842673287
0.1	15	1	11	9	9	1	14.9688592248596
0.1	15	2	10	9	9	1	14.918292530952
0.1	15	3	10	9	9	1	14.9079868672416
0.1	15	4	11	8	9	0.888888888888889	15.0661201737355
0.1	15	5	11	8	9	0.888888888888889	14.9331842401065
0.1	15	6	9	8	8	1	14.9964959068689
0.1	15	7	10	8	8	1	15.0515026695095
0.1	15	8	8	6	6	1	14.9410011477303
0.1	15	9	11	9	9	1	15.0237757280469
0.1	15	10	9	7	8	0.875	15.0646591274068
0.1	16	1	13	11	11	1	16.001711165905
0.1	16	2	10	7	7	1	15.9013645846862
0.1	16	3	10	8	8	1	15.9014366949443
0.1	16	4	8	6	6	1	15.9727231631521
0.1	16	5	13	12	11	1.09090909090909	15.9424550483003
0.1	16	6	14	10	11	0.909090909090909	16.0349277244415
0.1	16	7	10	7	8	0.875	15.9785275863484
0.1	16	8	8	7	7	1	16.0036834724713
0.1	16	9	11	9	9	1	15.9832462291233
0.1	16	10	10	8	8	1	16.0219305043574
0.1	17	1	9	9	8	1.125	16.984450576175
0.1	17	2	10	8	8	1	16.919924314646
0.1	17	3	9	7	7	1	16.9774914037436
0.1	17	4	11	7	8	0.875	17.0137405980378
0.1	17	5	9	8	8	1	17.0050838804804
0.1	17	6	15	10	11	0.909090909090909	17.0380988178309
0.1	17	7	13	13	12	1.08333333333333	16.9820148680359
0.1	17	8	12	7	7	1	16.9886767111253
0.1	17	9	9	8	7	1.14285714285714	17.0927879213355
0.1	17	10	11	10	8	1.25	16.9370780681726
0.1	18	1	8	7	7	1	18.0123456563335
0.1	18	2	14	8	9	0.888888888888889	18.0747463072184
0.1	18	3	10	7	7	1	17.9883489749394
0.1	18	4	7	5	5	1	17.975639463868
0.1	18	5	9	8	8	1	17.9990547410678
0.1	18	6	13	11	11	1	17.9886086135637
0.1	18	7	12	9	9	1	18.0861171863507
0.1	18	8	14	10	10	1	18.0423357951455
0.1	18	9	10	7	8	0.875	17.9016266910825
0.1	18	10	10	7	7	1	17.9720653140452
0.1	19	1	12	9	9	1	19.02909150091
0.1	19	2	11	8	8	1	19.0396061061881
0.1	19	3	11	8	9	0.888888888888889	18.9277575224172
0.1	19	4	10	9	9	1	19.0563886130229
0.1	19	5	9	7	7	1	18.9242479055654
0.1	19	6	10	7	6	1.16666666666667	19.0443653038237
0.1	19	7	10	7	8	0.875	19.0018191287294
0.1	19	8	10	11	10	1.1	18.9512157250661
0.1	19	9	8	6	6	1	18.9822725301608
0.1	19	10	12	9	9	1	19.048491848819
0.1	20	1	9	7	7	1	19.9049275499303
0.1	20	2	12	9	9	1	20.0111372213345
0.1	20	3	13	10	10	1	19.9109462231398
0.1	20	4	12	9	8	1.125	19.901153715048
0.1	20	5	10	7	8	0.875	19.9424436025321
0.1	20	6	13	7	7	1	19.9640314600896
0.1	20	7	8	7	7	1	20.0168140681926
0.1	20	8	12	9	10	0.9	19.9457635713276
0.1	20	9	10	7	7	1	19.9343929167371
0.1	20	10	7	7	7	1	20.0777025553863
0.2	1	1	20	26	25	1.04	1.06098236604594
0.2	1	2	20	26	30	0.866666666666667	0.994960480229929
0.2	1	3	20	35	30	1.16666666666667	0.918287571985275
0.2	1	4	20	28	26	1.07692307692308	0.932511559035629
0.2	1	5	20	37	32	1.15625	0.982040311396122
0.2	1	6	20	32	30	1.06666666666667	0.956581901619211
0.2	1	7	20	30	30	1	1.0380404251162
0.2	1	8	20	28	29	0.96551724137931	1.05369516662322
0.2	1	9	20	31	30	1.03333333333333	0.960696414206177
0.2	1	10	20	31	28	1.10714285714286	0.917999088903889
0.2	2	1	19	27	26	1.03846153846154	2.09524374403991
0.2	2	2	19	24	22	1.09090909090909	2.04965321621858
0.2	2	3	15	22	23	0.956521739130435	1.99600873123854
0.2	2	4	19	24	22	1.09090909090909	2.00839787344448
0.2	2	5	15	22	22	1	1.98834800948389
0.2	2	6	19	24	22	1.09090909090909	1.91069153505377
0.2	2	7	19	22	25	0.88	2.02560069975443
0.2	2	8	17	28	26	1.07692307692308	2.03087644260377
0.2	2	9	19	25	26	0.961538461538462	2.02724073366262
0.2	2	10	13	22	21	1.04761904761905	1.98084898875095
0.2	3	1	17	21	18	1.16666666666667	3.00888550421223
0.2	3	2	19	18	18	1	2.91884134961292
0.2	3	3	18	20	21	0.952380952380952	2.94680746621452
0.2	3	4	18	21	19	1.10526315789474	2.93821027348749
0.2	3	5	15	22	18	1.22222222222222	3.04143875660375
0.2	3	6	17	22	21	1.04761904761905	2.99069798369892
0.2	3	7	15	21	18	1.16666666666667	3.02672805022448
0.2	3	8	15	20	22	0.909090909090909	2.91466300776228
0.2	3	9	17	22	20	1.1	3.04666917617433
0.2	3	10	15	20	20	1	3.08537176004611
0.2	4	1	13	14	14	1	4.06099072191864
0.2	4	2	18	18	18	1	4.07168326964602
0.2	4	3	13	15	15	1	4.05499602709897
0.2	4	4	16	16	18	0.888888888888889	3.97280008015223
0.2	4	5	17	16	15	1.06666666666667	4.07107266779058
0.2	4	6	14	16	16	1	3.9086512400303
0.2	4	7	13	17	14	1.21428571428571	3.95639268592931
0.2	4	8	17	19	17	1.11764705882353	3.97591986223124
0.2	4	9	14	16	16	1	3.99540034877136
0.2	4	10	16	15	13	1.15384615384615	4.04092905847356
0.2	5	1	15	15	14	1.07142857142857	4.97593564074486
0.2	5	2	11	11	12	0.916666666666667	4.97987974579446
0.2	5	3	14	14	16	0.875	4.94412635946646
0.2	5	4	15	13	14	0.928571428571429	4.90166918057948
0.2	5	5	17	13	15	0.866666666666667	5.00713409390301
0.2	5	6	15	16	15	1.06666666666667	5.05196036063135
0.2	5	7	15	15	15	1	5.04913754486479
0.2	5	8	13	13	14	0.928571428571429	5.0424530223012
0.2	5	9	16	15	14	1.07142857142857	5.06101400074549
0.2	5	10	15	17	15	1.13333333333333	5.03427988383919
0.2	6	1	17	15	16	0.9375	6.06958224601112
0.2	6	2	15	14	14	1	6.05064388778992
0.2	6	3	16	13	14	0.928571428571429	6.0196965420153
0.2	6	4	17	15	14	1.07142857142857	6.01545638116077
0.2	6	5	12	15	13	1.15384615384615	6.0487643323373
0.2	6	6	14	14	13	1.07692307692308	6.04786814423278
0.2	6	7	13	13	13	1	6.07204203051515
0.2	6	8	17	14	14	1	5.94821150745265
0.2	6	9	13	12	12	1	5.991958517069
0.2	6	10	16	15	14	1.07142857142857	6.06012108600698
0.2	7	1	16	12	13	0.923076923076923	6.92185181672685
0.2	7	2	14	12	10	1.2	7.09687207289971
0.2	7	3	16	12	13	0.923076923076923	6.95815781191923
0.2	7	4	15	13	13	1	7.05061188950203
0.2	7	5	13	13	13	1	7.01341098039411
0.2	7	6	15	12	13	0.923076923076923	7.01461412026547
0.2	7	7	15	13	10	1.3	7.05201760791242
0.2	7	8	13	12	12	1	6.94908364848234
0.2	7	9	12	11	11	1	6.94706073137931
0.2	7	10	15	12	14	0.857142857142857	7.04609667579643
0.2	8	1	17	14	13	1.07692307692308	8.04023651080206
0.2	8	2	17	12	13	0.923076923076923	7.99051242684945
0.2	8	3	11	9	9	1	8.08258342109621
0.2	8	4	13	11	11	1	8.01030989456922
0.2	8	5	15	10	14	0.714285714285714	7.92156641641632
0.2	8	6	16	12	13	0.923076923076923	7.91433935454115
0.2	8	7	13	13	11	1.18181818181818	8.09991278219968
0.2	8	8	14	11	11	1	8.05294776516967
0.2	8	9	15	12	12	1	7.96069079078734
0.2	8	10	12	10	11	0.909090909090909	7.93186499443837
0.2	9	1	12	9	10	0.9	9.01766422423534
0.2	9	2	9	8	10	0.8	8.97933985246345
0.2	9	3	17	12	14	0.857142857142857	8.96015222962014
0.2	9	4	11	9	8	1.125	9.07058827248402
0.2	9	5	14	10	12	0.833333333333333	8.93351526437327
0.2	9	6	16	13	13	1	8.93907903158106
0.2	9	7	13	10	10	1	8.93669616556726
0.2	9	8	13	12	12	1	8.94260396510363
0.2	9	9	9	7	7	1	8.91504466249608
0.2	9	10	14	11	12	0.916666666666667	9.04085364411585
0.2	10	1	13	11	12	0.916666666666667	10.0585133561399
0.2	10	2	11	11	9	1.22222222222222	9.94340217355639
0.2	10	3	15	12	10	1.2	9.92068055826239
0.2	10	4	13	10	11	0.909090909090909	10.0030808404088
0.2	10	5	13	12	11	1.09090909090909	9.92897783443332
0.2	10	6	13	9	10	0.9	9.96019703620113
0.2	10	7	12	9	10	0.9	10.0202221424785
