p	maxlab	i	McSplit	MCSa1	MCSa2	ratio	maxlab_jittered
0.2	2	5	15	22	22	0.681818181818182	1.99673526552506
0.2	2	6	19	24	22	0.791666666666667	2.09896322670393
0.2	2	7	19	22	25	0.863636363636364	2.04800726054236
0.2	2	8	17	28	26	0.607142857142857	2.0299778426066
0.2	2	9	19	25	26	0.76	1.90157005088404
0.2	2	10	13	22	21	0.590909090909091	2.00914861345664
0.2	3	1	17	21	18	0.80952380952381	3.01129394574091
0.2	3	2	19	18	18	1.05555555555556	2.93176543344744
0.2	3	3	18	20	21	0.9	2.96786291198805
0.2	3	4	18	21	19	0.857142857142857	3.04847456780262
0.2	3	5	15	22	18	0.681818181818182	3.08054491761141
0.2	3	6	17	22	21	0.772727272727273	2.98821006091312
0.2	3	7	15	21	18	0.714285714285714	3.04651501546614
0.2	3	8	15	20	22	0.75	3.05530199594796
0.2	3	9	17	22	20	0.772727272727273	2.9691198926419
0.2	3	10	15	20	20	0.75	2.96727328854613
0.2	4	1	13	14	14	0.928571428571429	3.95779962874949
0.2	4	2	18	18	18	1	3.96874042670242
0.2	4	3	13	15	15	0.866666666666667	4.04281598590314
0.2	4	4	16	16	18	1	3.92815110576339
0.2	4	5	17	16	15	1.0625	4.04844346898608
0.2	4	6	14	16	16	0.875	4.05313926343806
0.2	4	7	13	17	14	0.764705882352941	3.92784337433986
0.2	4	8	17	19	17	0.894736842105263	3.92882607695647
0.2	4	9	14	16	16	0.875	3.99615976307541
0.2	4	10	16	15	13	1.06666666666667	3.99520601322874
0.2	5	1	15	15	14	1	4.97383783310652
0.2	5	2	11	11	12	1	5.05785927432589
0.2	5	3	14	14	16	1	4.94624400837347
0.2	5	4	15	13	14	1.15384615384615	5.05266718743369
0.2	5	5	17	13	15	1.30769230769231	4.9502015476115
0.2	5	6	15	16	15	0.9375	4.94031278155744
0.2	5	7	15	15	15	1	4.95708385165781
0.2	5	8	13	13	14	1	5.09390360778198
0.2	5	9	16	15	14	1.06666666666667	4.9951377612073
0.2	5	10	15	17	15	0.882352941176471	5.01882316968404
0.2	6	1	17	15	16	1.13333333333333	5.92266781264916
0.2	6	2	15	14	14	1.07142857142857	6.08540777196176
0.2	6	3	16	13	14	1.23076923076923	5.90138885094784
0.2	6	4	17	15	14	1.13333333333333	6.0169027948752
0.2	6	5	12	15	13	0.8	5.9332142489031
0.2	6	6	14	14	13	1	6.04657541844063
0.2	6	7	13	13	13	1	6.04583268566057
0.2	6	8	17	14	14	1.21428571428571	6.05710552441888
0.2	6	9	13	12	12	1.08333333333333	5.9448656892404
