p	maxlab	i	McSplit	MCSa1	MCSa2	ratio	maxlab_jittered
0.1	12	10	14	12	13	1.07692307692308	12.044152771635
0.1	13	1	11	9	9	1.22222222222222	13.0222233910114
0.1	13	2	12	8	8	1.5	13.0194194163196
0.1	13	3	11	8	8	1.375	12.956258081086
0.1	13	4	11	10	11	1	13.050173680624
0.1	13	5	8	7	7	1.14285714285714	13.0074701237027
0.1	13	6	11	10	10	1.1	12.9617626232561
0.1	13	7	10	8	8	1.25	12.9404758497141
0.1	13	8	12	9	9	1.33333333333333	12.9721312806942
0.1	13	9	13	11	10	1.3	13.087660995312
0.1	13	10	14	12	11	1.27272727272727	12.9356828468386
0.1	14	1	9	8	8	1.125	13.9666036713403
0.1	14	2	11	7	8	1.375	13.9487331227399
0.1	14	3	10	8	8	1.25	13.9017157245893
0.1	14	4	10	9	8	1.25	13.9778861249797
0.1	14	5	11	9	9	1.22222222222222	13.968404730875
0.1	14	6	13	9	10	1.3	13.9607583393808
0.1	14	7	12	10	9	1.33333333333333	13.9594704516232
0.1	14	8	11	10	10	1.1	13.9975453361403
0.1	14	9	10	10	8	1.25	13.9368291286752
0.1	14	10	10	8	7	1.42857142857143	14.0831693641376
0.1	15	1	11	9	9	1.22222222222222	14.9264117344748
0.1	15	2	10	9	9	1.11111111111111	14.9560135480948
0.1	15	3	10	9	9	1.11111111111111	15.0580166071653
0.1	15	4	11	8	9	1.22222222222222	15.012379226787
0.1	15	5	11	8	9	1.22222222222222	15.0800054171123
0.1	15	6	9	8	8	1.125	15.0201964113396
0.1	15	7	10	8	8	1.25	14.9609941235278
0.1	15	8	8	6	6	1.33333333333333	14.9448218698148
0.1	15	9	11	9	9	1.22222222222222	15.024037034763
0.1	15	10	9	7	8	1.125	15.0794636824634
0.1	16	1	13	11	11	1.18181818181818	15.9993379992433
0.1	16	2	10	7	7	1.42857142857143	15.9942887858022
0.1	16	3	10	8	8	1.25	15.930965837324
0.1	16	4	8	6	6	1.33333333333333	16.0389540520031
0.1	16	5	13	12	11	1.18181818181818	15.9810464828275
0.1	16	6	14	10	11	1.27272727272727	15.9335144998971
0.1	16	7	10	7	8	1.25	16.0713848746382
0.1	16	8	8	7	7	1.14285714285714	16.0137883012649
0.1	16	9	11	9	9	1.22222222222222	16.0910386263859
0.1	16	10	10	8	8	1.25	15.9589266382158
0.1	17	1	9	9	8	1.125	17.0135469885077
0.1	17	2	10	8	8	1.25	17.062173844967
0.1	17	3	9	7	7	1.28571428571429	16.9611016865354
0.1	17	4	11	7	8	1.375	16.9742379337549
