instance n_pattern n_target runtime_realkdown runtime_kdown solsize solsize_over_n_pattern
si2_b09_m200.08 40 200 22 0 40 1.0
si2_b09_m200.01 40 200 40 0 40 1.0
si2_b09_m200.06 40 200 38 0 40 1.0
si2_b09_m200.05 40 200 22 0 40 1.0
si2_b09_m200.00 40 200 22 0 40 1.0
si2_b09_m200.02 40 200 36 0 40 1.0
si2_b09_m200.03 40 200 22 0 40 1.0
si2_b09_m200.04 40 200 22 0 40 1.0
si2_b09_m200.09 40 200 36 1 40 1.0
si2_b09_m200.07 40 200 36 0 40 1.0
si6_r01_m600.02 360 600 902757 178 360 1.0
si6_r01_m600.06 360 600 820446 12 360 1.0
si6_r01_m600.09 360 600 347294 532 360 1.0
si6_r01_m600.08 360 600 1000000 4278 360 1.0
si6_r01_m600.05 360 600 789909 15 360 1.0
si6_r01_m600.07 360 600 1000000 384 360 1.0
si6_r01_m600.03 360 600 691749 222 360 1.0
si6_r01_m600.00 360 600 207339 120 360 1.0
si6_r01_m600.01 360 600 1000000 39 360 1.0
si6_r01_m600.04 360 600 1000000 721 360 1.0
si2_b06_m200.02 40 200 31 0 40 1.0
si2_b06_m200.00 40 200 20 0 40 1.0
si2_b06_m200.01 40 200 33 0 40 1.0
si2_b06_m200.06 40 200 20 0 40 1.0
si2_b06_m200.09 40 200 20 0 40 1.0
si2_b06_m200.07 40 200 20 0 40 1.0
si2_b06_m200.04 40 200 20 0 40 1.0
si2_b06_m200.08 40 200 20 0 40 1.0
si2_b06_m200.03 40 200 35 0 40 1.0
si2_b06_m200.05 40 200 20 0 40 1.0
si6_m4Dr2_m1296.05 777 1296 2511 42 777 1.0
si6_m4Dr2_m1296.09 777 1296 2677 33 777 1.0
si6_m4Dr2_m1296.01 777 1296 3202 32 777 1.0
si6_m4Dr2_m1296.06 777 1296 3023 28 777 1.0
si6_m4Dr2_m1296.07 777 1296 2677 34 777 1.0
si6_m4Dr2_m1296.03 777 1296 2760 32 777 1.0
si6_m4Dr2_m1296.04 777 1296 2497 32 777 1.0
si6_m4Dr2_m1296.00 777 1296 2702 27 777 1.0
si6_m4Dr2_m1296.08 777 1296 2630 41 777 1.0
si6_m4Dr2_m1296.02 777 1296 2547 46 777 1.0
si2_b09m_m800.09 160 800 415 10 160 1.0
si2_b09m_m800.07 160 800 418 34226 160 1.0
si2_b09m_m800.00 160 800 532 7 160 1.0
si2_b09m_m800.04 160 800 483 10 160 1.0
si2_b09m_m800.02 160 800 410 10 160 1.0
si2_b09m_m800.05 160 800 418 13 160 1.0
si2_b09m_m800.03 160 800 418 10 160 1.0
