i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
7 1 0.1 500 100 14 4 6 3 9 12 256 338 29 53 29
8 1 0.1 500 100 12 3 16 3 9 12 275 151 39 40 141
9 1 0.1 500 100 7 3 3 4 7 7 153 42 23 47 27
10 1 0.1 500 100 29 10 10 10 21 21 562 204 502 332 140
1 1 0.1 750 150 27 11 11 19 26 26 462 100 216 227 180
2 1 0.1 750 150 56 30 31 31 59 59 650 234 531 715 638
3 1 0.1 750 150 44 23 23 23 56 41 652 187 112 116 404
4 1 0.1 750 150 22 14 9 14 17 17 540 152 147 164 164
5 1 0.1 750 150 27 12 7 7 14 14 494 92 396 296 66
6 1 0.1 750 150 28 12 114 12 25 25 661 257 107 114 170
7 1 0.1 750 150 95 30 1131 51 57 57 1767 2026 105 111 656
8 1 0.1 750 150 40 22 20 20 36 36 632 227 651 694 832
9 1 0.1 750 150 44 23 587 38 45 45 489 106 111 151 496
10 1 0.1 750 150 45 23 24 23 42 42 610 211 129 123 776
1 1 0.1 1000 200 98 53 2393 30 96 70 2454 1336 464 393 440
2 1 0.1 1000 200 31 12 12 12 27 26 2012 809 287 326 360
3 1 0.1 1000 200 38 27 15 15 21 29 1287 299 193 193 160
4 1 0.1 1000 200 80 21 34 21 43 43 1252 229 519 442 418
5 1 0.1 1000 200 135 98 339 73 151 122 1324 276 495 463 3001
6 1 0.1 1000 200 189 139 129 177 241 237 1917 756 410 387 2266
7 1 0.1 1000 200 157 79 46 46 100 100 1397 311 2505 2222 451
8 1 0.1 1000 200 66 31 227 19 55 38 1214 224 281 284 328
9 1 0.1 1000 200 33 13 4369 24 32 32 1990 799 384 342 320
10 1 0.1 1000 200 56 41 554 41 82 60 1259 387 275 357 296
1 1 0.1 1250 250 140 59 59 61 122 112 4421 1684 1093 1057 1414
2 1 0.1 1250 250 491 237 245 240 342 347 4494 1593 1092 1016 8434
3 1 0.1 1250 250 584 286 285 279 422 592 8607 5258 8292 6698 10469
4 1 0.1 1250 250 169 86 86 90 165 159 3550 1097 1074 961 1340
5 1 0.1 1250 250 111 82 45 45 92 108 10091 7173 409 453 795
6 1 0.1 1250 250 469 260 5216 239 340 327 9331 5860 3802 3962 7982
7 1 0.1 1250 250 395 359 566 205 413 303 4348 1314 9718 7977 7143
8 1 0.1 1250 250 188 110 70 109 176 179 2853 608 1455 1289 1235
9 1 0.1 1250 250 365 189 363 195 280 273 3766 1272 1036 957 9019
10 1 0.1 1250 250 354 185 187 214 264 286 7457 4611 1573 1414 7446
1 1 0.1 1500 300 180 100 77 74 70 68 8600 3307 1680 1582 1144
2 1 0.1 1500 300 1054 561 556 555 690 677 9589 4091 21305 17200 15501
3 1 0.1 1500 300 255 126 127 110 208 208 8240 3118 2510 2154 2108
4 1 0.1 1500 300 202 96 85 84 144 156 21250 12391 2642 2243 1818
5 1 0.1 1500 300 262 117 171 113 188 180 8100 3070 2526 2210 2588
6 1 0.1 1500 300 153 71 98 61 114 115 10363 4283 3799 3326 2496
7 1 0.1 1500 300 456 224 201 219 414 407 7673 2687 2881 2528 3475
8 1 0.1 1500 300 380 168 169 174 356 347 16328 10084 2926 2513 1944
