i labels p nt np mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 msplit-si-dom-D2 mcsplit-si-adjmat mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3
10 8 0.05 7000 1400 283 58 63 56 414 414 118077 3370 131 6655 70
1 8 0.05 7500 1500 357 76 76 76 500 507 150817 4874 167 8203 121
2 8 0.05 7500 1500 342 71 71 71 491 487 150751 4732 318 8859 93
3 8 0.05 7500 1500 350 72 75 71 503 501 150301 4149 318 8489 128
4 8 0.05 7500 1500 345 73 72 71 488 486 150309 4373 332 8686 98
5 8 0.05 7500 1500 349 76 85 72 493 489 151036 5083 317 8596 94
6 8 0.05 7500 1500 333 68 77 67 480 508 149972 4272 179 8557 90
7 8 0.05 7500 1500 331 65 66 66 473 471 151404 4701 312 8488 76
8 8 0.05 7500 1500 341 68 379 69 480 479 150479 4599 161 8413 96
9 8 0.05 7500 1500 354 71 75 73 496 495 150404 4785 307 8686 104
10 8 0.05 7500 1500 359 72 71 71 495 495 150611 4357 163 8338 108
1 8 0.05 8000 1600 387 84 81 82 547 554 189127 5925 202 10233 159
2 8 0.05 8000 1600 392 82 98 81 548 549 188114 5599 201 10071 152
3 8 0.05 8000 1600 399 82 81 82 555 556 189696 6181 350 10354 108
4 8 0.05 8000 1600 393 83 80 82 549 551 188522 5268 193 10124 110
5 8 0.05 8000 1600 407 87 100 90 569 571 189441 6171 244 10072 221
6 8 0.05 8000 1600 394 80 81 83 551 555 188875 5498 217 10203 101
7 8 0.05 8000 1600 399 83 83 83 552 557 189753 6045 198 10322 123
8 8 0.05 8000 1600 396 83 83 86 556 561 188292 5102 205 10297 125
9 8 0.05 8000 1600 392 83 82 80 553 551 188274 5260 202 10258 110
10 8 0.05 8000 1600 390 80 388 80 552 552 188513 5380 183 10160 101
1 8 0.05 9000 1800 513 109 108 110 701 704 285983 6940 758 15391 173
2 8 0.05 9000 1800 520 113 113 114 709 711 287640 8475 317 15018 182
3 8 0.05 9000 1800 533 118 119 117 769 738 287115 7808 610 15479 171
4 8 0.05 9000 1800 526 118 126 114 702 706 287286 7301 644 15303 215
5 8 0.05 9000 1800 518 112 112 111 701 702 288089 7035 287 15037 162
6 8 0.05 9000 1800 496 106 122 102 697 697 285919 7813 339 15206 135
7 8 0.05 9000 1800 534 118 117 117 721 726 287766 8199 306 14731 361
8 8 0.05 9000 1800 516 112 124 110 700 694 287277 7762 564 15120 140
9 8 0.05 9000 1800 519 119 120 119 710 714 287231 8537 294 15179 165
10 8 0.05 9000 1800 531 118 118 117 730 735 288324 8816 299 14705 158
1 8 0.05 10000 2000 642 139 164 140 866 868 416258 12327 393 21069 182
2 8 0.05 10000 2000 665 155 165 149 889 879 415121 11201 1161 20815 444
3 8 0.05 10000 2000 647 148 144 143 861 860 416046 11367 391 20582 301
4 8 0.05 10000 2000 637 137 136 135 851 857 415213 11230 393 20700 321
5 8 0.05 10000 2000 679 151 156 154 881 873 418217 12225 929 20595 553
6 8 0.05 10000 2000 638 138 140 140 864 865 416556 11420 484 20175 211
7 8 0.05 10000 2000 621 137 149 132 842 867 413096 9969 362 20205 162
8 8 0.05 10000 2000 642 145 174 144 856 865 416129 10911 404 20776 190
9 8 0.05 10000 2000 682 156 159 149 921 894 414106 10792 413 20288 230
10 8 0.05 10000 2000 659 148 143 149 869 871 413837 10535 984 20436 471
1 8 0.1 500 100 1 0 0 0 2 3 97 6 0 8 0
2 8 0.1 500 100 2 0 0 0 2 2 75 6 0 9 0
3 8 0.1 500 100 1 0 0 0 3 3 73 4 0 8 0
4 8 0.1 500 100 2 0 0 0 2 3 73 4 0 5 0
5 8 0.1 500 100 1 0 0 0 3 2 101 6 1 5 0
6 8 0.1 500 100 2 0 0 0 2 2 73 6 0 8 0
7 8 0.1 500 100 2 0 0 0 3 3 76 6 0 8 0
8 8 0.1 500 100 2 0 0 0 3 2 74 4 0 9 1
9 8 0.1 500 100 1 0 0 0 2 2 74 6 1 13 0
10 8 0.1 500 100 1 0 0 0 3 3 93 6 1 6 0
1 8 0.1 750 150 4 0 1 0 4 4 205 16 1 28 1
2 8 0.1 750 150 4 0 1 0 6 5 205 10 2 19 1
3 8 0.1 750 150 4 0 1 0 6 5 204 11 1 23 1
4 8 0.1 750 150 4 0 1 0 5 5 205 17 1 20 2
5 8 0.1 750 150 4 1 0 1 5 5 216 17 3 18 1
6 8 0.1 750 150 4 0 2 0 7 7 223 18 1 19 1
7 8 0.1 750 150 6 0 1 0 5 5 204 11 2 17 1
8 8 0.1 750 150 4 1 0 1 5 5 205 16 3 28 1
9 8 0.1 750 150 4 0 0 1 6 4 201 10 1 28 1
10 8 0.1 750 150 6 1 0 0 5 8 203 10 1 26 1
1 8 0.1 1000 200 8 1 2 2 12 9 415 21 3 42 2
2 8 0.1 1000 200 8 1 1 2 12 9 419 24 3 44 3
3 8 0.1 1000 200 11 1 1 1 9 9 431 21 2 47 2
4 8 0.1 1000 200 8 1 1 1 12 9 419 23 3 45 2
5 8 0.1 1000 200 11 1 2 1 9 12 416 26 5 41 2
6 8 0.1 1000 200 8 1 2 1 12 9 411 20 5 58 2
7 8 0.1 1000 200 12 2 1 2 9 9 424 27 5 43 2
8 8 0.1 1000 200 8 2 1 1 8 11 413 20 2 42 3
9 8 0.1 1000 200 9 1 2 1 8 9 411 21 3 66 2
10 8 0.1 1000 200 11 1 1 1 11 8 411 20 3 67 2
1 8 0.1 1250 250 13 2 2 3 13 14 894 50 5 81 3
2 8 0.1 1250 250 13 2 2 2 20 14 875 47 10 102 4
3 8 0.1 1250 250 18 3 2 3 14 14 916 48 5 79 3
4 8 0.1 1250 250 13 2 2 2 14 14 912 49 8 78 3
5 8 0.1 1250 250 13 2 2 3 14 14 955 49 8 80 3
6 8 0.1 1250 250 13 2 3 2 14 20 879 50 12 80 4
7 8 0.1 1250 250 14 2 2 3 19 14 899 78 7 86 4
8 8 0.1 1250 250 16 2 2 2 14 19 863 49 5 85 3
9 8 0.1 1250 250 14 1 3 2 13 13 859 49 5 80 3
10 8 0.1 1250 250 13 2 3 2 18 17 926 47 9 81 3
1 8 0.1 1500 300 21 3 4 3 27 21 1631 83 8 132 8
2 8 0.1 1500 300 20 2 4 2 28 20 1506 76 12 157 4
3 8 0.1 1500 300 24 3 3 3 21 21 1496 77 9 140 5
4 8 0.1 1500 300 21 3 3 3 21 22 1491 79 9 132 5
5 8 0.1 1500 300 20 4 3 4 20 20 1551 127 8 129 5
6 8 0.1 1500 300 21 5 4 3 21 21 1501 90 8 131 7
7 8 0.1 1500 300 27 3 4 2 21 21 1506 83 14 141 5
8 8 0.1 1500 300 20 4 3 4 21 20 1563 77 13 140 5
9 8 0.1 1500 300 28 2 3 2 20 20 1616 146 14 197 7
10 8 0.1 1500 300 27 4 3 4 29 28 1763 125 8 130 5
1 8 0.1 2000 400 39 5 5 5 39 39 3958 175 30 346 12
2 8 0.1 2000 400 38 5 5 5 38 38 3903 187 19 337 10
3 8 0.1 2000 400 39 6 6 6 39 39 3908 178 19 322 12
4 8 0.1 2000 400 39 5 5 5 39 39 3933 175 20 375 13
5 8 0.1 2000 400 38 5 5 5 39 39 3913 176 23 346 11
6 8 0.1 2000 400 39 5 6 5 39 38 4053 169 18 335 11
7 8 0.1 2000 400 40 6 6 6 39 40 3949 179 19 317 11
8 8 0.1 2000 400 38 7 6 5 38 38 3882 177 18 300 9
9 8 0.1 2000 400 40 5 5 5 37 38 3930 180 19 301 10
10 8 0.1 2000 400 38 5 6 5 38 38 3914 163 21 335 10
1 8 0.1 2500 500 61 8 8 8 59 59 8519 318 39 629 14
2 8 0.1 2500 500 64 10 10 10 61 61 8491 309 37 619 20
3 8 0.1 2500 500 63 9 9 9 61 60 8420 327 42 628 19
4 8 0.1 2500 500 63 9 13 9 61 61 8430 347 37 626 25
5 8 0.1 2500 500 64 10 13 10 62 62 8455 347 37 627 25
6 8 0.1 2500 500 65 10 10 10 62 61 8425 317 36 622 44
7 8 0.1 2500 500 62 9 12 9 60 59 8402 316 36 637 18
8 8 0.1 2500 500 61 9 10 8 59 59 8456 366 39 655 16
9 8 0.1 2500 500 65 10 10 10 63 62 8507 348 36 633 31
10 8 0.1 2500 500 61 8 10 8 58 59 8528 319 39 630 18
1 8 0.1 3000 600 101 16 17 17 93 93 16074 588 63 1151 44
2 8 0.1 3000 600 97 15 16 15 90 90 15837 523 67 1028 38
3 8 0.1 3000 600 99 16 19 16 90 90 16377 559 70 1015 52
4 8 0.1 3000 600 100 16 16 16 91 91 15960 537 76 1076 47
5 8 0.1 3000 600 91 13 17 13 85 84 15949 575 68 1007 25
6 8 0.1 3000 600 91 13 17 13 86 86 15821 497 73 1013 25
7 8 0.1 3000 600 95 14 20 14 87 88 15910 519 70 1026 33
8 8 0.1 3000 600 94 14 14 14 88 88 15960 545 78 1045 36
9 8 0.1 3000 600 98 15 18 15 90 90 16145 519 70 1088 39
10 8 0.1 3000 600 97 15 15 15 89 89 16013 529 68 1085 100
1 8 0.1 3500 700 132 20 20 20 119 119 27122 815 115 1756 57
2 8 0.1 3500 700 134 21 27 21 119 120 27115 862 119 1774 137
3 8 0.1 3500 700 140 23 24 23 126 127 26999 839 106 1680 83
4 8 0.1 3500 700 131 20 21 21 118 117 27000 846 119 1847 58
5 8 0.1 3500 700 138 23 23 23 123 123 27086 808 110 1775 82
6 8 0.1 3500 700 131 19 27 19 121 121 27073 855 104 1750 47
7 8 0.1 3500 700 137 23 29 22 122 123 27061 857 114 1789 65
8 8 0.1 3500 700 137 22 22 22 125 123 27094 833 110 1716 55
9 8 0.1 3500 700 134 20 29 21 121 120 27134 850 84 1728 55
10 8 0.1 3500 700 130 19 26 19 119 119 26816 792 91 1762 52
1 8 0.1 4000 800 174 27 27 27 157 155 42864 1326 183 2629 75
2 8 0.1 4000 800 186 32 36 32 165 164 42800 1247 159 2592 115
3 8 0.1 4000 800 189 34 39 33 167 166 42731 1306 213 2641 148
4 8 0.1 4000 800 183 31 31 31 163 163 42625 1251 193 2636 90
5 8 0.1 4000 800 189 33 33 33 166 164 42900 1352 168 2638 350
6 8 0.1 4000 800 179 29 29 29 163 161 42742 1253 201 2610 107
7 8 0.1 4000 800 185 32 32 32 165 165 42680 1270 228 2703 368
8 8 0.1 4000 800 173 26 26 26 153 153 43081 1263 164 2597 74
9 8 0.1 4000 800 181 30 30 30 160 161 42694 1262 164 2547 108
10 8 0.1 4000 800 176 28 27 28 156 157 42474 1140 168 2615 71
1 8 0.1 4500 900 243 42 51 44 203 204 64345 1823 175 3735 137
2 8 0.1 4500 900 244 44 46 45 204 204 63949 1783 229 3508 187
3 8 0.1 4500 900 233 38 45 38 199 197 64159 1635 226 3485 140
4 8 0.1 4500 900 234 39 40 40 201 200 64024 1731 236 3562 105
5 8 0.1 4500 900 235 42 55 41 204 204 64101 1702 270 3627 124
6 8 0.1 4500 900 255 46 55 47 209 210 64326 1820 216 3529 224
7 8 0.1 4500 900 244 44 52 43 208 209 64067 1754 273 3651 185
8 8 0.1 4500 900 240 43 48 43 206 205 64206 1846 175 3527 162
9 8 0.1 4500 900 243 41 41 41 203 201 64184 1743 257 3572 129
10 8 0.1 4500 900 245 42 43 44 209 209 64500 1875 723 4023 128
1 8 0.1 5000 1000 309 56 56 55 256 258 92347 2475 442 5503 243
2 8 0.1 5000 1000 298 50 51 50 250 247 92868 2564 295 5268 221
3 8 0.1 5000 1000 317 58 65 57 261 258 92161 2335 337 5335 270
4 8 0.1 5000 1000 320 58 59 60 259 259 92639 2491 367 5203 287
5 8 0.1 5000 1000 289 47 67 48 243 244 92383 2400 335 5368 118
6 8 0.1 5000 1000 310 57 68 58 254 253 92189 2090 372 5235 278
7 8 0.1 5000 1000 310 57 56 57 255 255 92348 2393 344 5199 233
8 8 0.1 5000 1000 310 56 56 56 257 257 93189 2646 338 5248 257
9 8 0.1 5000 1000 294 51 69 50 246 246 92205 2319 354 5216 203
10 8 0.1 5000 1000 318 63 60 59 260 259 92554 2429 394 5325 261
1 8 0.1 5500 1100 370 67 105 67 304 305 128948 3405 364 6561 218
2 8 0.1 5500 1100 375 68 67 66 306 307 129002 3236 496 6679 346
3 8 0.1 5500 1100 410 81 81 85 317 317 129527 3384 455 6713 446
4 8 0.1 5500 1100 376 68 83 69 302 301 128233 2947 527 6677 315
5 8 0.1 5500 1100 399 74 74 76 310 310 128905 3257 508 7113 386
6 8 0.1 5500 1100 384 71 82 71 301 300 129169 3402 546 6831 302
7 8 0.1 5500 1100 389 77 75 73 307 307 128511 3166 735 6943 293
8 8 0.1 5500 1100 369 64 63 63 299 296 127900 2876 508 7051 269
9 8 0.1 5500 1100 374 66 65 65 307 304 129202 3353 341 6492 322
10 8 0.1 5500 1100 380 72 81 70 310 315 128661 3188 534 7042 322
1 8 0.1 6000 1200 471 89 105 90 373 372 174851 3999 799 9788 387
2 8 0.1 6000 1200 494 102 100 99 372 371 175006 4295 656 9429 442
3 8 0.1 6000 1200 472 92 116 93 378 373 174728 4232 717 9093 500
4 8 0.1 6000 1200 510 115 103 101 379 378 176565 4919 726 9812 598
5 8 0.1 6000 1200 499 105 100 104 384 385 175992 4589 693 9304 415
6 8 0.1 6000 1200 497 95 98 96 376 372 174722 4092 742 9212 454
7 8 0.1 6000 1200 531 109 118 109 389 383 175174 4195 504 9519 578
8 8 0.1 6000 1200 514 104 136 109 405 404 175370 4439 693 9450 572
9 8 0.1 6000 1200 490 93 109 95 393 388 174697 4186 523 9252 382
10 8 0.1 6000 1200 582 91 93 92 382 384 174320 4174 799 9581 503
1 8 0.1 6500 1300 630 146 127 128 462 459 231900 5598 633 11994 713
2 8 0.1 6500 1300 594 121 146 121 455 457 233239 6067 1096 12102 697
3 8 0.1 6500 1300 581 114 114 114 448 449 232509 5697 907 11552 788
4 8 0.1 6500 1300 613 122 138 127 457 453 231403 5341 1087 11837 422
5 8 0.1 6500 1300 552 104 140 104 430 429 232388 5348 1232 12152 698
6 8 0.1 6500 1300 580 114 117 112 443 438 232794 5632 644 11116 609
7 8 0.1 6500 1300 593 117 138 121 441 444 231841 5710 850 11600 645
8 8 0.1 6500 1300 617 124 125 124 460 459 231283 5491 670 11546 656
9 8 0.1 6500 1300 543 101 101 101 417 438 231478 5049 1063 11988 326
10 8 0.1 6500 1300 584 113 115 116 438 443 231073 5144 998 11893 521
1 8 0.1 7000 1400 723 146 184 149 518 519 301649 6637 1225 14737 865
2 8 0.1 7000 1400 628 123 149 118 489 489 300246 6252 817 14014 405
3 8 0.1 7000 1400 718 154 278 144 522 558 302297 6974 832 14404 967
4 8 0.1 7000 1400 653 127 159 126 503 498 302023 6766 1248 14543 440
5 8 0.1 7000 1400 713 145 143 145 516 517 300547 6505 774 14381 719
6 8 0.1 7000 1400 639 121 115 114 488 489 302147 6908 1144 14432 436
7 8 0.1 7000 1400 698 138 142 137 513 511 302043 7064 1424 14658 495
8 8 0.1 7000 1400 704 140 138 141 539 501 300897 6434 796 14694 706
9 8 0.1 7000 1400 704 144 184 149 523 526 301241 6750 1233 15059 726
10 8 0.1 7000 1400 671 136 168 131 508 507 301176 6647 1296 14536 741
1 8 0.1 7500 1500 828 173 169 175 598 598 387236 9875 1559 17718 1191
2 8 0.1 7500 1500 813 165 166 164 591 588 387052 8452 1681 19653 1003
3 8 0.1 7500 1500 852 182 206 210 607 606 386620 9181 2008 18272 1145
4 8 0.1 7500 1500 849 181 202 182 602 603 385916 8968 1093 18665 694
5 8 0.1 7500 1500 824 169 235 164 615 605 387218 9826 1681 18334 900
6 8 0.1 7500 1500 847 171 200 170 602 597 384968 8197 1907 19113 1010
7 8 0.1 7500 1500 880 198 200 184 603 603 384870 8308 1834 18053 941
8 8 0.1 7500 1500 858 181 181 182 602 600 385736 8297 2119 18851 685
9 8 0.1 7500 1500 838 170 271 182 601 604 386322 8876 2408 19519 1107
10 8 0.1 7500 1500 803 167 160 166 590 591 385304 8509 1008 17558 878
1 8 0.1 8000 1600 1021 218 207 200 854 684 494653 12203 2585 23076 1230
2 8 0.1 8000 1600 887 191 232 180 661 666 485284 10099 2216 22326 1418
3 8 0.1 8000 1600 1036 248 242 237 896 703 485671 10916 1459 22043 1208
4 8 0.1 8000 1600 983 207 233 216 868 818 485053 9978 2597 22667 1193
5 8 0.1 8000 1600 906 184 239 180 644 641 485173 10049 2277 22497 1118
6 8 0.1 8000 1600 987 217 211 214 658 667 484553 9771 2119 22301 724
7 8 0.1 8000 1600 887 180 235 167 664 659 486905 9561 2482 22526 689
8 8 0.1 8000 1600 908 179 188 185 655 654 484392 9807 2338 22720 1275
9 8 0.1 8000 1600 875 172 264 167 653 652 485919 10261 2392 22498 1125
10 8 0.1 8000 1600 1087 248 295 247 739 738 485995 10296 2141 22320 1677
1 8 0.1 9000 1800 1352 298 391 319 888 887 750903 16642 2117 33166 2265
2 8 0.1 9000 1800 1502 400 361 341 937 936 748469 16806 3344 34098 2312
3 8 0.1 9000 1800 1393 319 315 326 900 898 745270 15156 3264 34072 2001
4 8 0.1 9000 1800 1426 323 376 326 917 914 744474 14848 3655 33798 2102
5 8 0.1 9000 1800 1332 295 374 286 865 863 748059 15414 3329 33631 2432
6 8 0.1 9000 1800 1363 289 342 289 890 898 744464 14844 3137 33926 1769
7 8 0.1 9000 1800 1404 298 301 294 882 877 744880 14499 2037 31979 1846
8 8 0.1 9000 1800 1386 314 367 309 873 872 747089 15808 3203 33819 1096
9 8 0.1 9000 1800 1390 312 412 321 1117 1063 748399 15386 3533 35131 2509
10 8 0.1 9000 1800 1313 290 285 272 1009 989 745060 14787 3435 33325 1989
1 8 0.1 10000 2000 1728 409 408 416 1244 1262 1093375 21263 4807 47893 1643
2 8 0.1 10000 2000 1582 348 467 333 1019 1014 1091369 20780 2888 44153 3264
3 8 0.1 10000 2000 1639 394 357 398 1117 1064 1096837 23200 5515 46783 3595
4 8 0.1 10000 2000 1851 430 537 425 1095 1163 1095012 21541 7216 48363 3415
5 8 0.1 10000 2000 1860 438 442 462 1114 1117 1099033 24634 3077 44013 1904
6 8 0.1 10000 2000 1821 478 534 430 1124 1131 1094075 21344 5018 45144 3634
7 8 0.1 10000 2000 1641 345 516 345 1169 1187 1093174 20474 2951 44265 2808
8 8 0.1 10000 2000 1597 349 586 348 1157 1184 1094928 21387 5214 47201 3203
9 8 0.1 10000 2000 1602 334 334 343 1087 1075 1095535 21066 5037 46071 1482
10 8 0.1 10000 2000 1804 411 393 417 1072 1078 1095347 22545 5782 47546 3218
1 8 0.2 300 60 1 0 0 0 1 1 37 2 0 3 0
2 8 0.2 300 60 1 0 0 0 1 1 28 3 0 3 0
3 8 0.2 300 60 1 0 0 0 1 1 28 3 0 3 0
4 8 0.2 300 60 1 0 0 0 1 1 30 2 0 2 0
5 8 0.2 300 60 1 0 0 0 1 1 28 2 0 2 0
6 8 0.2 300 60 1 0 0 0 1 1 33 2 0 2 0
7 8 0.2 300 60 1 0 0 0 1 1 38 2 0 2 0
8 8 0.2 300 60 1 0 0 0 1 1 31 2 0 4 0
9 8 0.2 300 60 1 0 0 0 1 1 28 3 0 4 0
10 8 0.2 300 60 1 0 0 0 0 1 28 2 0 2 0
1 8 0.2 500 100 4 0 0 0 3 2 111 7 1 13 1
2 8 0.2 500 100 4 0 0 0 3 3 119 7 3 12 1
3 8 0.2 500 100 4 0 1 0 2 3 110 10 1 15 2
4 8 0.2 500 100 4 0 0 0 3 2 112 7 2 17 1
5 8 0.2 500 100 4 0 0 0 3 3 110 10 1 10 2
6 8 0.2 500 100 5 0 1 0 2 2 111 7 2 11 1
7 8 0.2 500 100 4 0 0 0 3 2 111 7 2 10 1
8 8 0.2 500 100 4 0 0 0 2 2 115 10 1 16 2
9 8 0.2 500 100 4 0 0 0 3 3 129 7 2 12 2
10 8 0.2 500 100 4 1 0 0 2 2 138 10 3 11 1
1 8 0.2 750 150 9 1 2 1 8 6 365 19 6 35 5
2 8 0.2 750 150 10 1 1 1 8 6 370 19 7 39 5
3 8 0.2 750 150 10 1 1 2 8 6 377 19 12 42 7
4 8 0.2 750 150 13 1 1 2 6 6 367 29 5 61 7
5 8 0.2 750 150 13 2 1 2 6 6 364 19 5 37 6
6 8 0.2 750 150 10 1 1 2 8 6 383 19 6 39 5
7 8 0.2 750 150 10 1 1 2 8 6 366 19 8 34 5
8 8 0.2 750 150 9 1 1 1 6 7 375 21 6 37 3
9 8 0.2 750 150 10 2 2 1 8 6 368 28 11 36 4
10 8 0.2 750 150 10 1 1 1 6 6 368 19 6 34 4
1 8 0.2 1000 200 19 4 3 4 11 11 846 42 11 91 17
2 8 0.2 1000 200 19 2 2 2 15 11 849 40 12 89 12
3 8 0.2 1000 200 19 2 2 4 11 11 862 39 17 102 10
4 8 0.2 1000 200 18 2 2 3 11 11 852 57 14 94 10
5 8 0.2 1000 200 19 4 3 4 11 11 854 41 16 86 13
6 8 0.2 1000 200 19 2 3 4 11 11 848 38 17 96 14
7 8 0.2 1000 200 19 2 3 2 15 11 856 41 12 88 10
8 8 0.2 1000 200 18 2 2 2 15 15 863 44 10 86 9
9 8 0.2 1000 200 18 2 3 2 15 10 855 40 20 90 10
10 8 0.2 1000 200 19 2 3 2 11 11 848 42 19 102 8
1 8 0.2 1250 250 32 4 4 4 19 19 2002 97 26 165 40
2 8 0.2 1250 250 43 6 5 4 18 24 2017 95 30 167 31
3 8 0.2 1250 250 32 4 4 4 18 18 2031 96 38 171 23
4 8 0.2 1250 250 41 4 4 4 18 18 2003 92 40 173 27
5 8 0.2 1250 250 32 7 4 4 18 18 2006 96 37 177 23
6 8 0.2 1250 250 31 4 5 4 18 18 2004 97 23 165 21
7 8 0.2 1250 250 31 6 4 4 18 18 1998 94 40 174 20
8 8 0.2 1250 250 40 4 4 4 18 18 1990 108 44 167 32
9 8 0.2 1250 250 32 4 6 6 21 18 2001 91 40 178 39
10 8 0.2 1250 250 30 4 4 4 18 18 1991 94 37 177 15
1 8 0.2 1500 300 51 8 11 8 27 27 3593 155 73 287 79
2 8 0.2 1500 300 46 6 6 9 26 26 3570 143 38 318 28
3 8 0.2 1500 300 48 7 7 7 26 27 3577 145 53 281 63
4 8 0.2 1500 300 47 6 6 6 33 27 3557 145 49 275 39
5 8 0.2 1500 300 57 5 13 6 25 26 3564 158 78 286 46
6 8 0.2 1500 300 49 7 7 7 27 26 3568 151 43 274 76
7 8 0.2 1500 300 49 7 7 7 37 27 3591 155 43 287 45
8 8 0.2 1500 300 50 11 10 7 27 27 3573 150 45 290 81
9 8 0.2 1500 300 48 6 9 6 36 26 3578 148 44 263 36
10 8 0.2 1500 300 48 6 9 6 26 26 3572 143 45 266 68
1 8 0.2 2000 400 95 16 16 16 51 50 9723 332 255 895 165
2 8 0.2 2000 400 94 21 16 16 50 49 9760 361 124 756 110
3 8 0.2 2000 400 93 15 22 15 50 49 9694 341 253 791 100
4 8 0.2 2000 400 102 17 17 17 50 50 9782 362 125 695 115
5 8 0.2 2000 400 98 17 22 18 50 51 9685 350 216 834 224
6 8 0.2 2000 400 98 17 20 17 49 50 9692 346 115 740 123
7 8 0.2 2000 400 93 15 15 15 50 50 9828 346 225 751 126
8 8 0.2 2000 400 91 15 15 15 49 49 9715 339 199 690 104
9 8 0.2 2000 400 88 13 20 13 48 48 9743 333 122 669 110
10 8 0.2 2000 400 92 15 18 15 49 49 9702 318 233 809 100
1 8 0.2 2500 500 169 31 31 31 82 83 21831 673 298 1477 516
2 8 0.2 2500 500 163 31 41 32 82 85 21845 709 286 1403 270
3 8 0.2 2500 500 167 33 32 46 82 82 21803 676 304 1433 253
4 8 0.2 2500 500 165 33 32 32 84 83 21896 662 539 1608 503
5 8 0.2 2500 500 157 29 29 29 80 81 21622 630 300 1421 243
6 8 0.2 2500 500 161 30 36 30 80 81 21669 618 352 1436 452
7 8 0.2 2500 500 168 32 40 32 81 81 21881 705 521 1542 480
8 8 0.2 2500 500 154 27 27 27 80 79 21736 670 346 1444 223
9 8 0.2 2500 500 168 33 33 32 82 81 21726 632 315 1563 255
10 8 0.2 2500 500 168 33 41 33 84 82 21686 669 681 1683 235
1 8 0.2 3000 600 271 55 54 54 122 123 42860 1173 541 2624 1043
2 8 0.2 3000 600 253 51 50 55 119 118 42748 1151 563 2376 477
3 8 0.2 3000 600 261 56 72 55 124 123 42766 1245 596 2332 1095
4 8 0.2 3000 600 266 58 58 58 123 124 42905 1210 683 2500 647
5 8 0.2 3000 600 258 53 71 54 123 123 42669 1142 617 2345 473
6 8 0.2 3000 600 246 51 59 48 117 119 42783 1080 565 2371 415
7 8 0.2 3000 600 278 59 65 59 122 123 43023 1157 575 2361 442
8 8 0.2 3000 600 263 54 55 55 125 125 42911 1264 1315 2917 380
9 8 0.2 3000 600 254 48 48 48 123 124 42912 1216 697 2635 1025
10 8 0.2 3000 600 285 65 64 66 130 129 43004 1215 1192 2942 1098
1 8 0.2 3500 700 386 87 87 87 167 166 75833 1910 1164 4304 776
2 8 0.2 3500 700 383 85 166 85 183 183 75511 1923 1194 4272 997
3 8 0.2 3500 700 415 107 131 98 180 181 75663 1960 1008 3903 934
4 8 0.2 3500 700 374 78 131 78 168 171 75583 1835 1012 4479 731
5 8 0.2 3500 700 410 87 122 88 175 174 75697 1927 1069 4210 986
6 8 0.2 3500 700 411 100 115 99 178 178 75774 1965 1232 4388 626
7 8 0.2 3500 700 407 95 115 95 176 175 76014 1859 1158 4365 929
8 8 0.2 3500 700 388 86 109 87 169 170 75719 1903 1031 4016 2272
9 8 0.2 3500 700 370 81 128 81 174 175 75959 1897 1154 4357 1610
10 8 0.2 3500 700 418 101 114 101 184 184 75924 2119 1342 4412 2397
1 8 0.2 4000 800 540 123 124 125 215 215 124164 3255 2181 6574 1513
2 8 0.2 4000 800 580 148 193 145 238 235 123695 3131 2050 6480 1459
3 8 0.2 4000 800 544 131 179 132 232 233 124511 3261 2287 6697 1363
4 8 0.2 4000 800 556 136 245 133 232 230 123612 2931 2476 6833 1400
5 8 0.2 4000 800 610 146 144 144 244 243 124178 3333 1960 6435 1702
6 8 0.2 4000 800 559 134 135 135 228 228 124074 3082 1847 6322 1090
7 8 0.2 4000 800 611 152 153 150 259 262 123236 2961 2118 6569 3420
8 8 0.2 4000 800 574 144 145 145 246 248 123980 3127 4303 8263 1640
9 8 0.2 4000 800 587 150 214 150 256 258 124419 3389 1926 6421 3724
10 8 0.2 4000 800 563 142 209 143 239 240 123428 3037 2217 6553 1582
1 8 0.2 4500 900 796 220 293 217 325 325 191275 4982 3288 10065 1747
2 8 0.2 4500 900 843 246 285 244 358 362 190998 5141 2790 8929 5068
3 8 0.2 4500 900 829 223 286 221 322 320 191766 4907 11651 16444 2093
4 8 0.2 4500 900 749 185 182 184 291 290 189962 4301 2519 8739 1919
5 8 0.2 4500 900 780 207 204 206 308 305 190298 4488 3121 9288 1977
6 8 0.2 4500 900 776 201 290 199 289 289 190444 4547 3149 9688 2518
7 8 0.2 4500 900 902 228 293 228 332 331 190081 4559 4210 9122 4618
8 8 0.2 4500 900 770 200 201 199 323 319 190530 4248 3453 9909 1850
9 8 0.2 4500 900 852 238 233 232 353 348 190683 4607 3046 9115 2610
10 8 0.2 4500 900 870 231 231 246 341 338 190509 4575 3334 10064 1883
1 8 0.2 5000 1000 1032 281 280 281 398 404 281218 6794 4273 14378 3532
2 8 0.2 5000 1000 1093 295 295 294 411 414 280892 6841 4977 14692 2587
3 8 0.2 5000 1000 1154 328 331 329 464 458 281109 6550 4915 14831 4416
4 8 0.2 5000 1000 1067 302 301 300 431 428 281853 6676 3969 13619 9249
5 8 0.2 5000 1000 1044 278 408 277 409 409 282893 7667 6632 16108 2996
6 8 0.2 5000 1000 1074 302 392 311 400 403 281884 6471 6846 15799 2861
