GroupBy(labels) GroupBy(p) GroupBy(nt) mean(mcsplit-si-ll) mean(mcsplit-si-dom) mean(mcsplit-si-dom-D1) mean(msplit-si-dom-D2) mean(mcsplit-si-adjmat) mean(mcsplit-si-adjmat-dom) mean(glasgow) mean(glasgow-nosupp) mean(ri) mean(ri-ds) mean(vf3)
8 0.3 7000 21968.6 8283.8 9866 8309.7 6200.9 6151.4 2257385.8 146051.5 634575.7 570384.1 263948.9
8 0.3 7500 31763.2 11886.7 15924.5 11865 7853.5 7876.7 2956978.4 201626.5 1009385.8 872286.1 305241.2
8 0.3 8000 42584.7 15012.6 16438.6 15121.9 9697 9735.4 3819681.8 280584.3 1375180.1 1252343.5 399811.6
8 0.3 9000 79554.8 28268.4 33992.6 27324.9 15324.9 15174.3 6174044.3 560663.7 2463345.8 2165601.7 761099.1
8 0.4 300 3.2 0 0 0 1 1 72.4 4.6 3.6 7.2 3.2
8 0.4 500 11.2 1.3 1.8 1.3 4 3.8 297.9 15.2 32.9 36.9 21.1
8 0.4 750 30.3 5.9 6.5 6.3 10.7 10.8 986.5 44.2 133.1 157.8 111.1
8 0.4 1000 63.7 15.4 17.4 15.5 20.5 19.6 2344.7 97.5 476.6 518 349.7
8 0.4 1250 120.9 32.6 36.7 32.9 37.3 38.3 6206.5 320.5 1557.8 1432.5 908.7
8 0.4 1500 237.3 75.8 85.5 75.6 78.4 78.8 11657.1 683 3737.6 3336.9 1980.4
8 0.4 2000 609.3 247.7 280.2 248.1 223.7 222.6 33045.2 2283.9 16984.1 14581.3 8455.1
8 0.4 2500 1343.7 645.2 764.5 649.4 501.7 501 77293.6 5914.3 56004.8 46853.2 23780.7
8 0.4 3000 2968.7 1500.6 2071.2 1509.7 935.5 936.3 160216.5 13793.5 151131.1 127373.3 55856.5
8 0.4 3500 6548 3431.1 4473.6 3406.3 1702.2 1669.4 298272.6 29082.6 371390.4 314143 131746.7
8 0.4 4000 13604.9 6935 8369.7 6885.2 2695.3 2630.7 515129 58676 836200.6 690947.7 260868.1
8 0.4 4500 25148.2 12292.4 15178.9 12379.4 4031.8 4012.1 839119.6 109410.4 1676595.3 1403131.2 492993.7
8 0.4 5000 44783.2 21932.9 25658.6 21697.1 6346.2 6258.3 1338183 204733 3167115.5 2698121 835295.5
8 0.4 5500 80526.6 36847.2 44679.6 36883.7 10115.5 10082.4 2097301.7 371397.8 5905707.5 4997005.6 1397117.1
8 0.4 6000 136866.5 57640.4 67987.7 57883.8 13971.8 13938.6 3113267.9 631513.8 9376297.6 7986166.6 2420545.2
8 0.4 6500 215512.1 83344.3 96418 84482.9 18977.4 18805.8 4400075.6 976322.6 10000000 10000000 3550358.2
8 0.4 7000 323690 121542 138739.4 123386.9 26326.5 26279.1 6122474.5 1530603.1 10000000 10000000 5773565.5
