instance mcsp0 mcsp1 mcsp2 mcsp3 csia
mcs10_r02_s20_AB03 4 4 4 4 4
mcs10_r02_s20_AB04 1 1 1 1 1
mcs10_r02_s20_AB05 292 292 292 292 292
mcs10_r02_s20_AB06 3 3 3 3 3
mcs10_r02_s20_AB07 414 414 414 414 414
mcs10_r02_s20_AB08 479 479 479 479 479
mcs10_r02_s20_AB09 14 14 14 14 14
mcs10_r02_s25_AB00 65 65 65 65 65
mcs10_r02_s25_AB01 197 197 197 197 197
mcs10_r02_s25_AB02 32 32 32 32 32
mcs10_r02_s25_AB03 1 1 1 1 1
mcs10_r02_s25_AB04 72 72 72 72 72
mcs10_r02_s25_AB05 51 51 51 51 51
mcs10_r02_s25_AB06 58 58 58 58 58
mcs10_r02_s25_AB07 45 45 45 45 45
mcs10_r02_s25_AB08 47 47 47 47 47
mcs10_r02_s25_AB09 69 69 69 69 69
mcs10_r02_s30_AB00 1 1 1 1 1
mcs10_r02_s30_AB01 1 1 1 1 1
mcs10_r02_s30_AB02 294 294 294 294 294
mcs10_r02_s30_AB03 115 115 115 115 115
mcs10_r02_s30_AB04 632 632 632 632 632
mcs10_r02_s30_AB05 1 1 1 1 1
mcs10_r02_s30_AB06 72 72 72 72 72
mcs10_r02_s30_AB07 1 1 1 1 1
mcs10_r02_s30_AB08 155 155 155 155 155
mcs10_r02_s30_AB09 209 209 209 209 209
mcs10_r02_s35_AB00 597 597 -1 -1 -1
mcs10_r02_s35_AB01 1 1 -1 -1 -1
mcs10_r02_s35_AB02 276 276 -1 -1 -1
mcs10_r02_s35_AB03 98 98 -1 -1 -1
mcs10_r02_s35_AB04 443 443 -1 -1 -1
mcs10_r02_s35_AB05 80 80 -1 -1 -1
mcs10_r02_s35_AB06 429 429 -1 -1 -1
mcs10_r02_s35_AB07 618 618 -1 -1 -1
mcs10_r02_s35_AB08 133 133 -1 -1 -1
mcs10_r02_s35_AB09 207 207 -1 -1 -1
mcs10_r02_s40_AB00 -1 -1 -1 -1 -1
mcs10_r02_s40_AB01 -1 -1 -1 -1 -1
mcs10_r02_s40_AB02 -1 -1 -1 -1 -1
mcs10_r02_s40_AB03 -1 -1 -1 -1 -1
mcs10_r02_s40_AB04 -1 -1 -1 -1 -1
mcs10_r02_s40_AB05 -1 -1 -1 -1 -1
mcs10_r02_s40_AB06 -1 -1 -1 -1 -1
mcs10_r02_s40_AB07 -1 -1 -1 -1 -1
mcs10_r02_s40_AB08 -1 -1 -1 -1 -1
mcs10_r02_s40_AB09 -1 -1 -1 -1 -1
mcs10_r02_s50_AB00 -1 -1 -1 -1 -1
