instance mcsp0 mcsp1 mcsp2 mcsp3 csia
mcs30_b03m_s15_AB06 11 11 42 59 49
mcs30_b03m_s15_AB07 8 8 16 65 63
mcs30_b03m_s15_AB08 6 7 25 57 28
mcs30_b03m_s15_AB09 4 4 9 65 43
mcs30_b03m_s20_AB00 106 115 505 1427 4363
mcs30_b03m_s20_AB01 120 136 358 447 661
mcs30_b03m_s20_AB02 144 72 614 7146 3724
mcs30_b03m_s20_AB03 140 154 597 1553 2750
mcs30_b03m_s20_AB04 67 40 350 1570 778
mcs30_b03m_s20_AB05 71 72 484 1706 1051
mcs30_b03m_s20_AB06 56 29 507 8845 5121
mcs30_b03m_s20_AB07 44 23 182 1084 577
mcs30_b03m_s20_AB08 54 57 352 994 761
mcs30_b03m_s20_AB09 89 92 548 1026 3102
mcs30_b03m_s25_AB00 86 132 1571 49449 52545
mcs30_b03m_s25_AB01 323 308 3833 80000 49310
mcs30_b03m_s25_AB02 372 319 2933 13942 29558
mcs30_b03m_s25_AB03 677 624 19694 80000 80000
mcs30_b03m_s25_AB04 1904 1274 9422 80000 55113
mcs30_b03m_s25_AB05 456 245 5298 80000 80000
mcs30_b03m_s25_AB06 441 417 2276 16167 80000
mcs30_b03m_s25_AB07 659 450 10314 80000 80000
mcs30_b03m_s25_AB08 7815 6631 80000 80000 80000
mcs30_b03m_s25_AB09 399 282 3845 29277 31149
mcs30_b03m_s30_AB00 4928 5104 80000 80000 80000
mcs30_b03m_s30_AB01 1313 1355 23894 80000 80000
mcs30_b03m_s30_AB02 4470 4437 80000 80000 80000
mcs30_b03m_s30_AB03 2897 2849 80000 80000 80000
mcs30_b03m_s30_AB04 3466 3424 80000 80000 80000
mcs30_b03m_s30_AB05 8701 8498 80000 80000 80000
mcs30_b03m_s30_AB06 17468 17659 80000 80000 80000
mcs30_b03m_s30_AB07 2375 1862 80000 80000 80000
mcs30_b03m_s30_AB08 4375 4268 80000 80000 80000
mcs30_b03m_s30_AB09 1894 1883 35924 80000 80000
mcs30_b03m_s35_AB00 11780 12105 80000 80000 80000
mcs30_b03m_s35_AB01 25787 25896 80000 80000 80000
mcs30_b03m_s35_AB02 2988 3278 80000 80000 80000
mcs30_b03m_s35_AB03 19720 21287 80000 80000 80000
mcs30_b03m_s35_AB04 18585 18836 80000 80000 80000
mcs30_b03m_s35_AB05 62649 65927 80000 80000 80000
mcs30_b03m_s35_AB06 27810 28206 80000 80000 80000
mcs30_b03m_s35_AB07 19885 19455 80000 80000 80000
mcs30_b03m_s35_AB08 28252 28563 80000 80000 80000
mcs30_b03m_s35_AB09 80000 80000 80000 80000 80000
mcs30_b03m_s40_AB00 80000 80000 80000 80000 80000
mcs30_b03m_s40_AB01 80000 80000 80000 80000 80000
mcs30_b03m_s40_AB02 80000 80000 80000 80000 80000
mcs30_b03m_s40_AB03 80000 80000 80000 80000 80000
mcs30_b03m_s40_AB04 80000 80000 80000 80000 80000
mcs30_b03m_s40_AB05 80000 80000 80000 80000 80000
mcs30_b03m_s40_AB06 80000 80000 80000 80000 80000
mcs30_b03m_s40_AB07 80000 80000 80000 80000 80000
mcs30_b03m_s40_AB08 80000 80000 80000 80000 80000
mcs30_b03m_s40_AB09 80000 80000 80000 80000 80000
mcs30_b03m_s50_AB00 80000 80000 80000 80000 80000
mcs30_b03m_s50_AB01 80000 80000 80000 80000 80000
mcs30_b03m_s50_AB02 80000 80000 80000 80000 80000
mcs30_b03m_s50_AB03 80000 80000 80000 80000 80000
mcs30_b03m_s50_AB04 80000 80000 80000 80000 80000
mcs30_b03m_s50_AB05 80000 80000 80000 80000 80000
mcs30_b03m_s50_AB06 80000 80000 80000 80000 80000
mcs30_b03m_s50_AB07 80000 80000 80000 80000 80000
mcs30_b03m_s50_AB08 80000 80000 80000 80000 80000
mcs30_b03m_s50_AB09 80000 80000 80000 80000 80000
mcs30_b06_s25_AB00 964 1069 4097 4432 6918
mcs30_b06_s25_AB01 586 507 2174 4240 4376
mcs30_b06_s25_AB02 505 560 2447 4146 5748
mcs30_b06_s25_AB03 762 784 3674 7133 6750
mcs30_b06_s25_AB04 1367 1290 4478 9014 14976
mcs30_b06_s25_AB05 593 660 3458 6728 7051
mcs30_b06_s25_AB06 965 857 3737 23076 14555
mcs30_b06_s25_AB07 630 661 3167 3460 5206
mcs30_b06_s25_AB08 2042 1887 17935 36593 39813
mcs30_b06_s25_AB09 390 397 1750 8436 15079
mcs30_b06_s30_AB00 14499 16224 80000 80000 80000
mcs30_b06_s30_AB01 10206 11175 57443 80000 80000
mcs30_b06_s30_AB02 9346 10256 80000 80000 80000
mcs30_b06_s30_AB03 4931 5417 50311 80000 80000
mcs30_b06_s30_AB04 9585 10650 54397 80000 80000
mcs30_b06_s30_AB05 20845 22377 80000 80000 80000
mcs30_b06_s30_AB06 4210 4704 33904 50887 80000
mcs30_b06_s30_AB07 9593 9877 49351 80000 80000
mcs30_b06_s30_AB08 14955 16145 80000 80000 80000
mcs30_b06_s30_AB09 2617 3392 47452 80000 80000
mcs30_b06_s35_AB00 80000 80000 80000 80000 80000
mcs30_b06_s35_AB01 80000 80000 80000 80000 80000
mcs30_b06_s35_AB02 80000 80000 80000 80000 80000
mcs30_b06_s35_AB03 80000 80000 80000 80000 80000
mcs30_b06_s35_AB04 80000 80000 80000 80000 80000
mcs30_b06_s35_AB05 80000 80000 80000 80000 80000
mcs30_b06_s35_AB06 80000 80000 80000 80000 80000
mcs30_b06_s35_AB07 80000 80000 80000 80000 80000
mcs30_b06_s35_AB08 62539 67193 80000 80000 80000
mcs30_b06_s35_AB09 80000 80000 80000 80000 80000
mcs30_b06_s40_AB00 80000 80000 80000 80000 80000
mcs30_b06_s40_AB01 80000 80000 80000 80000 80000
mcs30_b06_s40_AB02 80000 80000 80000 80000 80000
mcs30_b06_s40_AB03 80000 80000 80000 80000 80000
mcs30_b06_s40_AB04 80000 80000 80000 80000 80000
mcs30_b06_s40_AB05 80000 80000 80000 80000 80000
mcs30_b06_s40_AB06 80000 80000 80000 80000 80000
mcs30_b06_s40_AB07 80000 80000 80000 80000 80000
mcs30_b06_s40_AB08 80000 80000 80000 80000 80000
mcs30_b06_s40_AB09 80000 80000 80000 80000 80000
mcs30_b06_s50_AB00 80000 80000 80000 80000 80000
mcs30_b06_s50_AB01 80000 80000 80000 80000 80000
mcs30_b06_s50_AB02 80000 80000 80000 80000 80000
mcs30_b06_s50_AB03 80000 80000 80000 80000 80000
mcs30_b06_s50_AB04 80000 80000 80000 80000 80000
mcs30_b06_s50_AB05 80000 80000 80000 80000 80000
mcs30_b06_s50_AB06 80000 80000 80000 80000 80000
