instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts
si6_b09m_m400.08 0 72 57 58
si6_b09m_m400.02 0 69 58 59
si6_b09m_m400.05 0 71 57 60
si6_b09m_m400.09 0 74 57 61
si6_b09m_m400.01 0 70 57 60
si2_b09_m200.08 0 3 18 9
si2_b09_m200.01 0 3 8 18
si2_b09_m200.06 0 3 8 18
si2_b09_m200.05 0 1 17 8
si2_b09_m200.00 0 3 8 17
si2_b09_m200.02 0 3 17 8
si2_b09_m200.03 0 3 8 18
si2_b09_m200.04 0 3 17 8
si2_b09_m200.09 0 3 11 18
si2_b09_m200.07 0 1 8 18
si6_r01_m600.02 68 210642 11023 8755
si6_r01_m600.06 2 183728 507 1045
si6_r01_m600.09 178 81793 31097 31422
si6_r01_m600.08 1386 275775 273712 298286
si6_r01_m600.05 5 180334 787 1383
si6_r01_m600.07 163 329945 25205 40391
si6_r01_m600.03 93 159029 13761 9631
si6_r01_m600.00 50 46624 7209 8278
si6_r01_m600.01 12 887762 2261 2343
si6_r01_m600.04 250 587453 91393 90392
si2_b06_m200.02 0 3 16 16
si2_b06_m200.00 0 3 16 16
si2_b06_m200.01 0 3 16 16
si2_b06_m200.06 0 3 16 16
si2_b06_m200.09 0 3 16 16
si2_b06_m200.07 0 3 16 16
si2_b06_m200.04 0 3 16 16
si2_b06_m200.08 0 3 16 16
si2_b06_m200.03 0 3 16 16
si2_b06_m200.05 0 3 15 16
si6_m4Dr2_m1296.05 3 812 834 779
si6_m4Dr2_m1296.09 3 579 1388 801
si6_m4Dr2_m1296.01 3 611 1168 718
si6_m4Dr2_m1296.06 2 512 765 828
si6_m4Dr2_m1296.07 3 791 792 1360
si6_m4Dr2_m1296.03 3 420 828 863
si6_m4Dr2_m1296.04 3 470 806 777
si6_m4Dr2_m1296.00 3 594 967 780
si6_m4Dr2_m1296.08 2 760 1254 793
si6_m4Dr2_m1296.02 2 578 1172 1301
si2_b09m_m800.09 0 174 164 273
si2_b09m_m800.07 18628 102 256 288
si2_b09m_m800.00 0 101 161 275
si2_b09m_m800.04 0 103 259 286
si2_b09m_m800.02 0 73 280 282
si2_b09m_m800.05 0 60 282 148
si2_b09m_m800.03 0 103 199 288
si2_b09m_m800.08 0 99 135 182
si2_b09m_m800.06 0 109 194 283
si2_b09m_m800.01 0 100 201 277
si4_b03_m400.01 0 21 88 89
si4_b03_m400.02 0 21 88 59
si4_b03_m400.05 0 21 88 88
si4_b03_m400.07 0 21 78 89
si4_b03_m400.06 0 21 89 89
si4_b03_m400.00 0 21 87 89
si4_b03_m400.03 0 21 88 66
si4_b03_m400.04 0 21 89 89
si4_b03_m400.09 0 21 87 89
si4_b03_m400.08 0 10 87 89
si2_b03_m200.05 0 3 14 14
si2_b03_m200.09 0 3 14 15
si2_b03_m200.07 0 3 14 15
si2_b03_m200.01 0 3 14 15
si2_b03_m200.08 0 3 15 15
si2_b03_m200.02 0 3 14 15
si2_b03_m200.04 0 3 14 15
si2_b03_m200.03 0 3 14 15
si2_b03_m200.06 0 3 14 14
si2_b03_m200.00 0 3 14 14
si4_r005_m600.00 45 28497 5087 5224
si4_r005_m600.02 52 8071 3733 3247
si4_r005_m600.08 304 31013 30315 35408
si4_r005_m600.05 144 17541 10632 10966
si4_r005_m600.07 71 13614 6556 1219
si4_r005_m600.06 105 86480 11551 22077
si4_r005_m600.01 21 25437 2096 1079
si4_r005_m600.04 153 22886 14488 13835
si4_r005_m600.03 17 9728 2164 2918
si4_r005_m600.09 4 8445 728 839
si4_b09_m400.05 0 21 46 97
si4_b09_m400.03 0 10 96 49
si4_b09_m400.00 0 21 46 79
si4_b09_m400.07 0 22 46 99
si4_b09_m400.01 0 17 46 97
si4_b09_m400.06 0 21 46 98
si4_b09_m400.04 0 10 96 48
si4_b09_m400.02 0 21 46 62
si4_b09_m400.08 0 22 45 79
si4_b09_m400.09 0 21 46 96
si4_b06m_m400.06 0 46 41 42
si4_b06m_m400.03 0 23 80 42
si4_b06m_m400.01 0 47 40 42
si4_b06m_m400.08 0 47 40 42
si4_b06m_m400.05 0 48 41 43
si4_b06m_m400.07 0 45 41 42
si4_b06m_m400.00 0 47 41 42
si4_b06m_m400.04 0 45 41 84
si4_b06m_m400.09 0 23 83 43
si4_b06m_m400.02 0 47 40 83
si2_m4Dr2_m625.05 1 148 74 75
si2_m4Dr2_m625.00 0 126 81 98
si2_m4Dr2_m625.08 0 68 72 73
si2_m4Dr2_m625.09 0 99 73 75
si2_m4Dr2_m625.06 2 444 81 146
si2_m4Dr2_m625.04 4 61 140 125
si2_m4Dr2_m625.01 2 149 77 125
si2_m4Dr2_m625.03 0 292 78 79
si2_m4Dr2_m625.02 1 132 77 77
si2_m4Dr2_m625.07 0 68 76 77
si2_r005_m200.02 0 126 18 17
si2_r005_m200.01 2141 17947 6802 4617
si2_r005_m200.03 14 389 173 151
si2_r005_m200.05 221 3632 3091 4458
si2_r005_m200.08 104 2076 473 296
si2_r005_m200.04 52 122 563 359
si2_r005_m200.09 40 1104 54 157
si2_r005_m200.06 8 429 122 123
si2_r005_m200.00 44 1383 969 1226
si2_r005_m200.07 28 298 115 115
si4_b03m_m400.03 0 48 70 72
si4_b03m_m400.09 0 49 37 74
si4_b03m_m400.08 0 53 72 74
si4_b03m_m400.04 0 51 72 75
si4_b03m_m400.00 0 48 73 74
si4_b03m_m400.01 0 51 73 75
si4_b03m_m400.07 0 48 35 73
si4_b03m_m400.02 0 50 74 75
si4_b03m_m400.06 0 48 75 77
si4_b03m_m400.05 0 47 71 72
si2_r01_m600.01 1942 413985 75597 76927
si2_r01_m600.06 6907 325530 267214 165334
si2_r01_m600.09 15020 1000000 705836 496673
si2_r01_m600.08 29576 914601 1000000 887806
si2_r01_m600.04 6347 513310 253473 285163
si2_r01_m600.02 8637 927560 297947 96186
si2_r01_m600.00 4002 1000000 158650 110741
si2_r01_m600.07 2595 751710 91681 58400
si2_r01_m600.03 3896 826616 169976 199274
si2_r01_m600.05 5107 521424 207565 181242
