instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
si2_b09_m400.07 0 11 67 66 0.185185
si2_b09_m400.09 0 11 66 67 0.185185
si2_b09_m400.06 0 5 66 32 0.185185
si2_b09_m400.00 0 11 67 67 0.185185
si4_b06_m200.06 0 5 23 23 0.185185
si4_b06_m200.03 0 5 23 23 0.185185
si4_b06_m200.02 0 5 23 11 0.185185
si4_b06_m200.07 0 5 11 11 0.185185
si4_b06_m200.05 0 5 23 23 0.185185
si4_b06_m200.08 0 5 23 23 0.185185
si4_b06_m200.00 0 5 23 23 0.185185
si4_b06_m200.04 0 5 23 23 0.185185
si4_b06_m200.01 0 2 23 23 0.185185
si4_b06_m200.09 0 5 21 23 0.185185
si6_b09_m800.03 1 139 262 268 0.185185
si6_b09_m800.09 1 63 262 482 0.185185
si6_b09_m800.07 1 139 341 276 0.185185
si6_b09_m800.05 1 64 262 468 0.185185
si6_b09_m800.04 1 63 551 397 0.185185
si6_b09_m800.01 1 68 554 272 0.185185
si6_b09_m800.00 1 94 553 530 0.185185
si6_b09_m800.02 1 74 287 270 0.185185
si6_b09_m800.06 1 113 553 374 0.185185
si6_b09_m800.08 0 64 552 565 0.185185
si6_b06m_m400.00 0 34 52 105 0.185185
si6_b06m_m400.08 0 68 51 103 0.185185
si6_b06m_m400.03 0 52 101 102 0.185185
si6_b06m_m400.04 0 57 63 53 0.185185
si6_b06m_m400.06 0 70 62 103 0.185185
si6_b06m_m400.07 0 37 99 51 0.185185
si6_b06m_m400.09 0 71 102 104 0.185185
si6_b06m_m400.02 0 66 98 101 0.185185
si6_b06m_m400.01 0 68 49 80 0.185185
si6_b06m_m400.05 0 34 102 104 0.185185
si4_b09m_m200.01 0 11 25 25 0.185185
si4_b09m_m200.00 0 12 25 25 0.185185
si4_b09m_m200.03 0 11 25 25 0.185185
si4_b09m_m200.06 0 11 25 25 0.185185
si4_b09m_m200.02 0 11 25 25 0.185185
si4_b09m_m200.04 0 13 24 24 0.185185
si4_b09m_m200.05 0 12 24 25 0.185185
si4_b09m_m200.07 0 11 12 25 0.185185
si4_b09m_m200.08 0 12 24 25 0.185185
si4_b09m_m200.09 0 11 25 25 0.185185
si2_b06m_m400.03 0 25 30 62 0.185185
si2_b06m_m400.06 0 25 34 62 0.185185
si2_b06m_m400.05 0 25 60 61 0.185185
si2_b06m_m400.01 0 25 61 34 0.185185
si2_b06m_m400.00 0 25 60 61 0.185185
si2_b06m_m400.08 0 31 60 61 0.185185
si2_b06m_m400.07 0 25 60 61 0.185185
si2_b06m_m400.09 0 27 61 61 0.185185
si2_b06m_m400.04 0 26 62 31 0.185185
si2_b06m_m400.02 0 23 30 61 0.185185
si6_b03_m800.02 0 63 528 538 0.185185
si6_b03_m800.04 0 64 259 255 0.185185
si6_b03_m800.03 0 139 332 386 0.185185
si6_b03_m800.05 0 65 245 298 0.185185
si6_b03_m800.06 0 138 449 396 0.185185
si6_b03_m800.01 0 138 514 461 0.185185
si6_b03_m800.00 0 63 244 536 0.185185
si6_b03_m800.07 0 138 349 249 0.185185
si6_b03_m800.09 0 139 361 488 0.185185
si6_b03_m800.08 0 139 254 316 0.185185
si6_b03m_m400.03 0 75 94 54 0.185185
si6_b03m_m400.01 0 72 94 96 0.185185
si6_b03m_m400.09 0 56 94 97 0.185185
si6_b03m_m400.08 0 43 45 94 0.185185
si6_b03m_m400.07 0 72 92 94 0.185185
si6_b03m_m400.02 0 79 44 46 0.185185
si6_b03m_m400.05 0 72 45 95 0.185185
si6_b03m_m400.00 0 64 70 94 0.185185
si6_b03m_m400.06 0 72 93 46 0.185185
si6_b03m_m400.04 0 75 74 95 0.185185
si6_b06m_m800.07 1 301 246 345 0.185185
si6_b06m_m800.04 1 291 442 387 0.185185
si6_b06m_m800.01 1 151 209 256 0.185185
si6_b06m_m800.00 1 301 431 441 0.185185
si6_b06m_m800.05 1 306 207 441 0.185185
si6_b06m_m800.08 1 242 432 446 0.185185
si6_b06m_m800.09 1 296 211 322 0.185185
si6_b06m_m800.02 1 159 212 219 0.185185
si6_b06m_m800.03 1 272 439 447 0.185185
si6_b06m_m800.06 1 298 437 219 0.185185
si2_b03_m800.07 0 47 260 264 0.185185
si2_b03_m800.08 0 47 146 263 0.185185
si2_b03_m800.04 0 47 261 264 0.185185
si2_b03_m800.05 0 47 259 146 0.185185
si2_b03_m800.09 0 47 261 263 0.185185
si2_b03_m800.00 0 47 260 263 0.185185
si2_b03_m800.02 0 47 228 263 0.185185
si2_b03_m800.03 0 47 259 262 0.185185
si2_b03_m800.01 0 47 121 264 0.185185
si2_b03_m800.06 0 47 260 167 0.185185
si4_b03m_m200.05 0 11 18 18 0.185185
si4_b03m_m200.02 0 12 18 18 0.185185
si4_b03m_m200.04 0 12 17 18 0.185185
si4_b03m_m200.07 0 12 17 17 0.185185
si4_b03m_m200.00 0 12 18 18 0.185185
si4_b03m_m200.06 0 12 18 18 0.185185
si4_b03m_m200.03 0 11 18 18 0.185185
si4_b03m_m200.09 0 11 18 18 0.185185
si4_b03m_m200.08 0 12 17 18 0.185185
si4_b03m_m200.01 0 12 17 17 0.185185
si2_b06m_m200.04 0 6 16 16 0.185185
si2_b06m_m200.03 0 6 15 15 0.185185
si2_b06m_m200.08 0 5 15 16 0.185185
si2_b06m_m200.06 0 6 16 16 0.185185
