instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts
g33-g99 X X X X
g34-g109 120 120 120 120
g34-g57 X X X X
g34-g71 X X X X
g34-g83 120 120 120 120
g34-g95 X X X X
g35-g105 X X X X
g35-g53 X X X X
g35-g67 X X X X
g35-g78 X X X X
g35-g90 X X X X
g36-g101 X X X X
g36-g111 X X X X
g36-g62 X X X X
g36-g74 X X X X
g36-g85 X X X X
g36-g97 X X X X
g37-g107 X X X X
g37-g55 X X X X
g37-g69 X X X X
g37-g80 X X X X
g37-g92 X X X X
g38-g103 107 X X X
g38-g51 X X X X
g38-g64 X X X X
g38-g76 X X X X
g38-g88 108 X 108 108
g38-g99 106 106 106 106
g39-g109 X X X X
g39-g57 X X X X
g39-g71 X X X X
g39-g83 X X X X
g39-g95 X X X X
g4-g105 10 10 10 10
g4-g53 8 8 8 8
g4-g67 2 2 2 2
g4-g78 2 2 2 2
g4-g90 2 2 2 2
g40-g101 X X X X
g40-g111 X X X X
g40-g62 X X X X
g40-g74 X X X X
g40-g85 X X X X
g40-g97 X X X X
g41-g107 X X X X
g41-g55 X X X X
g41-g69 X X X X
g41-g80 X X X X
g41-g92 X X X X
g42-g103 X X X X
g42-g51 X X X X
g42-g64 X X X X
g42-g76 X X X X
g42-g88 X X X X
g42-g99 X X X X
g43-g109 X X X X
g43-g57 X X X X
g43-g71 X X X X
g43-g83 X X X X
g43-g95 X X X X
g44-g105 X X X X
g44-g53 X X X X
g44-g67 X X X X
g44-g78 X X X X
g44-g90 X X X X
g45-g101 X X X X
g45-g111 X X X X
g45-g62 X X X X
g45-g74 X X X X
g45-g85 X X X X
g45-g97 X X X X
g46-g107 X X X X
g46-g55 X X X X
g46-g69 X X X X
g46-g80 X X X X
g46-g92 X X X X
g47-g103 X X X X
g47-g51 X X X X
g47-g64 X X X X
g47-g76 X X X X
g47-g88 X X X X
g47-g99 X X X X
g48-g109 X X X X
g48-g57 X X X X
g48-g71 X X X X
g48-g83 X X X X
g48-g95 X X X X
g49-g105 X X X X
g49-g53 X X X X
g49-g67 X X X X
g49-g78 X X X X
g49-g90 X X X X
g5-g101 10 10 10 10
g5-g111 10 10 10 10
g5-g62 10 10 10 10
g5-g74 10 10 10 10
g5-g85 10 10 10 10
g5-g97 10 10 10 10
g50-g107 X X X X
g50-g55 X X X X
g50-g69 X X X X
g50-g80 X X X X
g50-g92 X X X X
g6-g103 X X X X
g6-g51 17 17 17 17
g6-g64 19 19 19 19
g6-g76 X X X X
g6-g88 16 X X X
g6-g99 16 16 16 16
g7-g109 10 10 10 10
g7-g57 10 10 10 10
g7-g71 10 10 10 10
g7-g83 11 11 11 11
g7-g95 10 10 10 10
g8-g105 25 X X X
g8-g53 X X X X
g8-g67 X X X X
g8-g78 X X X X
g8-g90 X X X X
g9-g101 X X X X
g9-g111 X X X X
g9-g62 X X X X
g9-g74 X X X X
g9-g85 X X X X
g9-g97 34 34 34 X
g10-g93-normed X 41 X X
g12-g59-normed 34 X X X
g13-g66-normed X X X X
g14-g82-normed X X X X
g15-g93-normed X X X X
g17-g59-normed X X X X
g18-g66-normed X X X X
g19-g82-normed X X X X
g2-g93-normed 10 10 10 10
g21-g59-normed 10 X 10 10
