mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit+r mcsplit+S
385 456 430 473 337 400 405
100005 100004 100000 100000 100003 100007 100008
100000 100008 100005 100009 100007 100007 100006
8565 9075 16497 17428 9155 10979 8509
100003 100006 100002 100003 100003 100008 100003
354 357 376 380 259 265 355
100003 100009 100002 100000 100006 100007 100001
100003 100006 100009 100005 100001 100004 100008
0 0 0 0 0 0 0
1174 1186 1207 1201 879 997 1184
100003 100008 100004 100009 100000 100001 100009
82 93 82 87 55 61 61
4 5 6 7 4 5 4
0 0 0 0 0 0 0
1 1 1 1 1 1 1
571 599 689 726 844 962 572
4 5 5 5 4 4 4
0 0 0 0 0 0 0
66 73 74 74 88 101 69
100004 100008 100003 100004 100002 100001 100009
1 1 1 1 0 1 1
101 132 117 120 102 125 101
