instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-954 42 0.893148 40 0.874359 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-641 39 0.504723 22 0.748918 10815530 12210075 10815530 12210075 15161672 10166510 17950963 20994099 17950963 20994099 11978389 7813360 11978389 7813360
r-895 22 0.887446 48 0.460106 3213161 3693586 3693586 3213161 7592038 2578962 4883893 5871955 5871955 4883893 3869170 3773101 3773101 3869170
r-658 23 0.573123 32 0.183468 254119 675718 254119 254119 800661 208750 394274 1009596 394274 394274 237810 404023 237810 237810
r-479 29 0.123153 20 0.731579 56971 19014 19014 19014 63966 14173 84669 24144 24144 24144 43020 18630 18630 18630
r-740 14 0.934066 24 0.0978261 1742 1549 1549 1742 1673 1131 2933 3610 3610 2933 2454 2234 2234 2454
r-390 15 0.914286 40 0.512821 173949 348876 348876 173949 648853 153295 221543 530790 530790 221543 228318 526902 526902 228318
r-15 39 0.425101 14 0.428571 388027 19556 19556 19556 405045 19847 504868 19558 19558 19558 281940 49460 49460 49460
r-473 41 0.830488 10 0.444444 7141 1246 1246 1246 8063 1232 8870 1248 1248 1248 14442 874 874 874
r-613 35 0.166387 25 0.8 148884 96372 96372 96372 204460 77023 242940 160733 160733 160733 282675 209088 209088 209088
r-20 10 0.0444444 42 0.912892 2461 1113 1113 2461 1991 1721 3797 3109 3109 3797 2521 1786 1786 2521
r-427 11 0.672727 24 0.40942 2001 5968 5968 2001 5646 1835 2296 7995 7995 2296 908 8888 8888 908
r-455 15 0.914286 30 0.645977 321548 375580 375580 321548 684408 266095 364507 523238 523238 364507 573406 938983 938983 573406
r-307 20 0.873684 17 0.867647 1415 306 306 306 1491 298 1697 308 308 308 1682 203 203 203
r-63 48 0.475177 25 0.543333 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
