instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-726 23 0.284585 11 0.945455 2454 6026 2454 6026 5155 3777 3679 10054 3679 10054 5864 9097 5864 9097
r-320 28 0.505291 19 0.74269 655825 1362195 655825 1362195 1000777 1180740 1025421 2334558 1025421 2334558 935908 1186528 935908 1186528
r-590 34 0.491979 35 0.156303 8141664 36905110 8141664 8141664 22893815 12179991 13579834 68542589 13579834 13579834 18743575 32432225 18743575 18743575
r-873 23 0.383399 13 0.628205 25236 20079 25236 20079 28833 19057 33716 24776 33716 24776 46921 36426 46921 36426
r-566 29 0.916256 23 0.652174 791216 97654 97654 97654 696959 173061 1215209 138466 138466 138466 1194152 336787 336787 336787
r-243 22 0.112554 31 0.683871 147497 84634 84634 147497 168418 86733 249897 125506 125506 249897 219779 134219 134219 219779
r-26 22 0.337662 34 0.427807 17011550 17699222 17699222 17011550 20761287 16092963 29202317 31593231 31593231 29202317 16329794 20717824 20717824 16329794
r-872 11 0.927273 32 0.625 19314 25486 25486 19314 39784 14922 18542 24804 24804 18542 2632 1326 1326 2632
r-103 10 0.822222 18 0.588235 1531 1890 1890 1531 2202 1472 1761 2113 2113 1761 1473 1902 1902 1473
r-991 34 0.131907 10 0.288889 72473 293 293 293 72474 295 72509 324 324 324 57543 56307 56307 56307
r-354 20 0.294737 14 0.252747 22500 8834 22500 8834 23825 8212 30624 10166 30624 10166 27417 18524 27417 18524
r-474 40 0.942308 19 0.0818713 5630 7664 7664 7664 6592 6140 12283 13661 13661 13661 6112 9057 9057 9057
r-823 40 0.0923077 11 0.454545 10506 2051 2051 2051 11053 2360 14068 2421 2421 2421 5976 1835 1835 1835
r-836 12 0.106061 29 0.433498 7860 16969 16969 7860 21254 7380 5192 11229 11229 5192 6685 26823 26823 6685
r-720 31 0.597849 36 0.501587 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-6 23 0.304348 37 0.53003 16400643 16133561 16133561 16400643 20719143 13800570 26527503 27365260 27365260 26527503 14714632 26597752 26597752 14714632
r-998 37 0.39039 15 0.428571 984590 203661 203661 203661 1017825 206296 1400914 255171 255171 255171 971600 278971 278971 278971
r-87 24 0.971014 39 0.712551 -1 4806772 4806772 -1 -1 -1 -1 6251381 6251381 -1 -1 -1 -1 -1
r-429 27 0.210826 22 0.640693 126529 162059 162059 162059 185476 91862 160271 244940 244940 244940 397114 323814 323814 323814
r-398 14 0.692308 17 1 147349 8867717 147349 147349 8470848 147349 73498 9746901 73498 73498 90953 8667060 90953 90953
r-969 34 0.285205 10 0.288889 205 212 212 212 205 222 218 195 195 195 39 69 69 69
r-37 18 0.24183 31 0.591398 559981 325600 325600 559981 532607 421779 798243 456481 456481 798243 846777 705729 705729 846777
r-132 25 0.46 23 0.225296 584708 1451237 584708 1451237 933744 1207475 898314 2572750 898314 2572750 991715 1102417 991715 1102417
r-105 38 0.559033 16 0.808333 1087671 1168969 1087671 1168969 1292400 1090386 1595342 1597249 1595342 1597249 1713548 1041924 1713548 1041924
r-993 39 0.155196 19 0.438596 859360 46116 46116 46116 822887 93994 1381366 61338 61338 61338 734602 557605 557605 557605
r-761 23 0.695652 36 0.453968 12436552 13862911 13862911 12436552 16936399 11145563 19788424 24122187 24122187 19788424 20072022 20667059 20667059 20072022
r-887 30 0.347126 29 0.268473 28524062 50696587 28524062 50696587 40370220 42523219 48541846 90022760 48541846 90022760 35664748 48606052 35664748 48606052
r-608 33 0.198864 15 0.257143 120546 8161 8161 8161 122924 8798 139759 8686 8686 8686 108862 50100 50100 50100
r-703 23 0.822134 19 0.146199 5592 5565 5592 5565 5493 3402 8596 8249 8596 8249 9240 14322 9240 14322
r-157 32 0.016129 23 0.916996 1726 1521 1521 1521 1574 1003 9709 7395 7395 7395 2065 2140 2140 2140
r-787 24 0.057971 11 0.454545 1923 480 480 480 2082 463 2411 294 294 294 2039 399 399 399
r-576 24 0.992754 40 0.462821 83703971 1797215 1797215 83703971 53179541 9490098 115168768 2507559 2507559 115168768 98622417 10768980 10768980 98622417
r-918 35 0.29916 38 0.163585 160351883 -1 160351883 160351883 -1 218435698 251181493 -1 251181493 251181493 -1 -1 -1 -1
r-707 22 0.0692641 26 0.572308 220455 22810 22810 220455 120623 48490 295930 25678 25678 295930 199957 37720 37720 199957
r-80 12 0.787879 33 0.130682 4384 6637 4384 4384 7518 3959 6660 9091 6660 6660 7232 8170 7232 7232
r-441 32 0.163306 33 0.346591 121087627 29309283 29309283 121087627 92079610 87740270 207685959 45961577 45961577 207685959 89973509 49963530 49963530 89973509
r-366 26 0.267692 17 0.705882 29953 56287 56287 56287 39897 56740 38777 79914 79914 79914 53494 77365 77365 77365
