instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-119 44 0.494715 44 0.494715 80015 113035 16182
r-43 42 0.250871 42 0.250871 300009 300009 300005
r-484 41 0.42439 41 0.42439 167 147 123
r-535 22 0.52381 22 0.52381 15 14 12
r-586 21 0.466667 21 0.466667 0 0 0
r-135 21 0.466667 21 0.466667 67 55 51
r-979 40 0.357692 40 0.357692 1 1 1
r-121 25 0.513333 25 0.513333 97 78 68
r-588 32 0.497984 32 0.497984 367 325 279
r-284 31 0.395699 31 0.395699 7481 7539 7316
r-359 43 0.27907 43 0.27907 300009 300000 300006
r-844 33 0.477273 33 0.477273 188 186 227
r-499 37 0.405405 37 0.405405 75 59 34
r-8 41 0.321951 41 0.321951 0 1 1
r-992 27 0.14245 27 0.14245 0 0 0
r-395 31 0.516129 31 0.516129 1534 1680 1350
r-90 44 0.443975 44 0.443975 1845 1197 1054
r-683 39 0.334683 39 0.334683 300005 300002 275243
r-561 32 0.483871 32 0.483871 7298 5855 4517
r-554 32 0.417339 32 0.417339 8857 8072 7380
r-494 35 0.393277 35 0.393277 33024 33273 30333
r-802 43 0.511628 43 0.511628 50125 58785 43964
r-481 45 0.353535 45 0.353535 74 54 69
r-134 36 0.474603 36 0.474603 324 279 251
r-434 25 0.28 25 0.28 173 204 185
r-600 22 0.454545 22 0.454545 0 0 0
r-814 36 0.474603 36 0.474603 235 205 137
r-614 24 0.48913 24 0.48913 414 334 303
r-781 40 0.408974 40 0.408974 279013 257751 242389
r-80 23 0.513834 23 0.513834 4 3 3
r-459 37 0.45045 37 0.45045 759 516 482
r-191 22 0.367965 22 0.367965 72 71 49
r-204 33 0.265152 33 0.265152 24390 22399 15338
r-730 40 0.384615 40 0.384615 53 43 41
r-582 24 0.48913 24 0.48913 11 10 13
r-452 39 0.512821 39 0.512821 17922 19864 15702
r-157 20 0.394737 20 0.394737 102 98 91
r-935 24 0.289855 24 0.289855 0 0 0
r-858 20 0.521053 20 0.521053 4 4 3
r-1 24 0.463768 24 0.463768 2 2 1
r-105 42 0.501742 42 0.501742 272883 277327 202654
r-641 28 0.349206 28 0.349206 1710 1753 1524
r-530 27 0.512821 27 0.512821 367 320 265
r-51 38 0.443812 38 0.443812 79792 68933 59541
r-432 24 0.289855 24 0.289855 0 0 0
r-625 28 0.507937 28 0.507937 938 785 760
r-276 32 0.516129 32 0.516129 1449 1391 1087
r-49 32 0.272177 32 0.272177 0 0 0
r-854 28 0.515873 28 0.515873 427 383 361
r-589 39 0.504723 39 0.504723 73424 68035 47324
r-282 29 0.295567 29 0.295567 0 0 0
r-280 26 0.52 26 0.52 237 195 152
r-511 36 0.488889 36 0.488889 1366 1419 1352
r-296 38 0.341394 38 0.341394 126656 130384 116091
r-523 27 0.31339 27 0.31339 0 0 0
r-172 37 0.315315 37 0.315315 112544 110326 90684
r-784 26 0.323077 26 0.323077 0 0 0
r-380 36 0.512698 36 0.512698 3759 4339 3051
r-770 41 0.497561 41 0.497561 143900 128866 104332
r-994 39 0.391363 39 0.391363 49 39 40
r-242 34 0.40107 34 0.40107 25538 24626 21774
r-677 32 0.497984 32 0.497984 9035 8440 6799
r-961 38 0.398293 38 0.398293 66 55 43
r-498 28 0.137566 28 0.137566 1643 922 253
r-84 37 0.468468 37 0.468468 46340 37859 34057
r-298 23 0.474308 23 0.474308 254 215 181
r-183 24 0.431159 24 0.431159 316 284 244
r-805 25 0.333333 25 0.333333 0 0 0
r-638 36 0.507937 36 0.507937 1809 2001 1512
r-54 44 0.206131 44 0.206131 1 1 1
r-562 31 0.395699 31 0.395699 2 2 2
r-304 37 0.315315 37 0.315315 60068 63694 45381
r-76 25 0.42 25 0.42 0 0 0
r-560 38 0.490754 38 0.490754 1831 1843 1804
r-930 45 0.438384 45 0.438384 300000 300007 300004
r-526 41 0.497561 41 0.497561 87993 76667 55009
r-246 20 0.478947 20 0.478947 1 1 1
r-685 29 0.295567 29 0.295567 2297 2527 2402
r-287 27 0.501425 27 0.501425 47 45 40
r-10 23 0.513834 23 0.513834 9 10 7
r-527 23 0.498024 23 0.498024 4 3 3
r-647 31 0.503226 31 0.503226 5164 5317 4282
r-775 43 0.511628 43 0.511628 43381 51776 35463
r-984 31 0.451613 31 0.451613 11664 10278 8990
r-23 21 0.257143 21 0.257143 0 0 0
r-820 24 0.48913 24 0.48913 2 2 2
r-755 30 0.508046 30 0.508046 1592 1556 1336
r-370 45 0.509091 45 0.509091 149071 157139 101350
r-274 34 0.486631 34 0.486631 17869 14315 14280
r-107 39 0.510121 39 0.510121 51500 51288 27309
r-367 33 0.435606 33 0.435606 52 43 40
r-99 21 0.495238 21 0.495238 47 46 25
r-653 30 0.45977 30 0.45977 4491 3821 3675
r-372 26 0.507692 26 0.507692 34 32 32
r-214 37 0.468468 37 0.468468 1741 1432 999
r-779 24 0.0833333 24 0.0833333 0 0 0
r-244 41 0.443902 41 0.443902 1277 1108 969
r-832 43 0.478405 43 0.478405 6997 7800 7913
r-440 31 0.232258 31 0.232258 852 984 1549
r-126 33 0.515152 33 0.515152 3261 3367 2014
r-889 30 0.287356 30 0.287356 0 0 0
r-517 41 0.256098 41 0.256098 300005 299359 192586
r-218 21 0.466667 21 0.466667 1 1 1
r-840 23 0.355731 23 0.355731 0 0 0
r-954 38 0.193457 38 0.193457 20514 29180 30675
r-250 31 0.27957 31 0.27957 6671 7040 6774
r-68 24 0.518116 24 0.518116 38 30 21
r-896 34 0.486631 34 0.486631 399 344 276
r-604 24 0.228261 24 0.228261 34 38 31
r-952 30 0.45977 30 0.45977 12 11 9
r-550 44 0.443975 44 0.443975 7132 5331 3433
r-437 30 0.45977 30 0.45977 3694 3072 2646
r-778 24 0.289855 24 0.289855 0 0 0
r-388 23 0.521739 23 0.521739 58 49 31
r-971 38 0.371266 38 0.371266 209387 205826 181352
r-1000 29 0.44335 29 0.44335 24 83 33
r-391 24 0.15942 24 0.15942 19 21 20
r-375 43 0.504983 43 0.504983 102027 102341 74291
r-141 34 0.499109 34 0.499109 6276 5273 4035
r-688 32 0.417339 32 0.417339 10 10 8
r-744 34 0.258467 34 0.258467 14132 14568 9500
r-342 35 0.480672 35 0.480672 1274 995 1063
r-288 26 0.443077 26 0.443077 656 518 462
r-110 43 0.245847 43 0.245847 300005 300009 300007
r-610 25 0.28 25 0.28 0 0 0
r-828 33 0.344697 33 0.344697 2 2 2
r-508 31 0.27957 31 0.27957 2363 2426 1761
r-117 28 0.349206 28 0.349206 1 0 0
r-492 39 0.22942 39 0.22942 97451 90804 67734
r-712 20 0.521053 20 0.521053 21 20 20
r-53 29 0.37931 29 0.37931 1 1 1
r-522 27 0.31339 27 0.31339 0 0 0
r-324 26 0.409231 26 0.409231 0 0 0
r-939 38 0.371266 38 0.371266 213163 222019 202798
r-171 40 0.511538 40 0.511538 20121 19537 11950
r-811 24 0.344203 24 0.344203 178 174 224
r-981 44 0.0887949 44 0.0887949 0 0 0
r-354 44 0.40592 44 0.40592 300001 300009 300008
r-260 39 0.512821 39 0.512821 40777 41975 27002
r-425 31 0.36129 31 0.36129 0 1 0
r-960 45 0.49899 45 0.49899 63741 74172 41309
r-520 44 0.5074 44 0.5074 51239 55470 28236
r-504 24 0.289855 24 0.289855 0 0 0
r-11 44 0.332981 44 0.332981 300001 300004 300006
r-664 44 0.459831 44 0.459831 9715 8282 7627
r-365 34 0.508021 34 0.508021 541 636 485
