instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r3-2-33-34 33 0.268939 34 0.304813 100006 100000 100009 100005 100003 100007 100009 100009 100005 100009 100005
r2-3-10-22 10 0.377778 22 0.320346 0 2 0 2 0 0 2 0 0 1 0
r1-2-39-31 39 0.325236 31 0.296774 100006 100006 100009 100008 100008 100009 100004 100000 100008 100009 100004
r3-1-23-23 23 0.351779 23 0.304348 208 336 208 258 257 342 591 352 353 399 354
r2-3-35-14 35 0.314286 14 0.252747 67 5 5 65 5 75 5 5 39 11 11
r1-3-28-11 28 0.280423 11 0.4 5 0 0 5 0 5 0 0 4 0 0
r3-3-27-27 27 0.321937 27 0.321937 0 0 0 0 0 0 0 0 0 0 0
r3-3-13-12 13 0.358974 12 0.393939 1 1 1 1 1 2 1 1 1 1 1
r1-1-35-31 35 0.319328 31 0.298925 100002 100000 100002 100004 100006 100007 100002 100002 100006 100007 100003
r3-3-15-31 15 0.285714 31 0.305376 5 39 5 35 5 5 49 5 32 38 33
r3-2-35-30 35 0.307563 30 0.252874 100008 100001 100008 100003 86360 100000 100006 100009 100004 100006 100003
r1-1-31-25 31 0.298925 25 0.28 8589 5882 5633 9153 5720 15341 9772 9731 8963 7928 8004
r2-1-26-16 26 0.332308 16 0.291667 102 46 45 104 45 158 61 61 94 54 54
r2-3-30-19 30 0.252874 19 0.368421 477 158 158 459 180 859 242 231 433 206 205
r3-2-20-21 20 0.331579 21 0.314286 100 135 98 124 97 153 223 149 129 123 124
r1-3-10-16 10 0.311111 16 0.3 0 0 0 0 0 0 0 0 0 0 0
r3-3-14-28 14 0.252747 28 0.26455 4 29 4 25 4 4 37 4 5 26 5
r2-1-39-16 39 0.327935 16 0.291667 667 181 179 762 178 1034 198 191 566 231 233
r1-1-29-33 29 0.300493 33 0.327652 43734 40340 43795 44750 40400 81456 75768 80866 46242 47620 45988
r1-2-13-26 13 0.410256 26 0.332308 3 13 3 11 3 4 16 4 6 13 6
r1-3-14-25 14 0.32967 25 0.286667 4 22 4 20 4 5 32 5 6 21 6
r3-2-23-18 23 0.351779 18 0.326797 100 65 64 99 66 163 99 100 102 91 92
r2-3-14-23 14 0.21978 23 0.351779 6 10 5 11 5 7 14 7 9 15 9
r3-1-39-37 39 0.287449 37 0.285285 100000 100002 100011 100002 100004 100005 100002 100004 100001 100000 100002
r2-3-39-16 39 0.327935 16 0.3 593 105 106 595 109 799 128 129 493 220 221
r3-1-25-12 25 0.286667 12 0.272727 4 0 0 4 0 4 0 0 4 2 2
r1-1-40-23 40 0.301282 23 0.304348 19610 5627 5670 19940 5802 32234 8178 8183 10073 7489 7443
r3-1-32-31 32 0.304435 31 0.298925 41202 46902 46408 42896 44363 76328 86531 87094 61203 45626 45735
r1-1-32-38 32 0.268145 38 0.29303 100001 100007 100005 100001 100003 100004 100009 100008 100000 100006 100007
r3-2-32-21 32 0.304435 21 0.314286 2155 1050 1030 2171 1105 3760 1577 1585 1920 1293 1287
r2-1-19-19 19 0.263158 19 0.304094 39 27 40 38 28 64 39 63 35 30 36
r3-2-39-26 39 0.287449 26 0.332308 91940 33418 33247 91650 35560 100002 54495 54629 88129 42949 42947
