instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-79 34 0.28877 30 0.305747 51040432 45476205 45476205 56212390 45257973 -1 78415013 78415013 58300762 54370464 54370464
r-440 39 0.310391 24 0.23913 15474337 19025134 19025134 16828738 18451438 25543849 29350643 29350643 33405495 29162982 29162982
r-158 40 0.292308 19 0.298246 2860258 1460518 1460518 2969201 1484217 4464980 1989623 1989623 2225064 3490582 3490582
r-751 21 0.338095 12 0.257576 2513 4017 4017 2796 3954 3250 4715 4715 6465 13381 13381
r-679 38 0.320057 21 0.238095 3434625 6065508 6065508 3667810 5922542 5414629 8932741 8932741 4344813 6126260 6126260
r-306 32 0.298387 40 0.310256 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-964 10 0.311111 18 0.287582 273 751 273 718 276 287 805 287 750 754 750
r-681 21 0.290476 27 0.31339 667500 1017950 667500 1102202 660282 975455 1691901 975455 973228 1504670 973228
r-49 11 0.363636 31 0.298925 476 7275 476 6706 456 380 7036 380 1452 2047 1452
r-827 14 0.263736 20 0.3 8731 12619 8731 12212 7924 11421 18031 11421 11380 9945 11380
r-224 25 0.3 13 0.205128 2530 2338 2338 2567 2331 2554 1842 1842 3888 2566 2566
r-772 22 0.350649 18 0.215686 12745 90251 90251 19070 74579 14326 140010 140010 93245 63166 63166
r-189 34 0.315508 29 0.278325 19195516 27053908 27053908 22793731 21125296 35097634 47441383 47441383 33478086 103320015 103320015
r-315 13 0.397436 30 0.342529 5841 16194 5841 14503 5869 6658 21274 6658 21681 9479 21681
r-816 22 0.30303 11 0.345455 1869 558 558 1868 570 1900 598 598 1216 1324 1324
r-454 25 0.29 18 0.248366 82768 94846 94846 90886 92173 123263 129001 129001 133689 132533 132533
r-985 25 0.313333 18 0.326797 182424 93481 93481 192781 87047 277604 126205 126205 84974 121419 121419
r-333 39 0.317139 38 0.297297 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-417 18 0.27451 35 0.295798 390990 522410 390990 496997 394615 515296 766715 515296 901242 561466 901242
r-776 15 0.27619 35 0.315966 32518 176443 32518 165862 32576 23130 88520 23130 108807 52341 108807
r-556 23 0.375494 12 0.287879 2136 5526 5526 2593 4913 2006 6138 6138 8015 7244 7244
r-7 28 0.291005 36 0.284127 54610230 44784808 54610230 47119149 55851045 92011983 -1 92011983 64054811 55115198 64054811
r-938 18 0.300654 16 0.275 11219 16934 16934 12913 12829 17539 23856 23856 19249 26756 26756
r-168 20 0.263158 19 0.304094 40904 7203 7203 44948 4289 64422 8594 8594 43958 63273 63273
r-983 17 0.272059 17 0.286765 6828 4802 6828 7347 3547 9016 5955 9016 11888 12006 11888
r-363 22 0.264069 23 0.3083 499368 368604 499368 471148 344347 778538 561513 778538 715824 483229 715824
r-828 37 0.316817 39 0.306343 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
