instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-145 24 0.311594 24 0.105072 192429 1952441 192429 1171430 738020 260899 2633575 260899 929674 2162693 929674
r-159 24 0.688406 24 0.126812 24253 62163 24253 59514 46308 36065 86532 36065 65586 72939 65586
r-881 24 0.822464 24 0.554348 790292 246610 246610 696268 289711 1336342 355175 355175 509404 340209 340209
r-413 24 0.0833333 24 0.623188 101007 41780 41780 97179 24450 152878 54852 54852 102233 67118 67118
r-228 24 0.630435 24 0.253623 171833 323686 171833 295377 203498 244726 157770 244726 180926 398643 180926
r-162 24 0.134058 24 0.199275 774988 133614 133614 763728 167441 999380 153413 153413 676815 300444 300444
r-288 24 0.721014 24 0.568841 2920090 1108584 1108584 2670314 1215341 5356833 1788770 1788770 2022990 2234774 2234774
r-61 24 0.706522 24 0.84058 774568 2501227 774568 1650864 1919313 700502 3563925 700502 946815 2601856 946815
r-524 24 0.735507 24 0.807971 542952 1239534 542952 979518 984122 772163 1728975 772163 1437353 1371385 1437353
r-246 24 0.833333 24 0.481884 253421 167614 167614 322253 105856 379380 251902 251902 379166 171825 171825
r-718 24 0.887681 24 0.594203 432126 85077 85077 356247 116779 701288 125764 125764 425729 116021 116021
r-260 24 0.235507 24 0.583333 252962 195596 195596 296481 102937 358791 289342 289342 538734 327286 327286
r-174 24 0.822464 24 0.873188 150197 234986 150197 243457 168792 99128 272464 99128 3842465 1048977 3842465
r-608 24 0.942029 24 0.626812 1752786 34375 34375 1287295 33055 2397853 51481 51481 2220158 75908 75908
r-537 24 0.413043 24 0.949275 23604 423217 23604 262475 66790 33478 646816 33478 48549 257819 48549
r-543 24 0.271739 24 0.561594 367605 344668 344668 512761 228652 523858 530091 530091 350671 563420 563420
r-940 24 0.195652 24 0.315217 1109350 270021 270021 946161 357750 1807928 398511 398511 1477858 666377 666377
r-933 24 0.836957 24 0.967391 1169746 -1 1169746 -1 289622454 1189763 -1 1189763 7799978 -1 7799978
r-995 24 0.0108696 24 0.880435 8247 1278 1278 6995 956 18135 6142 6142 8226 2596 2596
r-545 24 0.804348 24 0.144928 25017 34136 25017 27999 18619 34965 49273 34965 35475 41440 35475
r-46 24 0.0688406 24 0.692029 73455 14737 14737 43583 6949 73739 21045 21045 45829 29738 29738
r-961 24 0.268116 24 0.0108696 151704 -1 151704 -1 57900808 107581 -1 107581 178212072 -1 178212072
r-747 24 0.971014 24 0.199275 37419 2307 2307 30934 1841 67463 6944 6944 34870 9412 9412
r-686 24 0.0289855 24 0.300725 235690770 507345 507345 149062715 501990 270400169 545643 545643 269982801 15016481 15016481
r-753 24 0.00362319 24 0.608696 533630 30542 30542 453149 29568 693093 37253 37253 598678 104286 104286
r-342 24 0.673913 24 0.717391 1740868 1553346 1740868 1743135 1327286 2623973 2512335 2623973 2079156 3231422 2079156
r-489 24 0.268116 24 0.148551 643433 2309820 643433 1506984 1601111 849591 3304385 849591 1588883 1328107 1588883
r-23 24 0.807971 24 0.782609 536716 565946 565946 547410 510292 725286 753761 753761 903309 646133 646133
r-160 24 0.992754 24 0.5 4161933 50058 50058 3445397 49433 5679361 51902 51902 4674608 469110 469110
r-266 24 0.333333 24 0.163043 431775 1926908 431775 1297545 1266655 649287 3119067 649287 752228 1424742 752228
r-247 24 0.572464 24 0.811594 282333 952080 282333 550497 698299 404675 1510708 404675 539602 469078 539602
r-746 24 0.688406 24 0.112319 26612 47886 26612 39335 30226 36753 80466 36753 39784 60977 39784
r-401 24 0.336957 24 0.141304 261787 1242085 261787 848367 874800 365816 1983874 365816 367754 1394519 367754
r-132 24 0.0471014 24 0.0978261 -1 14460055 14460055 -1 14502583 -1 14564139 14564139 -1 107769164 107769164
r-699 24 0.0688406 24 0.355072 1044841 8779 8779 601374 7742 1293117 11437 11437 10483990 69741 69741
r-770 24 0.0108696 24 0.40942 22530708 500888 500888 17864551 493398 28675332 565044 565044 22639969 601521 601521
r-717 24 0.793478 24 0.597826 2340775 755155 755155 1982108 869209 3832871 1118985 1118985 2205562 1394577 1394577
r-466 24 0.235507 24 0.706522 149152 133248 133248 176433 81813 218785 200865 200865 190603 170526 170526
r-614 24 0.268116 24 0.818841 33431 69748 33431 44870 45674 41764 102103 41764 66465 91946 66465
