instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-434 18 0 44 0.105708 100004 236 235 100000 100000 100002 67056 26 26 67398 53431 100009 100000 53994
r-146 47 0.855689 22 0.666667 2826 123 128 126 2691 195 4399 180 180 176 3070 601 593 605
r-212 24 0.315217 39 0.048583 21 5006 20 20 4454 39 17 6041 18 17 98 6557 101 98
r-731 10 0.333333 46 0.0714976 0 3 0 0 3 0 0 3 0 0 0 4 0 0
r-26 48 0.655142 27 0.22792 8268 13693 8329 13763 12231 10406 14364 24292 14512 24049 13686 21152 13591 21236
r-69 17 0.632353 42 0.440186 811 1266 1238 831 1313 790 956 1979 2027 979 1110 2086 2085 1129
r-406 24 0.695652 29 0.884236 95 911 95 96 699 156 138 1576 139 134 229 976 232 226
r-240 14 0.0879121 19 0.871345 0 0 0 0 0 0 1 0 0 1 0 0 0 0
r-814 19 0.152047 34 0.97148 0 3 0 0 2 0 1 7 1 1 1 3 1 1
r-773 40 0.111538 19 0.707602 30 18 19 18 36 11 44 28 28 29 31 21 21 20
r-884 15 0.619048 11 0.909091 0 1 0 2 1 1 0 1 0 1 0 1 0 0
r-883 33 0.844697 17 0.580882 106 16 16 16 103 19 178 21 21 21 90 30 32 32
r-162 35 0.811765 26 0.0523077 4 22 4 21 9 12 10 53 9 54 11 29 11 28
r-748 17 0.176471 38 0.375533 263 438 429 264 499 260 301 564 555 276 583 810 799 592
r-140 20 0.878947 45 0.108081 9 6 9 9 9 7 19 9 18 18 9 7 9 9
r-246 49 0.852041 37 0.283784 4071 2304 2356 2357 4440 2052 7169 4557 4680 4648 6469 4379 4395 4431
r-942 40 0.00512821 30 0.864368 9 1 1 1 7 0 20 5 5 5 9 5 5 5
r-582 21 0.609524 19 0.0467836 1 31 1 31 18 6 2 48 2 48 7 25 7 24
r-205 15 0.380952 30 0.165517 2 24 2 2 19 3 3 35 2 2 10 19 10 10
r-111 36 0.601587 13 0.666667 106 31 109 32 92 32 132 37 133 36 81 9 81 9
r-36 32 0.850806 44 0.172304 281 253 246 281 302 211 514 455 453 524 415 365 363 414
r-465 31 0.683871 17 0.779412 296 123 295 122 307 124 400 154 419 164 292 157 301 155
r-105 44 0.598309 25 0.41 27817 26138 25920 26017 28577 23733 50684 46872 45871 46613 44944 48883 49894 49312
r-744 44 0.208245 12 0.621212 8 3 3 3 9 3 12 5 5 5 11 9 9 9
r-25 36 0.485714 50 0.657143 100001 100005 100007 100010 100002 100006 100009 100000 100002 100005 100007 100005 100001 100005
r-322 34 0.714795 35 0.336134 8497 8510 8559 8575 10746 7088 15513 15830 15590 15528 14846 13408 13617 14978
r-167 17 0.286765 29 0.918719 1 5 1 1 5 1 2 7 2 2 2 6 2 2
r-24 37 0.0405405 23 0.379447 2395 8 7 7 2374 5 3400 11 11 11 3128 113 111 114
r-44 18 0.0980392 45 0.678788 117 51 52 113 97 83 191 85 88 190 106 52 52 105
