instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-416 10 1 21 1 175 65 175 175 65 175 175 76 175 175 175 65 175 175
r-146 36 0.68254 14 0.296703 5981 41717 5981 41717 6081 34945 4455 54998 4455 54998 49899 66204 49899 66204
r-194 26 0.92 30 0.898851 41975 106440 106440 41975 119517 49538 27406 104839 104839 27406 2300354 5785524 5785524 2300354
r-905 14 0.89011 10 0.0444444 13 37 13 37 13 37 92 106 92 106 65 213 65 213
r-494 27 0.00854701 24 0.442029 5338917 11224 11224 11224 5197965 10656 6191875 6782 6782 6782 6606033 9005 9005 9005
r-277 27 0.746439 34 0.327986 253890 92751 92751 253890 162498 179337 329390 114617 114617 329390 1419837 534590 534590 1419837
r-99 33 0.863636 31 0.0537634 3460 4745 3460 4745 3674 2975 4421 6110 4421 6110 2833 5709 2833 5709
r-394 37 0.0135135 17 0.382353 940420 710 710 710 940251 588 1017866 720 720 720 654527 18850 18850 18850
r-594 39 0.0782726 39 0.178138 -1 43056637 43056637 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-974 40 0.520513 17 0.419118 226105 1832071 226105 1832071 244984 1768403 323099 2741946 323099 2741946 1209100 1902414 1209100 1902414
r-236 27 0.552707 36 0.62381 20069685 34113871 20069685 20069685 32822500 21350428 38648017 -1 38648017 38648017 39449561 59698384 39449561 39449561
r-316 29 0.568966 28 0.796296 745080 6288292 745080 6288292 1016880 4555103 1132985 11541506 1132985 11541506 2891112 2487894 2891112 2487894
r-145 36 0.331746 32 0.0604839 233065 -1 233065 -1 943020 6679837 301410 -1 301410 -1 20288349 -1 20288349 -1
r-906 10 0.955556 18 0.359477 2813 113 113 2813 284 736 3373 63 63 3373 1934 2077 2077 1934
r-477 25 0.616667 11 0.418182 875 6286 6286 6286 1051 5832 774 7451 7451 7451 12593 8972 8972 8972
r-341 26 0.184615 31 0.393548 6985407 619381 619381 6985407 1071232 5362356 11587258 752348 752348 11587258 3156143 4877213 4877213 3156143
r-927 29 0.615764 15 0.952381 32195 1672447 32195 1672447 70311 744286 17293 1763663 17293 1763663 185058 2003266 185058 2003266
r-342 12 0.272727 21 0.861905 577 138 577 577 138 398 597 153 597 597 1208 552 1208 1208
r-119 38 0.475107 36 0.626984 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-726 23 0.284585 11 0.945455 184 2020 184 2020 376 872 94 3560 94 3560 733 2256 733 2256
r-320 28 0.505291 19 0.74269 92439 653759 92439 653759 161282 565499 127421 1147642 127421 1147642 269386 347239 269386 347239
r-590 34 0.491979 35 0.156303 1299349 14488628 1299349 1299349 10041200 1754208 2173854 27103299 2173854 2173854 1758197 5366245 1758197 1758197
r-873 23 0.383399 13 0.628205 1348 7080 1348 7080 1735 6798 1255 9004 1255 9004 8233 23609 8233 23609
r-566 29 0.916256 23 0.652174 393255 56263 56263 56263 343396 101218 627675 77011 77011 77011 726913 116109 116109 116109
r-243 22 0.112554 31 0.683871 19338 8436 8436 19338 15378 10953 26072 8185 8185 26072 18947 47709 47709 18947
