instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-894 24 0.949275 24 0.293478 32772 7065 7065 26313 3811 71264 10391 10391 29824 16048 16048
r-371 24 0.677536 24 0.956522 60613 19929504 60613 14129167 1251675 87098 23306629 87098 1598177 28011218 1598177
r-808 24 0.532609 24 0.583333 3022981 3633212 3022981 3620040 3018089 5283591 6762699 5283591 2939033 3257928 2939033
r-663 24 0.797101 24 0.336957 214773 70116 70116 172680 45292 327301 100439 100439 244594 133141 133141
r-438 24 0.615942 24 0.663043 1873076 2424077 1873076 3323497 2002703 3231408 4300672 3231408 1207256 1377659 1207256
r-93 24 0.815217 24 0.264493 120548 90165 90165 150878 62894 181852 143721 143721 63069 77198 77198
r-369 24 0.344203 24 0.945652 9719 75064 9719 65667 27493 16367 127663 16367 12891 83863 12891
r-680 24 0.449275 24 0.235507 414614 832225 414614 1037613 677680 640410 1431562 640410 754224 989149 754224
r-470 24 0.963768 24 0.0942029 4966 658 658 3703 540 10464 4627 4627 6952 1441 1441
r-464 24 0.572464 24 0.246377 567157 592129 567157 663007 509458 903384 863055 903384 755370 924371 755370
r-701 24 0.0942029 24 0.76087 51832 28319 28319 49396 17536 84951 44850 44850 88457 26767 26767
r-326 24 0.235507 24 0.699275 124738 145813 145813 151793 83447 181401 223690 223690 209439 185711 185711
r-400 24 0.282609 24 0.811594 83562 92022 83562 131788 60925 108843 141215 108843 32872 81882 32872
r-826 24 0.141304 24 0.851449 10282 12884 12884 15741 8654 18149 24230 24230 20574 14725 14725
r-443 24 0.0543478 24 0.380435 1566001 40552 40552 855099 46750 2047432 60279 60279 2266940 91071 91071
r-697 24 0.902174 24 0.391304 40517 23604 23604 31078 9711 77252 37613 37613 47575 44911 44911
r-446 24 0.199275 24 0.706522 124821 80785 80785 131110 41679 182461 125310 125310 133170 87774 87774
r-854 24 0.931159 24 0.485507 463366 37564 37564 121072 22131 652138 60232 60232 186609 148141 148141
r-556 24 0.554348 24 0.297101 745445 748912 745445 1001457 662606 1212172 1135560 1212172 900986 1064800 900986
r-337 24 0.927536 24 0.17029 18062 4264 4264 13619 2322 31643 7905 7905 12899 5634 5634
r-478 24 0.0833333 24 0.416667 346718 51504 51504 264364 60011 505240 59242 59242 482403 37939 37939
r-817 24 0.536232 24 0.952899 23763 2030853 23763 1873093 213455 35168 2752896 35168 40142 2227944 40142
r-673 24 0.0615942 24 0.561594 180855 13158 13158 130891 6851 255685 22417 22417 163133 28367 28367
r-121 24 0.0217391 24 0.126812 -1 551606 551606 -1 548421 -1 574551 574551 -1 -1 -1
r-113 24 0.0543478 24 0.514493 648668 47408 47408 433096 37453 941121 70157 70157 671489 94815 94815
r-416 24 0.15942 24 0.26087 576999 139036 139036 414708 150362 795830 195626 195626 587466 162012 162012
r-530 24 0.173913 24 0.452899 361730 93413 93413 254731 109007 600232 135499 135499 461773 149214 149214
r-84 24 0.981884 24 0.619565 7219221 50240 50240 4830591 46582 8933217 75147 75147 6903322 169585 169585
r-943 24 0.155797 24 0.884058 15732 25300 15732 17895 15898 24004 34232 24004 18849 23508 18849
r-145 24 0.311594 24 0.105072 167273 1256228 167273 1142008 484087 231391 1683252 231391 148529 1433133 148529
r-159 24 0.688406 24 0.126812 22097 47595 22097 56608 38506 33924 74694 33924 30325 67380 30325
r-881 24 0.822464 24 0.554348 301057 224877 224877 230183 271043 507262 331157 331157 367380 180896 180896
r-413 24 0.0833333 24 0.623188 85818 30935 30935 80306 17195 131720 47661 47661 91530 59625 59625
r-228 24 0.630435 24 0.253623 149905 282554 149905 243333 173858 223446 148084 223446 98220 358259 98220
r-162 24 0.134058 24 0.199275 282782 122096 122096 237239 152941 359607 150945 150945 136145 38771 38771
r-288 24 0.721014 24 0.568841 1734786 859784 859784 1474174 960643 3092784 1382264 1382264 1484537 1265141 1265141
r-61 24 0.706522 24 0.84058 700626 1427999 700626 1553486 1102843 678399 2049306 678399 557804 1598025 557804
r-524 24 0.735507 24 0.807971 251632 610429 251632 592436 502332 354798 899727 354798 405147 631792 405147
r-246 24 0.833333 24 0.481884 215261 143193 143193 277042 93123 332636 219904 219904 189417 76974 76974
r-718 24 0.887681 24 0.594203 277301 83744 83744 197308 115453 452150 124463 124463 343148 81772 81772
r-260 24 0.235507 24 0.583333 220413 173428 173428 247080 85623 318543 280290 280290 483253 107714 107714
r-174 24 0.822464 24 0.873188 60160 93610 60160 106073 68777 73580 124045 73580 3580495 77854 3580495
r-608 24 0.942029 24 0.626812 1323489 26604 26604 854094 25037 1818274 39717 39717 1659474 58687 58687
r-537 24 0.413043 24 0.949275 19813 338106 19813 255174 59369 31180 523253 31180 46573 162890 46573
r-543 24 0.271739 24 0.561594 269595 321087 321087 391978 210436 385455 522955 522955 233727 210324 210324
r-940 24 0.195652 24 0.315217 590669 196639 196639 436581 255120 964324 286278 286278 934995 476886 476886
r-933 24 0.836957 24 0.967391 1151836 -1 1151836 -1 235089675 1171279 -1 1171279 4249475 -1 4249475
r-995 24 0.0108696 24 0.880435 6964 1091 1091 5691 796 15795 5532 5532 7478 2310 2310
r-545 24 0.804348 24 0.144928 21513 30895 21513 24292 16179 33938 45480 33938 26564 33214 26564
r-46 24 0.0688406 24 0.692029 61088 11589 11589 29890 5334 67725 19381 19381 31323 27140 27140
r-961 24 0.268116 24 0.0108696 130380 -1 130380 -1 54318723 100517 -1 100517 125275203 -1 125275203
r-747 24 0.971014 24 0.199275 31544 2275 2275 24567 1765 55949 6444 6444 30655 6431 6431
r-686 24 0.0289855 24 0.300725 157518645 491577 491577 80608490 486724 182411351 538837 538837 181294180 4183407 4183407
r-753 24 0.00362319 24 0.608696 433671 28842 28842 353577 27948 575321 36656 36656 446773 70424 70424
r-342 24 0.673913 24 0.717391 1514557 829622 1514557 1441923 718782 2314576 1307210 2314576 797553 1490659 797553
r-489 24 0.268116 24 0.148551 499059 1155390 499059 1329810 784794 671233 1648074 671233 317440 699917 317440
r-23 24 0.807971 24 0.782609 346289 467081 467081 319242 441847 469273 631837 631837 712483 315045 315045
r-160 24 0.992754 24 0.5 3325193 19432 19432 2599778 19035 4602970 38172 38172 3746287 78715 78715
r-266 24 0.333333 24 0.163043 340753 1035689 340753 1169312 672817 499467 1595728 499467 352299 999756 352299
r-247 24 0.572464 24 0.811594 246150 346488 246150 505843 272907 371517 659415 371517 190157 265707 190157
r-746 24 0.688406 24 0.112319 23743 40693 23743 36060 26663 36288 69962 36288 25496 55323 25496
r-401 24 0.336957 24 0.141304 183648 550151 183648 748291 401796 275267 885428 275267 175991 798696 175991
r-132 24 0.0471014 24 0.0978261 -1 13878064 13878064 -1 13903459 -1 13972402 13972402 -1 4264312 4264312
r-699 24 0.0688406 24 0.355072 739466 4355 4355 326211 4190 918947 6540 6540 2437093 39098 39098
r-770 24 0.0108696 24 0.40942 16209416 498492 498492 11724167 491090 20962107 561403 561403 16211290 527679 527679
r-717 24 0.793478 24 0.597826 1378185 665765 665765 1029520 773764 2236189 996924 996924 1662716 713095 713095
r-466 24 0.235507 24 0.706522 129471 114065 114065 150514 66248 192091 176557 176557 164964 130548 130548
r-614 24 0.268116 24 0.818841 28239 61314 28239 38080 38779 39382 91775 39382 51941 82424 51941
r-656 24 0.554348 24 0.84058 173697 254701 173697 301352 173201 251800 418264 251800 143377 404385 143377
r-497 24 0.0289855 24 0.442029 4258986 35881 35881 2973193 35834 5800951 49634 49634 4529870 814647 814647
r-4 24 0.423913 24 0.452899 2785344 2850678 2850678 2717181 2416131 5064307 5117629 5117629 2786431 3010550 3010550
r-984 24 0.257246 24 0.655797 187750 160879 160879 179448 103639 295884 240401 240401 293369 222015 222015
