mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit+r mcsplit+S
56 83 54 43 30 28 56
1 1 1 1 1 1 1
1 1 1 1 1 1 1
0 0 0 0 0 0 0
100000 100009 100006 100009 100006 100007 100007
109 100 128 151 110 124 109
1 1 1 1 1 1 1
26608 100006 29455 100000 26414 28161 26770
100001 100009 100001 100000 100001 100005 100005
1 80 1 1 1 1 1
100010 100002 100006 100005 100009 100007 100002
100008 100004 100001 100000 100005 100002 100009
1656 607 1618 551 1378 1369 1650
1 1 1 1 1 1 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
46283 59611 53453 67749 46167 49474 46876
0 0 0 0 0 0 1
100003 100004 100008 100002 100009 100007 100002
100000 100001 100009 100001 100009 100003 100003
26942 68977 27371 39488 25955 25985 26752
0 0 0 0 0 0 0
100007 100009 100009 100001 100007 100000 100009
1 1 1 1 1 1 1
100006 100007 100000 100000 100002 100005 100005
100001 100009 100006 100007 100002 100002 100008
0 0 0 0 0 0 0
492 1076 573 1101 545 584 531
100012 100006 100007 100007 100001 100002 100006
2 2 2 1 4 4 2
0 0 0 0 0 0 0
59573 61804 72235 89798 76477 85246 59390
0 0 0 0 0 0 0
12 17 13 13 13 13 13
100008 100004 100003 100005 100001 100005 100010
100002 100002 100009 100004 100000 100005 100004
1 1 1 1 1 1 1
100002 100007 100005 100009 100006 100003 100000
5 5 5 5 5 5 5
8 8 8 11 5 5 8
0 0 0 0 0 0 0
10719 25666 10090 37110 9867 9733 10751
1 1 1 1 0 0 1
116 324 116 116 111 112 116
0 0 0 0 0 0 0
8778 10123 8820 9352 8694 8620 8741
20602 12330 20503 11755 20204 20253 20516
3 3 4 6 3 3 4
100005 100005 100004 100005 100008 100003 100003
3 4 3 4 3 3 3
0 0 0 0 0 0 0
0 0 0 0 0 0 0
3 2 3 3 3 3 3
2 2 2 2 1 2 2
1229 1258 1231 632 1224 1229 1232
80 76 80 89 73 73 77
15255 44478 17902 34302 12517 14665 15342
100003 100003 100004 100000 100005 100006 100002
3 3 3 3 2 2 3
11895 6581 13743 8071 10186 11178 12016
5959 12844 6046 7659 5222 5203 5974
0 0 0 0 0 0 0
100004 100005 100003 100008 100004 100006 100003
17 20 18 28 14 15 17
0 0 0 0 0 0 0
1 3 1 3 1 1 1
100008 100001 100000 100005 100009 100005 100004
1 4 1 2 1 1 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100001 100006 100009 100002 100008 100008 100002
48 229 48 49 49 48 49
0 0 0 0 0 0 0
1753 2935 1956 3908 1556 1617 1750
100007 100008 100000 100003 100000 100000 100004
0 1 0 0 0 0 0
1 1 1 1 1 1 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100010 100001 100010 100002 100002 100009 100004
141 176 175 247 152 178 140
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100004 100001 100001 100002 100004 100008 100006
10593 51197 10739 15889 11276 11248 10574
7 6 12 14 2 2 7
0 0 0 0 0 0 0
195 291 234 584 184 224 188
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1 2 1 2 1 1 1
100002 100000 100005 100001 100007 100004 100001
0 2 0 2 0 0 0
0 0 0 0 0 0 0
2699 12805 3389 11959 2661 3286 2663
5 6 6 7 5 6 5
10 19 10 48 9 9 10
0 0 0 0 0 0 0
7 9 7 10 14 14 7
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
94 21 93 18 94 97 93
35 24 36 34 42 43 35
100005 100004 100001 100006 100009 100000 100009
0 0 0 0 0 0 0
100003 100000 100009 100008 100004 100004 100002
43093 100007 43591 44355 44085 47594 42922
100004 100007 100002 100002 100005 100005 100004
0 0 0 0 0 0 0
5 6 4 6 5 3 5
24 26 24 24 24 24 24
15379 70988 16779 26324 13956 14679 15383
9 12 10 11 8 10 9
1 1 1 1 1 1 1
0 0 0 0 0 0 1
3633 4340 3711 4093 3759 3710 3653
100005 100009 100001 100009 100008 100007 100001
19 11 19 3 10 9 19
0 0 0 0 0 0 0
100001 100002 100006 100009 100007 100009 100003
0 0 0 0 0 0 0
7 14 7 14 8 8 7
0 0 0 0 0 0 0
36 98 35 18 36 36 36
100002 100003 100009 100001 100003 100008 100006
23 32 23 24 23 23 24
1 1 1 1 1 1 1
33492 35987 33435 34230 34067 33016 33411
64732 100007 64476 73762 64157 63988 64615
9 13 10 18 9 9 9
2 1 1 1 1 1 1
100007 100002 100004 100004 100008 100001 100002
2 2 2 3 2 2 2
1 3 1 1 1 1 1
0 0 0 0 0 0 0
0 1 0 1 0 1 0
175 162 195 254 150 164 175
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1 1 1 1 1 1 1
221 244 254 348 227 232 220
11216 11128 21137 30192 10247 17584 11057
4411 3314 4966 8971 4098 4477 4457
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100009 100008 100001 100010 100008 100005 100010
100009 100007 100002 100004 100007 100001 100008
802 4936 769 989 765 762 781
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
239 285 236 238 249 239 240
0 0 0 0 0 0 0
2 2 2 2 2 2 2
52 90 66 60 57 59 52
100006 100004 100008 100002 100002 100004 100009
880 1103 907 802 760 810 882
1337 2287 1404 2451 1319 1333 1354
1 1 1 1 1 1 1
100006 100010 100003 100002 100002 93607 100008
393 536 396 538 391 400 393
6 0 7 0 5 6 6
0 0 0 0 0 0 0
1 1 1 1 1 1 1
1 1 1 1 1 1 1
326 1372 351 785 305 369 324
1475 4497 1126 1207 1398 1158 1463
115 38 113 105 109 109 116
100002 100001 100004 100007 100010 100000 100002
100001 100006 100009 100001 100002 100004 100009
149 165 156 166 156 151 145
0 0 0 0 0 0 0
1 1 1 1 1 1 1
100005 100004 100003 100002 100005 100002 100007
9582 12091 11901 12244 10660 12794 9647
0 0 0 0 0 0 0
0 0 0 0 0 0 0
9 14 9 9 8 9 9
0 2 0 1 0 0 0
0 1 0 0 0 0 0
100006 100002 100006 100005 100000 100005 100009
125 209 136 635 113 123 122
7 4 5 5 7 5 7
4 6 5 6 5 5 5
100004 100003 100001 100001 100009 100007 100001
100009 100009 100007 100003 100002 100006 100009
0 0 0 0 0 0 0
7 4 8 4 4 4 7
0 0 0 0 0 0 0
0 0 0 0 0 0 0
2 2 2 2 2 2 2
68 440 82 261 84 91 71
100008 100010 100003 100000 100007 100000 100005
100009 100009 100003 100000 100007 100005 100005
1 2 2 2 1 1 1
0 0 0 0 0 0 0
100007 100005 100001 100001 100003 100000 100003
42 69 42 41 39 40 42
284 360 297 815 250 250 293
0 0 0 0 0 0 0
58 332 57 88 50 52 58
0 2 0 0 0 0 0
0 0 0 0 0 0 0
3 2 3 3 3 3 3
8 11 9 13 8 8 8
100000 100005 100002 100002 100005 100005 100009
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1 1 1 1 1 1 1
4 4 4 10 4 4 4
100000 100002 100005 100002 100000 100000 100007
0 0 0 0 0 0 0
100006 80920 100000 63175 100006 100009 100008
0 0 0 0 0 0 0
1 0 1 0 1 1 1
83 76 86 73 78 80 84
100003 100008 100002 100009 100006 100008 100008
100006 100006 100001 100007 100004 100002 100000
492 532 483 572 463 468 494
3 5 4 5 3 4 3
10783 14012 10943 9952 8696 8955 10726
59 128 62 91 72 74 59
1963 4419 2363 4352 6483 7646 1929
0 0 0 0 0 0 0
75917 90193 80153 100007 72871 75999 75469
316 539 331 523 293 285 318
3 4 2 3 2 2 3
0 0 0 0 0 0 0
7 6 7 7 7 7 7
2 5 2 2 2 2 2
1 3 1 1 1 1 1
0 0 0 0 0 0 0
291 283 359 390 297 379 283
99372 100008 100006 100000 99964 100003 98979
1 2 1 1 1 1 1
6906 10171 8376 9055 7207 7177 6892
0 0 0 0 0 0 0
108 137 108 107 107 107 107
5 6 5 5 4 4 5
2 2 2 2 2 2 2
949 1141 978 979 978 954 976
0 0 0 0 0 0 0
287 179 274 356 244 243 286
1474 8903 1691 10967 1441 1636 1485
1 173 1 1 1 1 1
0 0 0 0 0 0 0
38621 35727 38119 95206 39504 39262 38652
100008 100001 100002 100007 100008 100005 100003
10 332 13 29 11 14 10
100007 100003 100007 100009 100006 100003 100001
100007 100007 100002 100002 100000 100001 100008
22784 30313 23193 26904 22129 22433 22957
100006 100006 100000 100008 100004 100002 100008
13 5 14 5 7 7 13
0 0 0 0 0 0 0
168 309 170 304 166 177 168
1 1 1 1 1 1 1
676 2461 669 830 649 684 669
11399 8018 11743 11105 7151 7286 11302
0 0 0 0 0 0 0
3 9 3 3 2 3 3
1 1 1 1 1 1 1
100 221 104 158 95 96 100
0 0 0 0 0 0 0
1 3 2 2 1 2 1
222 608 222 298 182 186 223
1779 1676 1844 1615 1617 1602 1783
4 4 4 4 2 2 4
9 14 9 10 8 8 9
0 0 0 0 0 0 0
0 0 0 0 0 0 0
784 1120 840 825 772 797 789
9545 38451 10150 25246 9010 9265 9519
2584 6680 2619 2802 2793 2814 2599
0 0 0 0 0 0 0
382 674 376 634 311 310 390
0 0 0 0 0 0 0
100007 100005 100004 100001 100000 100008 100006
0 0 0 0 0 0 0
100005 100002 100001 100007 100003 100007 100005
0 0 0 0 0 0 0
0 0 0 0 0 0 0
7 7 9 8 2 4 7
0 0 0 0 0 0 0
100006 100000 100007 100002 100001 100009 100002
11 15 11 12 10 10 11
1 1 1 2 1 1 1
0 0 0 0 0 0 0
4 102 5 6 3 5 4
100008 100004 100003 100007 100008 100002 100005
0 0 0 0 0 0 0
5880 8077 5810 5920 5894 5855 5896
36186 100006 43008 100006 32754 38176 36161
6 19 9 10 5 8 6
0 0 0 0 0 0 0
113 135 116 115 114 117 116
0 0 0 0 0 0 0
0 0 0 0 0 0 0
24 36 25 19 21 22 24
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100007 100008 100006 100006 100000 100005 100005
12 3 17 27 13 16 12
100002 100002 100001 100000 100008 100000 100001
0 0 0 0 0 0 0
11427 32347 13727 26939 10737 12845 11374
1 1 1 1 1 1 1
0 0 0 0 0 0 0
5 7 5 5 5 5 5
0 0 0 0 0 0 0
100009 100001 100000 100002 100008 100001 100007
3 3 3 3 2 3 3
100003 100003 100003 100008 100000 100008 100008
138 168 139 137 136 136 139
35 62 35 37 38 32 35
0 0 0 0 0 0 0
0 0 0 0 0 0 0
6 3 6 2 6 6 6
23250 23494 25411 34649 22885 24040 23419
100005 100008 100008 100008 100005 100007 100003
1 1 1 1 1 1 1
0 0 0 0 0 0 0
1 1 1 1 0 1 0
100002 100007 100006 100001 100007 100002 100001
0 0 0 0 0 0 0
1 1 1 1 1 1 1
100007 100007 100000 100001 100002 100007 100000
2470 3342 2805 3475 2643 2930 2477
0 0 0 0 0 0 0
5 18 6 9 5 6 5
11775 11177 14937 19440 11874 14555 11865
1 1 1 1 1 1 1
60 198 73 139 57 70 59
2 4 2 6 2 2 2
247 264 335 381 229 302 243
51 182 50 80 52 49 49
100005 100005 100008 100001 100007 100008 100001
43 61 49 66 43 47 43
100007 100003 100004 100004 100009 100002 100003
7444 21456 7487 8185 7434 7457 7496
3 3 3 2 3 3 3
7830 11255 10701 14873 8591 10664 8279
100001 100003 100007 100007 100003 100002 100002
0 0 0 0 0 0 0
6339 9509 7168 8696 4529 5300 6405
0 1 0 0 0 0 0
100009 100001 100001 100003 100006 100002 100009
213 198 210 300 265 276 216
100002 100009 100001 100009 100002 100006 100009
6158 100007 9780 100008 7616 10925 6246
0 0 0 0 0 0 0
1 1 1 1 1 1 1
100000 100000 100002 100004 100002 100007 100009
0 0 0 0 0 0 0
0 0 0 0 0 0 0
2 3 3 3 2 3 2
100007 100005 100007 100002 100006 100001 100003
1 2 2 2 2 1 1
0 0 0 0 0 0 0
1 1 1 1 1 1 1
3 4 3 3 3 2 3
0 0 0 0 0 0 0
100000 100002 100000 100002 100007 100001 100001
100011 100007 100007 100006 100006 100001 100006
42 38 42 43 41 39 42
100000 100007 100009 100003 100003 100008 100000
83 235 83 234 81 84 85
1 2 1 2 1 1 1
100000 100004 100000 100008 100009 100003 100001
160 407 162 631 185 193 160
3258 18118 3424 20582 3076 3276 3189
3 3 3 3 2 3 3
0 0 0 0 0 0 0
6082 31537 6415 14850 6000 6351 5946
100008 100003 100008 100004 100002 100005 100009
1 1 1 1 1 1 1
0 0 0 0 0 0 0
0 0 0 0 0 0 0
100002 100009 100005 100003 100002 100004 100002
100008 100000 100007 100004 100006 100000 100007
46 117 50 157 43 42 46
17 18 18 17 17 16 17
4536 7940 4512 4516 4512 4492 4548
0 0 0 0 0 0 0
31 52 31 33 32 31 27
3 4 4 4 4 4 3
2 2 2 2 2 2 2
0 0 0 0 0 0 0
7 8 7 10 7 6 7
963 1233 968 1141 1086 1132 964
1 0 1 2 1 1 1
68 112 81 277 61 69 71
227 93 225 76 151 146 227
100006 100001 100000 100001 100000 100004 100002
3 3 3 3 3 2 3
1806 17302 1704 10262 1945 1873 1786
100001 100005 100005 100001 100009 100000 100000
0 0 0 0 0 0 0
8 44 9 13 9 9 8
0 0 0 0 0 0 0
4 6 4 5 4 3 4
1 2 1 1 1 1 1
3 3 3 3 3 3 2
0 0 0 0 0 0 0
1 2 1 1 1 1 1
100011 100007 100006 100002 100008 100000 100005
93 2 93 2 94 95 93
634 760 672 4956 501 530 630
2368 4469 2249 2886 2139 2009 2393
100005 100009 100007 100004 100009 100002 100009
3 6 3 4 3 3 3
36 36 35 29 34 34 35
0 0 0 0 0 0 0
0 0 0 1 0 0 0
0 0 0 0 0 0 0
