mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit+r mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O
633 670 634 631 7 7 5 5 643 625 8 6 6
3323 3421 7585 7953 3547 8755 3296 3302 3848 8526 4126 3867 3791
100009 100008 100009 100007 23420 15019 11986 11818 100002 100010 30269 15071 15023
3 3 12 13 3 15 2 3 4 18 5 4 4
100007 100008 100007 100009 100007 100007 100003 100009 100000 100000 100004 100003 100004
100002 100007 100001 100004 100001 100007 100000 100008 100002 100000 100005 100003 100004
1501 2708 1495 1678 277 270 1525 240 1811 1840 298 1814 277
13 22 13 12 4 3 2 2 14 14 4 3 3
802 810 100005 100000 997 100001 784 783 610 100006 790 622 612
66160 70157 64507 66325 704 413 315 314 76823 74981 819 356 356
0 0 0 0 0 0 0 0 0 0 0 0 0
745 758 4074 4227 657 3534 3609 748 777 4587 731 4037 780
0 0 2 3 0 2 0 0 0 2 0 0 0
0 1 0 0 0 0 0 0 0 0 0 0 0
100003 100003 100001 100008 100008 100001 100005 100003 100008 100001 100004 100001 100007
0 0 0 0 0 0 0 0 1 1 0 1 0
100002 100007 100008 100000 100012 100003 100004 100003 100007 100001 100000 100001 100008
5 6 5 5 0 0 0 0 7 7 1 0 0
1 2 8 9 2 10 1 1 2 10 2 1 1
86017 91279 100003 100004 81644 92595 88400 87380 100006 100000 100007 100008 100003
23 23 227 283 25 254 23 22 27 281 28 26 27
0 0 3 17 0 3 0 0 0 2 0 0 0
2 5 2 2 0 0 0 0 2 2 0 0 0
100006 100002 100000 100007 100001 100002 100007 100003 100002 100006 100000 100003 100003
7 9 34 44 5 30 7 7 9 50 7 9 9
1781 1956 5741 7137 2419 6485 1795 1804 2970 10001 4097 2978 2988
663 829 663 695 13 10 10 10 856 851 15 12 10
1 1 19 19 1 20 1 1 2 20 2 2 1
651 1074 661 795 249 252 257 256 1208 1203 398 404 415
100003 100008 100002 100008 100003 100005 100006 100009 100002 100009 100003 100007 100003
0 0 0 0 0 0 0 0 0 0 0 0 0
238 298 243 231 8 8 6 6 248 248 9 7 7
4315 4607 62165 64678 5445 100002 4601 4486 5188 73200 6834 5289 5259
5824 8253 5948 6716 4094 4200 5903 4361 10508 10713 7394 10470 7761
100004 100009 100005 100007 100001 100007 100007 100006 100003 100006 100002 100001 100006
11 12 109 172 13 113 11 11 16 162 19 15 15
14 14 50 65 13 50 50 14 15 48 15 48 15
18 20 18 18 0 0 0 0 19 19 0 0 0
100000 100001 100004 100007 100009 100005 100002 100000 100009 100009 100002 100000 100003
1 2 1 2 0 0 0 0 1 2 1 0 0
9107 9781 26956 28761 11935 34885 9317 9180 12076 37054 16192 11930 12074
35 122 35 36 1 1 1 1 44 45 2 1 1
2521 2847 2957 3282 3217 3714 2531 2523 3566 4219 4580 3602 3601
100001 100000 100003 100005 100003 100005 100006 100008 100001 100006 100001 100004 100000
72184 100003 75065 78412 34351 34780 31114 34552 100001 100000 62139 60376 61659
54 59 42 44 14 12 11 55 81 64 20 16 80
24 30 35 38 27 27 26 24 27 39 32 31 27
5927 6605 6029 6102 20 17 14 14 5989 6111 21 15 14
3 4 27 129 4 30 3 3 4 37 5 4 4
6544 6901 1998 2022 3725 431 410 6604 9074 2529 5457 558 9131
23725 25117 100009 100000 27776 100008 23808 23539 33139 100008 39197 33801 33406
80 80 436 472 79 432 448 79 83 481 81 474 81
0 0 0 0 0 0 0 0 0 0 0 0 0
98 96 350 373 100 385 397 95 84 383 91 452 87
2388 2897 2193 2328 2086 1508 1378 2393 4391 3645 3678 2283 4243
6 10 6 8 0 0 0 0 6 6 0 0 0
3180 3595 3534 3681 1320 1330 3191 1314 3780 4193 1489 3883 1470
3835 3946 3704 3608 797 778 699 684 5164 4914 1041 917 894
0 0 0 0 0 0 0 0 0 0 0 0 0
746 1412 749 861 98 67 55 54 970 990 127 71 70
2826 2933 100007 100004 3308 100003 2850 2830 3140 100009 3716 3162 3212
153 727 141 141 6 4 4 4 234 212 8 6 6
0 0 0 0 0 0 0 0 0 0 0 0 0
59557 64817 100010 100002 87758 100009 59719 59121 65675 100003 95792 66047 65882
2362 2834 2337 2451 5 5 4 4 2306 2327 1 0 0
9451 9344 100002 100005 9515 100007 9504 9352 9931 100003 10724 9905 10011
8300 8619 5463 5524 748 583 542 8244 10159 6954 994 709 10215
6435 6818 30389 33396 8432 42628 6512 6444 8647 41394 11524 8622 8578
2121 2316 2085 2143 75 69 68 66 2042 2035 58 51 52
14905 30346 14476 17186 1616 1176 1062 1086 21482 20317 2176 1394 1397
1 1 6 9 1 6 1 1 1 7 1 1 1
5 6 5 5 1 0 0 0 6 6 1 0 0
17989 19641 86754 89861 97188 100007 18346 100005 15248 68051 100000 14852 100006
7785 7996 100000 100000 9675 100009 7804 7816 9646 100006 12388 9825 9614
1325 2347 1346 1455 575 568 560 541 2681 2641 972 954 933
10 11 339 576 26 367 10 10 14 559 35 14 14
0 0 3 3 1 4 0 0 0 5 1 0 0
4940 5162 8893 9810 9471 11577 4895 4878 6709 12195 12902 6773 6763
40262 40068 39882 39300 150 149 119 119 42577 43048 147 106 106
100009 100004 100007 100008 100009 100008 100003 100005 100008 100000 100005 100001 100001
4726 5915 3622 3703 964 662 612 4696 7090 5518 1407 859 7071
56 57 348 375 71 382 56 55 75 497 97 75 76
100001 100001 100005 100008 100005 100006 100007 100003 100008 100002 100001 100006 100008
0 0 0 0 0 0 0 0 0 0 0 0 0
13 16 12 14 3 3 13 2 13 13 2 13 2
16641 16863 86096 91763 17754 91020 16638 16732 21200 100007 22710 21050 21135
985 1422 945 994 21 19 15 16 1117 1076 24 17 17
0 0 0 0 0 1 0 0 0 1 0 0 0
37 38 554 592 50 637 37 37 44 721 61 42 43
5203 6067 3010 3117 4144 1847 1776 5167 7920 4465 6364 2655 8089
100000 100005 100009 100004 100005 100001 100000 100002 100008 100005 100002 100006 100004
23466 24856 23086 23188 118 72 62 64 27851 28108 90 49 48
1 2 1 1 0 0 0 0 1 1 0 0 0
103 105 2474 2568 159 3010 100 100 149 3563 238 147 146
328 496 328 314 27 26 19 18 396 388 30 21 21
5 8 5 6 1 1 0 0 5 5 1 1 0
1 4 1 3 0 0 0 0 2 2 0 0 0
31840 34902 29140 30275 28137 20367 19078 31956 49511 43368 43516 28913 48728
100004 100006 100000 100003 11573 9905 8250 8180 100006 100008 13279 9167 9171
63548 64922 57453 57406 773 718 672 627 78058 70496 515 419 420
100001 100002 100000 100003 3207 1962 1423 1423 100007 100003 4081 1901 1908
100008 100008 100005 100001 100006 100002 100008 100007 100000 100004 100006 100002 100007
100000 100000 100009 100001 100000 100000 100005 100003 100000 100000 100004 100000 100002
48496 58992 48760 50651 1698 1311 1200 1183 58393 59808 2247 1538 1556
100009 100004 100006 100008 36268 28236 23624 23350 100004 100006 42193 27560 27330
45 80 44 42 3 3 3 2 45 44 3 2 2
113 114 108 108 0 0 0 0 113 110 0 0 0
32 32 126 247 35 130 31 31 41 189 47 42 41
100009 100000 100003 100002 100005 100005 100002 100005 100006 100001 100002 100008 100001
25199 24313 100001 100004 38623 100003 24706 25241 32719 100001 55169 33377 33288
100002 100008 100001 100001 1045 899 742 762 100003 100002 1326 866 903
50 55 513 536 67 585 48 49 66 690 93 65 67
0 0 10 25 0 8 0 0 1 13 1 1 1
11 13 10 12 1 0 0 0 12 12 0 0 0
100007 100000 100002 100002 100001 100007 100004 100009 100000 100002 100004 100008 100008
3 3 55 58 4 73 3 3 4 67 5 4 3
100001 100009 47840 47220 85762 29868 26315 100002 100008 76606 100001 43808 100003
1 1 1 1 0 0 1 0 2 2 1 2 1
38218 39614 36725 36978 688 646 603 601 42961 41846 713 607 599
295 330 3062 3253 493 3284 3303 295 262 3421 493 3802 261
100002 100003 100008 100010 435 293 230 234 100009 100001 520 275 271
4618 5184 6981 7279 4920 8113 4661 4687 3113 5029 3061 3093 3190
26129 27314 58128 59740 68069 91350 26228 93879 33230 69332 87776 32983 100002
2612 2666 12753 13171 2673 14256 2645 2611 3462 17120 3542 3479 3446
1543 2924 1543 1747 128 124 117 115 1898 1873 143 129 129
100008 100000 100002 100000 100002 100003 100000 100009 100005 100000 100002 100000 100001
70584 72899 100005 100001 82985 100001 71074 70100 76947 100003 92926 76604 77069
