instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-999 28 0.494709 28 0.494709 162128 156326 141067
r-764 23 0.498024 23 0.498024 12816 12137 9053
r-821 22 0.367965 22 0.367965 348 355 381
r-784 33 0.492424 33 0.492424 1545980 1465719 1276659
r-671 45 0.509091 45 0.509091 -1 -1 87584261
r-364 25 0.153333 25 0.153333 329 329 329
r-715 21 0.380952 21 0.380952 239 243 277
r-728 23 0.521739 23 0.521739 84980 78416 50357
r-888 45 0.49899 45 0.49899 -1 -1 -1
r-730 33 0.378788 33 0.378788 7511 6485 4100
r-876 24 0.431159 24 0.431159 1451 1517 1351
r-39 37 0.45045 37 0.45045 1658431 1222736 1382776
r-358 42 0.493612 42 0.493612 20395522 23544929 18197362
r-964 42 0.418118 42 0.418118 -1 -1 -1
r-203 29 0.339901 29 0.339901 7916275 8451970 5963963
r-433 41 0.321951 41 0.321951 -1 -1 -1
r-866 29 0.517241 29 0.517241 494819 568350 380026
r-461 43 0.449612 43 0.449612 -1 -1 -1
r-427 27 0.501425 27 0.501425 227424 262360 151840
r-285 39 0.510121 39 0.510121 101399049 107137038 61252225
r-788 35 0.510924 35 0.510924 18992550 22635407 14844452
r-767 27 0.205128 27 0.205128 404 383 381
r-982 27 0.501425 27 0.501425 254387 227303 185459
r-246 27 0.262108 27 0.262108 515 497 514
r-534 25 0.153333 25 0.153333 329 329 329
r-760 24 0.507246 24 0.507246 229888 205954 180598
r-508 24 0.521739 24 0.521739 68938 69004 76845
r-812 29 0.295567 29 0.295567 1687179 1700151 1347315
r-860 21 0.514286 21 0.514286 42764 41043 33466
r-699 29 0.502463 29 0.502463 2295963 2272175 1369482
r-217 42 0.437863 42 0.437863 -1 -1 -1
r-899 32 0.497984 32 0.497984 849481 978145 685443
r-793 21 0.52381 21 0.52381 41497 40706 27463
r-163 20 0.189474 20 0.189474 116858 137544 62843
r-640 37 0.510511 37 0.510511 25039904 26665661 24845917
r-749 45 0.127273 45 0.127273 -1 -1 -1
r-753 40 0.357692 40 0.357692 20542 20726 19731
r-693 21 0.52381 21 0.52381 49651 57616 42132
r-332 33 0.344697 33 0.344697 59556207 65997628 49006677
r-301 24 0.463768 24 0.463768 1080367 1107830 804507
r-528 27 0.461538 27 0.461538 30541 24001 26294
r-683 35 0.110924 35 0.110924 4564888 6071551 5358970
r-548 39 0.334683 39 0.334683 10196 9466 7191
r-947 44 0.510571 44 0.510571 -1 -1 -1
r-474 23 0.513834 23 0.513834 266953 259939 232700
r-952 38 0.477952 38 0.477952 -1 -1 94039577
r-308 22 0.17316 22 0.17316 22409 28409 16489
r-479 35 0.514286 35 0.514286 4886697 5797737 3541677
r-701 20 0.505263 20 0.505263 4084 3449 3056
r-713 41 0.47561 41 0.47561 -1 -1 -1
r-277 43 0.465116 43 0.465116 9108986 7342782 5856572
r-46 32 0.514113 32 0.514113 7861950 7679602 5433208
r-477 29 0.44335 29 0.44335 10060 12254 9007
r-800 31 0.27957 31 0.27957 7921981 10658937 7587464
r-519 25 0.513333 25 0.513333 408193 389553 327565
r-923 33 0.515152 33 0.515152 4033112 4757011 3883183
r-289 31 0.511828 31 0.511828 1694987 1672032 1149822
r-334 23 0.474308 23 0.474308 348885 327078 279902
r-768 30 0.508046 30 0.508046 3849988 4232590 3491953
r-130 20 0.478947 20 0.478947 226291 198505 168281
r-864 36 0.355556 36 0.355556 17795 20780 26564
r-117 27 0.461538 27 0.461538 28949 24108 15411
r-606 28 0.507937 28 0.507937 560385 619232 395006
r-478 25 0.42 25 0.42 1388 1361 1167
r-539 42 0.214866 42 0.214866 636 634 636
r-611 45 0.505051 45 0.505051 -1 -1 -1
r-54 39 0.510121 39 0.510121 14127631 14869008 7509097
r-172 36 0.5 36 0.5 2139300 7106173 2872319
r-735 36 0.507937 36 0.507937 39043292 42121407 28555717
r-394 21 0.0952381 21 0.0952381 253 253 253
r-492 39 0.145749 39 0.145749 683 683 683
r-960 22 0.17316 22 0.17316 257 257 257
r-910 41 0.219512 41 0.219512 500 500 500
r-249 22 0.311688 22 0.311688 51161 53879 45018
r-774 31 0.232258 31 0.232258 4704228 5432314 6072115
r-773 35 0.329412 35 0.329412 2434 2477 2030
r-743 39 0.364372 39 0.364372 44923 29129 27941
r-120 39 0.472335 39 0.472335 -1 -1 -1
r-335 22 0.484848 22 0.484848 4590 4817 3117
r-262 27 0.48433 27 0.48433 17879 16436 15220
r-725 36 0.157143 36 0.157143 24060747 29023498 15051459
r-853 22 0.311688 22 0.311688 154033 202266 164179
r-543 33 0.219697 33 0.219697 4624083 5946218 5281881
r-33 45 0.49899 45 0.49899 -1 -1 -1
r-557 43 0.27907 43 0.27907 -1 -1 -1
r-551 41 0.0487805 41 0.0487805 903 903 903
r-28 38 0.0526316 38 0.0526316 780 780 780
r-921 30 0.508046 30 0.508046 2101542 2028699 1472447
r-942 34 0.45098 34 0.45098 85402 71436 58723
r-157 31 0.516129 31 0.516129 1741824 1851360 1082320
r-395 25 0.22 25 0.22 337114 441041 331842
r-69 27 0.48433 27 0.48433 16167 14148 11525
r-949 34 0.165775 34 0.165775 4029787 5246877 3596919
r-856 28 0.349206 28 0.349206 2799857 3175886 2474625
r-312 21 0.514286 21 0.514286 14897 13521 11465
