instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-46 15 0.828571 17 0.764706 9579 7085 7085 9579 7935 9406 10875 8541 8541 10875 8517 14569 14569 8517
r-471 40 0.84359 45 0.940404 134759791 -1 134759791 134759791 -1 158473700 178453620 -1 178453620 178453620 2135672095 -1 2135672095 2135672095
r-219 24 0.98913 15 0.180952 6239 417 417 417 6808 1026 9436 1612 1612 1612 6931 1194 1194 1194
r-605 23 0.545455 44 0.552854 42522368 126219297 42522368 42522368 124924039 41580536 71020626 248024850 71020626 71020626 44261492 101886408 44261492 44261492
r-150 19 0.555556 49 0.447279 9721139 32811178 32811178 9721139 42558374 9565800 13761043 55080113 55080113 13761043 8967192 41189044 41189044 8967192
r-191 50 0.306939 40 0.0192308 522583948 -1 522583948 -1 -1 -1 694809753 -1 694809753 -1 -1 -1 -1 -1
r-85 14 0.725275 28 0.558201 28801 107318 107318 28801 119174 28422 33036 150311 150311 33036 25287 123938 123938 25287
r-515 32 0.780242 20 0.168421 45293 27120 45293 27120 96458 32001 67232 46896 67232 46896 54439 66574 54439 66574
r-794 46 0.91401 30 0.170115 201133 180628 180628 180628 308269 123999 312546 289306 289306 289306 251241 185620 185620 185620
r-48 42 0.267131 37 0.429429 1447735183 932043244 932043244 932043244 1232269894 1265796423 -1 1767837099 1767837099 1767837099 1420295201 717420253 717420253 717420253
r-853 35 0.867227 18 0.915033 1 1 1 1 1 1 1 1 1 1 1 1 1 1
r-753 26 0.966154 45 0.713131 -1 77312667 77312667 -1 5575611637 -1 -1 94996257 94996257 -1 -1 268472080 268472080 -1
r-842 30 0.77931 14 0.736264 67702 2435 2435 2435 64551 2673 80890 2436 2436 2436 45433 1690 1690 1690
r-200 48 0.552305 50 0.981224 13286159 -1 13286159 13286159 -1 12240339 20251948 -1 20251948 20251948 37472749 -1 37472749 37472749
r-745 50 0.0889796 14 0.934066 3141 9213 3141 9213 6653 4804 8238 19810 8238 19810 5203 6939 5203 6939
r-382 48 0.117021 31 0.483871 11792749 3639360 3639360 3639360 10752864 7187406 20123109 5674074 5674074 5674074 12127491 5497159 5497159 5497159
r-83 21 0.0619048 16 0.0416667 3358856 1 3358856 1 1099374 1 3358857 1 3358857 1 518504 1 518504 1
r-448 35 0.895798 45 0.129293 338103 477868 477868 338103 472127 413269 617215 742491 742491 617215 345001 587948 587948 345001
r-111 11 0.563636 22 0.943723 1490 32347 1490 1490 32047 1463 1721 37838 1721 1721 490 41382 490 490
r-751 38 0.662873 26 0.873846 18693168 17720430 18693168 17720430 44029957 12500027 29239648 25516387 29239648 25516387 16359255 24401144 16359255 24401144
r-990 37 0.701201 13 0.0512821 20285 42520 20285 42520 60079 39383 34381 67894 34381 67894 52534 41831 52534 41831
r-829 48 0.490248 10 0.0444444 192323 1 192323 1 221549 1 192324 2 192324 2 324821 1 324821 1
r-443 11 0.163636 49 0.619898 14834 82433 82433 14834 291507 14834 14835 111790 111790 14835 14934 171068 171068 14934
r-844 16 0.7 12 0.378788 2495 1548 1548 1548 4670 1801 3485 1811 1811 1811 4106 2675 2675 2675
r-851 46 0.891787 25 0.186667 169056 137120 137120 137120 314842 141942 259077 224134 224134 224134 247460 278443 278443 278443
r-724 29 0.204433 42 0.551684 69781461 46788238 46788238 69781461 70509777 69051030 117951738 84884334 84884334 117951738 83982617 63142398 63142398 83982617
r-151 48 0.261525 29 0.46798 434569580 130656584 130656584 130656584 386357212 168003906 823293552 221406283 221406283 221406283 482763436 129249745 129249745 129249745
r-738 17 0.926471 11 0.490909 5315 371 371 371 6186 324 7119 499 499 499 2177 460 460 460
r-946 50 0.796735 21 0.238095 607436 141924 141924 141924 1076057 222891 944818 240264 240264 240264 464178 284552 284552 284552
