instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-289 38 0.398293 38 0.398293 872984117 1215957949 827527757 838868335
r-311 40 0.480769 40 0.480769 84239968 198162307 81717663 83778690
r-510 32 0.417339 32 0.417339 113725125 84261124 96760302 94365507
r-566 41 0.47561 41 0.47561 414770086 226294042 288044764 280476301
r-777 24 0.15942 24 0.15942 -1 -1 -1 -1
r-845 38 0.341394 38 0.341394 661261213 1091409028 612484464 619295380
r-420 35 0.329412 35 0.329412 -1 -1 2880328960 2047450705
r-517 20 0.394737 20 0.394737 20245 37010 13435 13233
r-370 37 0.405405 37 0.405405 28336858 97126486 27156962 27729527
r-296 20 0.478947 20 0.478947 94959 74646 73983 69798
r-128 33 0.306818 33 0.306818 5196516 -1 5064402 5069802
r-27 43 0.449612 43 0.449612 -1 -1 -1 -1
r-604 32 0.120968 32 0.120968 -1 -1 -1 -1
r-299 21 0.180952 21 0.180952 27327 14525 19991 17969
r-811 34 0.40107 34 0.40107 278860171 196673322 240583262 234175812
r-244 41 0.095122 41 0.095122 241514738 940064204 188618537 225314024
r-867 24 0.507246 24 0.507246 332977 494048 340138 350174
r-252 45 0.438384 45 0.438384 167933536 408652114 180149308 184842245
r-302 15 0.514286 15 0.514286 2632 3827 2804 3023
r-715 22 0.367965 22 0.367965 666217 102398 122868 103741
r-799 36 0.322222 36 0.322222 -1 -1 4410287098 3163850982
r-660 34 0.370766 34 0.370766 214670075 179250183 174624566 171284950
r-210 36 0.157143 36 0.157143 -1 -1 -1 -1
r-30 41 0.42439 41 0.42439 -1 -1 -1 -1
r-712 45 0.20202 45 0.20202 -1 -1 -1 -1
r-993 22 0.311688 22 0.311688 311286 419870 257251 256134
r-861 40 0.184615 40 0.184615 -1 -1 -1 -1
r-762 20 0.189474 20 0.189474 21056663 -1 21056272 21056272
r-738 18 0.111111 18 0.111111 25490 -1 25388 25388
r-429 23 0.498024 23 0.498024 494166 327391 405825 392116
r-267 45 0.4 45 0.4 3251130445 849250439 531956310 479905845
r-251 27 0.14245 27 0.14245 -1 -1 -1 -1
r-814 24 0.344203 24 0.344203 150642 9996477 126275 125954
r-877 38 0.371266 38 0.371266 1165671486 800897852 933604437 909381143
r-132 22 0.519481 22 0.519481 159492 110158 140381 137154
r-959 16 0.5 16 0.5 9914 5919 8480 8297
r-6 18 0.20915 18 0.20915 4732 4297563433 4490 4490
r-461 33 0.458333 33 0.458333 20205984 10491093 12788060 12284259
r-622 34 0.213904 34 0.213904 104940853 264627432 98883028 100220692
r-229 23 0.300395 23 0.300395 173718 168580 119841 117024
r-717 32 0.465726 32 0.465726 47430511 38424461 40755089 39942620
r-476 23 0.442688 23 0.442688 445659 167023 168253 155046
r-644 42 0.214866 42 0.214866 -1 -1 -1 -1
r-879 26 0.323077 26 0.323077 1065750 1112518 850634 820819
r-92 37 0.348348 37 0.348348 10730538 2486468019 9228185 9380509
r-52 16 0.4 16 0.4 30867 3116 7957 6463
r-410 31 0.180645 31 0.180645 15756177 13588139 12324512 11864001
r-38 27 0.512821 27 0.512821 4311362 4422779 3705719 3636257
r-368 26 0.409231 26 0.409231 1893593 460301 548632 517739
r-499 17 0.382353 17 0.382353 23422 33674 19826 20302
r-727 41 0.512195 41 0.512195 955642721 1139641176 941392333 953981449
r-842 30 0.48046 30 0.48046 4040696 7913939 3402395 3478727
r-271 31 0.124731 31 0.124731 -1 -1 -1 -1
r-658 20 0.336842 20 0.336842 9730 1861298 7810 7800
r-416 16 0.233333 16 0.233333 37302426 32705231 6585246 4861343
r-263 28 0.198413 28 0.198413 -1 -1 -1 -1
r-743 41 0.139024 41 0.139024 -1 -1 -1 -1
r-395 41 0.504878 41 0.504878 894952072 1255400017 946362694 970399838
r-569 40 0.492308 40 0.492308 1226116774 1468076051 1051335489 1047177085
r-262 16 0.4 16 0.4 3322 8859 2215 2202
r-538 29 0.502463 29 0.502463 5208268 4312573 4021000 3864526
r-862 37 0.378378 37 0.378378 761546228 544544126 618547781 603581806
r-836 31 0.511828 31 0.511828 15423418 24764304 16421063 16794778
r-53 45 0.509091 45 0.509091 -1 -1 -1 -1
r-606 39 0.364372 39 0.364372 1306470542 1219411765 1080916303 1055194214
r-856 29 0.487685 29 0.487685 9942425 10408197 8336104 8209877
r-243 30 0.508046 30 0.508046 7067365 9606746 6737662 6952641
r-173 40 0.384615 40 0.384615 2206462253 -1 2072138411 2097427766
r-364 18 0.294118 18 0.294118 6421 6396335 6051 6051
r-718 41 0.504878 41 0.504878 1679982434 2170997319 1550443000 1556201790
r-767 29 0.37931 29 0.37931 563993 5274958 448204 449409
r-634 22 0.17316 22 0.17316 461910 94543 259593 223334
r-463 34 0.40107 34 0.40107 118714892 37980608 18990236 17303616
r-169 28 0.452381 28 0.452381 5943126 7487954 5129660 5156791
r-759 35 0.420168 35 0.420168 59491997 20783960 20844758 19664385
r-449 40 0.328205 40 0.328205 44929558 -1 46024814 46904507
r-68 16 0.325 16 0.325 3935 2705383 3696 3696
r-194 33 0.492424 33 0.492424 16973682 33156563 14842888 15114943
r-906 39 0.472335 39 0.472335 224871892 112097713 150725270 145105708
r-900 22 0.52381 22 0.52381 275616 412414 256356 271777
r-806 35 0.420168 35 0.420168 260881532 198100146 221325004 215619822
r-748 38 0.512091 38 0.512091 719274827 963789799 650273127 648487252
r-440 22 0.506494 22 0.506494 192784 229434 172320 180407
r-742 23 0.300395 23 0.300395 506806815 315905688 39824548 29566983
r-268 37 0.348348 37 0.348348 -1 3411656667 1735088668 1157911192
r-905 37 0.348348 37 0.348348 -1 -1 1613932247 1145562864
r-137 22 0.415584 22 0.415584 94565 198079 77133 77122
r-753 41 0.460976 41 0.460976 -1 -1 -1 -1
r-505 21 0.495238 21 0.495238 110454 109860 82627 79809
r-620 17 0.382353 17 0.382353 29250 20751 24161 23316
r-157 21 0.52381 21 0.52381 242041 172664 212492 207717
r-321 34 0.508021 34 0.508021 64013948 58750328 55942433 54191736
r-275 16 0.5 16 0.5 6335 7598 4445 4381
r-216 33 0.219697 33 0.219697 -1 -1 -1 -1
r-232 45 0.327273 45 0.327273 -1 -1 -1 -1
r-201 29 0.192118 29 0.192118 677540 1706916 584057 596746
r-662 17 0.382353 17 0.382353 4927 11814 3651 3655
r-171 25 0.22 25 0.22 1250688 1201692 957519 913537
r-693 30 0.514943 30 0.514943 10440559 13757223 9535574 9710597
r-864 15 0.419048 15 0.419048 5599 33432 4264 4277
r-719 33 0.492424 33 0.492424 126036639 86921736 109149395 106534049
r-202 43 0.365449 43 0.365449 -1 -1 -1 -1
r-542 34 0.258467 34 0.258467 162762646 180516435 120064486 117437946
r-873 38 0.500711 38 0.500711 620033383 477116095 553460694 545340082
r-600 36 0.512698 36 0.512698 298362017 359111670 271817312 273350788
r-857 17 0.382353 17 0.382353 4282 132846 3460 3447
r-619 38 0.234708 38 0.234708 933892888 899231476 638565420 618543557
r-563 24 0.463768 24 0.463768 686579 475984 586513 559069
r-256 28 0.515873 28 0.515873 2785190 1883340 2374949 2325839
r-333 26 0.0769231 26 0.0769231 -1 -1 -1 -1
r-624 32 0.514113 32 0.514113 46069320 35655716 40995849 39933313
r-314 31 0.451613 31 0.451613 12525195 7983631 8170498 7866952
