instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-4 30 0.395402 40 0.485897 202411743 76202782 76202782 202411743 93054825 186130216 436823701 148689818 148689818 436823701 229384523 159489525 159489525 229384523
r-81 45 0.685859 39 0.0161943 13357 951937 13357 951937 38106 98380 6680 1216326 6680 1216326 29698 809804 29698 809804
r-2 40 0.0602564 10 0.155556 34 111 111 111 34 111 64 111 111 111 99 222 222 222
r-721 15 0.266667 37 0.483483 847578 59980 59980 847578 80202 832170 1216484 80598 80598 1216484 715802 399138 399138 715802
r-401 49 0.578231 23 0.628458 50424344 85151139 50424344 85151139 53183081 80970842 92463449 148839564 92463449 148839564 77170576 125784886 77170576 125784886
r-537 24 0.242754 41 0.542683 5675856 2609264 2609264 5675856 16690757 6149961 9071292 4425653 4425653 9071292 11956636 8384363 8384363 11956636
r-179 11 0.618182 49 0.443027 919 7206 7206 919 1951 918 860 7168 7168 860 55929 61501 61501 55929
r-807 41 0.730488 46 0.519807 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-862 37 0.863363 36 0.336508 223760 237025 237025 237025 351563 1972747 368732 445291 445291 445291 1021270 621918 621918 621918
r-232 33 0.126894 45 0.267677 -1 277471023 277471023 -1 555333165 1577169069 -1 435144565 435144565 -1 -1 899306554 899306554 -1
r-617 20 0.452632 48 0.54078 14268500 4797606 4797606 14268500 11116318 13627261 23090804 7581491 7581491 23090804 21455038 13977449 13977449 21455038
r-457 47 0.640148 32 0.195565 1348665 2762309 1348665 2762309 2082337 17584752 1938890 4281599 1938890 4281599 12131374 20810702 12131374 20810702
r-713 27 0.490028 14 0.131868 1887 42869 1887 42869 4961 36624 1774 64073 1774 64073 2855 38344 2855 38344
