instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-951 34 0.499109 34 0.499109 142487286 121733876 115361862 114270437
r-497 26 0.270769 26 0.270769 -1 -1 1175052850 800980187
r-547 26 0.52 26 0.52 2836024 2725104 2535161 2582003
r-362 45 0.511111 45 0.511111 -1 -1 -1 -1
r-201 29 0.192118 29 0.192118 1160401 1894223 1026507 1051512
r-945 26 0.270769 26 0.270769 3628339 3974610 2876564 2807013
r-819 22 0.367965 22 0.367965 1386829 733378 267942 237299
r-1 36 0.285714 36 0.285714 -1 -1 -1 -1
r-549 26 0.212308 26 0.212308 -1 -1 -1 -1
r-817 35 0.252101 35 0.252101 213212223 345517077 195643263 197460727
r-77 17 0.382353 17 0.382353 44889 38311 37978 37163
r-619 38 0.234708 38 0.234708 1099600974 1198238909 758652736 735766160
r-765 44 0.273784 44 0.273784 302479264 -1 301257079 301294224
r-714 19 0.350877 19 0.350877 159592 150477 139588 136773
r-699 20 0.394737 20 0.394737 250079 315668 224493 238428
r-971 18 0.522876 18 0.522876 49792 47862 43069 42828
r-545 43 0.504983 43 0.504983 -1 -1 -1 -1
r-598 24 0.228261 24 0.228261 -1 -1 -1 -1
r-78 38 0.14936 38 0.14936 -1 -1 -1 -1
r-975 31 0.503226 31 0.503226 21363940 23292117 18470795 18134617
r-648 43 0.465116 43 0.465116 888753913 726683968 578898709 555822217
r-485 23 0.403162 23 0.403162 158278 366954 106340 106713
r-380 29 0.133005 29 0.133005 -1 -1 -1 -1
r-381 37 0.315315 37 0.315315 814063394 1199133660 777548413 795863979
r-17 42 0.511034 42 0.511034 2201510576 2054559257 1889717096 1851093634
r-789 38 0.193457 38 0.193457 -1 -1 -1 -1
r-555 41 0.219512 41 0.219512 -1 -1 -1 -1
r-395 41 0.504878 41 0.504878 1171831794 1407656374 1190630252 1216031930
r-415 20 0.521053 20 0.521053 253410 135536 232685 233231
r-228 16 0.325 16 0.325 14612 15067 12249 12354
r-883 34 0.370766 34 0.370766 568673720 90362932 34840005 27946449
