instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-926 24 0.981884 24 0.0434783 2689 826 826 5996 1489 8061 6071 6071 3195 1309 1309
r-671 24 0.416667 24 0.0434783 40386 2318735 40386 1712580 38949 60326 3578757 60326 626332 2593222 626332
r-371 24 0.702899 24 0.731884 1246779 1571240 1246779 1631590 1119071 1959626 2523228 1959626 1446905 1513574 1446905
r-310 24 0.434783 24 0.98913 57801 1491806 57801 1627045 53877 79250 2157600 79250 197221 1918587 197221
r-192 24 0.644928 24 0.518116 3250966 1799927 1799927 2655571 2614585 6151541 3009571 3009571 2729959 2600857 2600857
r-884 24 0.688406 24 0.438406 940946 710258 710258 1528523 904714 1470282 1126084 1126084 1525923 1099368 1099368
r-454 24 0.583333 24 0.173913 92746 251696 92746 296899 119774 144182 360886 144182 231482 264469 231482
r-120 24 0.525362 24 0.652174 1965716 3929343 1965716 3375857 1923371 3379414 7534614 3379414 2686762 3252952 2686762
r-853 24 0.916667 24 0.833333 2031315 75899 75899 872837 1138352 2222385 76477 76477 6023312 1726618 1726618
r-502 24 0.336957 24 0.514493 1217372 990392 990392 1898867 1198157 1864706 1639929 1639929 1601782 2265199 2265199
r-567 24 0.0217391 24 0.927536 7432 1715 1715 5993 4185 16470 7345 7345 3590 3777 3777
r-116 24 0.789855 24 0.224638 70080 72399 72399 100379 66258 101648 103886 103886 75167 143941 143941
r-852 24 0.199275 24 0.108696 37750 272093 37750 231362 35846 36734 346276 36734 162543 494940 162543
r-313 24 0.318841 24 0.231884 1896127 2499866 1896127 2313687 1925763 2896783 4050925 2896783 1541062 1580326 1541062
r-91 24 0.612319 24 0.471014 2016383 1462294 1462294 2589313 1869591 3391492 2327588 2327588 2277987 2059009 2059009
r-478 24 0.173913 24 0.123188 107689 645366 107689 576917 112629 131282 788008 131282 712769 1351751 712769
r-250 24 0.413043 24 0.945652 6817 376492 6817 119103 5179 11419 542105 11419 51472 200013 51472
r-785 24 0.507246 24 0.561594 2362487 3109211 2362487 2777036 2104833 4226139 5927832 4226139 3001928 3244456 3001928
r-807 24 0.26087 24 0.858696 32093 38190 32093 96895 36701 51888 62392 51888 61930 51454 61930
r-104 24 0.923913 24 0.887681 300782 219276 219276 470837 131519 209181 225318 225318 244415654 7684500 7684500
r-5 24 0.115942 24 0.92029 7310 9359 7310 17532 6225 13862 18020 13862 12165 14879 12165
r-43 24 0.666667 24 0.456522 1040114 1241698 1241698 1286613 1035861 1605822 2010810 2010810 1334778 1421083 1421083
r-60 24 0.894928 24 0.195652 29421 21269 21269 30661 30709 49366 29057 29057 23574 13038 13038
r-398 24 0.931159 24 0.246377 46522 15598 15598 46255 41369 77604 25102 25102 35011 20985 20985
r-303 24 0.637681 24 0.945652 55637 2608382 55637 1621460 54108 79817 3408178 79817 181445 2988116 181445
r-549 24 0.0652174 24 0.25 13008981 513999 513999 7257882 2245554 16160695 636799 636799 10919461 1275680 1275680
r-895 24 0.431159 24 0.952899 17455 416155 17455 201810 16108 27999 600905 27999 29624 332655 29624
r-911 24 0.851449 24 0.17029 39717 45355 45355 88004 42049 61806 71008 71008 69967 52971 52971
r-804 24 0.0253623 24 0.394928 11764081 35892 35892 7787939 433095 15942181 40522 40522 25549628 300267 300267
r-539 24 0.228261 24 0.0362319 691896 81556007 691896 62400121 681125 758720 92520109 758720 1724520 43581975 1724520
r-642 24 0.318841 24 0.221014 1243081 1832884 1243081 1612663 1299444 1883296 3004780 1883296 1461880 1757831 1461880
r-426 24 0.782609 24 0.876812 197130 1044569 197130 865957 224294 92986 1203968 92986 1057702 1450805 1057702
r-617 24 0.978261 24 0.112319 11721 2383 2383 10023 5546 24398 6819 6819 9839 4440 4440
r-757 24 0.101449 24 0.742754 38368 18400 18400 58040 37526 68372 28126 28126 37199 35170 35170
r-68 24 0.0869565 24 0.51087 233700 59776 59776 465665 267020 361611 79757 79757 404175 140954 140954
r-286 24 0.942029 24 0.985507 182391 -1 182391 -1 181183 212997 -1 212997 6605472572 -1 6605472572
