instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-484 40 0.466667 40 0.466667 124858 108360 98426
r-548 31 0.473118 31 0.473118 33 21 28
r-890 13 0.512821 13 0.512821 0 0 0
r-304 41 0.497561 41 0.497561 9094 11254 7702
r-424 35 0.329412 35 0.329412 0 1 1
r-267 46 0.463768 46 0.463768 833980 795789 690441
r-490 38 0.462304 38 0.462304 659 499 510
r-44 14 0.538462 14 0.538462 0 0 0
r-72 26 0.409231 26 0.409231 409 439 410
r-99 23 0.166008 23 0.166008 4 14 7
r-693 37 0.279279 37 0.279279 0 0 0
r-465 36 0.514286 36 0.514286 4249 3645 3157
r-946 19 0.280702 19 0.280702 4 5 6
r-31 44 0.426004 44 0.426004 324 407 244
r-745 36 0.157143 36 0.157143 0 0 0
r-776 28 0.0714286 28 0.0714286 0 0 0
r-139 28 0.388889 28 0.388889 0 1 1
r-489 15 0.342857 15 0.342857 0 0 0
r-759 42 0.501742 42 0.501742 52820 52729 45722
r-860 26 0.443077 26 0.443077 1263 801 805
r-525 44 0.241015 44 0.241015 1000000 1000000 1000000
r-18 19 0.491228 19 0.491228 9 8 5
r-16 12 0.166667 12 0.166667 0 0 0
r-182 32 0.225806 32 0.225806 1850 2712 1766
r-165 23 0.498024 23 0.498024 48 57 39
r-368 28 0.518519 28 0.518519 696 353 258
r-314 10 0.533333 10 0.533333 0 0 0
r-355 41 0.509756 41 0.509756 8734 15532 7257
r-667 16 0.525 16 0.525 2 1 2
r-947 40 0.0974359 40 0.0974359 51030 32876 20685
r-898 38 0.513514 38 0.513514 11240 10899 8797
r-118 19 0.51462 19 0.51462 1 1 1
r-641 10 0.555556 10 0.555556 0 0 0
r-748 37 0.153153 37 0.153153 13582 10805 7604
r-255 21 0.495238 21 0.495238 83 40 38
r-458 24 0.344203 24 0.344203 0 0 0
r-1 39 0.415655 39 0.415655 94 30 37
r-112 33 0.170455 33 0.170455 2605 4474 2363
r-517 20 0.526316 20 0.526316 7 4 6
r-567 37 0.468468 37 0.468468 38877 31060 30798
r-332 45 0.29899 45 0.29899 1000000 1000000 1000000
r-344 27 0.461538 27 0.461538 5 6 7
r-966 24 0.463768 24 0.463768 345 180 272
r-640 48 0.0416667 48 0.0416667 0 0 0
r-863 24 0.15942 24 0.15942 21 64 21
r-298 11 0.436364 11 0.436364 0 0 0
r-803 35 0.514286 35 0.514286 2475 2200 1736
r-871 48 0.382979 48 0.382979 96 83 78
r-199 33 0.117424 33 0.117424 0 0 0
r-56 43 0.511628 43 0.511628 43864 45374 37303
r-193 10 0.355556 10 0.355556 0 0 0
r-48 28 0.198413 28 0.198413 0 0 0
r-36 15 0.514286 15 0.514286 0 0 1
r-587 13 0.153846 13 0.153846 0 0 0
r-796 37 0.513514 37 0.513514 8633 8752 6192
r-339 24 0.463768 24 0.463768 3 4 3
r-474 21 0.380952 21 0.380952 0 0 0
r-856 36 0.412698 36 0.412698 34 22 43
r-831 27 0.205128 27 0.205128 223 134 159
r-86 21 0.257143 21 0.257143 0 0 0
r-189 36 0.412698 36 0.412698 45321 39576 35572
r-532 17 0.485294 17 0.485294 13 11 7
r-526 21 0.180952 21 0.180952 9 11 4
r-682 13 0.538462 13 0.538462 0 0 0
r-222 19 0.105263 19 0.105263 0 0 0
r-214 29 0.44335 29 0.44335 1676 1291 1203
r-79 17 0.514706 17 0.514706 1 0 1
r-538 18 0.522876 18 0.522876 1 3 1
r-579 33 0.503788 33 0.503788 539 642 449
r-103 36 0.5 36 0.5 1413 1526 1062
r-945 31 0.451613 31 0.451613 6282 5531 5105
r-867 44 0.332981 44 0.332981 1000000 1000000 1000000
r-719 45 0.509091 45 0.509091 78731 78295 63433
r-325 11 0.436364 11 0.436364 0 0 0
r-196 50 0.480816 50 0.480816 1000000 906198 821074
r-169 17 0.529412 17 0.529412 3 3 3
r-404 19 0.491228 19 0.491228 0 0 0
r-560 16 0.5 16 0.5 0 0 0
r-270 27 0.39886 27 0.39886 1 1 1
r-635 20 0.505263 20 0.505263 0 0 0
r-766 17 0.308824 17 0.308824 0 0 0
r-515 30 0.287356 30 0.287356 0 0 0
r-75 23 0.300395 23 0.300395 0 0 0
r-700 29 0.295567 29 0.295567 1361 2231 1148
r-333 42 0.493612 42 0.493612 147160 112805 100109
r-206 15 0.247619 15 0.247619 0 0 0
r-701 26 0.443077 26 0.443077 3 1 1
r-544 26 0.516923 26 0.516923 110 67 75
r-419 48 0.509752 48 0.509752 133872 99398 103251
r-680 36 0.322222 36 0.322222 54284 59971 44803
r-51 50 0.04 50 0.04 0 0 0
r-186 19 0.280702 19 0.280702 0 0 0
r-33 12 0.166667 12 0.166667 0 0 0
r-835 43 0.498339 43 0.498339 93035 71689 70247
r-293 22 0.484848 22 0.484848 45 46 36
r-713 21 0.514286 21 0.514286 3 2 3
r-657 41 0.512195 41 0.512195 18162 14622 9910
r-318 38 0.513514 38 0.513514 4474 4647 3589
r-772 31 0.503226 31 0.503226 175 193 125
r-784 25 0.22 25 0.22 45 84 64
r-728 25 0.5 25 0.5 168 79 77
r-483 12 0.409091 12 0.409091 0 0 0
r-746 47 0.227567 47 0.227567 0 1 0
r-711 22 0.519481 22 0.519481 9 10 15
r-862 14 0.527473 14 0.527473 1 0 0
r-65 34 0.513369 34 0.513369 2723 2914 2022
r-696 34 0.499109 34 0.499109 5789 4608 4417
r-838 30 0.45977 30 0.45977 3330 2683 2637
r-563 50 0.457959 50 0.457959 1000000 1000000 1000000
r-518 34 0.299465 34 0.299465 9485 10151 8188
r-330 50 0.326531 50 0.326531 1000000 1000000 1000000
r-570 42 0.214866 42 0.214866 0 0 0
r-174 14 0.142857 14 0.142857 0 0 0
r-905 23 0.498024 23 0.498024 109 112 90
r-392 30 0.186207 30 0.186207 0 0 0
r-360 10 0.2 10 0.2 0 0 0
r-594 26 0.443077 26 0.443077 1 1 1
r-775 26 0.212308 26 0.212308 141 140 111
r-895 44 0.359408 44 0.359408 54 44 71
r-441 17 0.117647 17 0.117647 0 0 0
r-604 29 0.512315 29 0.512315 46 45 65
r-159 14 0.494505 14 0.494505 0 0 0
r-984 22 0.0909091 22 0.0909091 0 0 0
r-348 20 0.505263 20 0.505263 37 42 34
r-601 26 0.212308 26 0.212308 0 0 0
r-669 16 0.325 16 0.325 0 0 0
r-749 32 0.352823 32 0.352823 0 0 0
r-980 34 0.486631 34 0.486631 892 463 396
r-681 45 0.20202 45 0.20202 537546 549697 413677
r-564 29 0.487685 29 0.487685 685 644 563
r-954 43 0.431894 43 0.431894 469858 398618 381049
r-140 25 0.08 25 0.08 0 0 0
r-703 12 0.30303 12 0.30303 0 0 0
r-178 42 0.396051 42 0.396051 621516 611866 544241
r-565 49 0.5 49 0.5 545486 516196 389409
r-611 44 0.332981 44 0.332981 14 13 11
r-382 15 0.47619 15 0.47619 0 0 0
r-188 13 0.538462 13 0.538462 0 0 0
r-702 21 0.32381 21 0.32381 10 9 8
r-628 19 0.409357 19 0.409357 8 7 6
r-431 25 0.333333 25 0.333333 0 0 0
r-730 23 0.237154 23 0.237154 0 0 0
r-212 50 0.502857 50 0.502857 783862 895284 651767
r-625 13 0.512821 13 0.512821 0 0 0
r-195 32 0.225806 32 0.225806 0 0 0
r-219 38 0.102418 38 0.102418 3903 3055 4108
r-385 44 0.473573 44 0.473573 4483 3114 2293
r-253 11 0.327273 11 0.327273 0 0 0
r-828 43 0.172757 43 0.172757 196702 313855 182589
r-283 13 0.282051 13 0.282051 0 0 0
r-937 50 0.497143 50 0.497143 605676 607284 462505
r-504 49 0.331633 49 0.331633 1000000 1000000 1000000
r-811 18 0.470588 18 0.470588 0 0 0
r-853 28 0.42328 28 0.42328 1715 1812 1697
r-340 16 0.458333 16 0.458333 0 0 0
r-990 47 0.194265 47 0.194265 1000000 1000000 1000000
r-957 16 0.5 16 0.5 0 0 0
r-705 21 0.180952 21 0.180952 25 8 23
r-958 18 0.366013 18 0.366013 0 0 0
r-275 46 0.476329 46 0.476329 778298 626303 578627
r-729 38 0.0526316 38 0.0526316 0 0 0
r-237 37 0.153153 37 0.153153 0 0 0
r-791 50 0.392653 50 0.392653 525 596 542
r-234 14 0.362637 14 0.362637 0 0 0
r-422 28 0.349206 28 0.349206 1666 1561 2099
r-685 46 0.198068 46 0.198068 1000000 1000000 1000000
r-150 21 0.466667 21 0.466667 46 39 25
r-513 11 0.545455 11 0.545455 0 0 0
r-694 24 0.463768 24 0.463768 228 186 174
r-603 10 0.355556 10 0.355556 0 0 0
r-459 37 0.348348 37 0.348348 1 1 2
r-17 22 0.52381 22 0.52381 23 13 21
r-432 29 0.502463 29 0.502463 1398 1503 1982
r-370 48 0.223404 48 0.223404 0 0 0
r-138 38 0.398293 38 0.398293 119129 111745 101438
r-485 50 0.497143 50 0.497143 1000000 968499 775343
r-581 34 0.508021 34 0.508021 4406 4046 3423
r-264 50 0.183673 50 0.183673 1000000 1000000 1000000
r-716 10 0.2 10 0.2 0 0 0
r-403 30 0.331034 30 0.331034 2578 2989 2314
r-92 22 0.246753 22 0.246753 0 0 0
r-363 12 0.30303 12 0.30303 0 0 0
r-495 32 0.508065 32 0.508065 749 688 720
r-457 49 0.416667 49 0.416667 1120 1467 928
r-689 14 0.263736 14 0.263736 0 0 0
r-421 43 0.431894 43 0.431894 530806 469315 448518
r-943 10 0.355556 10 0.355556 0 0 0
r-555 44 0.332981 44 0.332981 330464 379846 302600
r-413 45 0.20202 45 0.20202 0 0 0
r-482 13 0.538462 13 0.538462 0 0 0
r-66 31 0.490323 31 0.490323 93 82 128
r-633 30 0.0666667 30 0.0666667 0 0 0
r-823 34 0.499109 34 0.499109 1376 776 755
r-292 11 0.181818 11 0.181818 0 0 0
r-109 48 0.421986 48 0.421986 1000000 1000000 1000000
r-417 26 0.52 26 0.52 164 109 159
r-201 24 0.289855 24 0.289855 0 0 0
r-205 33 0.477273 33 0.477273 87 42 67
r-877 14 0.43956 14 0.43956 1 1 1
r-265 20 0.442105 20 0.442105 31 30 25
r-3 32 0.352823 32 0.352823 6311 6104 5350
r-630 41 0.256098 41 0.256098 0 0 0
r-819 40 0.480769 40 0.480769 3486 3877 2426
r-767 48 0.336879 48 0.336879 23 10 20
r-481 16 0.458333 16 0.458333 5 5 3
r-148 43 0.504983 43 0.504983 93211 85977 81127
r-614 19 0.491228 19 0.491228 0 0 0
r-708 10 0.466667 10 0.466667 0 0 0
r-824 50 0.470204 50 0.470204 1000000 1000000 1000000
r-758 24 0.521739 24 0.521739 21 16 26
r-582 42 0.418118 42 0.418118 168 155 139
r-428 36 0.512698 36 0.512698 6059 7636 4951
r-674 47 0.510638 47 0.510638 108659 122089 89289
r-546 26 0.507692 26 0.507692 94 81 57
r-688 19 0.19883 19 0.19883 0 0 0
r-720 45 0.490909 45 0.490909 23409 17640 13523
r-170 20 0.526316 20 0.526316 7 4 2
r-786 18 0.294118 18 0.294118 0 0 0
r-967 17 0.382353 17 0.382353 0 0 0
r-511 12 0.409091 12 0.409091 0 0 0
r-10 13 0.538462 13 0.538462 0 0 0
r-402 15 0.533333 15 0.533333 0 0 0
r-45 33 0.378788 33 0.378788 1 1 1
r-869 40 0.261538 40 0.261538 140283 185512 118734
r-505 10 0.355556 10 0.355556 0 0 0
r-46 30 0.404598 30 0.404598 1 2 1
r-535 46 0.371981 46 0.371981 1000000 1000000 1000000
r-683 18 0.522876 18 0.522876 0 0 1
r-741 22 0.519481 22 0.519481 32 28 28
r-251 42 0.371661 42 0.371661 801584 771502 699237
r-232 10 0.555556 10 0.555556 0 0 0
r-221 19 0.19883 19 0.19883 0 0 0
