instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-841 32 0.653226 49 0.577381 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-855 31 0.606452 38 0.0156472 47979 4966465 47979 47979 4512025 43526 81197 8044176 81197 81197 145696 5603256 145696 145696
r-310 34 0.105169 41 0.052439 3049463 5025326242 3049463 3049463 4790450551 3147856 3074853 5210932617 3074853 3074853 987718847 -1 987718847 987718847
r-75 13 0.692308 14 0.164835 653 932 653 653 1702 661 1051 1403 1051 1051 1168 1748 1168 1168
r-441 48 0.0558511 34 0.445633 48814136 6928947 6928947 6928947 46003472 10062988 75879541 8926082 8926082 8926082 60931941 13563403 13563403 13563403
r-741 16 0.158333 41 0.913415 15111 15988 15111 15111 40451 19216 27514 23535 27514 27514 25838 28043 25838 25838
r-957 17 0.919118 34 0.292335 67157 34667 34667 67157 170609 65775 117105 54406 54406 117105 135877 66359 66359 135877
r-965 28 0.968254 13 0.24359 6649 1161 1161 1161 7966 4895 12486 2517 2517 2517 8302 4303 4303 4303
r-27 38 0.732575 28 0.367725 6975893 9520897 9520897 9520897 12078051 10220840 11493742 16226122 16226122 16226122 16220762 9890599 9890599 9890599
r-781 18 0.96732 47 0.284921 281312 93665 93665 281312 452690 196222 528111 175609 175609 528111 419497 97713 97713 419497
r-355 31 0.0451613 33 0.278409 1289764999 2829990 2829990 1289764999 434390176 72725711 1613741617 3864588 3864588 1613741617 1246723054 11627483 11627483 1246723054
r-300 25 0.803333 30 0.383908 334831 715820 715820 334831 1006226 392927 529591 1139383 1139383 529591 1398610 627781 627781 1398610
r-712 25 0.01 44 0.538055 140419705 1951961 1951961 140419705 187107125 56744846 202678757 3105081 3105081 202678757 157857355 7573881 7573881 157857355
r-638 15 0.733333 19 0.684211 20170 29048 29048 20170 32865 18621 26521 40345 40345 26521 27847 28399 28399 27847
r-639 13 0.794872 22 0.65368 5407 11940 11940 5407 12190 5360 5971 14826 14826 5971 7494 17805 17805 7494
r-340 11 0.927273 50 0.608163 86476 353701 353701 86476 351014 86133 81720 342816 342816 81720 138619 801958 801958 138619
r-165 20 0.668421 35 0.715966 1333895 7149816 1333895 1333895 6915654 1311424 1892536 11640938 1892536 1892536 4025450 5903779 4025450 4025450
r-481 22 0.350649 38 0.118065 396232 4507047 396232 396232 4217529 496059 534533 6851863 534533 534533 880166 4430986 880166 880166
r-973 41 0.112195 42 0.873403 619100 583733 583733 619100 1278084 711581 1075662 1038649 1038649 1075662 941526 778415 778415 941526
r-502 23 0.0909091 36 0.815873 113801 81261 81261 113801 231279 119588 199494 120913 120913 199494 213127 129508 129508 213127
r-46 15 0.828571 17 0.764706 14957 10007 10007 14957 11808 13847 17253 12142 12142 17253 20361 37892 37892 20361
r-471 40 0.84359 45 0.940404 304522100 -1 304522100 304522100 -1 357129038 391604983 -1 391604983 391604983 2498194081 -1 2498194081 2498194081
r-219 24 0.98913 15 0.180952 6897 450 450 450 7476 2526 10511 1912 1912 1912 7615 1995 1995 1995
r-605 23 0.545455 44 0.552854 80468743 162842368 80468743 80468743 161816603 78258890 140310081 316052745 140310081 140310081 94957761 139006233 94957761 94957761
r-150 19 0.555556 49 0.447279 18778202 35636057 35636057 18778202 51378346 18515409 27912342 59520253 59520253 27912342 24376244 50095295 50095295 24376244
r-191 50 0.306939 40 0.0192308 524978393 -1 524978393 -1 -1 -1 698135814 -1 698135814 -1 -1 -1 -1 -1
r-85 14 0.725275 28 0.558201 118971 132787 132787 118971 150359 116844 154070 186908 186908 154070 109165 152038 152038 109165
r-515 32 0.780242 20 0.168421 51738 31522 51738 31522 103877 73761 75454 53638 75454 53638 98574 85777 98574 85777
r-794 46 0.91401 30 0.170115 211808 198441 198441 198441 322447 217479 327202 316575 316575 316575 278820 231206 231206 231206
r-48 42 0.267131 37 0.429429 2573136866 1061852947 1061852947 1061852947 2247598456 1434849645 -1 2014595702 2014595702 2014595702 1972575445 1573016812 1573016812 1573016812
r-853 35 0.867227 18 0.915033 553 435 553 435 554 438 296 173 296 173 4196953 1423 4196953 1423
r-753 26 0.966154 45 0.713131 -1 78349874 78349874 -1 5613522632 -1 -1 95166240 95166240 -1 -1 1012130399 1012130399 -1
r-842 30 0.77931 14 0.736264 95399 11185 11185 11185 91532 12403 111882 9725 9725 9725 56346 28075 28075 28075
r-200 48 0.552305 50 0.981224 24388820 -1 24388820 24388820 -1 23304299 32137993 -1 32137993 32137993 42264630 -1 42264630 42264630
r-745 50 0.0889796 14 0.934066 3172 11404 3172 11404 6674 7112 8424 25113 8424 25113 6333 10275 6333 10275
r-382 48 0.117021 31 0.483871 16811314 4488360 4488360 4488360 14581333 8401277 29057719 7032644 7032644 7032644 14982541 7145328 7145328 7145328
r-83 21 0.0619048 16 0.0416667 10488780 73757965 10488780 73757965 56609271 47613318 10502031 25475340 10502031 25475340 4557183 26666739 4557183 26666739
r-448 35 0.895798 45 0.129293 351831 486071 486071 351831 676433 431376 638102 753142 753142 638102 494279 666627 666627 494279
r-111 11 0.563636 22 0.943723 1775 44102 1775 1775 43875 1757 2187 50997 2187 2187 6361 49636 6361 6361
r-751 38 0.662873 26 0.873846 21716130 72862053 21716130 72862053 50506835 51262242 30889840 115256812 30889840 115256812 27910183 61705649 27910183 61705649
r-990 37 0.701201 13 0.0512821 21076 60621 21076 60621 61933 78185 34660 100259 34660 100259 55362 95526 55362 95526
r-829 48 0.490248 10 0.0444444 200357 133097 200357 133097 234904 127202 200652 132896 200652 132896 400850 139196 400850 139196
r-443 11 0.163636 49 0.619898 50664 85560 85560 50664 397203 48996 57802 115325 115325 57802 70755 206704 206704 70755
r-844 16 0.7 12 0.378788 2854 2899 2899 2899 5281 4427 3944 3616 3616 3616 7792 5191 5191 5191
r-851 46 0.891787 25 0.186667 184880 149510 149510 149510 335154 260097 282777 243526 243526 243526 301684 305481 305481 305481
r-724 29 0.204433 42 0.551684 74826963 48737835 48737835 74826963 102568159 74121631 125214128 87696840 87696840 125214128 91438357 70152847 70152847 91438357
r-151 48 0.261525 29 0.46798 595391388 149070758 149070758 149070758 538094235 197374025 1142207221 253330731 253330731 253330731 552881245 401041325 401041325 401041325
r-738 17 0.926471 11 0.490909 7284 472 472 472 8184 3174 8752 618 618 618 2560 702 702 702
r-946 50 0.796735 21 0.238095 647251 193216 193216 193216 1137383 869923 984647 309257 309257 309257 628957 426390 426390 426390
r-102 19 0.877193 18 0.79085 16472 2904 2904 2904 11296 5997 20985 3481 3481 3481 65555 17276 17276 17276
r-474 31 0.462366 37 0.651652 198979607 236546043 198979607 198979607 384558040 213194050 385404580 439922632 385404580 385404580 256498264 297388923 256498264 256498264
r-173 32 0.885081 41 0.209756 450382 456952 456952 450382 1208621 662097 804838 787340 787340 804838 706641 733739 733739 706641
r-70 41 0.590244 31 0.0344086 326508 5452713 326508 5452713 2473326 857260 621831 9046858 621831 9046858 746358 5648782 746358 5648782
r-365 28 0.719577 33 0.94697 828345 38807621 828345 828345 33403682 863066 1061045 51060364 1061045 1061045 3892977 49718320 3892977 3892977
r-780 26 0.766154 27 0.541311 6467057 2138352 2138352 6467057 5139576 5589532 12253511 3497843 3497843 12253511 4459616 2399422 2399422 4459616
r-754 41 0.239024 24 0.322464 38366792 4740466 4740466 4740466 35295740 5860160 61871983 6880722 6880722 6880722 31862239 14792927 14792927 14792927
r-295 28 0.328042 44 0.299154 137392045 445624770 137392045 137392045 438343279 132265660 217941304 790822418 217941304 217941304 160251477 410597191 160251477 160251477
r-833 16 0.00833333 28 0.846561 11804 1893 1893 11804 14029 6925 24061 5584 5584 24061 12631 3335 3335 12631
r-62 28 0.285714 34 0.668449 4852230 3470684 3470684 4852230 10161670 5858943 7758610 5792336 5792336 7758610 7238750 7530767 7530767 7238750
r-100 48 0.0992908 22 0.0822511 45444 11873 45444 11873 13181 27215 646 376 646 376 3715322 7713 3715322 7713
r-846 20 0.473684 43 0.0675526 50778 572983 50778 50778 536891 87150 62887 920722 62887 62887 165065 486086 165065 165065
r-88 39 0.916329 37 0.686186 587767321 17561435 17561435 17561435 365839186 33694347 845205500 25681433 25681433 25681433 675647515 174466320 174466320 174466320
r-35 30 0.0298851 41 0.0695122 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-442 22 0.705628 25 0.616667 2292255 1291105 1291105 2292255 1700745 2034844 3852334 2084190 2084190 3852334 2148556 1693235 1693235 2148556
r-487 38 0.738265 46 0.902415 369792536 -1 369792536 369792536 -1 469040123 522677408 -1 522677408 522677408 969871992 -1 969871992 969871992
r-788 23 0.304348 21 0.314286 497385 397371 397371 397371 512880 334848 808195 606886 606886 606886 586543 495547 495547 495547
r-587 42 0.566783 42 0.578397 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-139 25 0.143333 14 0.0549451 220751 331061 220751 331061 582280 161312 210318 277727 210318 277727 335176 276375 335176 276375
r-769 14 0.978022 26 0.430769 196699 18255 18255 196699 303827 126504 288917 29011 29011 288917 255634 46659 46659 255634
r-960 26 0.418462 10 0.2 1178 1897 1178 1897 1254 1837 1186 1887 1186 1887 1982 1081 1982 1081
r-461 33 0.174242 44 0.961945 74657 357712 74657 74657 234994 71954 103551 436638 103551 103551 130798 239407 130798 130798
r-700 17 0.889706 44 0.494715 879847 865505 865505 879847 3977454 949846 1244869 1386076 1386076 1244869 2198960 2002361 2002361 2198960
r-285 35 0.0537815 27 0.0940171 -1 6930820 6930820 6930820 -1 88034821 -1 6305296 6305296 6305296 -1 129448931 129448931 129448931
r-386 30 0.671264 44 0.35518 89078939 70351227 70351227 89078939 178441987 99636963 159056177 123224688 123224688 159056177 123514242 143447274 143447274 123514242
r-528 41 0.846341 12 0.393939 17706 11206 11206 11206 26537 21284 23876 15678 15678 15678 31701 12125 12125 12125
r-389 13 0.115385 23 0.418972 32173 13719 13719 32173 35185 26864 34134 11853 11853 34134 20849 76720 76720 20849
r-600 28 0.656085 18 0.830065 183090 193077 183090 193077 282151 165834 254191 252147 254191 252147 258712 189037 258712 189037
r-985 33 0.308712 41 0.67439 77025890 66696171 66696171 77025890 158815535 88288341 135258522 119106308 119106308 135258522 101900547 116965518 116965518 101900547
r-645 38 0.250356 46 0.294686 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
r-778 10 0.577778 27 0.777778 332 3467 332 332 3458 332 370 3507 370 370 813 3340 813 813
r-952 50 0.507755 45 0.821212 2061088797 -1 2061088797 -1 3101355597 2753599285 -1 -1 -1 -1 3210085204 -1 3210085204 -1
r-277 10 0.333333 35 0.847059 3121 4633 3121 3121 7692 3452 4209 6098 4209 4209 4895 3895 4895 4895
r-68 37 0.13964 24 0.666667 349542 287689 287689 287689 651332 475324 524894 486698 486698 486698 580687 371685 371685 371685
r-770 47 0.114709 20 0.252632 5441535 235610 235610 235610 4876013 435333 6886502 273598 273598 273598 5085121 1319093 1319093 1319093
r-180 11 0.436364 48 0.509752 12326 8756 8756 12326 17058 12326 12102 8536 8536 12102 33771 3779 3779 33771
r-135 35 0.941176 31 0.303226 701223 93823 93823 93823 729110 319477 1132447 141142 141142 141142 543024 167824 167824 167824
