instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-979 21 0.495238 21 0.495238 44011 145193 36018 35977
r-254 27 0.501425 27 0.501425 1162585 539489 1070151 1089401
r-20 26 0.470769 26 0.470769 1264918 291104 989744 978101
r-1000 44 0.30444 44 0.30444 -1 -1 -1 -1
r-79 29 0.339901 29 0.339901 1188539 7484993 1031273 1024754
r-440 22 0.506494 22 0.506494 144010 54237 121792 114994
r-188 28 0.349206 28 0.349206 4258862 3335919 3433073 3465685
r-867 24 0.507246 24 0.507246 355006 110599 310909 309920
r-681 17 0.529412 17 0.529412 4945 9771 4441 4449
r-396 22 0.519481 22 0.519481 312027 117828 244572 234248
r-906 39 0.472335 39 0.472335 18929112 77492396 7918838 7772442
r-113 16 0.325 16 0.325 1943 16616 1470 1470
r-759 35 0.420168 35 0.420168 4435541 11033395 1686055 1647646
r-29 41 0.139024 41 0.139024 330937869 79917761 337767094 348364239
r-773 44 0.426004 44 0.426004 168950295 52951120 163587853 166667019
r-951 34 0.499109 34 0.499109 56626990 14295832 46256149 45810467
r-497 26 0.270769 26 0.270769 -1 -1 6634 6610
r-547 26 0.52 26 0.52 1165025 319848 946503 928441
r-362 45 0.511111 45 0.511111 -1 -1 -1 -1
r-201 29 0.192118 29 0.192118 482861 187307 442450 454766
r-945 26 0.270769 26 0.270769 654084 1331383 401983 403237
r-819 22 0.367965 22 0.367965 65518 221637 9631 9867
r-1 36 0.285714 36 0.285714 -1 -1 -1 -1
r-549 26 0.212308 26 0.212308 -1 -1 -1 -1
r-817 35 0.252101 35 0.252101 65239045 55927988 59547146 60694265
r-77 17 0.382353 17 0.382353 23617 24406 20171 20138
r-619 38 0.234708 38 0.234708 165708086 299007433 120087316 117222603
r-765 44 0.273784 44 0.273784 11666579 -1 12262382 12291517
r-714 19 0.350877 19 0.350877 17356 49501 13874 13643
r-699 20 0.394737 20 0.394737 92823 19741 80313 87200
r-971 18 0.522876 18 0.522876 11232 23493 10859 11023
r-545 43 0.504983 43 0.504983 -1 -1 -1 -1
r-598 24 0.228261 24 0.228261 -1 -1 -1 -1
r-78 38 0.14936 38 0.14936 -1 -1 -1 -1
r-975 31 0.503226 31 0.503226 3382894 9787532 3273443 3251646
r-648 43 0.465116 43 0.465116 37044688 175967983 17396121 17146983
r-485 23 0.403162 23 0.403162 75193 56777 50731 50465
r-380 29 0.133005 29 0.133005 -1 -1 -1 -1
r-381 37 0.315315 37 0.315315 221286443 6595684 212775469 221575591
r-17 42 0.511034 42 0.511034 169805435 635691715 164761292 163987556
r-789 38 0.193457 38 0.193457 -1 -1 -1 -1
r-555 41 0.219512 41 0.219512 -1 -1 -1 -1
r-395 41 0.504878 41 0.504878 276879722 152256357 244267558 245632092
r-415 20 0.521053 20 0.521053 134370 23332 118344 117386
r-228 16 0.325 16 0.325 6287 3398 5263 5324
r-883 34 0.370766 34 0.370766 2296258 6795034 90662 89898
r-263 28 0.198413 28 0.198413 -1 -1 -1 -1
r-764 42 0.371661 42 0.371661 -1 -1 -1 -1
r-245 35 0.420168 35 0.420168 2917210 10993712 1571455 1507867
r-564 43 0.389812 43 0.389812 -1 -1 -1 -1
r-309 28 0.452381 28 0.452381 505491 2063752 278453 275079
r-611 22 0.246753 22 0.246753 1727299 434733941 8084 8102
r-12 39 0.364372 39 0.364372 14976595 295269359 1357251 1336039
r-344 36 0.474603 36 0.474603 10317789 23778499 6232605 6090122
r-927 36 0.436508 36 0.436508 10486487 5652157 8240087 8339254
r-410 31 0.180645 31 0.180645 2856610 10897249 1364369 1363179
r-737 17 0.485294 17 0.485294 9573 4359 7424 7439
r-557 31 0.503226 31 0.503226 15665144 3977750 13495762 13412416
r-874 28 0.507937 28 0.507937 5477689 1271432 4858390 4854626
r-290 18 0.366013 18 0.366013 147543 178863 3467 3465
r-98 35 0.208403 35 0.208403 928621 41615332 656128 652335
r-749 17 0.514706 17 0.514706 13214 20518 12419 12707
r-729 15 0.419048 15 0.419048 6344 1715 4721 4756
r-760 17 0.220588 17 0.220588 1346 3585 880 824
r-488 15 0.47619 15 0.47619 2340 5579 2047 2033
r-525 39 0.364372 39 0.364372 134264849 523044587 116746589 115963894
r-590 42 0.437863 42 0.437863 176955418 45436230 165356555 167768002
r-936 31 0.511828 31 0.511828 9265282 4321300 7380275 7307308
r-51 17 0.441176 17 0.441176 2068 10338 1130 1141
r-226 24 0.431159 24 0.431159 189014 128534 127311 126703
r-292 43 0.511628 43 0.511628 952627251 -1 -1 -1
r-255 43 0.27907 43 0.27907 -1 -1 -1 -1
r-71 43 0.449612 43 0.449612 -1 -1 -1 -1
r-496 22 0.519481 22 0.519481 174977 131497 137535 135328
r-758 35 0.329412 35 0.329412 43611447 2208616 42890841 43766831
r-221 23 0.0869565 23 0.0869565 -1 -1 -1 -1
r-635 21 0.466667 21 0.466667 52676 141486 44847 45121
r-984 30 0.48046 30 0.48046 13591435 5451841 11559935 11338650
r-127 40 0.466667 40 0.466667 -1 715677196 348294853 349333884
r-533 44 0.332981 44 0.332981 -1 -1 -1 -1
r-624 32 0.514113 32 0.514113 8362687 17132284 6161382 6067148
r-711 34 0.515152 34 0.515152 14610553 35125221 13680347 13656561
r-125 39 0.512821 39 0.512821 296369808 59194992 269626896 266229963
r-53 45 0.509091 45 0.509091 -1 -1 -1 -1
r-668 17 0.441176 17 0.441176 13452 2829 9792 9551
r-404 27 0.518519 27 0.518519 1686279 3352008 1579872 1582933
r-403 17 0.441176 17 0.441176 8017 2832 6836 6508
r-306 38 0.490754 38 0.490754 80758531 302781173 53732674 53540784
r-793 32 0.483871 32 0.483871 9976682 34370319 7713885 7679017
r-845 38 0.341394 38 0.341394 299365495 184364105 279614881 282324191
r-976 42 0.483159 42 0.483159 114914304 312033670 60329027 58742356
r-924 42 0.315912 42 0.315912 -1 -1 -1 -1
r-206 42 0.512195 42 0.512195 233744744 774763443 208291524 207098104
r-526 45 0.4 45 0.4 61724284 192197467 14035062 13585061
r-933 44 0.332981 44 0.332981 17523851 -1 18722952 19257362
r-625 20 0.478947 20 0.478947 30157 87531 23867 24060
r-779 29 0.512315 29 0.512315 1604119 6569751 1486754 1471644
r-478 39 0.437247 39 0.437247 12522824 43333123 6526863 6506317
r-35 44 0.494715 44 0.494715 -1 -1 -1 -1
r-4 30 0.287356 30 0.287356 3473391 6945531 2265201 2238293
r-260 41 0.443902 41 0.443902 24645901 91603012 15533865 15345585
r-503 35 0.110924 35 0.110924 -1 -1 -1 -1
r-816 24 0.431159 24 0.431159 49485 175696 31029 30720
r-397 40 0.480769 40 0.480769 88093750 32845461 72487526 72280355
r-88 23 0.513834 23 0.513834 119545 394990 135382 135352
r-747 28 0.137566 28 0.137566 -1 -1 -1 -1
r-373 40 0.328205 40 0.328205 -1 -1 907135 887394
r-287 22 0.246753 22 0.246753 9499371 739219586 9498974 9498974
r-441 41 0.35122 41 0.35122 -1 463970931 754820 731979
r-268 37 0.348348 37 0.348348 -1 705540920 622703 610924
r-580 18 0.522876 18 0.522876 26038 13710 21831 22094
r-376 34 0.213904 34 0.213904 -1 -1 -1 -1
r-710 45 0.268687 45 0.268687 -1 -1 -1 -1
r-889 18 0.522876 18 0.522876 18133 27808 17273 16960
r-857 17 0.382353 17 0.382353 5863 35225 4283 4337
r-704 29 0.339901 29 0.339901 3650577 9678618 3037481 3020110
r-74 31 0.232258 31 0.232258 3454531 8837273 2258252 2222194
r-460 34 0.499109 34 0.499109 11828070 41065435 8124466 8153715
