instance last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time last_unsat_time sat_time total_subproblem_time total_subproblem_time_minus_last_unsat run_time
mcs30_b03_s15_AB06 0 0 0 0 1 0 0 0 0 1
mcs50_m2D_s50_AB06 189767 770674 999996 810229 1000000 190192 769953 999995 809803 1000000
mcs50_b06_s50_AB09 307853 560709 999993 692140 1000000 311734 557871 999994 688260 1000000
mcs50_r01_s35_AB00 158011 5722 243648 85637 243654 157618 5705 242941 85323 242949
mcs90_r02_s20_AB01 0 0 0 0 0 0 0 0 0 0
mcs50_b06m_s20_AB07 19 9 37 18 40 19 9 37 18 41
mcs70_r02_s30_AB01 174 44 353 179 357 174 44 353 179 357
mcs50_b03_s40_AB05 3605 21576 25798 22193 25802 3673 21606 25898 22225 25900
mcs70_m2D_s15_AB02 0 0 0 0 0 0 0 0 0 0
mcs50_m4Dr4_s30_AB02 497 720 1432 935 1436 744 817 1779 1035 1783
mcs70_m2Dr6_s40_AB00 261220 18381 339355 78135 339359 264264 18732 344326 80062 344330
mcs30_m2Dr6_s50_AB03 210227 723346 999993 789766 1000000 210684 722708 999993 789309 1000000
mcs90_m2Dr4_s30_AB05 11 0 14 3 15 11 0 14 3 15
mcs50_m3Dr4_s15_AB04 0 1 1 1 2 1 2 3 2 4
mcs50_b03m_s50_AB05 102975 885296 999995 897020 1000000 102684 885592 999996 897312 1000000
mcs70_b09m_s35_AB05 754 81 1472 718 1476 753 80 1417 664 1423
mcs30_b03_s15_AB08 0 0 0 0 1 0 0 0 0 1
mcs30_b06m_s50_AB07 235843 658044 999994 764151 1000000 234102 659746 999992 765890 1000000
mcs50_r02_s20_AB02 93 43 194 101 198 93 43 194 101 197
mcs50_r005_s35_AB01 1948 2503 5043 3095 5047 1928 2481 5002 3074 5005
mcs50_b03_s50_AB09 134211 847475 999996 865785 1000000 134616 846728 999996 865380 1000000
mcs90_r02_s15_AB00 0 0 0 0 0 0 0 0 0 0
mcs70_b09_s25_AB07 108 20 217 109 220 77 13 178 101 181
mcs90_b03m_s35_AB09 15 25 42 27 44 8 14 23 15 25
mcs50_m3D_s20_AB05 22 8 37 15 39 13 4 21 8 23
mcs50_m4Dr6_s35_AB02 4892 4933 11391 6499 11395 4934 4939 11444 6510 11449
mcs30_b06m_s25_AB07 350 2 500 150 504 219 1 313 94 316
mcs90_b09_s35_AB08 24 0 34 10 36 15 0 21 6 22
mcs50_b03_s15_AB04 0 1 1 1 2 0 0 0 0 1
