mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O mcsplit+randombigf mcsplitb+randombigf
2325154 3129736 2199190 2495721 113550 100204 2325154 100204 2437023 2299871 113309 2437023 101867 112090 112090
1209193 1734785 1010054 1127352 116687 52863 52863 52863 1292064 1079621 120894 53323 53323 101243 101243
4522 4582 31846 42655 4466 33152 4522 4522 5034 36948 4978 5034 5034 4664 4664
8596879 9242296 6121343 6328139 577478 301868 301868 301868 10949795 7831299 679658 348616 348616 549842 549842
-1 -1 -1 -1 468433130 268489630 268489630 268489630 -1 -1 539297958 329407047 329407047 440590457 440590457
769912 897647 843123 929833 668057 1018733 1018733 769912 1062154 1116046 907558 1329816 1062154 650529 650529
1082402664 1139983211 -1 -1 1021212184 -1 -1 1082402664 332099025 3886915687 321641119 3056504222 332099025 1015149044 1015149044
82 82 42 68 82 42 82 82 82 42 82 82 82 82 82
63109260 63782458 3130010054 3303615869 74935610 3803739821 63109260 63109260 80301000 3971123078 96683152 80301000 80301000 80015213 80015213
61120470 66433048 692099791 740204307 74408393 946313183 61120470 61120470 83517420 928433090 103028703 83517420 83517420 79919161 79919161
21560231 24862842 34069801 36810029 26137933 31518707 21560231 31518707 33133560 51756033 39416255 33133560 47081868 26958890 26958890
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
249316 1058790 461130 639377 1203816 3917 3917 3917 472245 771894 1901162 6755 6755 1261262 1261262
191129706 590804252 177418885 213945043 3345767 1242773 1242773 1242773 248713275 228008632 4450047 1564491 1564491 3195222 3195222
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
892702910 930992010 -1 -1 941299942 -1 892702910 892702910 990291386 -1 1054982549 990291386 990291386 1038421360 1038421360
19529 20579 43015 48139 22847 43398 19529 19529 25716 66550 31383 25716 25716 24532 24532
11421781 12874104 8936987 9192589 128659 100885 100885 100885 12396116 9690653 138396 106028 106028 121464 121464
2133413516 2358431868 -1 -1 2737778069 -1 2133413516 2133413516 -1 -1 -1 -1 -1 2865304212 2865304212
1718012412 2082740848 1004727120 936262026 1603610412 593494950 593494950 1718012412 3001885568 1589579039 2813155438 941229987 3001885568 1563876077 1563876077
34932369 35818747 1315528157 1353963398 35095501 1351180892 34932369 34932369 38267325 1431126370 38537121 38267325 38267325 37761400 37761400
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
1753907 2155443 2168237 2279005 1554961 1866796 1753907 1866796 2810151 3426545 2374936 2810151 2851308 1596612 1596612
297154591 423668788 317218553 353524493 272587612 289191895 289191895 289191895 582945347 623390911 510697152 545564450 545564450 272593164 272593164
704642375 723081505 -1 -1 786491041 -1 704642375 704642375 931472511 -1 1070305696 931472511 931472511 842818121 842818121
3434812 4016431 5099766 5394158 4701270 5423620 3434812 5423620 5307415 7729077 7032869 5307415 8068807 4791567 4791567
3430786 3998632 3762403 4051815 1400023 1467487 3430786 1467487 3735307 4067622 1438718 3735307 1498920 1404549 1404549
1193669648 1502727975 891528004 948122712 173658656 128438732 128438732 128438732 1609554594 1204647070 228435850 166646726 166646726 165087253 165087253
2847017929 -1 2482068650 2646682830 318772379 186985929 186985929 186985929 -1 3915418659 515426334 298400195 298400195 303271689 303271689
226822 258889 204970 225587 28871 25957 226822 25957 208706 185613 14131 208706 12007 28172 28172
324635 1918762 300128 838301 28443 11773 11773 11773 409774 381416 34823 14615 14615 25648 25648
4519305 4673059 4009867 4044758 37908 11403 11403 11403 4698328 4163442 42646 12725 12725 32685 32685
97 97 2507 3179 98 2545 97 97 127 2520 128 127 127 98 98
5196677 7552278 5494118 6048206 829300 809948 5196677 809948 6767807 7121967 1019390 6767807 998291 815453 815453
1757636 3050383 1547300 1659519 108490 57064 57064 57064 2099476 1829949 117151 58890 58890 90599 90599
-1 -1 -1 -1 1408498552 1146447796 -1 1146447796 -1 -1 1568214444 -1 1266495650 1300022630 1300022630
-1 -1 3646063254 3658329000 40109659 29905303 29905303 29905303 -1 4348948179 36001103 24060814 24060814 37314929 37314929
1050803 1788171 889261 1076655 17523 10870 10870 10870 1119000 944224 18995 11812 11812 14221 14221
678 4406 667 2081 366 314 314 314 649 638 336 299 299 366 366
73326896 100501516 29396772 32153402 60329219 12390175 12390175 73326896 125229458 46857554 104307642 19380711 125229458 56716365 56716365
