instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped
r-34 36 0.274603 34 0.304813 308878 169131 170196 303739 167858 575211 298682 298487 211365 179452 179470
r-500 43 0.30897 45 0.310101 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-941 30 0.275862 12 0.287879 5 0 0 9 0 10 0 0 12 0 0
r-120 36 0.290476 23 0.324111 9019 5219 4280 8639 4469 16268 6521 7122 5657 3496 3346
r-986 19 0.239766 28 0.330688 196 373 312 434 308 451 420 450 267 485 362
r-167 30 0.34023 50 0.294694 580360 1000000 583356 1000000 580554 1000000 1000000 1000000 994686 1000000 996454
r-335 35 0.29916 28 0.261905 35364 29892 29971 38309 28416 62865 51791 52131 44863 33003 32989
r-85 28 0.269841 11 0.436364 5 1 1 5 1 3 1 1 2 2 2
r-485 40 0.303846 28 0.28836 118923 71931 71907 121091 71210 221283 122594 122198 136769 95014 95582
r-866 35 0.29916 43 0.322259 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-693 19 0.263158 42 0.29036 1000 2901 968 2705 960 1217 3905 1350 758 1931 757
r-169 46 0.312077 17 0.279412 2419 389 389 2212 392 2996 632 471 1704 700 753
r-841 34 0.26738 18 0.339869 588 113 159 671 113 917 218 187 769 279 234
r-368 46 0.288889 48 0.324468 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-30 19 0.356725 29 0.295567 230 459 230 586 238 349 867 349 119 270 119
r-798 19 0.245614 11 0.363636 1 0 0 1 0 2 0 0 1 0 0
r-774 41 0.278049 30 0.301149 205563 76317 76199 197657 86165 384163 129682 129647 188316 148268 148596
r-898 45 0.291919 22 0.333333 15201 3239 3414 14542 3645 25811 4966 4963 15070 5408 5440
r-353 40 0.30641 22 0.285714 13601 5238 5048 13451 4931 22826 7098 7239 11932 7174 7173
r-538 12 0.242424 46 0.288889 0 0 0 0 0 0 0 0 0 0 0
r-999 26 0.298462 35 0.305882 11547 19063 11543 19148 11494 19388 33987 19428 14869 23161 14796
