instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf mcsplit+randombigf
r-259 34 0.499109 34 0.499109 51212 40550 45587 45675
r-86 40 0.184615 40 0.184615 732659 1000000 724257 768089
r-445 27 0.39886 27 0.39886 1885 2171 1708 1957
r-558 22 0.311688 22 0.311688 158 166 133 150
r-573 37 0.483483 37 0.483483 31135 28332 23163 22979
r-462 23 0.513834 23 0.513834 244 233 169 259
r-320 39 0.45614 39 0.45614 28394 22824 20386 20035
r-364 18 0.294118 18 0.294118 1 626 2 1
r-520 36 0.512698 36 0.512698 74734 60417 67636 67546
r-240 42 0.315912 42 0.315912 1000000 1000000 1000000 1000000
r-553 25 0.453333 25 0.453333 1248 1173 1366 1154
r-683 44 0.5074 44 0.5074 1000000 1000000 1000000 1000000
r-187 40 0.384615 40 0.384615 1000000 1000000 1000000 1000000
r-823 17 0.308824 17 0.308824 266 101 52 23
r-369 39 0.267206 39 0.267206 1000000 1000000 1000000 1000000
r-273 23 0.300395 23 0.300395 341 356 196 199
r-777 24 0.15942 24 0.15942 1000000 1000000 1000000 1000000
r-452 18 0.424837 18 0.424837 20 19 18 18
r-998 39 0.145749 39 0.145749 1000000 1000000 1000000 1000000
r-799 36 0.322222 36 0.322222 1000000 1000000 511192 369626
r-506 22 0.415584 22 0.415584 25 33 31 32
r-167 32 0.497984 32 0.497984 5427 5077 4849 4458
r-229 23 0.300395 23 0.300395 105 129 82 52
r-935 17 0.308824 17 0.308824 80 34 22 10
r-165 19 0.491228 19 0.491228 18 15 25 26
r-377 38 0.500711 38 0.500711 448903 406536 424066 431672
r-361 41 0.512195 41 0.512195 466063 466816 454690 468147
r-735 40 0.142308 40 0.142308 1000000 1000000 1000000 1000000
r-544 23 0.403162 23 0.403162 43 226 66 40
r-293 43 0.478405 43 0.478405 1000000 1000000 1000000 1000000
r-389 45 0.490909 45 0.490909 558803 679520 528893 539826
r-679 32 0.417339 32 0.417339 1715 2237 1807 1845
r-436 39 0.504723 39 0.504723 471027 416380 444873 454347
r-820 38 0.0526316 38 0.0526316 1000000 1000000 1000000 1000000
r-569 40 0.492308 40 0.492308 573260 488293 512387 519613
r-513 31 0.516129 31 0.516129 7057 7469 6599 6644
r-822 44 0.332981 44 0.332981 1000000 1000000 1000000 1000000
r-59 31 0.395699 31 0.395699 5164 1621 952 777
r-352 19 0.105263 19 0.105263 1000000 1000000 1000000 1000000
r-156 41 0.512195 41 0.512195 321670 299791 318638 329058
r-942 16 0.458333 16 0.458333 4 1 2 2
r-68 16 0.325 16 0.325 1 297 1 0
r-15 45 0.480808 45 0.480808 718526 609619 544156 537581
r-663 30 0.23908 30 0.23908 1000000 1000000 1000000 1000000
r-3 40 0.142308 40 0.142308 1000000 1000000 1000000 1000000
r-556 20 0.336842 20 0.336842 59 568 25 25
r-288 34 0.299465 34 0.299465 35970 39328 35532 36957
r-835 40 0.408974 40 0.408974 656705 539751 563589 558207
r-99 18 0.424837 18 0.424837 12 14 10 6
r-530 34 0.508021 34 0.508021 43309 35346 39447 40156
r-102 32 0.352823 32 0.352823 20514 22770 19424 20440
r-561 25 0.22 25 0.22 82 91 72 75
r-244 41 0.095122 41 0.095122 103638 225138 99682 117217
r-426 32 0.508065 32 0.508065 11110 11445 12130 11369
r-262 16 0.4 16 0.4 1 1 0 1
r-571 37 0.153153 37 0.153153 1000000 1000000 1000000 1000000
r-130 20 0.521053 20 0.521053 45 23 28 30
r-251 27 0.14245 27 0.14245 1000000 1000000 1000000 1000000
r-728 23 0.237154 23 0.237154 152 212 145 96
r-220 15 0.47619 15 0.47619 1 1 0 0
r-651 30 0.48046 30 0.48046 1137 954 846 892
r-294 32 0.314516 32 0.314516 9163 12088 9568 9670
r-732 18 0.424837 18 0.424837 10 13 9 9
r-208 25 0.28 25 0.28 148 325248 100 101
r-752 32 0.417339 32 0.417339 25130 24088 22399 22974
r-868 39 0.472335 39 0.472335 49848 49428 37524 37249
r-480 34 0.40107 34 0.40107 108869 64381 92193 92977
r-85 24 0.228261 24 0.228261 1000000 1000000 581652 417168
r-988 22 0.519481 22 0.519481 147 220 132 208
r-67 15 0.47619 15 0.47619 1 1 0 0
r-474 32 0.387097 32 0.387097 5760 2276 1092 1234
r-852 22 0.484848 22 0.484848 176 114 120 121
r-622 34 0.213904 34 0.213904 37861 57206 37441 39928
r-76 44 0.502114 44 0.502114 1000000 1000000 1000000 1000000
r-956 42 0.344948 42 0.344948 1000000 1000000 1000000 1000000
r-101 31 0.395699 31 0.395699 3135 1190 923 957
r-806 35 0.420168 35 0.420168 86811 91060 76863 76161
r-487 30 0.23908 30 0.23908 1000000 1000000 1000000 1000000
r-940 30 0.434483 30 0.434483 1010 1317 887 918
r-800 29 0.339901 29 0.339901 375 17292 197 202
r-387 22 0.415584 22 0.415584 30 29 26 27
r-49 29 0.44335 29 0.44335 1163 959 1179 706
r-918 24 0.507246 24 0.507246 451 407 406 363
r-853 23 0.237154 23 0.237154 56 102 95 60
r-142 35 0.393277 35 0.393277 89958 77248 76107 75989
r-709 22 0.52381 22 0.52381 178 143 102 107
r-548 27 0.262108 27 0.262108 2460 1000000 2708 2517
r-715 22 0.367965 22 0.367965 148 74 32 16
r-767 29 0.37931 29 0.37931 233 692 119 122
r-128 33 0.306818 33 0.306818 1610 1000000 1091 1270
r-552 45 0.438384 45 0.438384 166210 209422 183317 190838
r-841 17 0.514706 17 0.514706 11 6 6 10
r-893 30 0.514943 30 0.514943 3868 3388 3410 4336
r-341 40 0.466667 40 0.466667 56602 70256 54807 56609
r-672 25 0.42 25 0.42 979 611 513 508
r-401 19 0.19883 19 0.19883 1 1 1 1
r-923 33 0.306818 33 0.306818 33018 1000000 32884 33313
r-479 36 0.107937 36 0.107937 1000000 1000000 1000000 1000000
r-274 32 0.387097 32 0.387097 44879 36715 38372 38729
r-859 23 0.498024 23 0.498024 169 194 141 143
r-56 16 0.4 16 0.4 5 4 2 4
r-155 39 0.099865 39 0.099865 14699 48528 14976 16248
r-680 18 0.20915 18 0.20915 153741 159702 15502 9936
r-736 22 0.519481 22 0.519481 134 204 123 193
r-97 25 0.453333 25 0.453333 1714 1132 1179 1732
r-414 20 0.336842 20 0.336842 38 64 57 62
r-639 27 0.358974 27 0.358974 65 3002 60 61
r-808 35 0.363025 35 0.363025 148216 44201 8891 7454
r-581 30 0.517241 30 0.517241 6644 6081 5968 6171
r-856 29 0.487685 29 0.487685 5197 4166 4513 4732
r-694 23 0.166008 23 0.166008 32 44 42 39
r-275 16 0.5 16 0.5 3 4 2 4
r-634 22 0.17316 22 0.17316 112 81 64 59
r-731 19 0.19883 19 0.19883 23256 1000000 23453 24592
r-5 27 0.358974 27 0.358974 631 336 237 116
r-470 39 0.48583 39 0.48583 66993 58854 49660 49062
r-772 35 0.510924 35 0.510924 83958 73049 77526 78426
r-926 30 0.404598 30 0.404598 1640 706 727 586
r-448 28 0.349206 28 0.349206 2583 2509 2079 2031
r-61 42 0.501742 42 0.501742 1000000 1000000 1000000 1000000
r-658 20 0.336842 20 0.336842 4 217 2 3
r-55 42 0.493612 42 0.493612 241903 274398 221202 226372
r-173 40 0.384615 40 0.384615 898035 1000000 863167 896122
r-483 29 0.295567 29 0.295567 5783 4772 4804 5206
r-463 34 0.40107 34 0.40107 16350 6204 3315 3044
r-335 21 0.466667 21 0.466667 32 13 23 23
r-356 45 0.20202 45 0.20202 1000000 1000000 1000000 1000000
r-504 27 0.512821 27 0.512821 3778 3164 3503 3637
r-949 20 0.521053 20 0.521053 25 24 24 15
r-537 25 0.48 25 0.48 280 225 268 168
r-636 27 0.358974 27 0.358974 3494 1443 428 369
r-809 35 0.393277 35 0.393277 92713 106011 90545 94080
r-785 30 0.186207 30 0.186207 1000000 1000000 1000000 1000000
r-429 23 0.498024 23 0.498024 235 145 128 191
r-614 27 0.31339 27 0.31339 934 1070 864 779
r-734 29 0.133005 29 0.133005 1000000 1000000 1000000 1000000
r-443 18 0.424837 18 0.424837 2 2 2 3
r-902 25 0.52 25 0.52 820 451 812 676
r-313 24 0.344203 24 0.344203 22525 9299 2250 1438
r-299 21 0.180952 21 0.180952 7 9 8 7
r-384 21 0.428571 21 0.428571 30 12 23 14
r-518 40 0.0974359 40 0.0974359 1000000 1000000 1000000 1000000
r-792 24 0.0833333 24 0.0833333 1000000 1000000 1000000 1000000
r-937 15 0.533333 15 0.533333 1 1 2 1
r-104 36 0.474603 36 0.474603 22940 19534 17274 17159
r-662 17 0.382353 17 0.382353 2 2 1 1
r-965 18 0.20915 18 0.20915 41156 26724 3044 2392
r-964 45 0.509091 45 0.509091 1000000 1000000 1000000 1000000
r-158 44 0.511628 44 0.511628 1000000 1000000 1000000 1000000
r-899 26 0.369231 26 0.369231 1284 1211 1201 1412
r-194 33 0.492424 33 0.492424 7733 8305 6732 7007
r-585 34 0.299465 34 0.299465 74376 92202 72509 75787
r-674 19 0.51462 19 0.51462 25 13 24 26
