instance n1 density1 n2 density2 mcsplit mcsplit+f mcsplit+bigf
r-150 39 0.59919 39 0.59919 -1 -1 -1
r-404 27 0.649573 27 0.649573 9202132 10679756 7899931
r-680 26 0.0276923 26 0.0276923 41 208 41
r-927 35 0.571429 35 0.571429 541704356 596422950 483345401
r-722 40 0.382051 40 0.382051 -1 -1 -1
r-475 15 0.866667 15 0.866667 23 58 23
r-717 28 0.84127 28 0.84127 2232788 2713803 2049808
r-370 38 0.524893 38 0.524893 -1 -1 -1
r-96 20 0.915789 20 0.915789 1815 3483 1739
r-888 34 0.112299 34 0.112299 18078238 26443329 15787807
r-182 25 0.33 25 0.33 1706866 4412848 1590483
r-792 33 0.0492424 33 0.0492424 41791 42892 37028
r-801 40 0.211538 40 0.211538 -1 -1 -1
r-274 24 0.818841 24 0.818841 118207 120926 110055
r-488 33 0.00189394 33 0.00189394 1 1 1
r-897 30 0.583908 30 0.583908 51493335 59105524 46027597
r-353 37 0.698198 37 0.698198 1646752746 2102823856 1531496217
r-919 37 0.432432 37 0.432432 1555460520 1837416796 1447291196
r-443 25 0.403333 25 0.403333 3485634 4049084 3135306
r-731 29 0.283251 29 0.283251 14356942 18496986 12795940
r-783 33 0.657197 33 0.657197 318251961 343486171 287998170
r-255 39 0.551957 39 0.551957 -1 -1 -1
r-536 19 0.450292 19 0.450292 240811 229705 213830
r-859 33 0.829545 33 0.829545 106494834 132511571 96717526
r-237 26 0.172308 26 0.172308 483677 678921 419241
r-411 18 0.888889 18 0.888889 1549 1332 1541
r-500 30 0.466667 30 0.466667 61656888 62170047 56221118
r-913 24 0.626812 24 0.626812 1537764 1558098 1305041
r-273 38 0.325747 38 0.325747 -1 2812400478 -1
r-3 20 0.926316 20 0.926316 123662 24766 36851
r-609 36 0.45873 36 0.45873 786708458 839229143 713138854
r-171 30 0.308046 30 0.308046 45601432 70715988 43429882
r-506 35 0.396639 35 0.396639 657891717 684771077 600666138
r-959 37 0.0525526 37 0.0525526 -1 -1 -1
r-766 33 0.270833 33 0.270833 212152403 163640175 192222735
r-83 28 0.037037 28 0.037037 263 -1 -1
r-310 27 0.854701 27 0.854701 1131436 1455106 1074717
r-644 34 0.529412 34 0.529412 568614047 611065803 519397302
r-885 24 0.177536 24 0.177536 82096 131994 81488
r-398 19 0.298246 19 0.298246 32856 49573 30630
r-217 26 0.0646154 26 0.0646154 118334 1018126 92946
r-186 26 0.0276923 26 0.0276923 1 1 1
r-210 19 0.292398 19 0.292398 50607 56210 46691
r-462 23 0.525692 23 0.525692 1114977 1286803 1021761
r-605 16 0.2 16 0.2 2380 2702 2337
r-490 37 0.728228 37 0.728228 1072470040 1740746501 995980316
r-505 37 0.286787 37 0.286787 1661529754 2178384175 1531392212
r-556 28 0.380952 28 0.380952 16505090 18792385 14628999
r-348 40 0.398718 40 0.398718 -1 -1 -1
r-461 26 0.387692 26 0.387692 6616026 8630501 5829888
r-357 19 1 19 1 1 1 1
r-553 37 0.687688 37 0.687688 1034339290 1263614857 912088050
r-261 20 0.473684 20 0.473684 189111 155932 162182
r-670 31 0.152688 31 0.152688 3794261 2784717 3289231
r-881 15 0.247619 15 0.247619 1541 2085 1405
r-823 33 0.996212 33 0.996212 1 1 1
r-943 31 0.787097 31 0.787097 35045681 32648301 32948428
r-240 31 0.944086 31 0.944086 31502 29715 30219
r-692 31 0.27957 31 0.27957 79866391 102471154 73752999
r-982 19 0.502924 19 0.502924 125511 120639 109904
r-187 19 0.0409357 19 0.0409357 1043621943 63 1043621943
r-180 40 0.279487 40 0.279487 -1 -1 -1
r-779 24 0.771739 24 0.771739 926616 1392266 870017
r-819 28 0.84127 28 0.84127 1390084 937688 1289732
r-573 15 0.447619 15 0.447619 4377 5974 3549
r-242 28 0.753968 28 0.753968 9082740 9582718 8197806
r-996 20 0.384211 20 0.384211 358237 348898 311342
r-149 29 0.79064 29 0.79064 5961714 8018967 5322030
r-684 17 0.992647 17 0.992647 1 1 1
r-967 30 0.604598 30 0.604598 60464869 61813451 54208800
r-133 31 0.593548 31 0.593548 111589748 116604102 100580063
r-169 38 0.00142248 38 0.00142248 1 1 1
r-747 34 0.483066 34 0.483066 448077650 488266869 407701185
r-264 16 0.625 16 0.625 15109 16692 13669
r-92 32 0.52621 32 0.52621 143603303 141495919 131694262
r-805 21 0.952381 21 0.952381 1548 217 1307
r-606 16 0.483333 16 0.483333 13210 19696 11455
r-431 28 0.195767 28 0.195767 4535962 9153825 4157996
r-165 25 0.396667 25 0.396667 3644022 4083975 3158580
r-641 19 0.888889 19 0.888889 993 555 981
r-867 20 0.505263 20 0.505263 225141 202881 195570
r-57 34 0.474153 34 0.474153 539493377 528254938 490531953
r-249 18 0.0784314 18 0.0784314 6846 3917 5452
r-346 33 0.994318 33 0.994318 1 1 1
r-703 21 0.17619 21 0.17619 46186 49389 43271
r-158 38 0.852063 38 0.852063 2057519878 2334428117 1846727858
r-270 39 0.483131 39 0.483131 -1 -1 -1
r-30 33 0.676136 33 0.676136 166491491 228658931 149910175
r-733 33 0.617424 33 0.617424 168565889 219288680 155914537
r-761 21 0.490476 21 0.490476 858968 869828 802896
r-487 35 0.331092 35 0.331092 525430554 606218444 481397354
r-130 24 0.648551 24 0.648551 2050082 2432052 1835518
r-175 16 0.1 16 0.1 26 74 26
r-253 29 0.0935961 29 0.0935961 194362 268688 170911
r-396 16 0.616667 16 0.616667 19057 24190 16166
r-128 37 0.112613 37 0.112613 34907306 70975184 32391476
r-974 33 0.412879 33 0.412879 382840029 421487146 354427708
r-486 28 0.915344 28 0.915344 37255 16652 28637
r-8 26 0.332308 26 0.332308 6169076 6976067 5580368
r-256 16 0.966667 16 0.966667 1 1 1
r-251 32 0.383065 32 0.383065 125163038 171999372 116549753
r-135 28 0.5 28 0.5 23090737 20558946 20971801
r-813 15 0.895238 15 0.895238 35 34 35
r-156 27 0.11396 27 0.11396 229551 395620 211715
r-188 34 0.522282 34 0.522282 260608421 282660706 237885212
r-18 30 0.632184 30 0.632184 71452130 84199507 65908857
r-321 16 0.991667 16 0.991667 1 1 1
r-802 37 0.678679 37 0.678679 2132982095 2699576661 1981166012
r-539 38 0.702703 38 0.702703 -1 -1 2526536919
