mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S mcsplit+O mcsplitb mcsplitb+f mcsplitb+bigf mcsplitb+S mcsplitb+O mcsplit+randombigf mcsplitb+randombigf
60 66 55 58 8 7 60 4 57 50 4 33 2 5 8
58 311 90 129 10 2 4 4 130 69 7 5 5 9 9
989 1192 645 641 7 3 3 2 844 846 13 2 4 10 10
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1031 1483 1298 1200 198 215 1327 307 1389 1430 396 1366 245 203 317
321 627 329 285 35 10 11 10 386 394 23 19 19 18 30
1000000 1000000 1000000 1000000 289565 235660 1000000 234038 1000000 1000000 322529 1000000 261601 276961 277832
1000000 1000000 694110 692932 8954 6540 5984 6718 1000000 857255 8312 5290 5135 8283 8799
184 299 224 182 6 4 4 4 339 169 4 4 4 5 5
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
17725 24104 6515 7010 15221 4507 2962 17811 32077 10676 28621 4755 32463 14924 14639
2755 2743 11112 12056 2570 10252 10682 2550 2676 12420 2919 11492 2705 2682 2745
389 627 4397 4773 510 5453 568 350 589 6816 1242 696 715 552 553
520 489 41240 42816 737 43894 495 814 624 44367 804 788 637 1171 804
1000000 1000000 1000000 1000000 62540 44171 45037 44252 1000000 1000000 69043 45396 45703 60657 60942
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1938 3682 1628 1694 512 259 325 309 3356 2619 751 480 335 497 496
5728 6518 3021 3010 4771 604 602 5640 7394 3758 5546 875 7190 4237 4305
3 6 3 3 2 0 0 0 2 1 0 0 0 1 1
0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
1806 2084 323026 329174 1870 341810 1705 1686 2000 340932 2037 1546 1592 2382 2358
183 289 153 265 18 12 12 21 321 313 20 14 24 17 28
3400 4746 3181 3295 779 735 593 593 4739 4569 1198 781 776 1263 1073
1000000 1000000 1000000 1000000 137910 97566 97471 97831 1000000 1000000 144226 105748 105937 133311 134309
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 9 6 6 0 0 0 0 9 7 0 0 0 0 0
1 1 1 2 0 0 1 0 1 1 0 1 0 0 0
3387 2993 16092 18058 3284 16797 2858 2949 3549 20914 3677 3606 3570 3065 3148
6 6 361 236 9 343 3 3 3 405 10 3 3 12 7
479638 504341 294796 301655 6471 4020 3697 3672 652156 405767 9028 5094 5151 6296 6148
386 385 178 182 301 82 146 382 434 208 345 94 243 184 184
82 420 97 109 26 16 26 26 181 147 56 21 35 23 23
4637 4725 1000000 1000000 4778 1000000 4704 4731 3685 1000000 3790 3906 3703 5818 5658
4741 5028 8539 9480 4856 7865 7863 4748 6564 12330 6458 11484 6900 4792 4942
36 22 729 627 26 775 35 36 27 874 58 43 27 28 28
2 2 51 55 3 58 2 2 3 58 3 2 2 3 6
1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
3248 3618 14139 14879 3779 20441 3078 3241 4471 21369 5208 4481 4473 3834 3880
2 6 1 2 0 0 0 0 2 2 0 0 0 0 0
2 2 37 71 3 39 2 1 1 42 2 1 2 4 2
78 78 389 465 108 393 77 48 71 557 160 113 112 128 127
15 9 76 88 15 44 15 9 18 95 17 18 11 10 10
31 57 250 197 67 234 51 50 46 451 63 74 74 47 74
0 0 13 23 0 24 0 0 1 29 1 1 1 0 1
139909 156601 111725 112998 1148 783 671 679 185951 148534 1394 820 1020 861 862
0 2 1 0 0 0 0 0 1 1 0 0 0 0 0
1 2 13 13 2 14 2 1 1 17 2 1 2 1 2
161 300 1000000 1000000 294 1000000 270 282 175 1000000 248 283 175 317 285
1944 2374 1681 2231 534 265 266 449 2082 1754 546 302 466 432 681
7 7 5 9 6 2 2 7 16 5 14 2 9 11 11
335 511 189 213 158 160 161 159 523 526 242 159 243 148 143
11712 41606 10819 11847 422 119 120 120 17489 14861 560 168 169 416 397
1000000 1000000 1000000 1000000 225824 218245 1000000 224090 1000000 1000000 238050 1000000 233612 232891 234308
16 17 69 42 15 85 28 28 18 99 30 31 31 27 27
280 475 375 247 81 19 31 19 365 492 96 22 37 47 77
47088 118499 47464 58812 2009 1752 2740 2632 65255 63274 2688 2214 2597 2025 1999
12 13 1901 1918 20 2347 12 21 13 2254 19 23 23 38 38
74328 75947 373421 445634 74791 405487 74068 74323 97303 545954 98009 97045 97260 78925 78874
38 369 58 197 12 10 10 10 57 87 16 13 13 8 8
5 8 11 10 8 12 8 8 7 6 7 7 7 5 8
114756 125777 151580 164313 108277 114857 115589 114703 170996 227533 161982 173850 170706 111254 112027
39 53 19 20 1 0 0 0 27 39 1 0 1 0 1
39096 67368 32249 35273 2709 1729 1679 1663 44613 36665 3176 1864 1828 3161 2704
5065 6081 3848 3656 5473 2901 2984 5105 8669 6704 8228 4950 8660 4944 4983
87 87 298 255 87 213 53 87 54 323 54 89 89 93 91
4626 5803 4156 4390 409 536 523 334 5773 5261 556 437 496 622 646
0 0 20 38 1 38 0 0 0 28 1 0 1 0 1
3 4 22 23 4 23 6 6 7 27 5 4 4 9 9
22 12 159 299 13 206 12 21 20 307 12 12 12 14 14
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 3 3 10 3 4 2 3 5 6 4 5 5 3 3
112866 123658 103014 103549 444 274 270 161 132146 116672 478 272 205 236 234
1711 1660 10548 10552 1881 10448 1864 1903 1688 11815 1916 1818 1867 2132 1966
163 129 600 663 206 493 113 136 191 514 171 152 254 226 226
51866 55351 107930 103047 132620 172660 52083 172352 86017 173294 234260 86251 296008 141191 141130
1000000 1000000 666570 685191 55486 34303 34088 33962 1000000 884573 59908 35185 34888 52335 52433
12274 14374 19136 20923 20933 27007 12411 27469 20418 32527 37661 20440 48183 22398 22196
79 84 26860 27118 80 28109 79 79 88 29446 52 89 89 99 98
1212 1273 3046 3072 1203 2748 2802 1272 1260 4198 1301 3747 1164 1809 1265
50 30 211 150 30 222 50 50 21 59 21 12 20 54 54
352 1094 354 425 41 62 350 42 560 384 60 560 42 42 62
0 0 3 4 0 3 0 0 0 2 0 0 0 0 0
401 445 516 316 389 410 290 567 473 618 580 324 473 433 340
6 5 2 3 0 0 0 0 8 3 0 0 0 0 0
2486 2718 5225 5799 2508 4872 4813 2691 3622 8123 3528 8290 3594 2586 2674
327 610 273 301 85 74 75 75 329 316 91 84 84 86 87
27 29 73 77 27 76 75 27 39 70 38 118 38 18 28
1340 1760 1312 1389 326 470 302 470 2020 1954 448 418 454 331 386
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
37747 40028 1000000 1000000 47628 1000000 37213 37313 36786 1000000 49402 36673 36749 52848 52182
212 150 165 123 201 97 155 208 299 286 234 237 233 131 207
13363 13976 9228 9199 9864 3576 3582 12812 15089 10797 11726 4513 15570 9459 9466
1000000 1000000 1000000 1000000 146 67 117 67 1000000 1000000 276 119 101 209 208
1 7 1 2 0 0 0 0 3 3 0 0 0 0 0
55 59 196 300 43 348 55 35 52 354 100 52 52 47 73
0 0 2 7 0 4 0 0 0 5 0 0 0 0 0
11204 10848 21880 20481 27101 32516 11281 31968 18265 34020 42047 19279 48437 28223 28280
23 225 39 41 1 1 1 1 37 61 2 1 2 2 2
53 56 150 147 59 175 93 53 104 143 64 61 106 64 65
370768 438147 297254 303717 14274 11645 11562 11417 404097 329997 13173 10895 10959 13953 14294
0 0 1 3 0 1 0 0 0 2 0 0 0 0 0
144 352 209 201 437 1 1 1 182 348 447 1 3 287 339
0 1 3 4 1 3 1 0 1 8 1 1 1 1 1
5 11 4 8 0 0 0 0 9 5 1 0 0 0 0
2 1 1 1 1 2 2 2 2 1 1 1 1 1 1
74760 79216 1000000 1000000 96821 1000000 74548 76540 102588 1000000 137183 102926 102744 108619 108877
14659 16650 1000000 1000000 17661 1000000 16202 14732 17207 1000000 20426 16470 16405 19392 19532
112 113 31811 33197 137 35452 113 113 140 37221 188 141 123 223 254
2432 4852 2140 2520 449 233 378 382 3848 3080 651 419 399 507 433
