instance n1 density1 n2 density2 mcsplit mcsplit-swapped mcsplit-smart-swapped-D mcsplit-smart-swapped-O mcsplit+f mcsplit+bigf mcsplit-b mcsplit-b-swapped mcsplit-b-smart-swapped-D mcsplit-b-smart-swapped-O mcsplit-nosort mcsplit-nosort-swapped mcsplit-nosort-smart-swapped-D mcsplit-nosort-smart-swapped-O
r-123 43 0.0487265 46 0.23285 1000000 29449 29301 1000000 1000000 1000000 1000000 44919 45419 1000000 1000000 1000000 1000000 1000000
r-743 50 0.0653061 16 0.558333 66 4 7 4 89 94 95 11 11 11 49 35 61 61
r-720 29 0.763547 29 0.123153 14 45 25 25 71 30 41 83 42 42 43 33 42 25
r-664 24 0.101449 15 0.580952 7 1 1 1 5 6 5 1 2 1 4 1 1 1
r-598 44 0.280127 33 0.19697 392431 505517 392024 503846 484495 434048 669127 852464 668463 853554 719348 597412 719297 609212
r-538 30 0.305747 43 0.985604 8 167 15 8 90 16 26 250 26 13 30 208 16 29
r-937 48 0.0407801 50 0.51102 168059 2864 2756 155952 152664 58463 259076 4423 4353 257803 133355 9398 9222 131052
r-615 12 0.393939 32 0.697581 6 7 4 6 32 4 5 9 5 5 5 13 5 8
r-381 44 0.971459 50 0.956735 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-635 22 0.770563 45 0.685859 5008 9866 9579 5063 10194 4910 6200 14965 15041 6189 7507 12712 12697 7393
r-4 30 0.395402 40 0.485897 225087 177764 178045 225779 198407 215187 511452 385329 385912 511629 226321 209655 209634 226892
r-81 45 0.685859 39 0.0161943 44 1103 80 1636 185 152 171 1976 146 1929 67 517 62 511
r-2 40 0.0602564 10 0.155556 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-721 15 0.266667 37 0.483483 359 264 263 335 490 491 621 404 564 483 319 687 597 442
r-401 49 0.578231 23 0.628458 135109 77438 135567 77541 138665 74158 270971 137010 269714 137351 126156 86167 126058 86150
r-537 24 0.242754 41 0.542683 8407 6294 6480 8565 12787 8669 14056 11195 11263 13986 11136 9360 9367 11047
r-179 11 0.618182 49 0.443027 0 16 16 0 0 0 0 16 26 0 16 44 67 16
r-807 41 0.730488 46 0.519807 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-862 37 0.863363 36 0.336508 1236 577 577 579 1688 1202 2140 1122 1591 1273 1506 1423 1381 1860
r-232 33 0.126894 45 0.267677 1000000 293240 293703 1000000 590678 904124 1000000 482672 485483 1000000 1000000 519560 523724 1000000
r-617 20 0.452632 48 0.54078 11213 18439 18422 11361 21967 11418 18493 33487 33403 18429 14174 21204 21198 14150
r-457 47 0.640148 32 0.195565 6940 10441 7053 10398 12696 12280 12589 17688 12899 17683 11414 18942 11422 18901
r-713 27 0.490028 14 0.131868 4 21 2 21 6 18 6 20 6 20 11 22 11 14
r-724 29 0.204433 42 0.551684 21505 12719 12819 21508 25133 21874 38026 24171 24113 37920 25979 18035 18004 25938
r-910 16 0.816667 49 0.823129 2 2 1 2 2 2 0 1 0 0 1 5 1 0
r-754 41 0.239024 24 0.322464 10481 1752 1503 1567 9428 1969 17547 2614 3245 2364 8747 4359 4358 4363
r-490 35 0.438655 19 0.0701754 72 1073 71 899 538 464 123 1557 118 1325 216 925 270 917
r-978 34 0.84492 38 0.44239 4685 2769 2701 5197 7245 5398 7760 5340 4912 7801 6537 4519 4864 6537
r-281 18 0.111111 43 0.0531561 0 127 0 0 147 0 0 151 0 0 0 259 0 0
r-521 50 0.545306 47 0.543016 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-618 17 0.617647 23 0.549407 52 72 75 52 48 50 86 116 73 135 76 116 72 50
r-824 45 0.774747 49 0.521259 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-391 37 0.735736 10 0.511111 6 0 0 0 3 0 4 0 0 0 3 1 2 2
r-354 13 0.102564 50 0.493878 243 176 124 253 170 164 199 175 176 277 128 156 258 129
r-393 39 0.796221 10 0.4 2 0 0 1 2 1 3 0 0 1 4 1 1 1
r-944 12 0.136364 16 0.533333 1 0 0 1 1 0 1 0 0 1 1 0 1 1
r-561 33 0.590909 44 0.443975 673268 633617 634602 678009 816084 680377 1000000 1000000 1000000 1000000 784470 865216 868831 778814
r-245 11 0.418182 39 0.721997 2 5 2 1 15 2 2 6 2 1 2 3 2 2
r-62 28 0.285714 34 0.668449 1371 1587 1001 1497 2732 1856 2427 1918 1745 2372 2164 2123 2427 2300
r-242 26 0.510769 43 0.218162 1796 6257 1550 1798 6891 2121 2448 10214 2449 2552 2569 7551 2570 2785
r-149 21 0.766667 36 0.968254 5 1838 9 9 2081 6 10 2142 10 10 166 2486 168 167
r-25 34 0.0641711 23 0.719368 11 4 4 2 12 9 24 8 4 4 26 8 14 14
r-96 17 0.595588 47 0.0286772 1 69 0 1 46 1 2 158 2 1 6 31 3 3
r-794 46 0.91401 30 0.170115 70 60 35 35 97 79 115 101 106 110 55 82 78 46
r-908 18 0.660131 21 0.0190476 0 3 0 0 2 0 0 6 0 0 1 2 1 1
r-167 45 0.635354 14 0.21978 55 67 90 67 151 147 114 56 122 56 97 68 97 68
r-697 28 0.39418 23 0.418972 2414 1659 1689 1665 2188 1745 4591 3396 3152 3358 2117 2320 2322 2319
r-778 10 0.577778 27 0.777778 0 0 0 0 1 0 0 1 0 0 0 1 0 0
r-783 48 0.678191 31 0.326882 33986 48216 48280 48231 50434 45882 64637 92333 92000 91772 45879 52546 52768 52505
r-446 39 0.80027 21 0.314286 124 58 98 90 285 201 192 84 138 84 273 132 84 132
r-146 16 0.183333 24 0.51087 33 18 18 20 65 36 52 29 17 51 27 28 16 29
r-143 29 0.29803 35 0.467227 42666 20044 20093 42736 28696 38261 91512 37826 37972 90895 39845 28225 28135 39408
r-171 15 1 41 0.917073 19 21 21 45 47 46 46 22 48 19 0 0 0 0
r-74 25 0.45 24 0.286232 428 1028 428 1076 1258 753 742 2076 1038 1986 658 794 788 846
r-827 49 0.660714 21 0.604762 32952 9273 8971 8862 32174 9206 58537 13979 14014 13818 25472 16216 16054 16024
r-270 49 0.829932 15 0.0952381 3 12 2 7 9 9 7 13 3 13 11 9 6 9
r-309 14 0.10989 34 0.919786 0 1 0 0 1 0 1 1 1 1 1 1 0 0
r-730 18 0.261438 26 0.858462 6 3 6 3 7 7 6 5 6 6 7 4 7 4
r-453 40 0.425641 20 0.663158 1836 2137 1938 2299 2643 2765 3040 3512 3080 3740 3796 2984 3979 3029
r-894 36 0.507937 13 0.397436 110 45 69 29 117 33 143 52 91 52 109 47 70 31
r-893 12 0.818182 25 0.263333 2 2 1 3 3 1 2 2 2 4 4 3 3 2
r-183 38 0.504979 42 0.700348 385676 822028 384924 385222 670300 445564 807370 1000000 807327 808138 469029 591149 471502 468773
r-69 32 0.391129 49 0.521259 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000 1000000
r-259 35 0.317647 29 0.450739 38045 15688 15869 15667 30999 18763 81045 29272 28965 29061 32314 21946 21739 21874
r-470 17 0.0808824 37 0.316817 352 109 108 211 154 332 408 265 258 413 443 735 412 374
r-234 45 0.585859 18 0.601307 6329 2413 6344 2875 6286 2328 10295 3604 11501 3602 5683 3595 5638 3500
r-947 25 0.306667 43 0.785161 306 691 486 305 1447 483 499 1389 798 800 923 1127 887 851
r-586 10 0.533333 22 0.324675 0 0 0 0 1 0 0 0 0 0 0 1 0 0
r-311 31 0.23871 26 0.84 19 66 19 39 89 65 53 69 52 113 77 67 77 67
r-395 27 0.367521 43 0.803987 485 1365 539 487 1458 967 904 2248 960 818 1421 1359 1021 1057
r-11 31 0.335484 13 0.974359 1 13 3 7 14 9 6 22 5 22 4 23 4 12
r-973 41 0.112195 42 0.873403 122 185 196 123 383 246 228 362 355 383 316 256 154 291
r-984 22 0.541126 44 0.464059 27560 33792 33773 27512 42156 27398 50831 65856 66401 50857 31902 41824 41751 32049
r-705 36 0.0730159 15 0.885714 0 0 0 0 0 0 1 2 2 2 0 0 1 1
r-716 30 0.871264 42 0.442509 2870 1120 1276 3027 5203 2814 5101 2196 1842 5022 4959 2260 2260 4976
r-488 47 0.466235 13 0.679487 216 48 280 48 263 122 264 85 319 83 460 173 460 113
r-213 29 0.512315 18 0.679739 253 372 253 552 508 305 414 704 660 618 215 476 307 557
r-804 11 0.581818 10 0.755556 0 0 0 0 0 0 0 0 0 0 0 0 0 0
r-810 10 0.333333 46 0.829952 1 1 1 0 5 1 1 3 1 2 1 3 2 1
r-262 19 0.77193 41 0.964634 25 792 24 25 635 15 7 833 7 7 64 1989 65 36
r-680 14 0.879121 44 0.588795 27 150 86 44 98 43 37 74 129 39 21 80 80 13
r-756 14 0.923077 20 0.673684 14 1 1 14 4 20 16 2 1 29 32 7 7 30
r-869 35 0.878992 23 0.490119 303 86 127 86 317 239 496 235 140 229 349 185 183 314
r-921 10 0.511111 24 0.427536 0 1 0 0 3 0 0 1 0 0 0 3 0 0
r-988 17 0.977941 41 0.612195 24997 427 383 24630 11342 11822 30201 472 472 29982 26087 5316 5315 25953
r-637 27 0.0569801 16 0.708333 1 0 0 0 1 1 3 1 1 0 2 1 2 1
r-410 44 0.84778 24 0.634058 6741 871 924 871 5515 1582 11328 1273 1489 1261 4903 1836 1700 2185
