mcsplit mcsplit-h mcsplit+f mcsplit+fmm mcsplit+bigf mcsplit-swapped mcsplit+S
1000000 1000000 1000000 1000000 1000000 1000000 1000000
108394 120357 265316 287305 96771 192805 108339
0 0 0 0 0 0 0
194 168 185 358 144 458 260
18 33 30 32 17 17 30
1062 1275 1322 1417 893 792 1336
0 0 0 0 0 0 0
110712 120714 110634 113066 92530 64594 111520
376496 432930 324466 364111 333503 267065 376873
400 398 440 742 363 735 340
378618 425739 500225 548575 342638 402683 380518
86507 101907 131027 149771 75505 106690 86224
32239 36044 62257 67445 29765 65470 32691
2333 2434 2492 2743 1966 2423 2094
0 0 0 0 0 0 0
0 1 1 1 1 1 1
22553 25097 30379 33246 21126 23143 23073
701 827 921 1229 1840 1874 939
177 317 203 217 276 243 282
74 86 100 66 68 59 73
2 0 1 1 1 1 2
690 540 710 541 470 444 602
644322 688297 1000000 1000000 589214 863325 651750
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
2 3 2 2 1 3 2
90596 93379 133925 146373 83855 109048 108876
160722 173012 569322 588510 119432 298709 159537
55 100 57 64 87 99 91
1000000 1000000 1000000 1000000 1000000 1000000 1000000
57 61 85 51 95 72 101
22 28 21 23 16 29 29
135 177 258 168 146 229 140
470 409 354 425 268 416 281
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
138799 173405 141345 160370 130776 127427 127453
3834 3551 4459 4844 3410 3412 3351
5944 7091 4470 4411 5796 3825 3762
1000000 1000000 1000000 1000000 1000000 1000000 1000000
9 10 6 6 4 6 9
3 4 3 3 1 2 2
1000000 1000000 1000000 1000000 1000000 1000000 1000000
3834 4184 3034 4701 3726 2518 3843
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
414 313 221 205 242 292 239
0 0 0 0 0 0 0
25 32 16 19 8 10 25
390 527 545 547 506 522 335
27 35 21 27 22 23 31
0 0 0 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1 1 1 1 1 1 1
439 283 622 424 232 281 256
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
4 3 3 3 4 4 4
147 180 101 160 86 92 89
805 822 981 1206 882 794 735
1000000 1000000 1000000 1000000 1000000 1000000 1000000
22 24 14 15 19 23 13
0 0 0 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
7 10 11 7 10 13 11
1928 1342 1685 1920 1487 1651 1973
714 861 1149 1393 846 1073 669
4221 4882 3895 4362 3941 3670 4435
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
0 0 0 0 0 0 0
1000000 1000000 828933 879849 1000000 500632 1000000
0 0 0 0 0 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
2 4 3 3 4 3 4
1000000 1000000 1000000 1000000 1000000 1000000 1000000
0 0 0 0 0 0 0
45 47 189 179 25 465 45
1000000 1000000 1000000 1000000 1000000 1000000 1000000
102999 121767 125861 138433 97520 104589 103172
1000000 1000000 1000000 1000000 1000000 1000000 1000000
1 1 1 1 1 0 0
1000000 1000000 1000000 1000000 1000000 1000000 1000000
