instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
g14-g23 0 0 1000000 0 0 0 2 0 6 5 18 0 0 2 0 0
g14-g25 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g14-g26 0 0 0 0 0 0 2 0 3 3 10 0 0 2 0 0
g14-g27 0 0 1000000 0 0 0 3 0 1014 877 1784 0 0 2 0 0
g14-g29 0 0 218516 0 0 0 4 3 13 10 79 0 0 2 3 0
g14-g30 0 0 21513 0 0 0 4 2 7 9 38 0 0 2 2 0
g14-g31 0 0 32890 0 0 0 6 4 23 25 117 0 0 2 4 0
g14-g32 0 0 0 0 0 0 11 1 1000000 1000000 1000000 0 0 2 1 0
g14-g38 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g14-g40 132 122 4 89 5647 55 1054 867 1000000 1000000 1000000 222 5747 2 867 55
g14-g43 0 1 1000000 1 1 0 4 9 328854 277486 689775 1 1 2 4 0
g14-g44 0 0 1000000 0 0 0 9 3 15 12 96 0 0 2 3 0
g14-g45 0 0 1000000 0 0 0 7 3 12 9 41 0 0 2 3 0
g14-g46 0 0 1000000 0 0 0 6 1 2 2 9 0 0 2 1 0
g14-g47 0 0 1000000 0 0 0 3 1 2 3 11 0 0 2 1 0
g14-g48 0 0 1000000 0 0 0 7 3 4 4 27 0 0 2 3 0
g14-g49 0 0 1000000 0 1 1 7 7 24866 21799 75454 1 0 2 7 0
g14-g50 33 35 2309 54 136 22 146 273 1000000 1000000 1000000 135 35 2 146 22
g15-g20 0 0 0 0 0 0 17 12 2884 2312 2787 0 0 2 12 0
g15-g21 0 0 0 0 0 0 6 1 1000000 1000000 1000000 0 0 2 1 0
g15-g23 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g15-g25 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g15-g26 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g15-g27 0 0 0 0 0 0 2 0 4082 2936 505 0 0 2 0 0
g15-g29 0 0 220694 0 0 0 7 1 4 4 12 0 0 2 1 0
g15-g30 0 0 21360 0 0 0 7 1 1 2 1 0 0 2 1 0
g15-g31 0 0 32949 0 0 0 5 2 17 13 57 0 0 2 2 0
g15-g32 0 0 0 0 0 0 9 1 1000000 1000000 1000000 0 0 2 1 0
g15-g38 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g15-g40 166 197 3 222 3894 140 1465 1165 1000000 1000000 1000000 297 3994 2 1165 140
g15-g43 0 0 0 0 2 0 6 4 1000000 1000000 1000000 2 0 2 4 0
g15-g44 0 0 0 0 0 0 8 3 12 9 39 0 0 2 3 0
g15-g45 0 0 0 0 0 0 7 2 6 5 10 0 0 2 2 0
g15-g46 0 0 0 0 0 0 6 1 0 2 0 0 0 2 0 0
g15-g47 0 0 0 0 0 0 6 1 0 2 0 0 0 2 0 0
g15-g48 0 0 1000000 0 0 0 7 1 0 2 1 0 0 2 0 0
g15-g49 0 0 1000000 0 0 0 6 2 757617 624087 42428 0 0 2 2 0
g15-g50 43 41 2312 41 788 18 109 221 1000000 1000000 1000000 141 41 2 109 18
g16-g20 0 0 0 0 0 0 136 145 2833 2363 5025 0 0 2 136 0
g16-g21 0 0 0 0 0 0 6 1 1000000 1000000 24 0 0 2 1 0
g16-g22 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g16-g23 0 0 0 0 0 0 0 0 12 10 24 0 0 2 0 0
g16-g25 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g16-g26 0 0 0 0 0 0 0 0 87 68 229 0 0 2 0 0
g16-g27 0 0 0 0 0 0 2 1 981 818 8 0 0 2 1 0
g16-g28 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g16-g29 4 4 242 7 4 5 13 31 40 32 187 4 4 2 13 4
g16-g30 4 2 171 4 1 3 17 18 33 18 84 1 2 2 17 1
g16-g31 14 8 240 13 4 10 30 52 73 77 302 4 8 2 30 4
g16-g32 0 0 0 0 0 0 9 1 33412 31780 19 0 0 2 1 0
g16-g33 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g16-g37 0 0 0 0 0 0 6 1 4 7 0 0 0 2 0 0
g16-g38 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
g16-g40 57 44 7 33 305 40 1413 1027 1000000 1000000 1000000 144 44 2 1027 40
g16-g43 0 0 0 0 1 1 7 5 39429 35493 76960 1 0 2 5 0
g16-g44 5 5 8 5 3 11 22 55 57 43 650 3 5 2 22 3
g16-g45 2 2 2 4 3 3 8 30 41 22 274 3 2 2 8 2
g16-g46 2 1 1 1 0 1 8 9 12 8 9 0 1 2 8 0
g16-g47 1 0 1 0 1 2 8 8 11 7 7 1 0 2 7 0
g16-g48 1 1 2 1 1 3 5 13 20 16 32 1 1 2 5 1
g16-g49 1 1 1 1 1 1 8 17 6275 5530 129 1 1 2 8 1
g16-g50 11 17 44 11 42 8 76 73 1000000 1000000 1000000 42 17 2 73 8
