instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
all-meshes-CVIU11-pattern1-target190 0 0 0 0 0 6 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target191 0 1 0 1 0 158 1104 49 2 10 5 0 1 13 2 0
all-meshes-CVIU11-pattern1-target192 0 0 0 0 0 21 49 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target193 0 0 0 0 0 37 6 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target194 0 0 0 0 0 18 4 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target195 0 0 0 0 0 57 9 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target196 0 0 0 0 0 1 0 0 8 7 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target197 0 0 0 0 0 6 1 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target198 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target199 0 0 0 0 0 2 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target2 0 0 0 0 0 161 743 5 0 3 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target20 0 0 0 0 0 21 4 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target200 0 0 0 0 0 4 10 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target201 0 0 0 0 0 55 9 1 117 51 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target202 0 0 0 0 0 10 2 0 8 7 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target203 0 0 0 0 0 23 4 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target204 0 0 0 0 0 92 9 1 0 0 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target205 0 0 0 0 0 5 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target206 1 0 0 0 0 186 23 3 0 3 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target207 0 0 0 0 0 2 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target208 0 0 0 0 0 43 5 1 240 156 5 0 0 13 1 0
all-meshes-CVIU11-pattern1-target209 0 0 0 0 0 31 3 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target21 0 0 0 0 0 20 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target210 1 1 0 0 1 30 160 4 96 43 8 1 1 13 4 1
all-meshes-CVIU11-pattern1-target211 0 0 0 0 0 5 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target212 0 0 0 0 0 24 3 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target213 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target214 0 0 0 0 0 0 0 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target215 0 0 0 0 0 30 4 1 19 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target216 0 0 0 0 0 4 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target217 0 0 0 0 0 36 143 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target218 0 0 0 0 0 41 158 1 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target219 0 0 0 0 0 109 11 3 0 0 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target22 0 0 0 0 0 21 3 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target220 0 0 0 0 0 0 0 0 2 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target221 0 0 0 0 0 26 95 1 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target222 0 0 0 0 0 7 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target223 0 0 0 0 0 49 4 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target224 0 0 0 0 0 7 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target225 0 0 0 0 0 70 9 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target226 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target227 0 0 0 0 0 57 6 2 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target228 0 0 0 0 0 113 14 2 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target229 0 0 0 0 0 3 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target23 0 0 0 0 0 25 2 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target230 0 0 0 0 0 46 97 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target231 0 0 0 0 0 111 9 3 0 1 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target232 0 0 0 0 0 11 2 0 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target233 0 0 0 0 0 13 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target234 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target235 0 0 0 0 0 9 1 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target237 0 0 0 0 0 3 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target238 0 0 0 0 0 76 698 15 0 8 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target24 0 0 0 0 0 27 4 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target240 0 0 0 0 0 1 0 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target241 0 0 0 0 0 56 347 6 0 4 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target242 0 0 0 0 0 64 10 1 0 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target243 0 0 0 0 0 41 7 1 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target244 0 0 0 0 0 39 142 6 16 22 1 0 0 13 1 0
all-meshes-CVIU11-pattern1-target245 0 0 0 0 0 4 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target246 0 0 0 0 0 18 60 0 0 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target247 0 0 0 0 0 3 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target248 0 0 0 0 0 9 44 1 0 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target249 0 0 0 0 0 10 1 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target25 0 0 0 0 0 24 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target250 0 0 0 0 0 2 0 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target251 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target252 0 0 0 0 0 39 4 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target253 0 0 0 0 0 19 74 1 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target254 0 0 0 0 0 2 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target255 0 0 0 0 0 110 451 10 0 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target256 1 0 0 0 0 174 2326 8 0 4 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target257 0 0 0 0 0 2 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target258 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target26 0 0 0 0 0 31 3 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target260 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target261 0 0 0 0 0 43 140 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target262 0 0 0 0 0 24 209 3 0 4 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target263 0 0 0 0 0 7 13 0 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target264 0 0 0 0 0 43 150 1 0 3 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target265 0 0 0 0 0 3 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target266 0 0 0 0 0 7 24 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target267 0 0 0 0 0 61 5 1 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target268 0 0 0 0 0 90 368 2 0 2 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target269 0 0 0 0 0 17 2 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target27 0 0 0 0 0 26 4 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target270 0 0 0 0 0 20 3 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target271 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target272 0 0 0 0 0 3 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target273 0 0 0 0 1 185 572 9 316 5 2 1 0 13 2 0
all-meshes-CVIU11-pattern1-target275 0 0 0 0 0 2 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target278 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target279 0 0 0 0 0 3 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target28 0 0 0 0 0 18 3 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target280 0 0 0 0 0 68 711 4 0 6 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target281 0 0 0 0 0 73 782 4 0 7 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target282 0 0 0 0 0 27 3 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target283 0 0 0 0 0 107 14 2 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target284 0 0 0 0 0 18 113 5 0 9 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target285 1 0 0 0 1 88 747 9 54 33 6 1 0 13 6 0
all-meshes-CVIU11-pattern1-target286 0 0 0 0 0 3 14 1 0 2 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target287 0 0 0 0 0 12 55 1 0 4 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target288 0 0 0 0 0 16 134 1 0 7 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target289 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target29 0 0 0 0 0 28 4 1 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target290 0 0 0 0 0 0 0 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target291 0 0 0 0 0 90 11 2 0 1 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target292 0 0 0 0 0 15 3 0 7 2 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target293 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target294 0 0 0 0 0 24 203 3 0 4 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target295 0 0 0 0 0 17 2 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target296 0 0 0 0 0 1 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target297 0 0 0 0 0 23 4 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target298 0 0 0 0 0 8 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target299 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target3 0 0 0 0 0 1 9 0 0 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target30 0 0 0 0 0 27 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target300 0 0 0 0 0 16 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target303 0 0 0 0 0 37 3 0 66 0 2 0 0 13 0 0
all-meshes-CVIU11-pattern1-target304 0 0 0 0 0 5 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target305 0 0 0 0 0 5 0 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target306 2 1 1 1 1 201 800 6 1 9 2 1 1 13 1 1
all-meshes-CVIU11-pattern1-target307 0 0 0 0 0 3 0 0 1 1 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target308 0 0 0 0 0 165 2904 13 0 1 1 0 0 13 0 0
all-meshes-CVIU11-pattern1-target309 0 0 0 0 0 14 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target31 0 0 0 0 0 19 2 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target310 0 0 0 0 0 11 38 0 0 0 0 0 0 13 0 0
all-meshes-CVIU11-pattern1-target311 0 0 0 0 0 114 586 2 0 6 1 0 0 13 0 0
