instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
phase-30-150-0.56-0.56-0.60-2 12261 11012 11017 32796 17890 8072 55839 40913 1000000 1000000 1000000 11112 17990 12 40913 8072
phase-30-150-0.56-0.56-0.60-3 12383 11098 11085 25046 22051 8421 39684 28774 1000000 1000000 1000000 11198 22151 12 28774 8421
phase-30-150-0.56-0.56-0.60-4 25499 23434 38054 37667 68218 19507 65727 48268 1000000 1000000 1000000 23534 68318 12 48268 19507
phase-30-150-0.56-0.56-0.60-5 19080 17439 30903 32231 36854 12980 56261 41228 1000000 1000000 1000000 17539 36954 12 41228 12980
phase-30-150-0.56-0.56-0.60-6 12239 11236 12954 35064 21989 8582 55525 40767 1000000 1000000 1000000 11336 22089 12 40767 8582
phase-30-150-0.56-0.56-0.60-7 21325 19114 19070 35608 40531 15626 62387 46105 1000000 1000000 1000000 19214 40631 12 46105 15626
phase-30-150-0.56-0.56-0.60-8 20276 18467 18388 35557 39804 13838 61461 45009 1000000 1000000 1000000 18567 39904 12 45009 13838
phase-30-150-0.60-0.58-0.62-1 6004 5370 5529 17147 14057 4126 25525 18679 1000000 1000000 1000000 5470 14157 12 18679 4126
phase-30-150-0.60-0.58-0.62-2 12161 10806 31389 31388 20151 8585 51687 38134 1000000 1000000 1000000 10906 20251 12 38134 8585
phase-30-150-0.60-0.58-0.62-3 14243 12418 24735 24734 23911 10873 39639 29114 1000000 1000000 1000000 12518 24011 12 29114 10873
phase-30-150-0.60-0.58-0.62-4 5166 4679 4791 15483 7392 3214 27444 20050 1000000 1000000 1000000 4779 7492 12 20050 3214
phase-30-150-0.60-0.58-0.62-5 14259 12673 12711 27756 23547 10122 47727 34343 1000000 1000000 1000000 12773 23647 12 34343 10122
phase-30-150-0.60-0.58-0.62-6 9054 7971 7916 24285 22131 6550 39394 28404 1000000 1000000 1000000 8071 22231 12 28404 6550
phase-30-150-0.60-0.58-0.62-7 21944 19516 33045 33111 40246 15001 51699 38369 1000000 1000000 1000000 19616 40346 12 38369 15001
phase-30-150-0.60-0.58-0.62-8 20777 18766 45004 44678 40744 14785 73441 54255 1000000 1000000 1000000 18866 40844 12 54255 14785
phase-30-150-0.64-0.62-0.64-1 3266 2832 30650 30958 3622 2141 48095 34871 1000000 1000000 1000000 2932 3722 12 34871 2141
phase-30-150-0.64-0.62-0.64-2 7357 6374 6346 8475 10450 5211 14004 9892 1000000 1000000 1000000 6474 10550 12 9892 5211
