instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
si4_m4Dr4_m625.02 0 0 0 0 0 3 29 13 0 11 0 0 0 6 0 0
si4_m4Dr4_m1296.03 1 1 1 1 1 20 154 78 0 182 1 1 1 6 0 1
si4_m4Dr4_m1296.01 2 1 1 1 1 13 161 82 0 189 1 1 1 6 0 1
si4_m4Dr4_m1296.00 1 1 1 1 1 12 186 136 0 184 2 1 1 6 0 1
si4_m4Dr4_m1296.07 2 1 1 1 1 13 154 79 0 96 2 1 1 6 0 1
si4_m4Dr4_m1296.02 2 1 1 1 2 13 155 135 0 95 1 2 1 6 0 1
si4_m4Dr4_m1296.04 1 2 2 2 1 22 164 80 0 104 1 1 2 6 0 1
si4_m4Dr4_m1296.09 1 1 1 1 1 20 178 81 1 275 1 1 1 6 1 1
si4_m4Dr4_m1296.06 6 3 3 3 5 29 169 124 45 233 10 5 3 6 10 3
si4_m4Dr4_m1296.08 1 1 1 1 1 14 148 77 1 158 1 1 1 6 1 1
si4_m4Dr4_m1296.05 2 2 2 3 3 20 228 94 3 217 7 3 2 6 3 2
si2_m4Dr6_m625.06 0 0 0 0 0 2 21 10 0 18 0 0 0 6 0 0
si2_m4Dr6_m625.08 0 0 0 0 0 2 17 12 0 15 1 0 0 6 0 0
si2_m4Dr6_m625.07 0 0 0 0 0 4 32 12 0 23 1 0 0 6 0 0
si2_m4Dr6_m625.03 0 0 0 0 0 3 32 9 0 24 0 0 0 6 0 0
si2_m4Dr6_m625.04 0 0 0 0 0 4 30 7 0 17 1 0 0 6 0 0
si2_m4Dr6_m625.05 0 0 0 0 0 3 30 6 0 20 0 0 0 6 0 0
si2_m4Dr6_m625.09 0 0 0 0 0 4 18 6 58 64 5 0 0 6 5 0
si2_m4Dr6_m625.01 1 0 1 1 0 7 29 6 0 21 2 0 0 6 0 0
si2_m4Dr6_m625.02 2 1 1 1 1 6 19 6 19 38 5 1 1 6 5 1
si2_m4Dr6_m625.00 0 0 0 0 0 3 27 5 0 8 0 0 0 6 0 0
si4_m4D_m1296.09 1 1 2 1 5 25 145 71 4 79 60 5 1 5 4 1
si4_m4D_m1296.06 2 1 1 1 2 14 128 72 1 68 38 2 1 5 1 1
si4_m4D_m1296.05 1 1 2 1 2 21 188 105 1 49 31 2 1 5 1 1
si4_m4D_m1296.00 38 79 44 44 16 307 2635 25510 192383 122570 116511 16 79 5 2635 16
si4_m4D_m1296.03 32 20 20 34 33 160 250 158 48 170 177693 33 20 5 48 20
si4_m4D_m1296.04 3 4 3 3 5 41 128 73 10 53 133 5 4 5 10 4
si4_m4D_m1296.08 1000000 1000000 1000000 1000000 82373 1000000 20386 212848 411770 265551 1000000 1000000 82473 5 20386 82373
si4_m4D_m1296.02 6 8 8 12 12 47 222 406 16 176 3654 12 8 5 16 8
si4_m4D_m1296.01 6 3 3 5 6 30 129 108 12 54 101 6 3 5 12 3
si4_m4D_m1296.07 1 1 1 1 2 14 128 123 0 77 20 2 1 5 0 1
si4_m4D_m256.07 0 0 0 0 0 1 5 3 0 3 3 0 0 5 0 0
si4_m4D_m256.06 0 0 0 0 0 0 8 3 0 3 1 0 0 5 0 0
si4_m4D_m256.05 0 0 0 0 0 0 5 4 0 3 2 0 0 5 0 0
si4_m4D_m256.08 0 0 0 0 0 1 5 5 0 7 3 0 0 5 0 0
si4_m4D_m256.04 0 0 0 0 1 2 10 2 1 8 10 1 0 5 1 0
si4_m4D_m256.09 0 0 0 0 1 2 5 4 0 9 34 1 0 5 0 0
si4_m4D_m256.02 0 0 0 0 0 1 5 4 0 6 2 0 0 5 0 0
si4_m4D_m256.00 0 0 0 0 1 2 5 4 0 8 22 1 0 5 0 0
si4_m4D_m256.03 0 0 0 0 0 0 9 3 0 6 4 0 0 5 0 0
si4_m4D_m256.01 0 0 0 0 0 0 5 4 1 7 7 0 0 5 1 0
si2_m4Dr6_m1296.00 0 0 1 0 1 15 78 50 0 103 0 1 0 6 0 0
si2_m4Dr6_m1296.01 0 1 0 0 0 16 75 28 0 97 0 0 1 6 0 0
si2_m4Dr6_m1296.09 0 0 0 0 0 9 72 29 1 69 1 0 0 6 1 0
si2_m4Dr6_m1296.06 0 0 0 0 1 14 74 51 0 114 0 1 0 6 0 0
si2_m4Dr6_m1296.03 0 0 0 0 1 10 122 27 0 32 0 1 0 6 0 0
si2_m4Dr6_m1296.02 0 0 0 0 0 8 79 28 0 110 0 0 0 6 0 0
si2_m4Dr6_m1296.05 1 0 1 0 1 16 76 47 0 85 0 1 0 6 0 0
si2_m4Dr6_m1296.08 0 0 0 0 1 13 74 29 0 62 0 1 0 6 0 0
si2_m4Dr6_m1296.04 1 1 1 1 1 12 82 32 13 128 4 1 1 6 4 1
si2_m4Dr6_m1296.07 1 1 2 1 1 14 79 108 3 63 5 1 1 6 3 1
si6_m4Dr4_m625.05 0 0 0 0 0 4 48 37 0 46 0 0 0 6 0 0
si6_m4Dr4_m625.09 0 1 0 0 0 6 81 22 0 61 1 0 1 6 0 0
si6_m4Dr4_m625.04 0 0 0 1 1 4 79 36 0 35 1 1 0 6 0 0
si6_m4Dr4_m625.00 1 0 0 0 0 6 64 23 0 70 1 0 0 6 0 0
si6_m4Dr4_m625.08 0 1 0 1 0 4 48 22 0 39 1 0 1 6 0 0
si6_m4Dr4_m625.06 0 1 0 1 0 4 44 21 0 53 1 0 1 6 0 0
si6_m4Dr4_m625.01 1 1 1 1 1 5 51 23 4 96 2 1 1 6 2 1
si6_m4Dr4_m625.03 0 1 0 0 1 4 94 31 0 82 1 1 1 6 0 1
si6_m4Dr4_m625.07 0 1 0 0 0 6 95 24 0 79 1 0 1 6 0 0
si6_m4Dr4_m625.02 0 0 0 1 1 4 46 22 0 78 1 1 0 6 0 0
si4_m4Dr4_m256.05 0 0 0 0 0 0 9 3 0 6 0 0 0 6 0 0
si4_m4Dr4_m256.09 0 0 0 0 0 0 5 2 0 8 0 0 0 6 0 0
si4_m4Dr4_m256.01 0 0 0 0 0 0 10 2 0 5 0 0 0 6 0 0
si4_m4Dr4_m256.03 0 0 0 0 0 1 11 6 0 9 0 0 0 6 0 0
si4_m4Dr4_m256.06 0 0 0 0 0 0 5 3 0 7 0 0 0 6 0 0
si4_m4Dr4_m256.07 0 0 0 0 0 0 9 2 0 6 0 0 0 6 0 0
si4_m4Dr4_m256.00 0 0 0 0 0 0 11 4 0 10 0 0 0 6 0 0
si4_m4Dr4_m256.02 0 0 0 0 0 1 5 2 0 5 0 0 0 6 0 0
