instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
si2_r01_m600.06 8964 6520 618146 6401 8984 9426 37182 26680 1000000 968489 633991 6620 9084 7 26680 6520
si2_r01_m600.09 18450 13981 14630 14416 9013 17488 100282 72641 494175 407637 426803 14081 9113 7 72641 9013
si2_r01_m600.08 37331 28044 7926 27868 7385 36833 110458 80248 558284 469592 1000000 28144 7485 7 80248 7385
si2_r01_m600.04 8076 5937 6048 6049 5683 8545 67418 48967 313702 259711 480900 6037 5783 7 48967 5683
si2_r01_m600.02 11499 8430 399848 8844 39536 12642 67153 49205 1000000 1000000 895036 8530 39636 7 49205 8430
si2_r01_m600.00 4891 3821 23300 3838 337 4494 55424 40920 14479 12556 279093 3921 437 7 12556 337
si2_r01_m600.07 3376 2501 24534 2507 2332 3653 12034 8756 1000000 1000000 1000000 2601 2432 7 8756 2332
si2_r01_m600.03 5042 3547 329 3639 861 5353 33228 24154 33870 27609 431589 3647 961 7 24154 861
si2_r01_m600.05 6764 4930 139689 4770 4391 6682 44497 32485 1000000 851782 1000000 5030 4491 7 32485 4391
si4_r001_m200.04 3 2 3 2 0 4 5 28 0 4 1 0 2 7 0 0
si4_r001_m200.07 1 0 1 1 0 1 5 2 1 4 26 0 0 7 1 0
si4_r001_m200.00 12 22 12 22 0 29 5 5 0 2 0 0 22 7 0 0
si4_r001_m200.01 0 0 0 0 0 0 5 1 21 10 1 0 0 7 1 0
si4_r001_m200.03 100 109 67 108 0 155 5 129 0 2 0 0 100 7 0 0
si4_r001_m200.06 0 0 0 0 0 1 6 3 0 3 0 0 0 7 0 0
si4_r001_m200.05 5 6 6 10 0 13 3 2 0 3 0 0 6 7 0 0
si4_r001_m200.08 0 0 0 0 0 1 5 3 0 4 0 0 0 7 0 0
si4_r001_m200.09 62 72 72 73 4 168 3 32 11 9 475 4 72 7 3 4
si4_r001_m200.02 5 5 3 3 1 8 6 4 4 5 97 1 5 7 4 1
si6_r01_m400.04 20 14 203 14 9 9 1007 223 14296 11822 4987 9 14 7 223 9
si6_r01_m400.08 28 11 20 11 5 11 1481 532 1184 1007 582 5 11 7 532 5
si6_r01_m400.07 2 1 30 1 1 2 760 45 16053 13241 7624 1 1 7 45 1
si6_r01_m400.06 13 11 11 11 6 8 924 205 7475 6127 2374 6 11 7 205 6
si6_r01_m400.05 7 4 31 2 3 5 1249 223 15524 12688 29089 3 4 7 223 3
si6_r01_m400.02 3 1 76 1 3 3 801 75 46949 38183 19365 3 1 7 75 1
si6_r01_m400.00 10 6 22 7 5 8 840 95 4801 4052 12847 5 6 7 95 5
si6_r01_m400.03 63 32 55 31 20 26 1819 877 41681 33659 6270 20 32 7 877 20
si6_r01_m400.01 39 56 34 34 29 23 2117 991 38000 31550 16976 29 56 7 991 23
si6_r01_m400.09 156 125 148 71 51 62 1694 2721 21110 17683 42963 51 151 7 1694 51
si4_r01_m400.01 66 34 35 58 62 27 1197 632 55955 44846 52080 62 34 7 632 27
si4_r01_m400.08 3 1 2 1 3 3 375 42 24608 20247 71102 3 1 7 42 1
si4_r01_m400.02 40 53 794 32 18 35 1145 1049 67876 54145 592530 18 53 7 1049 18
si4_r01_m400.03 107 126 8197 139 128 109 2447 1538 15333 12381 21009 226 228 7 1538 109
si4_r01_m400.07 28 37 451 23 6 25 382 55 26980 22270 163797 6 37 7 55 6
si4_r01_m400.06 7 4 9 7 5 7 401 62 20878 16833 29270 5 4 7 62 4
si4_r01_m400.04 1021 818 767 831 355 1027 15790 13159 16472 13561 79327 918 455 7 13159 355
si4_r01_m400.00 697 544 555 540 225 667 5004 8404 88474 72277 294281 644 325 7 5004 225
si4_r01_m400.05 117 63 109 64 121 61 2095 1001 9104 7638 3732 163 63 7 1001 61
si4_r01_m400.09 525 448 222 413 342 587 8766 4881 6716 5539 9151 548 442 7 4881 342
si2_r005_m600.03 307 244 301 292 154 415 2636 2906 1408 1179 2895 344 254 7 1179 154
si2_r005_m600.00 4479 3496 3517 3496 2301 5855 35280 30143 20419 17124 84086 3596 2401 7 17124 2301
si2_r005_m600.06 1365 1117 1121 1107 298 1885 4416 9548 3328 2589 41264 1217 398 7 2589 298
si2_r005_m600.01 3581 2890 1000000 2830 1589 4900 22590 28361 541 447 10579 2990 1689 7 447 1589
si2_r005_m600.04 417 454 360 377 158 585 2336 1471 15989 13412 18961 554 258 7 1471 158
si2_r005_m600.09 251 194 194 194 53 336 507 1739 2320 1763 61012 53 153 7 507 53
si2_r005_m600.05 708 609 605 594 431 962 22262 6725 2922 2386 3977 709 531 7 2386 431
si2_r005_m600.02 1593 1212 1000000 1248 314 2041 4498 11193 9611 7950 64683 1312 414 7 4498 314
si2_r005_m600.08 2535 1999 2003 2125 624 3893 4892 17103 21494 17770 56073 2099 724 7 4892 624
si2_r005_m600.07 584 486 505 539 391 716 3276 3828 10677 8491 13673 586 491 7 3276 391
si4_r01_m600.05 173 141 142 141 231 94 3617 2088 947317 808584 216515 241 331 7 2088 94
si4_r01_m600.02 374 245 334 223 295 362 4807 2853 204897 167430 47402 345 395 7 2853 245
si4_r01_m600.03 1481 1089 1064 1319 1356 991 14973 10471 1000000 1000000 317204 1189 1456 7 10471 991
si4_r01_m600.07 395 152 187 185 100 185 5810 3598 212671 178230 616405 252 200 7 3598 100
si4_r01_m600.08 674 497 15212 470 762 471 14588 10270 1000000 1000000 576213 597 862 7 10270 471
si4_r01_m600.06 1327 1063 238 1065 916 927 18264 13041 12154 10387 12234 1163 1016 7 10387 916
si4_r01_m600.01 30 33 19 34 7 26 1772 370 766684 638947 1000000 7 33 7 370 7
si4_r01_m600.04 8 4 7 4 11 11 1489 287 77011 65771 41166 11 4 7 287 4
si4_r01_m600.00 11 5 6 6 5 10 1518 317 1000000 930162 1000000 5 5 7 317 5
si4_r01_m600.09 857 674 662 673 644 539 26626 18919 158280 132958 489271 774 744 7 18919 539
si4_r005_m400.06 3 2 8 2 1 6 234 61 115 144 484 1 2 7 61 1
si4_r005_m400.03 48 63 143 40 2 68 256 736 285 250 2242 2 63 7 250 2
si4_r005_m400.07 26 35 158 21 7 34 463 314 287 247 749 7 35 7 247 7
si4_r005_m400.01 4 3 561 6 4 5 187 38 449 372 443 4 3 7 38 3
si4_r005_m400.04 55 26 804 42 35 41 392 438 609 490 480 35 26 7 392 26
si4_r005_m400.00 9 7 34 7 11 13 197 45 1538 1287 1135 11 7 7 45 7
si4_r005_m400.09 4 5 3 5 3 5 180 37 1139 892 1287 3 5 7 37 3
si4_r005_m400.05 7 5 382 9 6 9 233 88 393 291 643 6 5 7 88 5
si4_r005_m400.08 1 0 101 1 1 2 167 15 899 777 288 1 0 7 15 0
si4_r005_m400.02 149 85 112 115 68 104 736 1128 3450 2823 10699 68 85 7 736 68
si2_r005_m400.05 280 243 283 282 87 380 979 1966 496 365 1345 87 187 7 365 87
si2_r005_m400.06 111 138 96 95 165 157 994 412 772 618 1206 238 265 7 412 138
si2_r005_m400.08 124 167 156 109 25 211 264 711 474 371 2373 25 125 7 264 25
si2_r005_m400.02 432 385 381 345 848 589 10151 3030 75905 63482 61980 485 948 7 3030 385
si2_r005_m400.03 94 49 49 81 26 73 990 594 93 90 102 26 49 7 90 26
si2_r005_m400.00 258 218 218 250 172 349 1006 1307 649 457 749 318 272 7 457 172
si2_r005_m400.07 221 253 52365 192 479 359 3595 1246 6443 5251 3852 353 579 7 1246 253
si2_r005_m400.09 25 31 18 18 74 45 267 199 5053 3981 2615 74 31 7 199 31
si2_r005_m400.04 79 103 110 67 54 120 318 243 1336 1067 1626 54 154 7 243 54
si2_r005_m400.01 5 6 791040 6 10 6 151 47 1051 919 235 10 6 7 47 6
si6_r005_m600.02 14 8 12 5 2 10 2072 289 611 650 682 2 8 7 289 2
si6_r005_m600.08 3 1 2 1 3 5 1916 84 4052 3414 745 3 1 7 84 1
si6_r005_m600.03 5 2 2 2 2 9 1943 130 1808 1576 5836 2 2 7 130 2
si6_r005_m600.05 5 3 2 2 1 9 2001 176 359 416 413 1 3 7 176 1
si6_r005_m600.07 13 8 9 5 2 10 1939 132 1911 1605 1279 2 8 7 132 2
si6_r005_m600.04 4 3 2 3 2 6 1965 204 14178 11283 2044 2 3 7 204 2
si6_r005_m600.06 25 29 22 18 5 38 2588 733 12271 9991 9290 5 29 7 733 5
si6_r005_m600.01 4 3 59 2 1 8 1873 103 1241 1024 107 1 3 7 103 1
si6_r005_m600.09 3 1 3 1 2 8 1953 254 129 231 436 2 1 7 129 1
si6_r005_m600.00 4 2 4 2 3 9 1925 128 1798 1614 559 3 2 7 128 2
si6_r005_m200.02 1 0 3 0 1 2 38 13 36 37 10 1 0 7 10 0
si6_r005_m200.08 0 0 0 0 0 1 66 9 38 50 61 0 0 7 9 0
si6_r005_m200.09 1 0 0 0 0 1 38 13 6 10 8 0 0 7 6 0
si6_r005_m200.05 3 3 2 3 0 2 60 75 19 23 54 0 3 7 19 0
si6_r005_m200.03 1 0 0 0 0 1 60 10 95 53 5 0 0 7 5 0
si6_r005_m200.00 2 1 23 1 1 2 38 38 12 22 58 1 1 7 12 1
si6_r005_m200.04 0 0 0 0 0 0 62 7 11 19 13 0 0 7 7 0
si6_r005_m200.07 0 0 0 0 0 1 61 10 18 21 8 0 0 7 8 0
si6_r005_m200.01 0 0 0 0 0 0 45 5 2 11 1 0 0 7 1 0
si6_r005_m200.06 0 0 153 0 0 1 48 6 1 6 1 0 0 7 1 0
si4_r001_m400.08 1131 1183 1234 1245 8 3634 53 5823 15 14 65 8 108 7 14 8
si4_r001_m400.06 20107 21059 21612 21104 1 58669 28 290 6 16 3 1 101 7 3 1
si4_r001_m400.02 1 1 1 1 0 3 34 21 2 13 8 0 1 7 2 0
si4_r001_m400.00 7 7 4 7 0 12 22 184 0 12 2 0 7 7 0 0
si4_r001_m400.04 849 813 820 843 4 1945 37 11905 11 12 557 4 104 7 11 4
