instance mcsplit-si-ll mcsplit-si-dom mcsplit-si-dom-D1 mcsplit-si-dom-D2 mcsplit-si-static mcsplit-si-adjmat-dom glasgow glasgow-nosupp ri ri-ds vf3 static-then-dom dom-then-static family vbos vbmcsplit
all-images-CVIU11-pattern10-target1 0 0 0 0 0 134 230 42 0 43 0 0 0 14 0 0
all-images-CVIU11-pattern10-target10 0 0 0 0 0 68 130 29 0 10 1 0 0 14 0 0
all-images-CVIU11-pattern10-target100 0 0 0 0 0 23 47 15 0 17 0 0 0 14 0 0
all-images-CVIU11-pattern10-target101 0 0 0 0 0 18 30 14 0 5 0 0 0 14 0 0
all-images-CVIU11-pattern10-target102 0 0 0 0 0 52 87 25 0 7 0 0 0 14 0 0
all-images-CVIU11-pattern10-target103 0 0 0 0 0 62 144 7 0 8 0 0 0 14 0 0
all-images-CVIU11-pattern10-target104 0 0 0 0 0 99 235 35 0 68 0 0 0 14 0 0
all-images-CVIU11-pattern10-target105 0 0 0 0 0 96 246 34 0 12 0 0 0 14 0 0
all-images-CVIU11-pattern10-target106 0 0 0 0 0 73 263 31 0 32 1 0 0 14 0 0
all-images-CVIU11-pattern10-target107 0 0 0 0 0 56 170 46 0 15 1 0 0 14 0 0
all-images-CVIU11-pattern10-target108 0 0 0 0 1 173 464 52 0 61 2 1 0 14 0 0
all-images-CVIU11-pattern10-target109 0 0 0 0 0 104 281 37 0 12 0 0 0 14 0 0
all-images-CVIU11-pattern10-target11 0 0 0 0 0 30 86 19 0 12 0 0 0 14 0 0
all-images-CVIU11-pattern10-target110 0 0 0 0 0 40 113 21 0 12 0 0 0 14 0 0
all-images-CVIU11-pattern10-target111 0 0 0 0 0 48 96 20 0 23 0 0 0 14 0 0
all-images-CVIU11-pattern10-target112 0 0 0 0 0 43 109 35 0 12 0 0 0 14 0 0
all-images-CVIU11-pattern10-target113 0 0 0 0 0 45 96 24 0 59 0 0 0 14 0 0
all-images-CVIU11-pattern10-target114 0 0 0 0 0 25 37 18 0 41 0 0 0 14 0 0
all-images-CVIU11-pattern10-target115 0 0 0 0 0 72 186 31 0 45 0 0 0 14 0 0
all-images-CVIU11-pattern10-target116 0 0 0 0 1 234 406 50 0 17 1 1 0 14 0 0
all-images-CVIU11-pattern10-target117 0 0 0 0 1 126 220 64 0 22 1 1 0 14 0 0
all-images-CVIU11-pattern10-target118 0 0 0 0 0 68 169 29 0 17 1 0 0 14 0 0
all-images-CVIU11-pattern10-target119 0 0 0 0 1 157 401 81 0 75 1 1 0 14 0 0
all-images-CVIU11-pattern10-target12 0 0 0 0 0 87 367 60 0 53 1 0 0 14 0 0
all-images-CVIU11-pattern10-target120 0 0 0 0 1 103 236 38 0 72 1 1 0 14 0 0
all-images-CVIU11-pattern10-target121 0 0 0 0 0 128 310 42 0 52 0 0 0 14 0 0
all-images-CVIU11-pattern10-target122 0 0 0 0 0 82 174 28 0 9 0 0 0 14 0 0
all-images-CVIU11-pattern10-target123 0 0 0 0 0 183 367 42 0 14 1 0 0 14 0 0
all-images-CVIU11-pattern10-target124 0 0 0 0 0 74 223 51 0 18 1 0 0 14 0 0
all-images-CVIU11-pattern10-target125 0 0 0 0 1 112 293 39 0 74 1 1 0 14 0 0
all-images-CVIU11-pattern10-target126 0 0 0 0 0 9 29 11 0 3 0 0 0 14 0 0
all-images-CVIU11-pattern10-target127 0 0 0 0 0 13 30 22 0 5 0 0 0 14 0 0
all-images-CVIU11-pattern10-target128 0 0 0 0 0 113 262 66 0 75 1 0 0 14 0 0
all-images-CVIU11-pattern10-target129 0 0 0 0 0 17 50 14 0 19 0 0 0 14 0 0
all-images-CVIU11-pattern10-target13 0 0 0 0 0 88 221 35 0 65 0 0 0 14 0 0
all-images-CVIU11-pattern10-target130 0 0 0 0 0 15 77 14 0 8 0 0 0 14 0 0
all-images-CVIU11-pattern10-target131 0 0 0 0 0 55 125 35 0 13 0 0 0 14 0 0
all-images-CVIU11-pattern10-target132 0 0 0 0 0 73 204 26 0 56 0 0 0 14 0 0
all-images-CVIU11-pattern10-target133 0 0 0 0 0 44 77 23 0 8 0 0 0 14 0 0
all-images-CVIU11-pattern10-target134 0 0 0 0 0 56 112 44 0 9 0 0 0 14 0 0
all-images-CVIU11-pattern10-target135 0 0 0 0 0 46 124 25 0 51 0 0 0 14 0 0
all-images-CVIU11-pattern10-target136 0 0 0 0 0 66 231 27 0 36 1 0 0 14 0 0
all-images-CVIU11-pattern10-target137 0 0 0 0 0 23 34 14 0 9 0 0 0 14 0 0
all-images-CVIU11-pattern10-target138 0 0 0 0 1 178 441 54 0 17 0 1 0 14 0 0
all-images-CVIU11-pattern10-target139 0 0 0 0 0 22 67 27 0 24 0 0 0 14 0 0
all-images-CVIU11-pattern10-target14 0 0 0 0 0 26 85 15 0 9 0 0 0 14 0 0
all-images-CVIU11-pattern10-target140 0 0 0 0 0 29 97 6 0 2 0 0 0 14 0 0
all-images-CVIU11-pattern10-target141 0 0 0 0 0 23 75 16 0 19 0 0 0 14 0 0
all-images-CVIU11-pattern10-target142 0 0 0 0 0 66 92 8 0 1 0 0 0 14 0 0
all-images-CVIU11-pattern10-target143 0 0 0 0 0 34 91 36 0 13 0 0 0 14 0 0
all-images-CVIU11-pattern10-target144 0 0 0 0 0 68 177 29 0 15 0 0 0 14 0 0
all-images-CVIU11-pattern10-target145 0 0 0 0 0 25 116 32 0 31 0 0 0 14 0 0
all-images-CVIU11-pattern10-target146 0 0 0 0 0 140 303 40 1 25 1 0 0 14 1 0
all-images-CVIU11-pattern10-target15 0 0 0 0 0 14 19 11 0 7 0 0 0 14 0 0
all-images-CVIU11-pattern10-target16 0 0 0 0 0 31 46 18 0 6 0 0 0 14 0 0
all-images-CVIU11-pattern10-target17 0 0 0 0 0 106 275 38 0 37 0 0 0 14 0 0
all-images-CVIU11-pattern10-target18 0 0 0 0 1 105 234 37 0 45 0 1 0 14 0 0
all-images-CVIU11-pattern10-target19 0 0 0 0 0 194 481 73 0 85 1 0 0 14 0 0
all-images-CVIU11-pattern10-target2 0 0 0 0 0 99 126 31 0 52 0 0 0 14 0 0
all-images-CVIU11-pattern10-target20 0 0 0 0 0 124 303 46 0 62 1 0 0 14 0 0
all-images-CVIU11-pattern10-target21 0 0 0 0 0 83 278 18 0 2 0 0 0 14 0 0
all-images-CVIU11-pattern10-target22 0 0 0 0 0 45 124 41 0 14 0 0 0 14 0 0
all-images-CVIU11-pattern10-target23 0 0 0 0 0 104 299 65 0 25 0 0 0 14 0 0
all-images-CVIU11-pattern10-target24 0 0 0 0 0 18 34 12 0 7 0 0 0 14 0 0
all-images-CVIU11-pattern10-target25 0 0 0 0 0 43 124 24 0 27 0 0 0 14 0 0
all-images-CVIU11-pattern10-target26 0 0 0 0 0 26 42 17 0 23 0 0 0 14 0 0
all-images-CVIU11-pattern10-target27 0 0 0 0 1 86 191 34 0 42 1 1 0 14 0 0
all-images-CVIU11-pattern10-target28 0 0 0 0 0 16 79 14 0 9 0 0 0 14 0 0
all-images-CVIU11-pattern10-target29 0 0 0 0 0 174 434 50 0 74 0 0 0 14 0 0
all-images-CVIU11-pattern10-target3 0 0 0 0 0 135 305 37 0 13 0 0 0 14 0 0
all-images-CVIU11-pattern10-target30 0 0 0 0 0 130 311 43 1 88 0 0 0 14 0 0
all-images-CVIU11-pattern10-target31 0 0 0 0 0 99 246 62 0 12 0 0 0 14 0 0
all-images-CVIU11-pattern10-target32 0 0 0 0 1 198 657 54 1 125 2 1 0 14 1 0
all-images-CVIU11-pattern10-target33 0 0 0 0 1 178 460 52 0 65 1 1 0 14 0 0
all-images-CVIU11-pattern10-target34 0 0 0 0 0 77 192 31 0 38 0 0 0 14 0 0
all-images-CVIU11-pattern10-target35 0 0 0 0 1 186 502 89 0 78 1 1 0 14 0 0
all-images-CVIU11-pattern10-target36 0 0 0 0 0 54 130 26 0 15 0 0 0 14 0 0
all-images-CVIU11-pattern10-target37 0 0 0 0 1 159 461 84 0 27 1 1 0 14 0 0
all-images-CVIU11-pattern10-target38 0 0 0 0 1 149 370 46 0 44 0 1 0 14 0 0
all-images-CVIU11-pattern10-target39 0 0 0 0 0 73 153 27 0 31 0 0 0 14 0 0
all-images-CVIU11-pattern10-target4 0 0 0 0 0 95 246 36 0 68 0 0 0 14 0 0
all-images-CVIU11-pattern10-target40 0 0 0 0 0 79 189 33 0 19 1 0 0 14 0 0
all-images-CVIU11-pattern10-target41 0 0 0 0 0 74 224 31 0 35 0 0 0 14 0 0
all-images-CVIU11-pattern10-target42 0 0 0 0 0 82 256 33 0 37 0 0 0 14 0 0
all-images-CVIU11-pattern10-target43 0 0 0 0 1 129 336 73 0 49 1 1 0 14 0 0
