instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
si2_b06_m400.02 0 11 32 30 3
si2_b06_m400.00 0 5 30 30 3
si2_b06_m400.03 0 11 30 30 3
si2_b06_m400.07 0 5 30 30 3
si2_b06_m400.04 0 5 30 30 3
si2_b06_m400.05 0 11 63 64 3
si2_b06_m400.01 0 11 63 63 3
si2_b06_m400.08 0 11 63 63 3
si2_b06_m400.06 0 11 63 63 3
si4_b03m_m800.03 0 161 148 151 4
si4_b03m_m800.05 1 177 148 150 4
si4_b03m_m800.06 0 105 147 215 4
si4_b03m_m800.01 0 102 146 213 4
si4_b03m_m800.08 0 168 199 151 4
si4_b03m_m800.09 0 178 181 151 4
si4_b03m_m800.00 0 103 152 153 4
si4_b03m_m800.02 0 176 151 206 4
si4_b03m_m800.07 0 149 146 200 4
si4_b03m_m800.04 0 104 149 201 4
si6_b09_m400.07 0 15 60 65 3
si6_b09_m400.03 0 32 61 112 3
si6_b09_m400.04 0 32 61 95 3
si6_b09_m400.06 0 32 60 79 3
si6_b09_m400.05 0 15 93 125 3
si6_b09_m400.09 0 33 61 96 3
si6_b09_m400.02 0 32 62 130 3
si6_b09_m400.01 0 15 83 66 3
si6_b09_m400.08 0 32 122 65 3
si6_b09_m400.00 0 15 128 121 3
si6_b06_m400.03 0 32 123 123 3
si6_b06_m400.08 0 32 123 125 3
si6_b06_m400.07 0 32 58 60 3
si6_b06_m400.04 0 32 58 60 3
si6_b06_m400.05 0 32 122 92 3
si6_b06_m400.06 0 32 122 103 3
si6_b06_m400.02 0 32 59 60 3
si6_b06_m400.01 0 32 59 62 3
si6_b06_m400.00 0 15 121 61 3
si6_b06_m400.09 0 32 60 61 3
si6_b03m_m200.04 0 8 23 11 4
si6_b03m_m200.07 0 18 11 22 4
si6_b03m_m200.08 0 18 11 11 4
si6_b03m_m200.02 0 18 10 23 4
si6_b03m_m200.03 0 18 11 23 4
si6_b03m_m200.06 0 18 11 23 4
si6_b03m_m200.01 0 8 11 23 4
si6_b03m_m200.09 0 17 11 23 4
si6_b03m_m200.00 0 18 11 23 4
si6_b03m_m200.05 0 18 11 22 4
si4_b06_m800.04 0 90 183 349 3
si4_b06_m800.00 0 90 184 203 3
si4_b06_m800.08 0 90 183 258 3
si4_b06_m800.05 0 91 186 272 3
si4_b06_m800.03 0 91 183 293 3
si4_b06_m800.06 0 83 256 205 3
si4_b06_m800.07 0 41 208 246 3
si4_b06_m800.01 0 91 182 203 3
si4_b06_m800.02 0 41 246 263 3
si4_b06_m800.09 0 91 183 202 3
si6_b09m_m200.07 0 8 30 15 4
si6_b09m_m200.06 0 17 16 15 4
si6_b09m_m200.01 0 17 31 16 4
si6_b09m_m200.08 0 19 16 31 4
si6_b09m_m200.00 0 17 31 31 4
si6_b09m_m200.09 0 8 15 15 4
si6_b09m_m200.02 0 17 15 30 4
si6_b09m_m200.05 0 17 31 16 4
si6_b09m_m200.03 0 15 19 15 4
si6_b09m_m200.04 0 18 30 15 4
si4_b09m_m400.07 0 40 46 94 4
si4_b09m_m400.06 0 46 61 48 4
si4_b09m_m400.00 0 22 93 49 4
si4_b09m_m400.08 0 45 52 48 4
si4_b09m_m400.04 0 32 47 96 4
si4_b09m_m400.09 0 23 93 48 4
si4_b09m_m400.02 0 46 84 94 4
si4_b09m_m400.03 0 36 47 48 4
si4_b09m_m400.01 0 23 46 47 4
si4_b09m_m400.05 0 31 46 48 4
si6_b06_m200.09 0 8 14 30 3
si6_b06_m200.03 0 3 30 14 3
