instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
si4_m4Dr4_m1296.08 1 437 549 524 6
si4_m4Dr4_m1296.05 4 5664 641 545 6
si2_m4Dr6_m625.06 0 69 164 165 6
si2_m4Dr6_m625.08 0 103 79 92 6
si2_m4Dr6_m625.07 0 139 99 164 6
si2_m4Dr6_m625.03 1 79 131 169 6
si2_m4Dr6_m625.04 1 103 86 85 6
si2_m4Dr6_m625.05 0 73 161 164 6
si2_m4Dr6_m625.09 0 72 145 164 6
si2_m4Dr6_m625.01 2 182 79 80 6
si2_m4Dr6_m625.02 2 509 173 144 6
si2_m4Dr6_m625.00 0 29 148 79 6
si4_m4D_m1296.09 2 527 423 794 5
si4_m4D_m1296.06 2 333 760 556 5
si4_m4D_m1296.05 2 620 422 801 5
si4_m4D_m1296.00 66 12492 7362 2442 5
si4_m4D_m1296.03 38 9920 4616 700 5
si4_m4D_m1296.04 5 922 742 565 5
si4_m4D_m1296.08 1000000 1000002 1000001 288685 5
si4_m4D_m1296.02 13 2140 1665 863 5
si4_m4D_m1296.01 6 1786 417 436 5
si4_m4D_m1296.07 1 303 423 432 5
si4_m4D_m256.07 0 20 15 30 5
si4_m4D_m256.06 0 22 14 30 5
si4_m4D_m256.05 0 22 30 30 5
si4_m4D_m256.08 0 23 16 33 5
si4_m4D_m256.04 0 17 32 15 5
si4_m4D_m256.09 0 33 32 33 5
si4_m4D_m256.02 0 21 15 32 5
si4_m4D_m256.00 0 37 16 33 5
si4_m4D_m256.03 0 22 30 30 5
si4_m4D_m256.01 0 18 32 32 5
si2_m4Dr6_m1296.00 1 281 582 511 6
si2_m4Dr6_m1296.01 1 379 516 508 6
si2_m4Dr6_m1296.09 1 367 744 586 6
si2_m4Dr6_m1296.06 0 307 554 506 6
si2_m4Dr6_m1296.03 0 289 729 464 6
si2_m4Dr6_m1296.02 0 279 751 433 6
si2_m4Dr6_m1296.05 1 297 755 446 6
si2_m4Dr6_m1296.08 0 290 738 470 6
si2_m4Dr6_m1296.04 2 1488 808 764 6
si2_m4Dr6_m1296.07 3 398 382 380 6
si6_m4Dr4_m625.05 1 181 279 253 6
si6_m4Dr4_m625.09 1 200 272 279 6
si6_m4Dr4_m625.04 1 100 275 279 6
si6_m4Dr4_m625.00 1 191 227 290 6
si6_m4Dr4_m625.08 1 205 164 268 6
si6_m4Dr4_m625.06 1 181 268 273 6
si6_m4Dr4_m625.01 1 281 280 284 6
si6_m4Dr4_m625.03 1 251 283 289 6
si6_m4Dr4_m625.07 1 200 288 228 6
si6_m4Dr4_m625.02 1 186 272 276 6
si4_m4Dr4_m256.05 0 23 33 33 6
si4_m4Dr4_m256.09 0 19 33 32 6
si4_m4Dr4_m256.01 0 18 34 35 6
si4_m4Dr4_m256.03 0 37 35 35 6
si4_m4Dr4_m256.06 0 23 33 34 6
si4_m4Dr4_m256.07 0 21 32 33 6
si4_m4Dr4_m256.00 0 20 35 35 6
si4_m4Dr4_m256.02 0 19 32 33 6
si4_m4Dr4_m256.08 0 18 34 34 6
si4_m4Dr4_m256.04 0 18 34 35 6
si2_m4D_m625.01 9 62 352 325 5
si2_m4D_m625.00 1 270 152 145 5
si2_m4D_m625.08 0 60 195 685 5
si2_m4D_m625.04 0 74 144 150 5
si2_m4D_m625.09 0 101 625 395 5
si2_m4D_m625.02 6 495 171 83 5
si2_m4D_m625.05 0 79 1012 206 5
si2_m4D_m625.06 2 441 581 436 5
si2_m4D_m625.07 1 52 474 154 5
si2_m4D_m625.03 6 382 180 154 5
si2_m4Dr4_m256.05 0 15 25 25 6
si2_m4Dr4_m256.02 0 15 25 25 6
si2_m4Dr4_m256.00 0 27 26 25 6
si2_m4Dr4_m256.07 1 38 26 25 6
si2_m4Dr4_m256.03 3 109 26 26 6
si2_m4Dr4_m256.06 0 9 25 25 6
si2_m4Dr4_m256.04 3 82 25 26 6
si2_m4Dr4_m256.09 0 11 25 25 6
si2_m4Dr4_m256.01 0 9 25 25 6
si2_m4Dr4_m256.08 2 41 13 27 6
si6_m4Dr2_m256.04 0 28 41 41 6
si6_m4Dr2_m256.08 0 27 40 41 6
si6_m4Dr2_m256.00 0 29 41 41 6
si6_m4Dr2_m256.07 0 28 39 40 6
si6_m4Dr2_m256.01 0 38 40 41 6
si6_m4Dr2_m256.09 0 29 41 42 6
si6_m4Dr2_m256.03 0 30 41 42 6
si6_m4Dr2_m256.05 0 33 40 41 6
si6_m4Dr2_m256.02 0 32 42 43 6
si6_m4Dr2_m256.06 1 203 41 42 6
si6_m4D_m256.03 0 29 37 38 5
si6_m4D_m256.08 0 29 37 38 5
si6_m4D_m256.07 0 30 37 38 5
si6_m4D_m256.00 0 29 37 38 5
si6_m4D_m256.01 0 31 20 39 5
si6_m4D_m256.05 0 29 37 39 5
si6_m4D_m256.09 0 78 45 46 5
si6_m4D_m256.04 0 30 38 38 5
si6_m4D_m256.02 0 30 38 38 5
si6_m4D_m256.06 0 31 38 20 5
si6_m4D_m625.00 0 326 237 238 5
si6_m4D_m625.07 4 1442 226 386 5
si6_m4D_m625.05 7 2243 287 404 5
si6_m4D_m625.08 1 225 194 118 5
si6_m4D_m625.02 1 255 235 117 5
si6_m4D_m625.03 62 5047 890 446 5
si6_m4D_m625.04 1 188 234 240 5
si6_m4D_m625.09 31 5388 416 173 5
si6_m4D_m625.01 1 181 171 240 5
si6_m4D_m625.06 13 1398 319 246 5
si4_m4Dr6_m1296.01 1 447 850 748 6
si4_m4Dr6_m1296.07 54 1046 1076 1095 6
si4_m4Dr6_m1296.06 1 593 533 1083 6
si4_m4Dr6_m1296.02 1 360 1043 1058 6
si4_m4Dr6_m1296.08 23 564 907 553 6
si4_m4Dr6_m1296.03 2 810 537 757 6
si4_m4Dr6_m1296.00 2 1150 1047 1064 6
si4_m4Dr6_m1296.09 1 296 557 1087 6
si4_m4Dr6_m1296.05 2 579 552 564 6
si4_m4Dr6_m1296.04 1 297 523 531 6
si4_m4D_m625.09 0 247 107 96 5
si4_m4D_m625.03 0 126 107 193 5
si4_m4D_m625.07 34 547 1076 252 5
si4_m4D_m625.02 0 494 235 521 5
si4_m4D_m625.00 0 114 90 152 5
si4_m4D_m625.01 317 9891 7576 1204 5
si4_m4D_m625.04 0 117 145 189 5
si4_m4D_m625.06 0 139 187 189 5
si4_m4D_m625.08 1 138 167 164 5
si4_m4D_m625.05 0 133 89 91 5
si6_m4Dr6_m256.05 0 29 22 45 6
si6_m4Dr6_m256.04 0 31 42 21 6
si6_m4Dr6_m256.03 0 28 42 21 6
si6_m4Dr6_m256.02 0 21 42 21 6
si6_m4Dr6_m256.08 0 27 21 44 6
si6_m4Dr6_m256.00 0 30 44 45 6
si6_m4Dr6_m256.09 0 27 42 23 6
si6_m4Dr6_m256.07 0 28 21 43 6
si6_m4Dr6_m256.06 0 29 21 36 6
si6_m4Dr6_m256.01 0 27 21 43 6
si6_m4Dr4_m1296.03 3 465 739 716 6
si6_m4Dr4_m1296.06 2 510 780 756 6
si6_m4Dr4_m1296.04 3 516 784 964 6
si6_m4Dr4_m1296.01 3 440 784 680 6
si6_m4Dr4_m1296.09 3 578 730 689 6
si6_m4Dr4_m1296.02 3 709 1054 935 6
si6_m4Dr4_m1296.08 3 620 726 718 6
si6_m4Dr4_m1296.05 3 1196 858 736 6
si6_m4Dr4_m1296.07 3 441 757 762 6
si6_m4Dr4_m1296.00 3 468 783 746 6
si4_m4Dr6_m625.02 0 136 114 108 6
si4_m4Dr6_m625.06 1 210 114 111 6
si4_m4Dr6_m625.03 0 166 221 109 6
si4_m4Dr6_m625.07 1 200 226 113 6
si4_m4Dr6_m625.08 0 117 108 110 6
si4_m4Dr6_m625.09 0 62 218 112 6
si4_m4Dr6_m625.00 0 120 220 109 6
si4_m4Dr6_m625.01 1 152 220 109 6
si4_m4Dr6_m625.05 0 69 105 110 6
si4_m4Dr6_m625.04 6 61 114 117 6
si6_m4Dr4_m256.05 0 48 41 21 6
si6_m4Dr4_m256.03 0 53 43 44 6
si6_m4Dr4_m256.02 0 13 21 43 6
si6_m4Dr4_m256.01 0 28 20 39 6
si6_m4Dr4_m256.08 0 29 43 22 6
si6_m4Dr4_m256.09 0 28 27 45 6
si6_m4Dr4_m256.07 0 14 42 43 6
si6_m4Dr4_m256.06 0 17 21 21 6
si6_m4Dr4_m256.04 0 54 41 36 6
si6_m4Dr4_m256.00 0 39 43 43 6
