instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
g24-g48 1000000 1000000 1000000 1000009 2
g24-g49 1000000 1000000 1000000 1000013 2
g24-g50 1000000 1000000 1000000 1000003 2
g25-g26 1000000 1000000 1000000 1000064 2
g25-g27 1000000 1000000 1000000 1000027 2
g25-g29 1000000 1000000 1000000 1000002 2
g25-g30 1000000 1000000 1000000 1000004 2
g25-g31 1000000 1000000 1000000 1000013 2
g25-g32 84 1000000 1000000 711 2
g25-g38 1000000 1000000 1000000 1000002 2
g25-g40 1000000 1000000 1000000 1000008 2
g25-g43 1000000 1000000 1000000 1000042 2
g25-g44 1000000 1000000 1000000 1000008 2
g25-g45 1000000 1000000 1000000 1000004 2
g25-g46 1000000 1000000 1000000 1000001 2
g25-g47 1000000 1000000 1000000 1000004 2
g25-g48 1000000 1000000 1000000 1000008 2
g25-g49 1000000 1000000 1000000 1000031 2
g25-g50 1000000 1000000 1000000 1000027 2
g26-g27 1000000 1000000 1000000 1000018 2
g26-g32 159 1000000 1000000 1855 2
g26-g40 1000000 1000000 1000000 1000004 2
g26-g50 1000000 1000000 1000000 1000009 2
g27-g32 192 1000000 1000000 1000040 2
g27-g50 1000000 1000000 1000000 1000008 2
g28-g29 1000000 1000000 1000000 1000004 2
g28-g30 1000000 1000000 1000000 1000008 2
g28-g31 1000000 1000000 1000000 1000011 2
g28-g32 347 13683 1524 1508 2
g28-g33 1000000 1000000 1000000 1000021 2
g28-g37 1000000 1000000 1000000 1000007 2
g28-g38 1000000 1000000 1000000 1000013 2
g28-g40 1000000 1000000 1000000 1000008 2
g28-g43 1000000 1000000 1000000 1000001 2
g28-g44 1000000 1000000 1000000 1000008 2
g28-g45 1000000 1000000 1000000 1000008 2
g28-g46 1000000 1000000 1000000 1000002 2
g28-g47 1000000 1000000 1000000 1000004 2
g28-g48 1000000 1000000 1000000 1000000 2
g28-g49 1000000 1000000 1000000 1000006 2
g28-g50 1000000 1000000 1000000 1000006 2
g29-g30 1381 1000000 1000000 1000005 2
g29-g31 1000000 1000000 1000000 1000001 2
g29-g32 162323 623731 562924 292539 2
g29-g40 1000000 1000000 1000000 1000005 2
g29-g44 1000000 1000000 1000000 1000003 2
g29-g45 1000000 1000000 1000000 1000002 2
g29-g50 1000000 1000000 1000000 1000004 2
g3-g10 1 15 14 15 2
g3-g11 47 300 299 326 2
g3-g12 74 455 202 488 2
g3-g13 2 11 14 14 2
g3-g14 5 42 45 27 2
g3-g15 2 13 8 17 2
g3-g16 17 56 66 99 2
g3-g17 11 91 57 106 2
g3-g18 20 101 105 154 2
g3-g19 90 318 314 393 2
g3-g20 2 0 16 2 2
g3-g21 90 125 188 240 2
g3-g22 7 30 58 31 2
g3-g23 11 45 103 68 2
g3-g24 0 21 7 13 2
g3-g25 4 42 35 35 2
g3-g26 3 28 17 35 2
g3-g27 5 60 40 41 2
g3-g28 5 26 56 33 2
g3-g29 0 0 8 4 2
g3-g30 0 1 8 4 2
g3-g31 0 0 8 8 2
g3-g32 50 97 105 115 2
g3-g33 8 40 82 44 2
g3-g34 24 267 250 292 2
g3-g35 13 55 99 57 2
g3-g36 4 64 9 22 2
g3-g37 33 118 70 38 2
g3-g38 244 4110 1055 1442 2
g3-g39 29 144 192 226 2
g3-g4 0 2 1 3 2
g3-g40 51036 87519 88753 126461 2
g3-g41 50 366 379 430 2
g3-g42 56 377 423 441 2
g3-g43 308 931 1215 1208 2
g3-g44 0 1 9 10 2
g3-g45 0 0 9 10 2
g3-g46 0 0 10 10 2
g3-g47 0 0 10 10 2
g3-g48 0 1 11 11 2
g3-g49 594 2297 2289 2870 2
g3-g5 0 5 5 5 2
g3-g50 7825 16929 17113 27414 2
g3-g6 1 10 11 13 2
g3-g7 4 34 37 44 2
g3-g8 1 11 11 12 2
g3-g9 5 44 47 67 2
g30-g31 1000000 1000000 1000000 1000006 2
g30-g32 108156 374434 337210 176883 2
g30-g40 1000000 1000000 1000000 1000009 2
g30-g44 1000000 1000000 1000000 1000005 2
g30-g45 1000000 1000000 1000000 1000003 2
g30-g50 1000000 1000000 1000000 1000002 2
g31-g32 187786 836399 767472 1000041 2
g31-g40 1000000 1000000 1000000 1000009 2
g31-g50 1000000 1000000 1000000 1000003 2
g33-g37 1000000 1000000 1000000 1000005 2
g33-g38 1000000 1000000 1000000 1000002 2
g33-g40 1000000 1000000 1000000 1000009 2
g33-g43 1000000 1000000 1000000 1000007 2
g33-g44 1000000 1000000 1000000 1000003 2
g33-g45 1000000 1000000 1000000 1000002 2
g33-g46 1000000 1000000 1000000 1000008 2
g33-g47 1000000 1000000 1000000 1000008 2
g33-g48 1000000 1000000 1000000 1000005 2
g33-g49 1000000 1000000 1000000 1000013 2
g33-g50 1000000 1000000 1000000 1000013 2
g34-g35 1000000 1000000 1000000 1000001 2
g34-g36 1000000 1000000 1000000 1000009 2
g34-g37 1000000 1000000 1000000 1000009 2
g34-g38 1000000 1000000 1000000 1000014 2
g34-g39 1000000 1000000 1000000 1000014 2
g34-g40 1000000 1000000 1000000 1000010 2
g34-g41 1000000 1000000 1000000 1000017 2
g34-g42 1000000 1000000 1000000 1000019 2
g34-g43 1000000 1000000 1000000 1000022 2
g34-g44 1000000 1000000 1000000 1000007 2
g34-g45 1000000 1000000 1000000 1000033 2
g34-g46 1000000 1000000 1000000 1000008 2
g34-g47 1000000 1000000 1000000 1000004 2
g34-g48 1000000 1000000 1000000 1000004 2
g34-g49 1000000 1000000 1000000 1000011 2
g34-g50 1000000 1000000 1000000 1000004 2
g35-g37 1000000 1000000 1000000 1000002 2
g35-g38 1000000 1000000 1000000 1000004 2
g35-g40 1000000 1000000 1000000 1000008 2
g35-g41 1000000 1000000 1000000 1000013 2
g35-g42 1000000 1000000 1000000 1000030 2
g35-g43 1000000 1000000 1000000 1000028 2
g35-g44 1000000 1000000 1000000 1000009 2
g35-g45 1000000 1000000 1000000 1000021 2
g35-g46 1000000 1000000 1000000 1000006 2
g35-g47 1000000 1000000 1000000 1000005 2
g35-g48 1000000 1000000 1000000 1000007 2
g35-g49 1000000 1000000 1000000 1000014 2
g35-g50 1000000 1000000 1000000 1000021 2
g36-g37 1000000 1000000 1000000 1000006 2
g36-g38 1000000 1000000 1000000 1000000 2
g36-g40 1000000 1000000 1000000 1000000 2
g36-g41 1000000 1000000 1000000 1000009 2
g36-g42 1000000 1000000 1000000 1000006 2
g36-g43 1000000 1000000 1000000 1000024 2
g36-g44 1000000 1000000 1000000 1000012 2
g36-g45 1000000 1000000 1000000 1000014 2
g36-g46 1000000 1000000 1000000 1000003 2
