instance mcsplit-mcis-sparse kdown2017 kdown2019 kdown2019-restarts family
all-images-CVIU11-pattern10-target15 1000000 1000000 1000000 1000220 14
all-images-CVIU11-pattern10-target16 1000000 1000000 1000001 1000117 14
all-images-CVIU11-pattern10-target17 1000000 1000000 1000003 1000063 14
all-images-CVIU11-pattern10-target18 1000000 1000000 1000004 1000083 14
all-images-CVIU11-pattern10-target19 1000001 1000000 1000006 1000060 14
all-images-CVIU11-pattern10-target2 1000000 1000000 1000001 1000010 14
all-images-CVIU11-pattern10-target20 1000000 1000000 1000004 1000045 14
all-images-CVIU11-pattern10-target21 1000000 1000000 1000003 1000194 14
all-images-CVIU11-pattern10-target22 1000000 1000000 1000002 1000196 14
all-images-CVIU11-pattern10-target23 1000000 1000000 1000003 1000066 14
all-images-CVIU11-pattern10-target24 1000000 1000000 1000000 1000162 14
all-images-CVIU11-pattern10-target25 1000000 1000000 1000001 1000165 14
all-images-CVIU11-pattern10-target26 1000000 1000000 1000001 1000077 14
all-images-CVIU11-pattern10-target27 0 908 5462 5341 14
all-images-CVIU11-pattern10-target28 1000000 1000000 1000001 1000094 14
all-images-CVIU11-pattern10-target29 1000000 1000001 1000006 1000050 14
all-images-CVIU11-pattern10-target3 1000000 1000000 1000004 1000079 14
all-images-CVIU11-pattern10-target30 1000000 1000000 1000004 1000066 14
all-images-CVIU11-pattern10-target31 1000000 1000000 1000001 1000076 14
all-images-CVIU11-pattern10-target32 1000000 1000001 1000007 1000054 14
all-images-CVIU11-pattern10-target33 1000000 1000001 1000007 1000049 14
all-images-CVIU11-pattern10-target34 1000000 1000001 1000003 1000020 14
all-images-CVIU11-pattern10-target35 1000000 1000000 1000006 1000039 14
all-images-CVIU11-pattern10-target36 1000000 1000000 1000001 1000009 14
all-images-CVIU11-pattern10-target37 1000000 1000001 1000005 1000042 14
all-images-CVIU11-pattern10-target38 1000000 1000000 1000005 1000053 14
all-images-CVIU11-pattern10-target39 1000000 1000000 1000002 1000031 14
all-images-CVIU11-pattern10-target4 1000000 1000000 1000003 1000121 14
all-images-CVIU11-pattern10-target40 1000000 1000000 1000001 1000011 14
all-images-CVIU11-pattern10-target41 1000000 1000000 1000003 1000150 14
all-images-CVIU11-pattern10-target42 1000000 1000000 1000003 1000061 14
all-images-CVIU11-pattern10-target43 1000000 1000000 1000004 1000056 14
all-images-CVIU11-pattern10-target44 1000000 1000000 1000006 1000058 14
all-images-CVIU11-pattern10-target45 1000000 1000000 1000005 1000051 14
all-images-CVIU11-pattern10-target46 1000000 1000000 1000003 1000070 14
all-images-CVIU11-pattern10-target47 1000000 1000000 1000004 1000046 14
all-images-CVIU11-pattern10-target48 1000000 1000000 1000002 1000114 14
all-images-CVIU11-pattern10-target49 1000000 1000000 1000003 1000031 14
all-images-CVIU11-pattern10-target5 1000000 1000000 1000005 1000059 14
all-images-CVIU11-pattern10-target50 1000000 1000000 1000005 1000033 14
all-images-CVIU11-pattern10-target51 1000000 1000000 1000002 1000081 14
all-images-CVIU11-pattern10-target52 1000000 1000000 1000002 1000082 14
all-images-CVIU11-pattern10-target53 1000000 1000000 1000002 1000050 14
all-images-CVIU11-pattern10-target54 1000000 1000000 1000002 1000090 14
all-images-CVIU11-pattern10-target55 1000000 1000000 1000001 1000064 14
all-images-CVIU11-pattern10-target56 1000000 1000000 1000001 1000143 14
all-images-CVIU11-pattern10-target57 1000001 1000002 1000007 1000039 14
all-images-CVIU11-pattern10-target58 1000000 1000000 1000001 1000212 14
all-images-CVIU11-pattern10-target59 1000000 1000000 1000004 1000069 14
all-images-CVIU11-pattern10-target6 1000000 1000000 1000004 1000095 14
all-images-CVIU11-pattern10-target60 1000000 1000000 1000002 1000118 14
all-images-CVIU11-pattern10-target61 1000000 1000000 1000004 1000070 14
all-images-CVIU11-pattern10-target62 1000000 1000000 1000004 1000070 14
all-images-CVIU11-pattern10-target63 1000000 1000000 1000003 1000088 14
all-images-CVIU11-pattern10-target64 1000000 1000000 1000001 1000111 14
all-images-CVIU11-pattern10-target65 1000000 1000000 1000002 1000056 14
all-images-CVIU11-pattern10-target66 1000000 1000000 1000002 1000134 14
all-images-CVIU11-pattern10-target67 1000000 1000000 1000005 1000061 14
all-images-CVIU11-pattern10-target68 1000000 1000000 1000005 1000044 14
all-images-CVIU11-pattern10-target69 1000001 1000001 1000006 1000037 14
all-images-CVIU11-pattern10-target7 1000000 1000000 1000004 1000073 14
all-images-CVIU11-pattern10-target70 1000000 1000000 1000005 1000058 14
all-images-CVIU11-pattern10-target71 1000000 1000000 1000004 1000110 14
all-images-CVIU11-pattern10-target72 1000000 1000000 1000001 1000048 14
all-images-CVIU11-pattern10-target73 1000000 1000000 1000005 1000056 14
all-images-CVIU11-pattern10-target74 1000000 1000000 1000006 1000047 14
all-images-CVIU11-pattern10-target75 1000000 1000000 1000005 1000050 14
all-images-CVIU11-pattern10-target76 1000000 1000001 1000005 1000045 14
all-images-CVIU11-pattern10-target77 1000000 1000001 1000006 1000056 14
all-images-CVIU11-pattern10-target78 1000000 1000000 1000006 1000065 14
all-images-CVIU11-pattern10-target79 1000000 1000000 1000001 1000096 14
all-images-CVIU11-pattern10-target8 1000000 1000000 1000002 1000141 14
all-images-CVIU11-pattern10-target80 1000000 1000000 1000002 1000242 14
all-images-CVIU11-pattern10-target81 1000000 1000000 1000002 1000096 14
all-images-CVIU11-pattern10-target82 1000001 1000000 1000003 1000083 14
all-images-CVIU11-pattern10-target83 1000000 1000000 1000004 1000093 14
all-images-CVIU11-pattern10-target84 1000000 1000000 1000000 1000148 14
all-images-CVIU11-pattern10-target85 1000000 1000000 1000004 1000037 14
all-images-CVIU11-pattern10-target86 1000000 1000000 1000003 1000046 14
all-images-CVIU11-pattern10-target87 1000000 1000000 1000003 1000082 14
all-images-CVIU11-pattern10-target88 1000000 1000000 1000004 1000092 14
all-images-CVIU11-pattern10-target89 1000000 1000000 1000002 1000117 14
all-images-CVIU11-pattern10-target9 1000000 1000000 1000001 1000152 14
all-images-CVIU11-pattern10-target90 1000000 1000000 1000001 1000115 14
all-images-CVIU11-pattern10-target91 1000000 1000000 1000000 1000177 14
all-images-CVIU11-pattern10-target92 1000000 1000001 1000005 1000035 14
all-images-CVIU11-pattern10-target93 1000000 1000000 1000003 1000078 14
all-images-CVIU11-pattern10-target94 1000000 1000000 1000004 1000060 14
all-images-CVIU11-pattern10-target95 1000000 1000000 1000001 1000140 14
all-images-CVIU11-pattern10-target96 1000000 1000000 1000002 1000138 14
all-images-CVIU11-pattern10-target97 1000000 1000001 1000002 1000078 14
all-images-CVIU11-pattern10-target98 1000000 1000000 1000001 1000085 14
