e1 e2 mcsplit mcsplit-swapped
0.478261 0.336957 100000 2174
0.231884 0.318841 142 441
0.021739 0.416667 6 114
0.380435 0.23913 970 117
0.144928 0.134058 210 295
0.195652 0.188406 86 95
0.355072 0.036232 67 25
0.42029 0.460145 3 32701
0.271739 0.184783 56 58
0.047101 0.32971 29 50
0.144928 0.09058 521 489
0.032609 0.362319 31 108
